# Shopify Product Taxonomy - Attributes: 2026-08-unstable
# Format: {GID} : {Attribute name}

gid://shopify/TaxonomyAttribute/5398  : 3D-bril pasontwerp
gid://shopify/TaxonomyAttribute/8968  : Randafwerking van het appliqué
gid://shopify/TaxonomyAttribute/2314  : Appliqué-/patch-vorm
gid://shopify/TaxonomyAttribute/5693  : Schortkenmerken
gid://shopify/TaxonomyAttribute/5694  : Schortstijl
gid://shopify/TaxonomyAttribute/2980  : Functies van aquariumfilters
gid://shopify/TaxonomyAttribute/1708  : Aquariumlichtspectrum
gid://shopify/TaxonomyAttribute/3228  : Aquarium overloopbak ontwerp
gid://shopify/TaxonomyAttribute/5695  : Groeiwijze van waterplanten
gid://shopify/TaxonomyAttribute/5696  : Ontwerp van de overkapping van een prieel
gid://shopify/TaxonomyAttribute/6999  : Type spoelas
gid://shopify/TaxonomyAttribute/7000  : Type boogschietaccessoire
gid://shopify/TaxonomyAttribute/1302  : Boogschieten
gid://shopify/TaxonomyAttribute/2888  : Inclusief uitrusting voor boogschieten
gid://shopify/TaxonomyAttribute/7001  : Type boogschietonderdeel
gid://shopify/TaxonomyAttribute/7002  : Type boogschietbaanaccessoire
gid://shopify/TaxonomyAttribute/1303  : Boogschietstijl
gid://shopify/TaxonomyAttribute/7003  : Boogschietdoel kenmerken
gid://shopify/TaxonomyAttribute/4365  : Type doelwitten voor boogschieten
gid://shopify/TaxonomyAttribute/7004  : Boogschieten gereedschaptype
gid://shopify/TaxonomyAttribute/7005  : Armband kenmerken
gid://shopify/TaxonomyAttribute/7006  : Armbeschermer stijl
gid://shopify/TaxonomyAttribute/8043  : Pantserbescherming type
gid://shopify/TaxonomyAttribute/6863  : Verstelbaarheid armleuning
gid://shopify/TaxonomyAttribute/6864  : Type armleuning
gid://shopify/TaxonomyAttribute/2496  : Regeling
gid://shopify/TaxonomyAttribute/7008  : Pijlonderdeel type
gid://shopify/TaxonomyAttribute/7009  : Pijl insluitingsniveau
gid://shopify/TaxonomyAttribute/2883  : Materiaal pijlveer
gid://shopify/TaxonomyAttribute/7010  : Pijlveren oriëntatie
gid://shopify/TaxonomyAttribute/7011  : Pijlnok groefmaat
gid://shopify/TaxonomyAttribute/7012  : Pijlnok type
gid://shopify/TaxonomyAttribute/7013  : Stijl pijloplegger
gid://shopify/TaxonomyAttribute/7014  : Compatibiliteit pijlschacht
gid://shopify/TaxonomyAttribute/2969  : Pijl/boutmateriaal
gid://shopify/TaxonomyAttribute/7007  : Pijl/bolt type punt
gid://shopify/TaxonomyAttribute/2299  : Kunstmatige fixeermethode
gid://shopify/TaxonomyAttribute/8970  : Lichtbestendigheidsclassificatie kunstinkt
gid://shopify/TaxonomyAttribute/8971  : Kunstinkt dekking
gid://shopify/TaxonomyAttribute/3429  : Kunstbeweging
gid://shopify/TaxonomyAttribute/2386  : Kunststijl
gid://shopify/TaxonomyAttribute/2930  : Materiaal voor kunst/knutselgereedschap
gid://shopify/TaxonomyAttribute/8969  : Puntstijl voor kunst-/hobbygereedschap
gid://shopify/TaxonomyAttribute/7615  : Artisjok snijvorm
gid://shopify/TaxonomyAttribute/7616  : Artisjok ras
gid://shopify/TaxonomyAttribute/8972  : Articulatie kenmerken
gid://shopify/TaxonomyAttribute/7016  : Kunstaas vorm
gid://shopify/TaxonomyAttribute/3430  : Authenticiteit van kunstwerk
gid://shopify/TaxonomyAttribute/2796  : Materiaal frame van kunstwerk
gid://shopify/TaxonomyAttribute/2666  : Kunsttype
gid://shopify/TaxonomyAttribute/7018  : Ascender/descender type
gid://shopify/TaxonomyAttribute/5697  : Asbaktype
gid://shopify/TaxonomyAttribute/8044  : Aanzuigingstype
gid://shopify/TaxonomyAttribute/12755 : Montage vereist
gid://shopify/TaxonomyAttribute/6865  : Montagestaat
gid://shopify/TaxonomyAttribute/7019  : Ondersteuningsmechanisme
gid://shopify/TaxonomyAttribute/3387  : Technologie van remassistent
gid://shopify/TaxonomyAttribute/7617  : Atemoya cultivar
gid://shopify/TaxonomyAttribute/7020  : Sport cupmaat
gid://shopify/TaxonomyAttribute/1737  : Bevestigingsmethode
gid://shopify/TaxonomyAttribute/844   : Bevestigingsopties
gid://shopify/TaxonomyAttribute/7021  : Bevestigingspositie
gid://shopify/TaxonomyAttribute/1267  : Bevestigingstype
gid://shopify/TaxonomyAttribute/7022  : Lokgeurprofiel
gid://shopify/TaxonomyAttribute/5698  : Type lokstof
gid://shopify/TaxonomyAttribute/1806  : Audio-DA-converter (DAC)
gid://shopify/TaxonomyAttribute/5454  : Audio bypass type
gid://shopify/TaxonomyAttribute/5592  : Type audiocassetteband
gid://shopify/TaxonomyAttribute/8046  : Audiokanaalconfiguratie
gid://shopify/TaxonomyAttribute/1822  : Ondersteunde audiocodecs/formaten
gid://shopify/TaxonomyAttribute/5435  : Audiocomponent vormfactor
gid://shopify/TaxonomyAttribute/1813  : Audioconnectiviteit
gid://shopify/TaxonomyAttribute/5545  : Audioconversierichting
gid://shopify/TaxonomyAttribute/5516  : Audio duplex mogelijkheid
gid://shopify/TaxonomyAttribute/8973  : Audio-ingangen
gid://shopify/TaxonomyAttribute/3309  : Type audiomixer
gid://shopify/TaxonomyAttribute/6344  : Audio-uitgang
gid://shopify/TaxonomyAttribute/1801  : Audio-uitvoerkanaal
gid://shopify/TaxonomyAttribute/1802  : Audio-uitvoerformaat
gid://shopify/TaxonomyAttribute/8974  : Audio-uitgangen
gid://shopify/TaxonomyAttribute/6345  : Audio afspeelbron
gid://shopify/TaxonomyAttribute/3066  : Functies voor audiospeler/recorder
gid://shopify/TaxonomyAttribute/1818  : Audiodoel
gid://shopify/TaxonomyAttribute/5591  : Ondersteuning voor audio return kanaal
gid://shopify/TaxonomyAttribute/5607  : Audiosignaalconfiguratie
gid://shopify/TaxonomyAttribute/5417  : Audiosysteem
gid://shopify/TaxonomyAttribute/1803  : Audiotechnologie
gid://shopify/TaxonomyAttribute/3074  : Audio/Scan converter functies
gid://shopify/TaxonomyAttribute/5604  : Type audio/video-kabelconnector (uiteinde A)
gid://shopify/TaxonomyAttribute/5605  : Type audio/video-kabelconnector (uiteinde B)
gid://shopify/TaxonomyAttribute/3370  : Authenticatie technologie
gid://shopify/TaxonomyAttribute/2374  : Authenticiteit
gid://shopify/TaxonomyAttribute/2016  : Autofocusmodi
gid://shopify/TaxonomyAttribute/2613  : Autoclaafsterilisatiemethode
gid://shopify/TaxonomyAttribute/8975  : Handtekening authenticatie
gid://shopify/TaxonomyAttribute/8976  : Handtekening formaat
gid://shopify/TaxonomyAttribute/2361  : Handtekeningtype
gid://shopify/TaxonomyAttribute/8047  : Autogyro cockpitafsluiting
gid://shopify/TaxonomyAttribute/2583  : Automatisering
gid://shopify/TaxonomyAttribute/7023  : Beschikbare schietmodi
gid://shopify/TaxonomyAttribute/7618  : Avocado ras
gid://shopify/TaxonomyAttribute/8977  : Personalisatie award inbegrepen
gid://shopify/TaxonomyAttribute/2526  : Awardontwerp
gid://shopify/TaxonomyAttribute/8978  : Awardmateriaal
gid://shopify/TaxonomyAttribute/8979  : Award montage-/displaytype
gid://shopify/TaxonomyAttribute/2525  : Awardgelegenheid
gid://shopify/TaxonomyAttribute/8980  : Awardplaquette plaatmateriaal
gid://shopify/TaxonomyAttribute/8981  : Awardlint bevestigingstype
gid://shopify/TaxonomyAttribute/8982  : Awardlint bedrukkingsmethode
gid://shopify/TaxonomyAttribute/8983  : Awardlint materiaal
gid://shopify/TaxonomyAttribute/8984  : Awardlint plaatsing/titel
gid://shopify/TaxonomyAttribute/1426  : Bouwtype luifel
gid://shopify/TaxonomyAttribute/2823  : Luifel ontwerp
gid://shopify/TaxonomyAttribute/5699  : Type zonneschermbediening
gid://shopify/TaxonomyAttribute/7024  : Ascompatibiliteit
gid://shopify/TaxonomyAttribute/7069  : BB-gun actietype
gid://shopify/TaxonomyAttribute/7070  : BB-gun kaliber
gid://shopify/TaxonomyAttribute/7071  : BB-gun onderdeeltype
gid://shopify/TaxonomyAttribute/1836  : BIOS-type
gid://shopify/TaxonomyAttribute/1759  : Verpakking babydrankjes
gid://shopify/TaxonomyAttribute/1758  : Smaak babyvoeding
gid://shopify/TaxonomyAttribute/1761  : Grootte melkpoeder voor baby's
gid://shopify/TaxonomyAttribute/1717  : Inclusief babycadeauartikelen
gid://shopify/TaxonomyAttribute/1720  : Inclusief babygezondheidsartikelen
gid://shopify/TaxonomyAttribute/3026  : Kenmerken babyfoon
gid://shopify/TaxonomyAttribute/1762  : Smaak babysnack
gid://shopify/TaxonomyAttribute/1763  : Textuur babysnack
gid://shopify/TaxonomyAttribute/2997  : Kenmerken kleding voor baby's en peuters
gid://shopify/TaxonomyAttribute/3029  : Veiligheidskenmerken baby-/peuteruitrusting
gid://shopify/TaxonomyAttribute/3103  : Kenmerken baby-/peutermeubilair
gid://shopify/TaxonomyAttribute/3318  : Baby-/peutermeubels inbegrepen
gid://shopify/TaxonomyAttribute/3254  : Stijl baby-/peuterhoedje
gid://shopify/TaxonomyAttribute/3247  : Stijl kousen voor baby's/peuters
gid://shopify/TaxonomyAttribute/3107  : Kenmerken baby-/peuterzitje
gid://shopify/TaxonomyAttribute/3246  : Stijl baby-/peuterslaapkleding
gid://shopify/TaxonomyAttribute/8986  : Achter- en zijkanten materiaal
gid://shopify/TaxonomyAttribute/8985  : Achterbalk type
gid://shopify/TaxonomyAttribute/6636  : Rugontwerp
gid://shopify/TaxonomyAttribute/6866  : Achterpaneel type
gid://shopify/TaxonomyAttribute/1531  : Type rugleuning
gid://shopify/TaxonomyAttribute/5329  : Achterpaneelmateriaal
gid://shopify/TaxonomyAttribute/2047  : Achtergrondontwerp
gid://shopify/TaxonomyAttribute/2185  : Materiaal achterkant
gid://shopify/TaxonomyAttribute/8987  : Type achterzijde
gid://shopify/TaxonomyAttribute/5617  : Type achtergrondverlichting
gid://shopify/TaxonomyAttribute/1527  : Type rugleuning
gid://shopify/TaxonomyAttribute/8048  : Achteruitrijcamera montagelocatie
gid://shopify/TaxonomyAttribute/8049  : Achteruitrijcamera video-interface
gid://shopify/TaxonomyAttribute/7025  : Badmintonset meegeleverde onderdelen
gid://shopify/TaxonomyAttribute/7026  : Zakbevestigingsmethode
gid://shopify/TaxonomyAttribute/5700  : Tasclipstijl
gid://shopify/TaxonomyAttribute/2958  : Sluiting tas
gid://shopify/TaxonomyAttribute/5701  : Zakconfiguratie
gid://shopify/TaxonomyAttribute/8989  : Materiaal tashoes
gid://shopify/TaxonomyAttribute/6637  : Tasversiering
gid://shopify/TaxonomyAttribute/7027  : Tas vulmedium
gid://shopify/TaxonomyAttribute/5702  : Zakisolatie
gid://shopify/TaxonomyAttribute/8990  : Tas materiaal
gid://shopify/TaxonomyAttribute/7028  : Tas vullingsniveau
gid://shopify/TaxonomyAttribute/6638  : Tas maataanduiding
gid://shopify/TaxonomyAttribute/2222  : Type tasband
gid://shopify/TaxonomyAttribute/3365  : Stijl tas
gid://shopify/TaxonomyAttribute/2725  : Tastype
gid://shopify/TaxonomyAttribute/3006  : Kenmerken tas/koffer
gid://shopify/TaxonomyAttribute/2784  : Materiaal van tas/doos
gid://shopify/TaxonomyAttribute/3258  : Opbergkenmerken tas/koffer
gid://shopify/TaxonomyAttribute/8988  : Tas/koffer draagstijl
gid://shopify/TaxonomyAttribute/7619  : Bagel formaat
gid://shopify/TaxonomyAttribute/8991  : Doedelzakaccessoires inbegrepen
gid://shopify/TaxonomyAttribute/8992  : Doedelzak speelwijze
gid://shopify/TaxonomyAttribute/7029  : Aascompatibiliteit
gid://shopify/TaxonomyAttribute/7030  : Aassoorten
gid://shopify/TaxonomyAttribute/3100  : Bakkerijproducten inbegrepen
gid://shopify/TaxonomyAttribute/3360  : Bakgerei inbegrepen
gid://shopify/TaxonomyAttribute/1394  : Inclusief bakvormen
gid://shopify/TaxonomyAttribute/2813  : Vorm bakgerei
gid://shopify/TaxonomyAttribute/7620  : Bakchip vorm
gid://shopify/TaxonomyAttribute/5703  : Afmetingen bakmat
gid://shopify/TaxonomyAttribute/1486  : Doel van het bakken
gid://shopify/TaxonomyAttribute/2812  : Materiaal bakplaat
gid://shopify/TaxonomyAttribute/5704  : Bakplaatstijl
gid://shopify/TaxonomyAttribute/7031  : Balance board stijl
gid://shopify/TaxonomyAttribute/7032  : Balance cushion accessoires meegeleverd
gid://shopify/TaxonomyAttribute/8050  : Balance type
gid://shopify/TaxonomyAttribute/6346  : Ball en cup spel meegeleverde onderdelen
gid://shopify/TaxonomyAttribute/7033  : Balblaas materiaal
gid://shopify/TaxonomyAttribute/7034  : Balcertificering
gid://shopify/TaxonomyAttribute/7035  : Balconstructie
gid://shopify/TaxonomyAttribute/7036  : Interne balopbouw
gid://shopify/TaxonomyAttribute/7037  : Type balkern
gid://shopify/TaxonomyAttribute/7038  : Balboor status
gid://shopify/TaxonomyAttribute/7039  : Balhouder type
gid://shopify/TaxonomyAttribute/2844  : Materiaal bal
gid://shopify/TaxonomyAttribute/6347  : Ballenbakbal oppervlakafwerking
gid://shopify/TaxonomyAttribute/6348  : Ballenbak veiligheidskenmerken
gid://shopify/TaxonomyAttribute/7040  : Balpomp accessoiretype
gid://shopify/TaxonomyAttribute/7041  : Bal retourmechanisme
gid://shopify/TaxonomyAttribute/7042  : Bal retourtype
gid://shopify/TaxonomyAttribute/1206  : Balgrootte
gid://shopify/TaxonomyAttribute/7043  : Bal snelheidsclassificatie
