# Shopify Product Taxonomy - Categories: 2025-08-unstable
# Format: {GID} : {Ancestor name} > ... > {Category name}

gid://shopify/TaxonomyCategory/ap                : Productos para mascotas y animales
gid://shopify/TaxonomyCategory/ap-2-3-2          : Productos para mascotas y animales > Productos para mascotas > Productos para perros > Pañales para perros
gid://shopify/TaxonomyCategory/ap-2-3-3          : Productos para mascotas y animales > Productos para mascotas > Productos para perros > Comida para perros
gid://shopify/TaxonomyCategory/ap-2-3-3-1        : Productos para mascotas y animales > Productos para mascotas > Productos para perros > Comida para perros > Comida para perros sin prescripción médica
gid://shopify/TaxonomyCategory/ap-2-3-3-2        : Productos para mascotas y animales > Productos para mascotas > Productos para perros > Comida para perros > Comida para perros con prescripción médica
gid://shopify/TaxonomyCategory/ap-2-3-4          : Productos para mascotas y animales > Productos para mascotas > Productos para perros > Casetas para perros
gid://shopify/TaxonomyCategory/ap-2-3-5          : Productos para mascotas y animales > Productos para mascotas > Productos para perros > Accesorios para casetas y cercados para perros
gid://shopify/TaxonomyCategory/ap-2-3-6          : Productos para mascotas y animales > Productos para mascotas > Productos para perros > Casetas y cercados para perros
gid://shopify/TaxonomyCategory/ap-2-3-6-1        : Productos para mascotas y animales > Productos para mascotas > Productos para perros > Casetas y cercados para perros > Corrales para perros
gid://shopify/TaxonomyCategory/ap-2-3-6-2        : Productos para mascotas y animales > Productos para mascotas > Productos para perros > Casetas y cercados para perros > Cercados para perros
gid://shopify/TaxonomyCategory/ap-2-3-6-3        : Productos para mascotas y animales > Productos para mascotas > Productos para perros > Casetas y cercados para perros > Casetas para perros de interior
gid://shopify/TaxonomyCategory/ap-2-3-6-4        : Productos para mascotas y animales > Productos para mascotas > Productos para perros > Casetas y cercados para perros > Casetas para perros al aire libre
gid://shopify/TaxonomyCategory/ap-2-3-6-5        : Productos para mascotas y animales > Productos para mascotas > Productos para perros > Casetas y cercados para perros > Casetas para perros portátiles
gid://shopify/TaxonomyCategory/ap-2-3-7          : Productos para mascotas y animales > Productos para mascotas > Productos para perros > Juguetes para perros
gid://shopify/TaxonomyCategory/ap-2-3-8          : Productos para mascotas y animales > Productos para mascotas > Productos para perros > Cintas de caminar para perros
gid://shopify/TaxonomyCategory/ap-2-3-9          : Productos para mascotas y animales > Productos para mascotas > Productos para perros > Premios para perros
gid://shopify/TaxonomyCategory/ap-2-4            : Productos para mascotas y animales > Productos para mascotas > Suministros para peces y acuarios
gid://shopify/TaxonomyCategory/ap-2-4-1          : Productos para mascotas y animales > Productos para mascotas > Suministros para peces y acuarios > Tuberías para acuarios y estanques
gid://shopify/TaxonomyCategory/ap-2-4-1-1        : Productos para mascotas y animales > Productos para mascotas > Suministros para peces y acuarios > Tuberías para acuarios y estanques > Tubos de silicona
gid://shopify/TaxonomyCategory/ap-2-4-1-2        : Productos para mascotas y animales > Productos para mascotas > Suministros para peces y acuarios > Tuberías para acuarios y estanques > Tubos en espiral
gid://shopify/TaxonomyCategory/ap-2-4-1-3        : Productos para mascotas y animales > Productos para mascotas > Suministros para peces y acuarios > Tuberías para acuarios y estanques > Tubos flexibles
gid://shopify/TaxonomyCategory/ap-2-4-1-4        : Productos para mascotas y animales > Productos para mascotas > Suministros para peces y acuarios > Tuberías para acuarios y estanques > Tubos rígidos
gid://shopify/TaxonomyCategory/ap-2-4-1-5        : Productos para mascotas y animales > Productos para mascotas > Suministros para peces y acuarios > Tuberías para acuarios y estanques > Tubos estándar
gid://shopify/TaxonomyCategory/ap-2-4-2          : Productos para mascotas y animales > Productos para mascotas > Suministros para peces y acuarios > Difusores y bombas de aire para acuarios
gid://shopify/TaxonomyCategory/ap-2-4-2-1        : Productos para mascotas y animales > Productos para mascotas > Suministros para peces y acuarios > Difusores y bombas de aire para acuarios > Difusores de aire
gid://shopify/TaxonomyCategory/ap-2-4-2-2        : Productos para mascotas y animales > Productos para mascotas > Suministros para peces y acuarios > Difusores y bombas de aire para acuarios > Piedras difusoras de aire de disco
gid://shopify/TaxonomyCategory/ap-2-4-2-3        : Productos para mascotas y animales > Productos para mascotas > Suministros para peces y acuarios > Difusores y bombas de aire para acuarios > Piedras difusoras de aire estándar
gid://shopify/TaxonomyCategory/ap-2-4-2-4        : Productos para mascotas y animales > Productos para mascotas > Suministros para peces y acuarios > Difusores y bombas de aire para acuarios > Piedras difusoras de aire de tubo
gid://shopify/TaxonomyCategory/ap-2-4-2-5        : Productos para mascotas y animales > Productos para mascotas > Suministros para peces y acuarios > Difusores y bombas de aire para acuarios > Piedras difusoras de aire de pared
gid://shopify/TaxonomyCategory/ap-2-4-3          : Productos para mascotas y animales > Productos para mascotas > Suministros para peces y acuarios > Productos de limpieza de acuarios
gid://shopify/TaxonomyCategory/ap-2-4-3-1        : Productos para mascotas y animales > Productos para mascotas > Suministros para peces y acuarios > Productos de limpieza de acuarios > Rascadores de algas
gid://shopify/TaxonomyCategory/ap-2-4-3-2        : Productos para mascotas y animales > Productos para mascotas > Suministros para peces y acuarios > Productos de limpieza de acuarios > Guantes de acuario
gid://shopify/TaxonomyCategory/ap-2-4-3-3        : Productos para mascotas y animales > Productos para mascotas > Suministros para peces y acuarios > Productos de limpieza de acuarios > Cepillos de limpieza
gid://shopify/TaxonomyCategory/ap-2-4-3-4        : Productos para mascotas y animales > Productos para mascotas > Suministros para peces y acuarios > Productos de limpieza de acuarios > Soluciones de limpieza
gid://shopify/TaxonomyCategory/ap-2-4-3-5        : Productos para mascotas y animales > Productos para mascotas > Suministros para peces y acuarios > Productos de limpieza de acuarios > Sifón para limpiar la grava
gid://shopify/TaxonomyCategory/ap-2-4-3-6        : Productos para mascotas y animales > Productos para mascotas > Suministros para peces y acuarios > Productos de limpieza de acuarios > Almohadillas de limpieza
gid://shopify/TaxonomyCategory/ap-2-4-3-7        : Productos para mascotas y animales > Productos para mascotas > Suministros para peces y acuarios > Productos de limpieza de acuarios > Sifones
gid://shopify/TaxonomyCategory/ap-2-4-3-8        : Productos para mascotas y animales > Productos para mascotas > Suministros para peces y acuarios > Productos de limpieza de acuarios > Limpiadores de acuarios
gid://shopify/TaxonomyCategory/ap-2-4-4          : Productos para mascotas y animales > Productos para mascotas > Suministros para peces y acuarios > Decoraciones para acuarios
gid://shopify/TaxonomyCategory/ap-2-4-4-1        : Productos para mascotas y animales > Productos para mascotas > Suministros para peces y acuarios > Decoraciones para acuarios > Fondos de acuario
gid://shopify/TaxonomyCategory/ap-2-4-4-2        : Productos para mascotas y animales > Productos para mascotas > Suministros para peces y acuarios > Decoraciones para acuarios > Cuevas y refugios para acuarios
gid://shopify/TaxonomyCategory/ap-2-4-4-3        : Productos para mascotas y animales > Productos para mascotas > Suministros para peces y acuarios > Decoraciones para acuarios > Rocas de acuario
gid://shopify/TaxonomyCategory/ap-2-4-4-4        : Productos para mascotas y animales > Productos para mascotas > Suministros para peces y acuarios > Decoraciones para acuarios > Sustratos para acuarios
gid://shopify/TaxonomyCategory/ap-2-4-4-5        : Productos para mascotas y animales > Productos para mascotas > Suministros para peces y acuarios > Decoraciones para acuarios > Plantas artificiales
gid://shopify/TaxonomyCategory/ap-2-4-4-6        : Productos para mascotas y animales > Productos para mascotas > Suministros para peces y acuarios > Decoraciones para acuarios > Decoraciones burbujeantes
gid://shopify/TaxonomyCategory/ap-2-4-4-7        : Productos para mascotas y animales > Productos para mascotas > Suministros para peces y acuarios > Decoraciones para acuarios > Madera a la deriva
gid://shopify/TaxonomyCategory/ap-2-4-4-8        : Productos para mascotas y animales > Productos para mascotas > Suministros para peces y acuarios > Decoraciones para acuarios > Adornos
gid://shopify/TaxonomyCategory/ap-2-4-4-9        : Productos para mascotas y animales > Productos para mascotas > Suministros para peces y acuarios > Decoraciones para acuarios > Naufragios
gid://shopify/TaxonomyCategory/ap-2-4-5          : Productos para mascotas y animales > Productos para mascotas > Suministros para peces y acuarios > Filtros para acuarios
gid://shopify/TaxonomyCategory/ap-2-4-5-1        : Productos para mascotas y animales > Productos para mascotas > Suministros para peces y acuarios > Filtros para acuarios > Filtros de acuario externos y de cesta
gid://shopify/TaxonomyCategory/ap-2-4-5-2        : Productos para mascotas y animales > Productos para mascotas > Suministros para peces y acuarios > Filtros para acuarios > Filtros de cascada
gid://shopify/TaxonomyCategory/ap-2-4-5-3        : Productos para mascotas y animales > Productos para mascotas > Suministros para peces y acuarios > Filtros para acuarios > Filtros internos para acuarios
gid://shopify/TaxonomyCategory/ap-2-4-5-4        : Productos para mascotas y animales > Productos para mascotas > Suministros para peces y acuarios > Filtros para acuarios > Filtros de esponja para acuarios
gid://shopify/TaxonomyCategory/ap-2-4-5-5        : Productos para mascotas y animales > Productos para mascotas > Suministros para peces y acuarios > Filtros para acuarios > Filtros de fondo
gid://shopify/TaxonomyCategory/ap-2-4-6          : Productos para mascotas y animales > Productos para mascotas > Suministros para peces y acuarios > Redes para acuarios
gid://shopify/TaxonomyCategory/ap-2-4-6-1        : Productos para mascotas y animales > Productos para mascotas > Suministros para peces y acuarios > Redes para acuarios > Redes para atrapar peces
gid://shopify/TaxonomyCategory/ap-2-4-6-2        : Productos para mascotas y animales > Productos para mascotas > Suministros para peces y acuarios > Redes para acuarios > Redes para camarones
gid://shopify/TaxonomyCategory/ap-2-4-6-3        : Productos para mascotas y animales > Productos para mascotas > Suministros para peces y acuarios > Redes para acuarios > Redes para calcetines
gid://shopify/TaxonomyCategory/ap-2-4-6-4        : Productos para mascotas y animales > Productos para mascotas > Suministros para peces y acuarios > Redes para acuarios > Redes estándar
gid://shopify/TaxonomyCategory/ap-2-4-7          : Productos para mascotas y animales > Productos para mascotas > Suministros para peces y acuarios > Sustratos y arena para acuarios
gid://shopify/TaxonomyCategory/ap-2-4-7-1        : Productos para mascotas y animales > Productos para mascotas > Suministros para peces y acuarios > Sustratos y arena para acuarios > Sustrato para acuario
gid://shopify/TaxonomyCategory/ap-2-4-7-2        : Productos para mascotas y animales > Productos para mascotas > Suministros para peces y acuarios > Sustratos y arena para acuarios > Arenas de aragonito
gid://shopify/TaxonomyCategory/ap-2-4-7-3        : Productos para mascotas y animales > Productos para mascotas > Suministros para peces y acuarios > Sustratos y arena para acuarios > Corales triturados
gid://shopify/TaxonomyCategory/ap-2-4-7-4        : Productos para mascotas y animales > Productos para mascotas > Suministros para peces y acuarios > Sustratos y arena para acuarios > Piedras de vidrio
gid://shopify/TaxonomyCategory/ap-2-4-7-5        : Productos para mascotas y animales > Productos para mascotas > Suministros para peces y acuarios > Sustratos y arena para acuarios > Grava
gid://shopify/TaxonomyCategory/ap-2-4-7-6        : Productos para mascotas y animales > Productos para mascotas > Suministros para peces y acuarios > Sustratos y arena para acuarios > Guijarros
gid://shopify/TaxonomyCategory/ap-2-4-7-7        : Productos para mascotas y animales > Productos para mascotas > Suministros para peces y acuarios > Sustratos y arena para acuarios > Arena
gid://shopify/TaxonomyCategory/ap-2-4-8          : Productos para mascotas y animales > Productos para mascotas > Suministros para peces y acuarios > Iluminación para acuarios
gid://shopify/TaxonomyCategory/ap-2-4-9          : Productos para mascotas y animales > Productos para mascotas > Suministros para peces y acuarios > Rebosaderos para acuarios
gid://shopify/TaxonomyCategory/ap-2-4-10         : Productos para mascotas y animales > Productos para mascotas > Suministros para peces y acuarios > Bases para acuarios
gid://shopify/TaxonomyCategory/ap-2-4-10-1       : Productos para mascotas y animales > Productos para mascotas > Suministros para peces y acuarios > Bases para acuarios > Bases de marco de caja
gid://shopify/TaxonomyCategory/ap-2-4-10-2       : Productos para mascotas y animales > Productos para mascotas > Suministros para peces y acuarios > Bases para acuarios > Bases para armarios
gid://shopify/TaxonomyCategory/ap-2-4-10-3       : Productos para mascotas y animales > Productos para mascotas > Suministros para peces y acuarios > Bases para acuarios > Bases para acuarios dobles
gid://shopify/TaxonomyCategory/ap-2-4-10-4       : Productos para mascotas y animales > Productos para mascotas > Suministros para peces y acuarios > Bases para acuarios > Bases de hierro forjado
gid://shopify/TaxonomyCategory/ap-2-4-11         : Productos para mascotas y animales > Productos para mascotas > Suministros para peces y acuarios > Controladores de temperatura de acuarios
gid://shopify/TaxonomyCategory/ap-2-4-11-1       : Productos para mascotas y animales > Productos para mascotas > Suministros para peces y acuarios > Controladores de temperatura de acuarios > Controladores de temperatura analógicos
gid://shopify/TaxonomyCategory/ap-2-4-11-2       : Productos para mascotas y animales > Productos para mascotas > Suministros para peces y acuarios > Controladores de temperatura de acuarios > Controladores de temperatura digitales
gid://shopify/TaxonomyCategory/ap-2-4-12         : Productos para mascotas y animales > Productos para mascotas > Suministros para peces y acuarios > Tratamientos del agua de acuarios
gid://shopify/TaxonomyCategory/ap-2-4-12-1       : Productos para mascotas y animales > Productos para mascotas > Suministros para peces y acuarios > Tratamientos del agua de acuarios > Control de algas
gid://shopify/TaxonomyCategory/ap-2-4-12-2       : Productos para mascotas y animales > Productos para mascotas > Suministros para peces y acuarios > Tratamientos del agua de acuarios > Eliminadores de amoníaco
gid://shopify/TaxonomyCategory/ap-2-4-12-3       : Productos para mascotas y animales > Productos para mascotas > Suministros para peces y acuarios > Tratamientos del agua de acuarios > Tratamientos fúngicos y bacterianos
gid://shopify/TaxonomyCategory/ap-2-4-12-4       : Productos para mascotas y animales > Productos para mascotas > Suministros para peces y acuarios > Tratamientos del agua de acuarios > Eliminadores de nitrato
gid://shopify/TaxonomyCategory/ap-2-4-12-5       : Productos para mascotas y animales > Productos para mascotas > Suministros para peces y acuarios > Tratamientos del agua de acuarios > Ajustadores de PH
gid://shopify/TaxonomyCategory/ap-2-4-12-6       : Productos para mascotas y animales > Productos para mascotas > Suministros para peces y acuarios > Tratamientos del agua de acuarios > Desintoxicantes de agua del grifo
gid://shopify/TaxonomyCategory/ap-2-4-12-7       : Productos para mascotas y animales > Productos para mascotas > Suministros para peces y acuarios > Tratamientos del agua de acuarios > Clarificadores de agua
gid://shopify/TaxonomyCategory/ap-2-4-12-8       : Productos para mascotas y animales > Productos para mascotas > Suministros para peces y acuarios > Tratamientos del agua de acuarios > Acondicionadores de agua
gid://shopify/TaxonomyCategory/ap-2-4-13         : Productos para mascotas y animales > Productos para mascotas > Suministros para peces y acuarios > Acuarios
gid://shopify/TaxonomyCategory/ap-2-4-14         : Productos para mascotas y animales > Productos para mascotas > Suministros para peces y acuarios > Fertilizantes para plantas acuáticas
gid://shopify/TaxonomyCategory/ap-2-4-14-1       : Productos para mascotas y animales > Productos para mascotas > Suministros para peces y acuarios > Fertilizantes para plantas acuáticas > Fertilizantes granulares
gid://shopify/TaxonomyCategory/ap-2-4-14-2       : Productos para mascotas y animales > Productos para mascotas > Suministros para peces y acuarios > Fertilizantes para plantas acuáticas > Fertilizantes líquidos
gid://shopify/TaxonomyCategory/ap-2-4-14-3       : Productos para mascotas y animales > Productos para mascotas > Suministros para peces y acuarios > Fertilizantes para plantas acuáticas > Fertilizantes en polvo
gid://shopify/TaxonomyCategory/ap-2-4-14-4       : Productos para mascotas y animales > Productos para mascotas > Suministros para peces y acuarios > Fertilizantes para plantas acuáticas > Fertilizantes en tabletas
gid://shopify/TaxonomyCategory/ap-2-4-15         : Productos para mascotas y animales > Productos para mascotas > Suministros para peces y acuarios > Comederos para peces
gid://shopify/TaxonomyCategory/ap-2-4-16         : Productos para mascotas y animales > Productos para mascotas > Suministros para peces y acuarios > Alimento para peces
gid://shopify/TaxonomyCategory/ap-2-4-16-1       : Productos para mascotas y animales > Productos para mascotas > Suministros para peces y acuarios > Alimento para peces > Obleas de algas
gid://shopify/TaxonomyCategory/ap-2-4-16-2       : Productos para mascotas y animales > Productos para mascotas > Suministros para peces y acuarios > Alimento para peces > Comida para bettas
gid://shopify/TaxonomyCategory/ap-2-4-16-3       : Productos para mascotas y animales > Productos para mascotas > Suministros para peces y acuarios > Alimento para peces > Comida para cíclidos
gid://shopify/TaxonomyCategory/ap-2-4-16-4       : Productos para mascotas y animales > Productos para mascotas > Suministros para peces y acuarios > Alimento para peces > Alimento seco para peces
gid://shopify/TaxonomyCategory/ap-2-4-16-5       : Productos para mascotas y animales > Productos para mascotas > Suministros para peces y acuarios > Alimento para peces > Alimentos liofilizados
gid://shopify/TaxonomyCategory/ap-2-4-16-6       : Productos para mascotas y animales > Productos para mascotas > Suministros para peces y acuarios > Alimento para peces > Alimentos congelados
gid://shopify/TaxonomyCategory/ap-2-4-16-7       : Productos para mascotas y animales > Productos para mascotas > Suministros para peces y acuarios > Alimento para peces > Comida para peces de colores
gid://shopify/TaxonomyCategory/ap-2-4-16-8       : Productos para mascotas y animales > Productos para mascotas > Suministros para peces y acuarios > Alimento para peces > Comida viva
gid://shopify/TaxonomyCategory/ap-2-4-16-9       : Productos para mascotas y animales > Productos para mascotas > Suministros para peces y acuarios > Alimento para peces > Alimentos medicados
gid://shopify/TaxonomyCategory/ap-2-5            : Productos para mascotas y animales > Productos para mascotas > Equipos para el ejercicio de mascotas
gid://shopify/TaxonomyCategory/ap-2-5-1          : Productos para mascotas y animales > Productos para mascotas > Equipos para el ejercicio de mascotas > Empalizadas
gid://shopify/TaxonomyCategory/ap-2-5-2          : Productos para mascotas y animales > Productos para mascotas > Equipos para el ejercicio de mascotas > Túneles de agilidad
gid://shopify/TaxonomyCategory/ap-2-5-3          : Productos para mascotas y animales > Productos para mascotas > Equipos para el ejercicio de mascotas > Paseos para perros y rampas
gid://shopify/TaxonomyCategory/ap-2-5-4          : Productos para mascotas y animales > Productos para mascotas > Equipos para el ejercicio de mascotas > Barras de salto
gid://shopify/TaxonomyCategory/ap-2-5-5          : Productos para mascotas y animales > Productos para mascotas > Equipos para el ejercicio de mascotas > Cajas de pausa
gid://shopify/TaxonomyCategory/ap-2-5-6          : Productos para mascotas y animales > Productos para mascotas > Equipos para el ejercicio de mascotas > Postes
gid://shopify/TaxonomyCategory/ap-2-5-7          : Productos para mascotas y animales > Productos para mascotas > Equipos para el ejercicio de mascotas > Balancines
gid://shopify/TaxonomyCategory/ap-2-5-8          : Productos para mascotas y animales > Productos para mascotas > Equipos para el ejercicio de mascotas > Anillos para saltos
gid://shopify/TaxonomyCategory/ap-2-6            : Productos para mascotas y animales > Productos para mascotas > Ropa para mascotas
gid://shopify/TaxonomyCategory/ap-2-6-1          : Productos para mascotas y animales > Productos para mascotas > Ropa para mascotas > Pañuelos para mascotas
gid://shopify/TaxonomyCategory/ap-2-6-2          : Productos para mascotas y animales > Productos para mascotas > Ropa para mascotas > Lazos y cintas para mascotas
gid://shopify/TaxonomyCategory/ap-2-6-3          : Productos para mascotas y animales > Productos para mascotas > Ropa para mascotas > Abrigos para mascotas
gid://shopify/TaxonomyCategory/ap-2-6-4          : Productos para mascotas y animales > Productos para mascotas > Ropa para mascotas > Collares y lazos para mascotas
