# Shopify Product Taxonomy - Categories: 2025-08-unstable
# Format: {GID} : {Ancestor name} > ... > {Category name}

gid://shopify/TaxonomyCategory/ap                : Animais e produtos para animais de estimação
gid://shopify/TaxonomyCategory/ap-2-1-3          : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Suprimentos para pássaros > Ração para pássaros
gid://shopify/TaxonomyCategory/ap-2-1-4          : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Suprimentos para pássaros > Poleiros para pássaros
gid://shopify/TaxonomyCategory/ap-2-1-5          : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Suprimentos para pássaros > Escadas e poleiros para pássaros
gid://shopify/TaxonomyCategory/ap-2-1-5-1        : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Suprimentos para pássaros > Escadas e poleiros para pássaros > Escadas e degraus
gid://shopify/TaxonomyCategory/ap-2-1-5-2        : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Suprimentos para pássaros > Escadas e poleiros para pássaros > Balanços e poleiros
gid://shopify/TaxonomyCategory/ap-2-1-6          : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Suprimentos para pássaros > Brinquedos para pássaros
gid://shopify/TaxonomyCategory/ap-2-1-6-1        : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Suprimentos para pássaros > Brinquedos para pássaros > Bolas e brinquedos para buscar
gid://shopify/TaxonomyCategory/ap-2-1-6-2        : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Suprimentos para pássaros > Brinquedos para pássaros > Sinos e miçangas
gid://shopify/TaxonomyCategory/ap-2-1-6-3        : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Suprimentos para pássaros > Brinquedos para pássaros > Brinquedos para mastigar
gid://shopify/TaxonomyCategory/ap-2-1-6-4        : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Suprimentos para pássaros > Brinquedos para pássaros > Brinquedos de forrageamento
gid://shopify/TaxonomyCategory/ap-2-1-6-5        : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Suprimentos para pássaros > Brinquedos para pássaros > Espelhos
gid://shopify/TaxonomyCategory/ap-2-1-6-7        : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Suprimentos para pássaros > Brinquedos para pássaros > Quebra-cabeças e brinquedos interativos
gid://shopify/TaxonomyCategory/ap-2-1-6-8        : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Suprimentos para pássaros > Brinquedos para pássaros > Cordas e nós
gid://shopify/TaxonomyCategory/ap-2-1-6-9        : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Suprimentos para pássaros > Brinquedos para pássaros > Túneis e tubos
gid://shopify/TaxonomyCategory/ap-2-1-7          : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Suprimentos para pássaros > Petiscos para pássaros
gid://shopify/TaxonomyCategory/ap-2-2            : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Suprimentos para gatos
gid://shopify/TaxonomyCategory/ap-2-2-1          : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Suprimentos para gatos > Ração para gatos
gid://shopify/TaxonomyCategory/ap-2-2-1-1        : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Suprimentos para gatos > Ração para gatos > Comida para gatos sem receita
gid://shopify/TaxonomyCategory/ap-2-2-1-2        : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Suprimentos para gatos > Ração para gatos > Ração medicamentosa para gatos
gid://shopify/TaxonomyCategory/ap-2-2-2          : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Suprimentos para gatos > Móveis para gatos
gid://shopify/TaxonomyCategory/ap-2-2-2-1        : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Suprimentos para gatos > Móveis para gatos > Condomínios e casas para gatos
gid://shopify/TaxonomyCategory/ap-2-2-2-2        : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Suprimentos para gatos > Móveis para gatos > Poleiros e prateleiras para gatos
gid://shopify/TaxonomyCategory/ap-2-2-2-3        : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Suprimentos para gatos > Móveis para gatos > Arranhadores e postes de arranhar para gatos
gid://shopify/TaxonomyCategory/ap-2-2-2-4        : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Suprimentos para gatos > Móveis para gatos > Escadas e rampas para gatos
gid://shopify/TaxonomyCategory/ap-2-2-2-5        : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Suprimentos para gatos > Móveis para gatos > Árvores e torres para gatos
gid://shopify/TaxonomyCategory/ap-2-2-2-6        : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Suprimentos para gatos > Móveis para gatos > Camas e poleiros para janelas para gatos
gid://shopify/TaxonomyCategory/ap-2-2-2-7        : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Suprimentos para gatos > Móveis para gatos > Casas para gatos ao ar livre
gid://shopify/TaxonomyCategory/ap-2-2-3          : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Suprimentos para gatos > Acessórios de móveis para gatos
gid://shopify/TaxonomyCategory/ap-2-2-4          : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Suprimentos para gatos > Areia higiênica para gatos
gid://shopify/TaxonomyCategory/ap-2-2-4-1        : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Suprimentos para gatos > Areia higiênica para gatos > Forros para caixas de areia
gid://shopify/TaxonomyCategory/ap-2-2-4-2        : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Suprimentos para gatos > Areia higiênica para gatos > Tapetes para caixas de areia
gid://shopify/TaxonomyCategory/ap-2-2-4-3        : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Suprimentos para gatos > Areia higiênica para gatos > Caixas de areia para gatos
gid://shopify/TaxonomyCategory/ap-2-2-5          : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Suprimentos para gatos > Brinquedos para gatos
gid://shopify/TaxonomyCategory/ap-2-2-5-1        : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Suprimentos para gatos > Brinquedos para gatos > Bolas e perseguidores
gid://shopify/TaxonomyCategory/ap-2-2-5-2        : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Suprimentos para gatos > Brinquedos para gatos > Brinquedos de erva-gato
gid://shopify/TaxonomyCategory/ap-2-2-5-3        : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Suprimentos para gatos > Brinquedos para gatos > Brinquedos para mastigar
gid://shopify/TaxonomyCategory/ap-2-2-5-4        : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Suprimentos para gatos > Brinquedos para gatos > Penas e provocadores
gid://shopify/TaxonomyCategory/ap-2-2-5-5        : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Suprimentos para gatos > Brinquedos para gatos > Brinquedos interativos
gid://shopify/TaxonomyCategory/ap-2-2-5-6        : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Suprimentos para gatos > Brinquedos para gatos > Brinquedos com laser
gid://shopify/TaxonomyCategory/ap-2-2-5-7        : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Suprimentos para gatos > Brinquedos para gatos > Quebra-cabeças e brinquedos dispensadores de guloseimas
gid://shopify/TaxonomyCategory/ap-2-2-5-9        : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Suprimentos para gatos > Brinquedos para gatos > Pelúcias de apertar
gid://shopify/TaxonomyCategory/ap-2-2-5-10       : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Suprimentos para gatos > Brinquedos para gatos > Brinquedos e pelúcias
gid://shopify/TaxonomyCategory/ap-2-2-5-11       : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Suprimentos para gatos > Brinquedos para gatos > Túneis
gid://shopify/TaxonomyCategory/ap-2-2-5-12       : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Suprimentos para gatos > Brinquedos para gatos > Varinhas
gid://shopify/TaxonomyCategory/ap-2-2-6          : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Suprimentos para gatos > Petiscos para gatos
gid://shopify/TaxonomyCategory/ap-2-3            : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Suprimentos para cães
gid://shopify/TaxonomyCategory/ap-2-3-1          : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Suprimentos para cães > Fraldas e tapetes higiênicos para cães
gid://shopify/TaxonomyCategory/ap-2-3-2          : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Suprimentos para cães > Fraldas para cachorros
gid://shopify/TaxonomyCategory/ap-2-3-3          : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Suprimentos para cães > Ração para cães
gid://shopify/TaxonomyCategory/ap-2-3-3-1        : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Suprimentos para cães > Ração para cães > Comida para cães sem receita
gid://shopify/TaxonomyCategory/ap-2-3-3-2        : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Suprimentos para cães > Ração para cães > Ração medicamentosa para cães
gid://shopify/TaxonomyCategory/ap-2-3-4          : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Suprimentos para cães > Casas para cães
gid://shopify/TaxonomyCategory/ap-2-3-5          : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Suprimentos para cães > Acessórios para canis
gid://shopify/TaxonomyCategory/ap-2-3-6          : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Suprimentos para cães > Canis
gid://shopify/TaxonomyCategory/ap-2-3-6-1        : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Suprimentos para cães > Canis > Canetas para cães
gid://shopify/TaxonomyCategory/ap-2-3-6-2        : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Suprimentos para cães > Canis > Pistas para cães
gid://shopify/TaxonomyCategory/ap-2-3-6-3        : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Suprimentos para cães > Canis > Canis internos
gid://shopify/TaxonomyCategory/ap-2-3-6-4        : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Suprimentos para cães > Canis > Canis externos
gid://shopify/TaxonomyCategory/ap-2-3-6-5        : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Suprimentos para cães > Canis > Canis portáteis
gid://shopify/TaxonomyCategory/ap-2-3-7          : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Suprimentos para cães > Brinquedos para cães
gid://shopify/TaxonomyCategory/ap-2-3-8          : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Suprimentos para cães > Esteiras para cachorros
gid://shopify/TaxonomyCategory/ap-2-3-9          : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Suprimentos para cães > Petiscos para cães
gid://shopify/TaxonomyCategory/ap-2-4            : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Peixes e suprimentos aquáticos
gid://shopify/TaxonomyCategory/ap-2-4-1          : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Peixes e suprimentos aquáticos > Tubos para aquários e tanques
gid://shopify/TaxonomyCategory/ap-2-4-1-1        : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Peixes e suprimentos aquáticos > Tubos para aquários e tanques > Tubos de ar
gid://shopify/TaxonomyCategory/ap-2-4-1-2        : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Peixes e suprimentos aquáticos > Tubos para aquários e tanques > Tubos de bobina
gid://shopify/TaxonomyCategory/ap-2-4-1-3        : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Peixes e suprimentos aquáticos > Tubos para aquários e tanques > Tubos flexíveis
gid://shopify/TaxonomyCategory/ap-2-4-1-4        : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Peixes e suprimentos aquáticos > Tubos para aquários e tanques > Tubos rígidos
gid://shopify/TaxonomyCategory/ap-2-4-1-5        : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Peixes e suprimentos aquáticos > Tubos para aquários e tanques > Tubos padrão
gid://shopify/TaxonomyCategory/ap-2-4-2          : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Peixes e suprimentos aquáticos > Difusores e pedras de ar para aquários
gid://shopify/TaxonomyCategory/ap-2-4-2-1        : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Peixes e suprimentos aquáticos > Difusores e pedras de ar para aquários > Difusores de ar
gid://shopify/TaxonomyCategory/ap-2-4-2-2        : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Peixes e suprimentos aquáticos > Difusores e pedras de ar para aquários > Pedras de ar de disco
gid://shopify/TaxonomyCategory/ap-2-4-2-3        : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Peixes e suprimentos aquáticos > Difusores e pedras de ar para aquários > Pedras de ar padrão
gid://shopify/TaxonomyCategory/ap-2-4-2-4        : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Peixes e suprimentos aquáticos > Difusores e pedras de ar para aquários > Pedras de ar de tubo
gid://shopify/TaxonomyCategory/ap-2-4-2-5        : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Peixes e suprimentos aquáticos > Difusores e pedras de ar para aquários > Pedras de ar de parede
gid://shopify/TaxonomyCategory/ap-2-4-3          : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Peixes e suprimentos aquáticos > Suprimentos para limpeza de aquários
gid://shopify/TaxonomyCategory/ap-2-4-3-1        : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Peixes e suprimentos aquáticos > Suprimentos para limpeza de aquários > Raspadores de Algas
gid://shopify/TaxonomyCategory/ap-2-4-3-2        : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Peixes e suprimentos aquáticos > Suprimentos para limpeza de aquários > Luvas para aquário
gid://shopify/TaxonomyCategory/ap-2-4-3-3        : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Peixes e suprimentos aquáticos > Suprimentos para limpeza de aquários > Escovas para limpeza
gid://shopify/TaxonomyCategory/ap-2-4-3-4        : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Peixes e suprimentos aquáticos > Suprimentos para limpeza de aquários > Soluções de limpeza
gid://shopify/TaxonomyCategory/ap-2-4-3-5        : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Peixes e suprimentos aquáticos > Suprimentos para limpeza de aquários > Aspiradores de cascalho
gid://shopify/TaxonomyCategory/ap-2-4-3-6        : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Peixes e suprimentos aquáticos > Suprimentos para limpeza de aquários > Almofadas de limpeza
gid://shopify/TaxonomyCategory/ap-2-4-3-7        : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Peixes e suprimentos aquáticos > Suprimentos para limpeza de aquários > Sifão
gid://shopify/TaxonomyCategory/ap-2-4-3-8        : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Peixes e suprimentos aquáticos > Suprimentos para limpeza de aquários > Limpadores de tanques
gid://shopify/TaxonomyCategory/ap-2-4-4          : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Peixes e suprimentos aquáticos > Decorações para aquários
gid://shopify/TaxonomyCategory/ap-2-4-4-1        : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Peixes e suprimentos aquáticos > Decorações para aquários > Fundos de aquário
gid://shopify/TaxonomyCategory/ap-2-4-4-2        : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Peixes e suprimentos aquáticos > Decorações para aquários > Cavernas e abrigos para aquário
gid://shopify/TaxonomyCategory/ap-2-4-4-3        : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Peixes e suprimentos aquáticos > Decorações para aquários > Pedras para aquário
gid://shopify/TaxonomyCategory/ap-2-4-4-4        : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Peixes e suprimentos aquáticos > Decorações para aquários > Substratos para aquário
gid://shopify/TaxonomyCategory/ap-2-4-4-5        : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Peixes e suprimentos aquáticos > Decorações para aquários > Plantas artificiais
gid://shopify/TaxonomyCategory/ap-2-4-4-6        : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Peixes e suprimentos aquáticos > Decorações para aquários > Decorações borbulhantes
gid://shopify/TaxonomyCategory/ap-2-4-4-7        : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Peixes e suprimentos aquáticos > Decorações para aquários > Madeira flutuante
gid://shopify/TaxonomyCategory/ap-2-4-4-8        : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Peixes e suprimentos aquáticos > Decorações para aquários > Enfeites
gid://shopify/TaxonomyCategory/ap-2-4-4-9        : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Peixes e suprimentos aquáticos > Decorações para aquários > Naufrágios
gid://shopify/TaxonomyCategory/ap-2-4-5          : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Peixes e suprimentos aquáticos > Filtros para aquário
gid://shopify/TaxonomyCategory/ap-2-4-5-1        : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Peixes e suprimentos aquáticos > Filtros para aquário > Filtros de aquário externos e canister
gid://shopify/TaxonomyCategory/ap-2-4-5-2        : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Peixes e suprimentos aquáticos > Filtros para aquário > Filtros de aquário Hang-On-Back (HOB)
gid://shopify/TaxonomyCategory/ap-2-4-5-3        : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Peixes e suprimentos aquáticos > Filtros para aquário > Filtros internos para aquário
gid://shopify/TaxonomyCategory/ap-2-4-5-4        : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Peixes e suprimentos aquáticos > Filtros para aquário > Filtros de esponja para aquário
gid://shopify/TaxonomyCategory/ap-2-4-5-5        : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Peixes e suprimentos aquáticos > Filtros para aquário > Filtros de aquário de fundo
gid://shopify/TaxonomyCategory/ap-2-4-6          : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Peixes e suprimentos aquáticos > Redes de peixe para aquários
gid://shopify/TaxonomyCategory/ap-2-4-6-1        : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Peixes e suprimentos aquáticos > Redes de peixe para aquários > Redes de colher
gid://shopify/TaxonomyCategory/ap-2-4-6-2        : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Peixes e suprimentos aquáticos > Redes de peixe para aquários > Redes de camarão
gid://shopify/TaxonomyCategory/ap-2-4-6-3        : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Peixes e suprimentos aquáticos > Redes de peixe para aquários > Meia arrastão
gid://shopify/TaxonomyCategory/ap-2-4-6-4        : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Peixes e suprimentos aquáticos > Redes de peixe para aquários > Redes padrão
gid://shopify/TaxonomyCategory/ap-2-4-7          : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Peixes e suprimentos aquáticos > Cascalho e substratos para aquário
gid://shopify/TaxonomyCategory/ap-2-4-7-1        : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Peixes e suprimentos aquáticos > Cascalho e substratos para aquário > Solo para aquário
gid://shopify/TaxonomyCategory/ap-2-4-7-2        : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Peixes e suprimentos aquáticos > Cascalho e substratos para aquário > Areias aragonita
gid://shopify/TaxonomyCategory/ap-2-4-7-3        : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Peixes e suprimentos aquáticos > Cascalho e substratos para aquário > Corais esmagados
gid://shopify/TaxonomyCategory/ap-2-4-7-4        : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Peixes e suprimentos aquáticos > Cascalho e substratos para aquário > Pedras de vidro
gid://shopify/TaxonomyCategory/ap-2-4-7-5        : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Peixes e suprimentos aquáticos > Cascalho e substratos para aquário > Cascalho
gid://shopify/TaxonomyCategory/ap-2-4-7-6        : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Peixes e suprimentos aquáticos > Cascalho e substratos para aquário > Seixos
gid://shopify/TaxonomyCategory/ap-2-4-7-7        : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Peixes e suprimentos aquáticos > Cascalho e substratos para aquário > Areia
gid://shopify/TaxonomyCategory/ap-2-4-8          : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Peixes e suprimentos aquáticos > Iluminação para aquário
gid://shopify/TaxonomyCategory/ap-2-4-9          : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Peixes e suprimentos aquáticos > Caixas de overflow para aquários
gid://shopify/TaxonomyCategory/ap-2-4-10         : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Peixes e suprimentos aquáticos > Suportes para aquário
gid://shopify/TaxonomyCategory/ap-2-4-10-1       : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Peixes e suprimentos aquáticos > Suportes para aquário > Suportes para molduras de caixa
gid://shopify/TaxonomyCategory/ap-2-4-10-2       : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Peixes e suprimentos aquáticos > Suportes para aquário > Suportes de gabinete
gid://shopify/TaxonomyCategory/ap-2-4-10-3       : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Peixes e suprimentos aquáticos > Suportes para aquário > Suportes para tanques duplos
gid://shopify/TaxonomyCategory/ap-2-4-10-4       : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Peixes e suprimentos aquáticos > Suportes para aquário > Suportes de ferro forjado
gid://shopify/TaxonomyCategory/ap-2-4-11         : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Peixes e suprimentos aquáticos > Controladores de temperatura de aquários
gid://shopify/TaxonomyCategory/ap-2-4-11-1       : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Peixes e suprimentos aquáticos > Controladores de temperatura de aquários > Controladores analógicos de temperatura
gid://shopify/TaxonomyCategory/ap-2-4-11-2       : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Peixes e suprimentos aquáticos > Controladores de temperatura de aquários > Controladores digitais de temperatura
gid://shopify/TaxonomyCategory/ap-2-4-12         : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Peixes e suprimentos aquáticos > Tratamentos para água de aquário
gid://shopify/TaxonomyCategory/ap-2-4-12-1       : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Peixes e suprimentos aquáticos > Tratamentos para água de aquário > Controle de algas
gid://shopify/TaxonomyCategory/ap-2-4-12-2       : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Peixes e suprimentos aquáticos > Tratamentos para água de aquário > Removedores de amônia
gid://shopify/TaxonomyCategory/ap-2-4-12-3       : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Peixes e suprimentos aquáticos > Tratamentos para água de aquário > Tratamentos fúngicos e bacterianos
gid://shopify/TaxonomyCategory/ap-2-4-12-4       : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Peixes e suprimentos aquáticos > Tratamentos para água de aquário > Removedores de nitrato
gid://shopify/TaxonomyCategory/ap-2-4-12-5       : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Peixes e suprimentos aquáticos > Tratamentos para água de aquário > Ajustadores de PH
gid://shopify/TaxonomyCategory/ap-2-4-12-6       : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Peixes e suprimentos aquáticos > Tratamentos para água de aquário > Desintoxicantes de água de torneira
gid://shopify/TaxonomyCategory/ap-2-4-12-7       : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Peixes e suprimentos aquáticos > Tratamentos para água de aquário > Clarificadores de água
gid://shopify/TaxonomyCategory/ap-2-4-12-8       : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Peixes e suprimentos aquáticos > Tratamentos para água de aquário > Condicionadores de água
gid://shopify/TaxonomyCategory/ap-2-4-13         : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Peixes e suprimentos aquáticos > Aquários
gid://shopify/TaxonomyCategory/ap-2-4-14         : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Peixes e suprimentos aquáticos > Fertilizantes para plantas aquáticas
gid://shopify/TaxonomyCategory/ap-2-4-14-1       : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Peixes e suprimentos aquáticos > Fertilizantes para plantas aquáticas > Fertilizantes granulados
gid://shopify/TaxonomyCategory/ap-2-4-14-2       : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Peixes e suprimentos aquáticos > Fertilizantes para plantas aquáticas > Fertilizantes líquidos
gid://shopify/TaxonomyCategory/ap-2-4-14-3       : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Peixes e suprimentos aquáticos > Fertilizantes para plantas aquáticas > Fertilizantes em pó
gid://shopify/TaxonomyCategory/ap-2-4-14-4       : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Peixes e suprimentos aquáticos > Fertilizantes para plantas aquáticas > Fertilizantes em tabletes
gid://shopify/TaxonomyCategory/ap-2-4-15         : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Peixes e suprimentos aquáticos > Alimentadores para peixes
gid://shopify/TaxonomyCategory/ap-2-4-16         : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Peixes e suprimentos aquáticos > Ração para peixes
gid://shopify/TaxonomyCategory/ap-2-4-16-1       : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Peixes e suprimentos aquáticos > Ração para peixes > Bolachas de algas
gid://shopify/TaxonomyCategory/ap-2-4-16-2       : Animais e produtos para animais de estimação > Suprimentos para animais de estimação > Peixes e suprimentos aquáticos > Ração para peixes > Ração para beta
