# Shopify Product Taxonomy - Attributes: 2026-05
# Format: {GID} : {Attribute name}

gid://shopify/TaxonomyAttribute/5398  : Дизайн 3D-очков
gid://shopify/TaxonomyAttribute/6635  : Детали в комплекте
gid://shopify/TaxonomyAttribute/50    : Размер аксессуара
gid://shopify/TaxonomyAttribute/2461  : Тип настройки аккордеона
gid://shopify/TaxonomyAttribute/8943  : Функции управления обратной связью акустического усилителя
gid://shopify/TaxonomyAttribute/8944  : Комплектация акустической ударной установки
gid://shopify/TaxonomyAttribute/8945  : Форма корпуса акустической гитары
gid://shopify/TaxonomyAttribute/8946  : Конструкция сердечника струн акустической гитары
gid://shopify/TaxonomyAttribute/8947  : Материал клавиш акустического фортепиано
gid://shopify/TaxonomyAttribute/8948  : Тип крышки акустического фортепиано
gid://shopify/TaxonomyAttribute/8949  : Материал рамы (основания) акустического фортепиано
gid://shopify/TaxonomyAttribute/8950  : Материал деки акустического фортепиано
gid://shopify/TaxonomyAttribute/6337  : Масштаб фигурки
gid://shopify/TaxonomyAttribute/6977  : Тип действия
gid://shopify/TaxonomyAttribute/5052  : Механизм активации
gid://shopify/TaxonomyAttribute/4997  : Система активации
gid://shopify/TaxonomyAttribute/1598  : Действующее вещество
gid://shopify/TaxonomyAttribute/2995  : Характеристики спортивной одежды
gid://shopify/TaxonomyAttribute/5     : Вид активности
gid://shopify/TaxonomyAttribute/1547  : Дизайн трекера активности
gid://shopify/TaxonomyAttribute/6978  : Механизм срабатывания
gid://shopify/TaxonomyAttribute/8008  : Способ срабатывания
gid://shopify/TaxonomyAttribute/1543  : Формат модели для акупунктуры
gid://shopify/TaxonomyAttribute/1544  : Тип модели для акупунктуры
gid://shopify/TaxonomyAttribute/5562  : Направленность адаптера
gid://shopify/TaxonomyAttribute/5424  : Режимы работы адаптера
gid://shopify/TaxonomyAttribute/6979  : Ориентация адаптера
gid://shopify/TaxonomyAttribute/5391  : Технология адаптивной синхронизации
gid://shopify/TaxonomyAttribute/3376  : Дополнительные функции программного обеспечения для работы с анимацией
gid://shopify/TaxonomyAttribute/5144  : Дополнительная технология очистки
gid://shopify/TaxonomyAttribute/3378  : Дополнительные функции программного обеспечения для дизайна
gid://shopify/TaxonomyAttribute/3373  : Дополнительные функции финансового программного обеспечения
gid://shopify/TaxonomyAttribute/3377  : Дополнительные функции программного обеспечения для работы с графикой
gid://shopify/TaxonomyAttribute/3379  : Дополнительные функции программного обеспечения для редакционно-издательских работ
gid://shopify/TaxonomyAttribute/3372  : Дополнительные функции антивирусного программного обеспечения
gid://shopify/TaxonomyAttribute/8951  : Этап нанесения добавки
gid://shopify/TaxonomyAttribute/5249  : Тип применения клея
gid://shopify/TaxonomyAttribute/8952  : Клеевая основа
gid://shopify/TaxonomyAttribute/5099  : Характеристики клея
gid://shopify/TaxonomyAttribute/5531  : Формат клеящего вещества
gid://shopify/TaxonomyAttribute/6980  : Состав клея
gid://shopify/TaxonomyAttribute/8953  : Клейкие стороны
gid://shopify/TaxonomyAttribute/5207  : Сила приклеивания
gid://shopify/TaxonomyAttribute/2319  : Тип фиксации на клеящий материал
gid://shopify/TaxonomyAttribute/8954  : Форма обработки дополнительного зерна
gid://shopify/TaxonomyAttribute/8009  : Тип регулировки
gid://shopify/TaxonomyAttribute/8955  : Регулируемые чашечные демпферы
gid://shopify/TaxonomyAttribute/6861  : Регулируемые зоны
gid://shopify/TaxonomyAttribute/8010  : Тип регулировки
gid://shopify/TaxonomyAttribute/6981  : Способ введения
gid://shopify/TaxonomyAttribute/8956  : Тип подсказки на информационной карточке
gid://shopify/TaxonomyAttribute/6982  : Способ аэрации
gid://shopify/TaxonomyAttribute/8011  : Компоненты аэродинамического обвеса
gid://shopify/TaxonomyAttribute/8012  : Аэродинамические элементы в комплекте
gid://shopify/TaxonomyAttribute/3354  : Тип средства после бритья
gid://shopify/TaxonomyAttribute/8957  : Поддержка послекасания
gid://shopify/TaxonomyAttribute/7611  : Классификация по содержанию агавы
gid://shopify/TaxonomyAttribute/30    : Возрастная группа
gid://shopify/TaxonomyAttribute/2274  : Возрастные ограничения
gid://shopify/TaxonomyAttribute/8958  : Плотность ткани Аида
gid://shopify/TaxonomyAttribute/8959  : Формат предварительно нарезанной ткани Аида
gid://shopify/TaxonomyAttribute/6338  : Комплектация набора для воздушно-водной ракеты
gid://shopify/TaxonomyAttribute/6339  : Способ запуска воздушно-водной ракеты
gid://shopify/TaxonomyAttribute/8960  : Материал воздушной подушки
gid://shopify/TaxonomyAttribute/6862  : Внутренняя конструкция надувного матраса
gid://shopify/TaxonomyAttribute/2708  : Тип ароматизатора
gid://shopify/TaxonomyAttribute/5689  : Тип аксессуара для аэрогриля
gid://shopify/TaxonomyAttribute/4050  : Функции аэрогриля
gid://shopify/TaxonomyAttribute/6983  : Включенные в комплект предметы для аэрохоккея
gid://shopify/TaxonomyAttribute/8013  : Тип крепления датчика температуры воздуха на впуске
gid://shopify/TaxonomyAttribute/6984  : Возможность интеграции с воздушной системой
gid://shopify/TaxonomyAttribute/3182  : Характеристики надувного матраса
gid://shopify/TaxonomyAttribute/6985  : Тип клапана надувного матраса
gid://shopify/TaxonomyAttribute/5690  : Технология фильтрации очистителя воздуха
gid://shopify/TaxonomyAttribute/5691  : Класс фильтрации очистителя воздуха
gid://shopify/TaxonomyAttribute/5103  : Конфигурация воздушной трубки
gid://shopify/TaxonomyAttribute/8961  : Цвет самозатверждающей глины
gid://shopify/TaxonomyAttribute/8014  : Расположение подушки безопасности
gid://shopify/TaxonomyAttribute/3329  : Способ подачи краски в аэрографе
gid://shopify/TaxonomyAttribute/3328  : Способ управления аэрографом
gid://shopify/TaxonomyAttribute/8015  : Поддержка ADS-B самолетом
gid://shopify/TaxonomyAttribute/8016  : Материал планера самолета
gid://shopify/TaxonomyAttribute/8017  : Конфигурация салона самолета
gid://shopify/TaxonomyAttribute/8018  : Документация на самолет  в комплекте
gid://shopify/TaxonomyAttribute/4683  : Конфигурация двигателя самолета
gid://shopify/TaxonomyAttribute/4682  : Тип двигателя самолета
gid://shopify/TaxonomyAttribute/8019  : Конфигурация бортовой кухни самолета
gid://shopify/TaxonomyAttribute/8020  : Место установки в самолете
gid://shopify/TaxonomyAttribute/8021  : Подключение к интернету в самолете
gid://shopify/TaxonomyAttribute/8022  : Тип шасси самолета
gid://shopify/TaxonomyAttribute/8023  : Конфигурация туалета самолета
gid://shopify/TaxonomyAttribute/8024  : Участие самолета в программе технического обслуживания
gid://shopify/TaxonomyAttribute/8025  : Сертификация воздушного судна на право эксплуатации
gid://shopify/TaxonomyAttribute/8026  : Сертификация средств защиты самолета
gid://shopify/TaxonomyAttribute/8027  : Применение в системах воздушного судна
gid://shopify/TaxonomyAttribute/5211  : Дизайн отверстия воздушного потока
gid://shopify/TaxonomyAttribute/8962  : Уровень сопротивления воздушному потоку
gid://shopify/TaxonomyAttribute/8028  : Материал оболочки дирижабля
gid://shopify/TaxonomyAttribute/6986  : Тип компонента для страйкбола
gid://shopify/TaxonomyAttribute/8029  : Основание для утверждения летной годности
gid://shopify/TaxonomyAttribute/6987  : Регулировка громкости сигнала тревоги
gid://shopify/TaxonomyAttribute/2287  : Тип альбома
gid://shopify/TaxonomyAttribute/5290  : Содержание спирта
gid://shopify/TaxonomyAttribute/8963  : Эффект отделки спиртовыми чернилами
gid://shopify/TaxonomyAttribute/5679  : Содержание спирта/растворителя
gid://shopify/TaxonomyAttribute/1362  : Тип оповещения
gid://shopify/TaxonomyAttribute/6988  : Тип ориентировочных линий
gid://shopify/TaxonomyAttribute/1451  : Информация об аллергенах
gid://shopify/TaxonomyAttribute/1577  : Тип аллергенов
gid://shopify/TaxonomyAttribute/1631  : Аллергены
gid://shopify/TaxonomyAttribute/3138  : Гипоаллергенные свойства
gid://shopify/TaxonomyAttribute/8030  : Тип охлаждения генератора
gid://shopify/TaxonomyAttribute/8031  : Класс защиты генератора от возгорания в морских условиях
gid://shopify/TaxonomyAttribute/8032  : Конфигурация крепления генератора
gid://shopify/TaxonomyAttribute/8033  : Тип шкива генератора
gid://shopify/TaxonomyAttribute/8034  : Тип регулятора генератора
gid://shopify/TaxonomyAttribute/8035  : Тип соединения клемм генератора
gid://shopify/TaxonomyAttribute/6989  : Пригодность для использования на высоте
gid://shopify/TaxonomyAttribute/8036  : Тип крепления на носилках скорой помощи
gid://shopify/TaxonomyAttribute/6990  : Сертификация безопасности для американского футбола
gid://shopify/TaxonomyAttribute/5126  : Подтип аминокислоты
gid://shopify/TaxonomyAttribute/1800  : Класс усилителя
gid://shopify/TaxonomyAttribute/2690  : Конфигурация усилителя
gid://shopify/TaxonomyAttribute/8964  : Функция лампы усилителя
gid://shopify/TaxonomyAttribute/1808  : Место установки усилителя мощности или сигнала
gid://shopify/TaxonomyAttribute/5088  : Уровень ампутации
gid://shopify/TaxonomyAttribute/8965  : Входы/выходы CV/Gate аналогового синтезатора
gid://shopify/TaxonomyAttribute/8966  : Конфигурация клавиатуры аналогового синтезатора
gid://shopify/TaxonomyAttribute/5100  : Измеряемый аналит
gid://shopify/TaxonomyAttribute/4998  : Коэффициент сжатия анаморфотного объектива
gid://shopify/TaxonomyAttribute/5043  : Отображаемые анатомические детали
gid://shopify/TaxonomyAttribute/6991  : Конфигурация крепления
gid://shopify/TaxonomyAttribute/1258  : Тип якоря
gid://shopify/TaxonomyAttribute/2198  : Сфера применения анемометра
gid://shopify/TaxonomyAttribute/1883  : Поддерживаемый угол поворота
gid://shopify/TaxonomyAttribute/1289  : Техника ловли
gid://shopify/TaxonomyAttribute/5692  : Компоненты комплекта для ухода за животными
gid://shopify/TaxonomyAttribute/2550  : Форма выпуска корма для животных
gid://shopify/TaxonomyAttribute/7612  : Метод выращивания животных
gid://shopify/TaxonomyAttribute/6340  : Вид животного
gid://shopify/TaxonomyAttribute/6992  : Тип челюстей ловушки для животных
gid://shopify/TaxonomyAttribute/6993  : Тип ловушки для животных
gid://shopify/TaxonomyAttribute/1308  : Вид животного
gid://shopify/TaxonomyAttribute/6994  : Тип манжеты
gid://shopify/TaxonomyAttribute/6995  : Уровень защиты голеностопа
gid://shopify/TaxonomyAttribute/6996  : Тип набивки ремешка на щиколотке
gid://shopify/TaxonomyAttribute/6997  : Тип ремешка для лодыжки
gid://shopify/TaxonomyAttribute/5519  : Тип автоответчика
gid://shopify/TaxonomyAttribute/6341  : Тип среды обитания муравьиной фермы
gid://shopify/TaxonomyAttribute/6342  : Содержимое набора муравьиной фермы
gid://shopify/TaxonomyAttribute/6343  : Тип освещения муравьиной фермы
gid://shopify/TaxonomyAttribute/5587  : Тип РЧ-разъема антенны
gid://shopify/TaxonomyAttribute/5511  : Тип антенного разъема
gid://shopify/TaxonomyAttribute/8037  : Тип крепления антенны
gid://shopify/TaxonomyAttribute/1828  : Тип антенны
gid://shopify/TaxonomyAttribute/8038  : Материал внутренней камеры антигравитационного костюма
gid://shopify/TaxonomyAttribute/8039  : Тип соединителя для антигравитационного костюма
gid://shopify/TaxonomyAttribute/8040  : Метод надувания антигравитационного костюма
gid://shopify/TaxonomyAttribute/8041  : Система размеров антигравитационных костюмов
gid://shopify/TaxonomyAttribute/3340  : Тип средства для антивозрастного ухода за кожей
gid://shopify/TaxonomyAttribute/7613  : Антислеживающий агент
gid://shopify/TaxonomyAttribute/5305  : Уровень силы антиперспиранта
gid://shopify/TaxonomyAttribute/6998  : Тип защиты от обратного хода
gid://shopify/TaxonomyAttribute/8042  : Функция защиты от кражи
gid://shopify/TaxonomyAttribute/5056  : Тестируемый класс антител
gid://shopify/TaxonomyAttribute/2710  : Тип антифриза
gid://shopify/TaxonomyAttribute/4680  : Дизайн старинного автомобиля
gid://shopify/TaxonomyAttribute/8967  : Система воспламенения старинного оружия
gid://shopify/TaxonomyAttribute/4679  : Эпоха старинных транспортных средств
gid://shopify/TaxonomyAttribute/7614  : Сорт яблок
gid://shopify/TaxonomyAttribute/5501  : Функция платы прибора
gid://shopify/TaxonomyAttribute/5500  : Расположение блока прибора
gid://shopify/TaxonomyAttribute/1316  : Способ нанесения
gid://shopify/TaxonomyAttribute/5149  : Тип применения
gid://shopify/TaxonomyAttribute/5258  : Формат аппликатора
gid://shopify/TaxonomyAttribute/1639  : Материал аппликатора
gid://shopify/TaxonomyAttribute/3344  : Наличие аппликатора
gid://shopify/TaxonomyAttribute/8968  : Отделка края
gid://shopify/TaxonomyAttribute/2314  : Форма аппликации или нашивки
gid://shopify/TaxonomyAttribute/5693  : Характеристики фартука
gid://shopify/TaxonomyAttribute/5694  : Стиль фартука
gid://shopify/TaxonomyAttribute/2980  : Характеристики фильтра для аквариумов
gid://shopify/TaxonomyAttribute/1708  : Спектр прибора для освещения аквариумов
gid://shopify/TaxonomyAttribute/3228  : Конструкция переливной колонки для аквариумов
gid://shopify/TaxonomyAttribute/5695  : Тип роста водного растения
gid://shopify/TaxonomyAttribute/5696  : Дизайн верхней части арки
gid://shopify/TaxonomyAttribute/6999  : Тип вала
gid://shopify/TaxonomyAttribute/7000  : Тип аксессуара для стрельбы из лука
gid://shopify/TaxonomyAttribute/1302  : Вид активности со стрельбой из лука
gid://shopify/TaxonomyAttribute/2888  : Снаряжение для стрельбы из лука в комплекте
gid://shopify/TaxonomyAttribute/7001  : Тип детали для стрельбы из лука
gid://shopify/TaxonomyAttribute/7002  : Тип аксессуара для стрельбы из лука
gid://shopify/TaxonomyAttribute/1303  : Тип стрельбы из лука
gid://shopify/TaxonomyAttribute/7003  : Характеристики мишени для стрельбы из лука
gid://shopify/TaxonomyAttribute/4365  : Тип мишени для стрельбы из лука
gid://shopify/TaxonomyAttribute/7004  : Тип инструмента для стрельбы из лука
gid://shopify/TaxonomyAttribute/7005  : Характеристики нарукавника
gid://shopify/TaxonomyAttribute/7006  : Стиль нарукавника
gid://shopify/TaxonomyAttribute/8043  : Тип брони
gid://shopify/TaxonomyAttribute/6863  : Регулировка подлокотников
gid://shopify/TaxonomyAttribute/6864  : Тип подлокотников
gid://shopify/TaxonomyAttribute/2496  : Аранжировка
gid://shopify/TaxonomyAttribute/7008  : Тип компонента стрелы
gid://shopify/TaxonomyAttribute/7009  : Уровень удержания стрелы
gid://shopify/TaxonomyAttribute/2883  : Материал оперения для стрел
gid://shopify/TaxonomyAttribute/7010  : Ориентация оперения стрелы
gid://shopify/TaxonomyAttribute/7011  : Размер паза для наконечника стрелы
gid://shopify/TaxonomyAttribute/7012  : Тип наконечника стрелы
gid://shopify/TaxonomyAttribute/7013  : Тип упора для стрелы
gid://shopify/TaxonomyAttribute/7014  : Совместимость с древком стрелы
gid://shopify/TaxonomyAttribute/2969  : Материал стрел для лука или арбалета
gid://shopify/TaxonomyAttribute/7007  : Тип наконечника стрелы или болта
gid://shopify/TaxonomyAttribute/2299  : Способ нанесения фиксатива
gid://shopify/TaxonomyAttribute/8970  : Светостойкость художественных чернил
gid://shopify/TaxonomyAttribute/8971  : Непрозрачность художественных чернил
gid://shopify/TaxonomyAttribute/3429  : Художественное направление
gid://shopify/TaxonomyAttribute/2386  : Художественный стиль
gid://shopify/TaxonomyAttribute/2930  : Материал инструмента для художественных работ или рукоделия
gid://shopify/TaxonomyAttribute/8969  : Тип рабочего наконечника для художественных и рукодельных инструментов
gid://shopify/TaxonomyAttribute/7615  : Нарезка артишока
gid://shopify/TaxonomyAttribute/7616  : Сорт артишока
gid://shopify/TaxonomyAttribute/8972  : Особенности артикуляции
gid://shopify/TaxonomyAttribute/7016  : Форма искусственной приманки
gid://shopify/TaxonomyAttribute/3430  : Подлинность произведения искусства
gid://shopify/TaxonomyAttribute/2796  : Материал рамы произведения искусства
gid://shopify/TaxonomyAttribute/2666  : Тип художественного изображения
gid://shopify/TaxonomyAttribute/7018  : Тип устройства для спуска или подъема
gid://shopify/TaxonomyAttribute/5697  : Тип пепельницы
gid://shopify/TaxonomyAttribute/8044  : Тип наддува
gid://shopify/TaxonomyAttribute/12755 : Требуется сборка
gid://shopify/TaxonomyAttribute/6865  : Состояние сборки
gid://shopify/TaxonomyAttribute/7019  : Механизм помощи
gid://shopify/TaxonomyAttribute/3387  : Технология торможения в полуавтоматическом устройстве
gid://shopify/TaxonomyAttribute/7617  : Сорт атемойи
gid://shopify/TaxonomyAttribute/7020  : Размер защитного козырька
gid://shopify/TaxonomyAttribute/1737  : Способ крепления
gid://shopify/TaxonomyAttribute/844   : Варианты прикрепления
gid://shopify/TaxonomyAttribute/7021  : Положение крепления
gid://shopify/TaxonomyAttribute/1267  : Тип крепления
gid://shopify/TaxonomyAttribute/7022  : Профиль запаха приманки
gid://shopify/TaxonomyAttribute/5698  : Тип приманки
gid://shopify/TaxonomyAttribute/1806  : Звуковой цифро-аналоговый преобразователь
gid://shopify/TaxonomyAttribute/5454  : Тип обхода аудиосигнала
gid://shopify/TaxonomyAttribute/5592  : Тип аудиокассетной ленты
gid://shopify/TaxonomyAttribute/8046  : Конфигурация аудиоканалов
gid://shopify/TaxonomyAttribute/1822  : Поддерживаемые аудиокодеки или форматы
gid://shopify/TaxonomyAttribute/5435  : Форм-фактор аудиокомпонента
gid://shopify/TaxonomyAttribute/1813  : Подключение для воспроизведения звука
gid://shopify/TaxonomyAttribute/5545  : Направление аудиопреобразования
gid://shopify/TaxonomyAttribute/5516  : Возможность дуплексной аудиосвязи
gid://shopify/TaxonomyAttribute/8973  : Аудиовходы
gid://shopify/TaxonomyAttribute/3309  : Тип аудиомикшера
gid://shopify/TaxonomyAttribute/6344  : Аудиовыход
gid://shopify/TaxonomyAttribute/1801  : Канал вывода звука
gid://shopify/TaxonomyAttribute/1802  : Формат вывода звука
gid://shopify/TaxonomyAttribute/8974  : Аудиовыход
gid://shopify/TaxonomyAttribute/6345  : Источник воспроизведения аудио
gid://shopify/TaxonomyAttribute/3066  : Характеристики устройства для воспроизведения или записи звука
gid://shopify/TaxonomyAttribute/1818  : Сфера применения аудиоустройства
gid://shopify/TaxonomyAttribute/5591  : Поддержка обратного аудиоканала
gid://shopify/TaxonomyAttribute/5607  : Конфигурация аудиосигнала
gid://shopify/TaxonomyAttribute/5417  : Аудиосистема
gid://shopify/TaxonomyAttribute/1803  : Аудиотехнология
gid://shopify/TaxonomyAttribute/3074  : Функции преобразователя аудиосигнала или преобразователя развертки
gid://shopify/TaxonomyAttribute/5604  : Тип разъема аудиовидеокабеля (разъем А)
gid://shopify/TaxonomyAttribute/5605  : Тип разъема аудиовидеокабеля (разъем B)
gid://shopify/TaxonomyAttribute/3370  : Технология аутентификации
gid://shopify/TaxonomyAttribute/2374  : Подлинность
gid://shopify/TaxonomyAttribute/2016  : Режимы автофокусировки
gid://shopify/TaxonomyAttribute/2613  : Метод стерилизации в автоклаве
gid://shopify/TaxonomyAttribute/8975  : Подлинность автографа
gid://shopify/TaxonomyAttribute/8976  : Формат автографа
gid://shopify/TaxonomyAttribute/2361  : Тип автографа
gid://shopify/TaxonomyAttribute/8047  : Ограждение кабины автожира
gid://shopify/TaxonomyAttribute/2583  : Автоматизация
gid://shopify/TaxonomyAttribute/7023  : является ли кабина открытой или закрытой.
gid://shopify/TaxonomyAttribute/7618  : Сорт авокадо
gid://shopify/TaxonomyAttribute/8977  : Включенная персонализация награды
gid://shopify/TaxonomyAttribute/2526  : Дизайн награды
gid://shopify/TaxonomyAttribute/8978  : Материал награды
gid://shopify/TaxonomyAttribute/8979  : Тип крепления/демонстрации награды
gid://shopify/TaxonomyAttribute/2525  : Повод для награждения
gid://shopify/TaxonomyAttribute/8980  : Материал таблички награды
gid://shopify/TaxonomyAttribute/8981  : Тип крепления наградной ленты
gid://shopify/TaxonomyAttribute/8982  : Метод нанесения надписи на ленту награды
gid://shopify/TaxonomyAttribute/8983  : Материал наградной ленты
gid://shopify/TaxonomyAttribute/8984  : Место или звание на наградной ленте
gid://shopify/TaxonomyAttribute/1426  : Конструкция маркизы
gid://shopify/TaxonomyAttribute/2823  : Тип маркизы
gid://shopify/TaxonomyAttribute/5699  : Принцип работы маркизы
gid://shopify/TaxonomyAttribute/7024  : Совместимость с осями
gid://shopify/TaxonomyAttribute/7069  : Тип механизма действия пневматического пистолета
gid://shopify/TaxonomyAttribute/7070  : Калибр пневматического пистолета
gid://shopify/TaxonomyAttribute/7071  : Тип детали пневматического пистолета
gid://shopify/TaxonomyAttribute/1836  : Режим BIOS
gid://shopify/TaxonomyAttribute/1759  : Упаковка детского напитка
gid://shopify/TaxonomyAttribute/1758  : Вкус детского питания
gid://shopify/TaxonomyAttribute/1761  : Форма выпуска детской смеси
gid://shopify/TaxonomyAttribute/1717  : Состав набора подарков для младенцев
gid://shopify/TaxonomyAttribute/1720  : Состав набора для ухода за детьми
gid://shopify/TaxonomyAttribute/3026  : Функции электронной няни
gid://shopify/TaxonomyAttribute/1762  : Вкус детского снека
gid://shopify/TaxonomyAttribute/1763  : Текстура детского снека
gid://shopify/TaxonomyAttribute/2997  : Характеристики детской одежды
gid://shopify/TaxonomyAttribute/3029  : Безопасность товара для детей или младенцев
gid://shopify/TaxonomyAttribute/3103  : Характеристики детской мебели
gid://shopify/TaxonomyAttribute/3318  : Состав набора мебели для детей или младенцев
gid://shopify/TaxonomyAttribute/3254  : Тип детского головного убора
gid://shopify/TaxonomyAttribute/3247  : Тип детского чулочно-носочного изделия
gid://shopify/TaxonomyAttribute/3107  : Характеристики детского сидения
gid://shopify/TaxonomyAttribute/3246  : Тип детской одежды для сна
gid://shopify/TaxonomyAttribute/8986  : Материал задней и боковых частей
gid://shopify/TaxonomyAttribute/8985  : Тип задней перекладины
gid://shopify/TaxonomyAttribute/6636  : Дизайн спинки
gid://shopify/TaxonomyAttribute/6866  : Тип задней панели
gid://shopify/TaxonomyAttribute/1531  : Наличие и тип спинки
gid://shopify/TaxonomyAttribute/5329  : Материал щита
gid://shopify/TaxonomyAttribute/2047  : Тип фона
gid://shopify/TaxonomyAttribute/2185  : Материал оборотной стороны
gid://shopify/TaxonomyAttribute/8987  : Тип подложки
gid://shopify/TaxonomyAttribute/5617  : Тип подсветки
gid://shopify/TaxonomyAttribute/1527  : Тип спинки
gid://shopify/TaxonomyAttribute/8048  : Место установки камеры заднего вида
gid://shopify/TaxonomyAttribute/8049  : Видеоинтерфейс камеры заднего вида
gid://shopify/TaxonomyAttribute/7025  : Компоненты набора для бадминтона
gid://shopify/TaxonomyAttribute/7026  : Способ крепления сумки
gid://shopify/TaxonomyAttribute/5700  : Тип зажима для пакета
gid://shopify/TaxonomyAttribute/2958  : Способ закрытия сумки
gid://shopify/TaxonomyAttribute/5701  : Конфигурация пакетов
gid://shopify/TaxonomyAttribute/8989  : Материал чехла сумки
gid://shopify/TaxonomyAttribute/6637  : Декор сумки
gid://shopify/TaxonomyAttribute/7027  : Наполнитель подушки
gid://shopify/TaxonomyAttribute/5702  : Термоизоляция сумки
gid://shopify/TaxonomyAttribute/8990  : Материал подушки
gid://shopify/TaxonomyAttribute/7028  : Уровень набивки подушки
gid://shopify/TaxonomyAttribute/6638  : Описание размера сумки
gid://shopify/TaxonomyAttribute/2222  : Тип ремня у сумки
gid://shopify/TaxonomyAttribute/3365  : Тип сумки
gid://shopify/TaxonomyAttribute/2725  : Тип сумки или кофра
gid://shopify/TaxonomyAttribute/3006  : Характеристики сумки или футляра
gid://shopify/TaxonomyAttribute/2784  : Материал сумки или футляра
gid://shopify/TaxonomyAttribute/3258  : Возможности для хранения в сумке или футляре
gid://shopify/TaxonomyAttribute/8988  : Тип переноски сумки/чехла
gid://shopify/TaxonomyAttribute/7619  : Размер бублика
gid://shopify/TaxonomyAttribute/8991  : Аксессуары для волынки в комплекте
gid://shopify/TaxonomyAttribute/8992  : Режим игры на волынке
gid://shopify/TaxonomyAttribute/7029  : Совместимость с приманкой
gid://shopify/TaxonomyAttribute/7030  : Виды приманки
gid://shopify/TaxonomyAttribute/3100  : Состав набора выпечки
gid://shopify/TaxonomyAttribute/3360  : Состав набора жаропрочной посуды
gid://shopify/TaxonomyAttribute/1394  : Состав набора жаропрочной посуды
gid://shopify/TaxonomyAttribute/2813  : Форма жаропрочной посуды
gid://shopify/TaxonomyAttribute/7620  : Форма капель
gid://shopify/TaxonomyAttribute/5703  : Размер вкладыша для выпечки
gid://shopify/TaxonomyAttribute/1486  : Тип выпечки
gid://shopify/TaxonomyAttribute/2812  : Материал противня для выпечки
gid://shopify/TaxonomyAttribute/5704  : Тип противня
gid://shopify/TaxonomyAttribute/7031  : Тип балансборда
gid://shopify/TaxonomyAttribute/7032  : Аксессуары для балансировочной подушки в комплекте
gid://shopify/TaxonomyAttribute/8050  : Тип балансировки
gid://shopify/TaxonomyAttribute/6346  : Детали игры с мячом и стаканчиком в комплекте
gid://shopify/TaxonomyAttribute/7033  : Материал внутренней камеры мяча
gid://shopify/TaxonomyAttribute/7034  : Сертификация мяча
gid://shopify/TaxonomyAttribute/7035  : Конструкция мяча
gid://shopify/TaxonomyAttribute/7036  : Конструкция сердцевины мяча
gid://shopify/TaxonomyAttribute/7037  : Тип сердцевины мяча
gid://shopify/TaxonomyAttribute/7038  : Сверление шаров
gid://shopify/TaxonomyAttribute/7039  : Тип держателя мяча
gid://shopify/TaxonomyAttribute/2844  : Материал мяча
gid://shopify/TaxonomyAttribute/6347  : Отделка поверхности шариков для бассейна
gid://shopify/TaxonomyAttribute/6348  : Особенности безопасности бассейна с шариками
gid://shopify/TaxonomyAttribute/7040  : Тип аксессуара для накачивания мяча
gid://shopify/TaxonomyAttribute/7041  : Механизм возврата мяча
gid://shopify/TaxonomyAttribute/7042  : Тип возврата мяча
gid://shopify/TaxonomyAttribute/1206  : Размер мяча
gid://shopify/TaxonomyAttribute/7043  : Рейтинг скорости мяча
