# Shopify Product Taxonomy - Attributes: 2026-05
# Format: {GID} : {Attribute name}

gid://shopify/TaxonomyAttribute/5398  : 3D-Brillen-Passform-Design
gid://shopify/TaxonomyAttribute/5531  : Form des Klebstoffs
gid://shopify/TaxonomyAttribute/6980  : Klebstoffformulierung
gid://shopify/TaxonomyAttribute/8953  : Klebeseiten
gid://shopify/TaxonomyAttribute/5207  : Klebkraft
gid://shopify/TaxonomyAttribute/2319  : Klebstofftyp
gid://shopify/TaxonomyAttribute/8954  : Verarbeitungsform des als Brauzusatz verwendeten Getreides
gid://shopify/TaxonomyAttribute/8009  : Art der Verstellbarkeit
gid://shopify/TaxonomyAttribute/8955  : Verstellbarer Cup-Dämpfer
gid://shopify/TaxonomyAttribute/6861  : Einstellbare Zonen
gid://shopify/TaxonomyAttribute/8010  : Anpassungsart
gid://shopify/TaxonomyAttribute/6981  : Verabreichungsmethode
gid://shopify/TaxonomyAttribute/8956  : Art der Aufforderung auf der Spruchkarte
gid://shopify/TaxonomyAttribute/6982  : Belüftungsmethode
gid://shopify/TaxonomyAttribute/8011  : Komponenten des Aerodynamikpakets
gid://shopify/TaxonomyAttribute/8012  : Enthaltene Aerodynamische Elemente
gid://shopify/TaxonomyAttribute/3354  : Aftershave Produktform
gid://shopify/TaxonomyAttribute/8957  : Aftertouch-Unterstützung
gid://shopify/TaxonomyAttribute/7611  : Einstufung des Agavenanteils
gid://shopify/TaxonomyAttribute/30    : Altersgruppe
gid://shopify/TaxonomyAttribute/2274  : Altersbeschränkungen
gid://shopify/TaxonomyAttribute/8958  : Fadenzahl des Aida-Tuchs
gid://shopify/TaxonomyAttribute/8959  : Vorgeschnittenes Aida-Tuch
gid://shopify/TaxonomyAttribute/6338  : Im Luft- und Wasserraketenpaket enthaltene Artikel
gid://shopify/TaxonomyAttribute/6339  : Verfahren zum Abschuss von Luft- und Wasserraketen
gid://shopify/TaxonomyAttribute/8960  : Material für Blasebalgschläuche
gid://shopify/TaxonomyAttribute/6862  : Innenkonstruktion des Luftbetts
gid://shopify/TaxonomyAttribute/2708  : Form des Lufterfrischers
gid://shopify/TaxonomyAttribute/5689  : Typ für Heißluftfritteusen-Zubehör
gid://shopify/TaxonomyAttribute/4050  : Funktionen der Heißluftfritteuse
gid://shopify/TaxonomyAttribute/6983  : Enthaltene Airhockey-Artikel
gid://shopify/TaxonomyAttribute/8013  : Montageart des Luftansaugtemperatursensors
gid://shopify/TaxonomyAttribute/6984  : Luftintegrationsfunktion
gid://shopify/TaxonomyAttribute/3182  : Eigenschaften der Luftmatratze
gid://shopify/TaxonomyAttribute/6985  : Ventilart für Luftmatratzen
gid://shopify/TaxonomyAttribute/5690  : Luftreiniger-Filtertechnologie
gid://shopify/TaxonomyAttribute/5691  : Leistung des Luftreinigerfilters
gid://shopify/TaxonomyAttribute/5103  : Luftschlauchanordnung
gid://shopify/TaxonomyAttribute/8961  : Farbform des lufttrocknenden Tons
gid://shopify/TaxonomyAttribute/8014  : Airbagposition
gid://shopify/TaxonomyAttribute/3329  : Airbrush-Zufuhrtyp
gid://shopify/TaxonomyAttribute/3328  : Funktionsweise der Airbrush
gid://shopify/TaxonomyAttribute/8015  : ADS-B-Fähigkeit des Flugzeugs
gid://shopify/TaxonomyAttribute/8016  : Flugzeugzellenmaterial
gid://shopify/TaxonomyAttribute/8017  : Konfiguration der Flugzeugkabine
gid://shopify/TaxonomyAttribute/8018  : Enthaltene Flugzeugdokumentation
gid://shopify/TaxonomyAttribute/4683  : Konfiguration des Flugzeugtriebwerks
gid://shopify/TaxonomyAttribute/4682  : Motortyp des Luftfahrzeugs
gid://shopify/TaxonomyAttribute/8019  : Art der Bordküche
gid://shopify/TaxonomyAttribute/8020  : Einbauort im Flugzeug
gid://shopify/TaxonomyAttribute/8021  : Internetverbindung im Flugzeug
gid://shopify/TaxonomyAttribute/8022  : Typ des Flugzeugfahrwerks
gid://shopify/TaxonomyAttribute/8023  : Flugzeugtoilettenkonfiguration
gid://shopify/TaxonomyAttribute/8024  : Einschreibung in Flugzeugwartungsprogramm
gid://shopify/TaxonomyAttribute/8025  : Betriebsgenehmigung für Flugzeug
gid://shopify/TaxonomyAttribute/8026  : Zertifizierung von Flugzeugschutzausrüstung
gid://shopify/TaxonomyAttribute/8027  : Anwendung in Flugzeugsystem
gid://shopify/TaxonomyAttribute/5211  : Design der Luftstromöffnung
gid://shopify/TaxonomyAttribute/8962  : Luftströmungswiderstand
gid://shopify/TaxonomyAttribute/8028  : Material für die Luftschiffhülle
gid://shopify/TaxonomyAttribute/6986  : Typ für Airsoft-Teil
gid://shopify/TaxonomyAttribute/8029  : Grundlage der Lufttüchtigkeitsgenehmigung
gid://shopify/TaxonomyAttribute/6987  : Einstellbarkeit der Alarmlautstärke
gid://shopify/TaxonomyAttribute/2287  : Albumtyp
gid://shopify/TaxonomyAttribute/5290  : Alkoholgehalt
gid://shopify/TaxonomyAttribute/8963  : Finish/Effekt durch Alkoholtinte
gid://shopify/TaxonomyAttribute/5679  : Alkohol-/Lösungsmittelgehalt
gid://shopify/TaxonomyAttribute/1362  : Alarmtyp
gid://shopify/TaxonomyAttribute/6988  : Art der Ausrichtungshilfe
gid://shopify/TaxonomyAttribute/1451  : Informationen zu Allergenen
gid://shopify/TaxonomyAttribute/1577  : Allergentesttyp
gid://shopify/TaxonomyAttribute/1631  : Allergene
gid://shopify/TaxonomyAttribute/3138  : Allergikerfreundliche Funktionen
gid://shopify/TaxonomyAttribute/8030  : Art der Lichtmaschinenkühlung
gid://shopify/TaxonomyAttribute/8031  : Zündschutzklasse für Schiffsmotoren-Lichtmaschinen
gid://shopify/TaxonomyAttribute/8032  : Montagekonfiguration der Lichtmaschine
gid://shopify/TaxonomyAttribute/8033  : Typ der Lichtmaschinenriemenscheibe
gid://shopify/TaxonomyAttribute/8034  : Typ des Lichtmaschinenreglers
gid://shopify/TaxonomyAttribute/8035  : Anschlussart der Lichtmaschinenklemmen
gid://shopify/TaxonomyAttribute/6989  : Eignung für Höhenlagen
gid://shopify/TaxonomyAttribute/8036  : Typ der Tragehalterung für Krankenwagen
gid://shopify/TaxonomyAttribute/6990  : Sicherheitszertifizierung für American Football
gid://shopify/TaxonomyAttribute/5126  : Aminosäure-Untertyp
gid://shopify/TaxonomyAttribute/1800  : Verstärkerklasse
gid://shopify/TaxonomyAttribute/2690  : Verstärkerkonfiguration
gid://shopify/TaxonomyAttribute/8964  : Funktion der Verstärkerröhre
gid://shopify/TaxonomyAttribute/1808  : Geeigneter Standort für Verstärker/Booster
gid://shopify/TaxonomyAttribute/5088  : Amputationsniveau
gid://shopify/TaxonomyAttribute/8965  : CV/Gate I/O für analoge Synthesizer
gid://shopify/TaxonomyAttribute/8966  : Konfiguration der Tastatur eines analogen Synthesizers
gid://shopify/TaxonomyAttribute/5100  : Gemessener Analyt
gid://shopify/TaxonomyAttribute/4998  : Anamorphes Komprimierungsverhältnis
gid://shopify/TaxonomyAttribute/5043  : Dargestelltes anatomisches Detail
gid://shopify/TaxonomyAttribute/6991  : Ankerkonfiguration
gid://shopify/TaxonomyAttribute/1258  : Ankerart
gid://shopify/TaxonomyAttribute/2198  : Anwendung des Anemometers
gid://shopify/TaxonomyAttribute/1883  : Unterstützte Winkel
gid://shopify/TaxonomyAttribute/1289  : Angelstil
gid://shopify/TaxonomyAttribute/5692  : Inbegriffene Bestandteile des Tierpflegesets
gid://shopify/TaxonomyAttribute/2550  : Form des Tierfutters
gid://shopify/TaxonomyAttribute/7612  : Tieraufzuchtmethode
gid://shopify/TaxonomyAttribute/6340  : Tierarten
gid://shopify/TaxonomyAttribute/6992  : Tierfalle im Backen-Stil
gid://shopify/TaxonomyAttribute/6993  : Tierfallenart
gid://shopify/TaxonomyAttribute/1308  : Tierart
gid://shopify/TaxonomyAttribute/6994  : Stil des Knöchelkragens
gid://shopify/TaxonomyAttribute/6995  : Schutzstufe des Knöchelschutzes
gid://shopify/TaxonomyAttribute/6996  : Typ der Fesselriemenpolsterung
gid://shopify/TaxonomyAttribute/6997  : Fesselriementyp
gid://shopify/TaxonomyAttribute/5519  : Anrufbeantwortertyp
gid://shopify/TaxonomyAttribute/6341  : Substrattyp der Ameisenfarm
gid://shopify/TaxonomyAttribute/6342  : Inhalt des Ameisenfarmpakets
gid://shopify/TaxonomyAttribute/6343  : Beleuchtungsart der Ameisenfarm
gid://shopify/TaxonomyAttribute/5587  : Antennen-HF-Steckertyp
gid://shopify/TaxonomyAttribute/5511  : Antennenanschlusstyp
gid://shopify/TaxonomyAttribute/8037  : Antennentyp
gid://shopify/TaxonomyAttribute/1828  : Antennentyp
gid://shopify/TaxonomyAttribute/8038  : Druckblasenmaterial des Anti-G-Anzugs
gid://shopify/TaxonomyAttribute/8039  : Anschlussart des Anti-G-Anzugs
gid://shopify/TaxonomyAttribute/8040  : Verfahren zum Aufblasen des Anti-G-Anzugs
gid://shopify/TaxonomyAttribute/8041  : Größensystem des Anti-G-Anzugs
gid://shopify/TaxonomyAttribute/3340  : Anti-Aging-Hautpflegetyp
gid://shopify/TaxonomyAttribute/7613  : Trennmittel
gid://shopify/TaxonomyAttribute/5305  : Antitranspirant-Stärkegrad
gid://shopify/TaxonomyAttribute/6998  : Typ der Rücklaufsperre
gid://shopify/TaxonomyAttribute/8042  : Diebstahlschutzfunktion
gid://shopify/TaxonomyAttribute/5056  : Getestete Antikörperklasse
gid://shopify/TaxonomyAttribute/2710  : Frostschutzmitteltyp
gid://shopify/TaxonomyAttribute/4680  : Oldtimer-Design
gid://shopify/TaxonomyAttribute/8967  : Zündsystem der antiken Schusswaffe
gid://shopify/TaxonomyAttribute/4679  : Klassifizierung nach Baujahr
gid://shopify/TaxonomyAttribute/7614  : Apfelsorte
gid://shopify/TaxonomyAttribute/5501  : Geräteplatinen-Funktion
gid://shopify/TaxonomyAttribute/5500  : Geräteeinheit-Standort
gid://shopify/TaxonomyAttribute/1316  : Anwendungsmethode
gid://shopify/TaxonomyAttribute/5149  : Anwendungsart
gid://shopify/TaxonomyAttribute/5258  : Format des Applikators
gid://shopify/TaxonomyAttribute/1639  : Material des Applikators
gid://shopify/TaxonomyAttribute/3344  : Applikatortyp
gid://shopify/TaxonomyAttribute/8968  : Abschluss der Applikationskanten
gid://shopify/TaxonomyAttribute/2314  : Form der Applikation/des Patchs
gid://shopify/TaxonomyAttribute/5693  : Schürzeneigenschaften
gid://shopify/TaxonomyAttribute/5694  : Schürzenstil
gid://shopify/TaxonomyAttribute/2980  : Funktionen des Aquariumfilters
gid://shopify/TaxonomyAttribute/1708  : Lichtspektrum des Aquariums
gid://shopify/TaxonomyAttribute/3228  : Design des Aquarium-Überlaufkastens
gid://shopify/TaxonomyAttribute/5695  : Wuchsform von Wasserpflanzen
gid://shopify/TaxonomyAttribute/5696  : Design für oberen Teil des Laubengangs
gid://shopify/TaxonomyAttribute/6999  : Laubentyp
gid://shopify/TaxonomyAttribute/7000  : Typen von Zubehör für Bogenschießen
gid://shopify/TaxonomyAttribute/1302  : Bogenschießen
gid://shopify/TaxonomyAttribute/2888  : Bogenschießausrüstung inklusive
gid://shopify/TaxonomyAttribute/7001  : Typen von Teilen für Bogenschießen
gid://shopify/TaxonomyAttribute/7002  : Typen des Zubehörs für Bogenschießanlagen
gid://shopify/TaxonomyAttribute/1303  : Bogenschießen-Stil
gid://shopify/TaxonomyAttribute/7003  : Merkmale von Bogenschießzielen
gid://shopify/TaxonomyAttribute/4365  : Typen von Zielscheiben für Bogenschießen
gid://shopify/TaxonomyAttribute/7004  : Bogenschießwerkzeug-Typ
gid://shopify/TaxonomyAttribute/7005  : Armbandmerkmale
gid://shopify/TaxonomyAttribute/7006  : Armschutzstil
gid://shopify/TaxonomyAttribute/8043  : Art von Fahrzeugpanzerung
gid://shopify/TaxonomyAttribute/6863  : Verstellbarkeit der Armlehne
gid://shopify/TaxonomyAttribute/6864  : Armlehnentyp
gid://shopify/TaxonomyAttribute/2496  : Arrangement
gid://shopify/TaxonomyAttribute/7008  : Pfeilkomponententyp
gid://shopify/TaxonomyAttribute/7009  : Pfeilhaltestufe
gid://shopify/TaxonomyAttribute/2883  : Pfeilbefiederungsmaterial
gid://shopify/TaxonomyAttribute/7010  : Ausrichtung der Pfeilbefiederung
gid://shopify/TaxonomyAttribute/7011  : Größe der Pfeilnockennut
gid://shopify/TaxonomyAttribute/7012  : Pfeilnocken-Typ
gid://shopify/TaxonomyAttribute/7013  : Bauart der Pfeilauflage
gid://shopify/TaxonomyAttribute/7014  : Pfeilschafkompatibilität
gid://shopify/TaxonomyAttribute/2969  : Pfeil-/Bolzenmaterial
gid://shopify/TaxonomyAttribute/7007  : Pfeil-/Bolzenspitze
gid://shopify/TaxonomyAttribute/2299  : Aufbringungsmethode des Fixativs
gid://shopify/TaxonomyAttribute/8970  : Lichtechtheitsbewertung von Künstlertinte
gid://shopify/TaxonomyAttribute/8971  : Deckkraft von Künstlertinte
gid://shopify/TaxonomyAttribute/3429  : Kunststil
gid://shopify/TaxonomyAttribute/2386  : Kunststil
gid://shopify/TaxonomyAttribute/2930  : Kunst-/Bastelwerkzeugmaterial
gid://shopify/TaxonomyAttribute/8969  : Spitzenstil für Kunst-/Bastelwerkzeuge
gid://shopify/TaxonomyAttribute/7615  : Artischockenschnitt
gid://shopify/TaxonomyAttribute/7616  : Artischockensorte
gid://shopify/TaxonomyAttribute/8972  : Gelenkmerkmale
gid://shopify/TaxonomyAttribute/7016  : Form des Kunstköders
gid://shopify/TaxonomyAttribute/3430  : Authentizität des Kunstwerks
gid://shopify/TaxonomyAttribute/2796  : Rahmenmaterial
gid://shopify/TaxonomyAttribute/2666  : Kunstwerktyp
gid://shopify/TaxonomyAttribute/7018  : Steig-/Abstiegsleitertyp
gid://shopify/TaxonomyAttribute/5697  : Aschenbecher-Typ
gid://shopify/TaxonomyAttribute/8044  : Art der Luftzufuhr
gid://shopify/TaxonomyAttribute/12755 : Montage erforderlich
gid://shopify/TaxonomyAttribute/6865  : Montageart
gid://shopify/TaxonomyAttribute/7019  : Unterstützungsmechanismus
gid://shopify/TaxonomyAttribute/3387  : Bremskraftverstärker
gid://shopify/TaxonomyAttribute/7617  : Atemoya-Sorte
gid://shopify/TaxonomyAttribute/7020  : Größe der Suspensorien für Sportler
gid://shopify/TaxonomyAttribute/1737  : Befestigungsmethode
gid://shopify/TaxonomyAttribute/844   : Befestigungsoptionen
gid://shopify/TaxonomyAttribute/7021  : Befestigungsposition
gid://shopify/TaxonomyAttribute/1267  : Befestigungstyp
gid://shopify/TaxonomyAttribute/7022  : Duftprofil des Lockstoffs
gid://shopify/TaxonomyAttribute/5698  : Lockmitteltyp
gid://shopify/TaxonomyAttribute/1806  : Audio-D/A-Wandler (DAC)
gid://shopify/TaxonomyAttribute/5454  : Steuerungsschnittstelle
gid://shopify/TaxonomyAttribute/5592  : Audiokassetten-Bandtyp
gid://shopify/TaxonomyAttribute/8046  : Audiokanalkonfiguration
gid://shopify/TaxonomyAttribute/1822  : Unterstützte Audio-Codecs/Formate
gid://shopify/TaxonomyAttribute/5435  : Audiokomponenten-Formfaktor
gid://shopify/TaxonomyAttribute/1813  : Audio-Konnektivität
gid://shopify/TaxonomyAttribute/5545  : Konvertierungsrichtung
gid://shopify/TaxonomyAttribute/5516  : Audio‑Duplex‑Fähigkeit
gid://shopify/TaxonomyAttribute/8973  : Audioeingänge
gid://shopify/TaxonomyAttribute/3309  : Audio-Mischpulttyp
gid://shopify/TaxonomyAttribute/6344  : Audioausgang
gid://shopify/TaxonomyAttribute/1801  : Audio-Ausgabekanal
gid://shopify/TaxonomyAttribute/1802  : Audio-Ausgabeformat
gid://shopify/TaxonomyAttribute/8974  : Audioausgänge
gid://shopify/TaxonomyAttribute/6345  : Audiowiedergabequelle
gid://shopify/TaxonomyAttribute/3066  : Audio-Player/Recorder-Funktionen
gid://shopify/TaxonomyAttribute/1818  : Audiozweck
gid://shopify/TaxonomyAttribute/5591  : Audio-Rückkanal-Unterstützung
gid://shopify/TaxonomyAttribute/5607  : Audiosignalkonfiguration
gid://shopify/TaxonomyAttribute/5417  : Audiosystem
gid://shopify/TaxonomyAttribute/1803  : Audiotechnologie
gid://shopify/TaxonomyAttribute/3074  : Funktionen des Audio/Scan-Konverters
gid://shopify/TaxonomyAttribute/5604  : Audio-/Video-Kabelsteckertyp (Ende A)
gid://shopify/TaxonomyAttribute/5605  : Audio-/Video-Kabelsteckertyp (Ende B)
gid://shopify/TaxonomyAttribute/3370  : Verifizierungstechnologie
gid://shopify/TaxonomyAttribute/2374  : Authentizität
gid://shopify/TaxonomyAttribute/2016  : Autofokus-Modi
gid://shopify/TaxonomyAttribute/2613  : Autoklaven-Sterilisationsmethode
gid://shopify/TaxonomyAttribute/8975  : Autogramm-Authentifizierung
gid://shopify/TaxonomyAttribute/8976  : Autogrammformat
gid://shopify/TaxonomyAttribute/2361  : Autogrammtyp
gid://shopify/TaxonomyAttribute/8047  : Cockpitverkleidung für Tragschrauber
gid://shopify/TaxonomyAttribute/2583  : Automatisierung
gid://shopify/TaxonomyAttribute/7023  : Verfügbare Feuermodi
gid://shopify/TaxonomyAttribute/7618  : Avocadosorte
gid://shopify/TaxonomyAttribute/8977  : Anpassung der Auszeichnung inklusive
gid://shopify/TaxonomyAttribute/2526  : Design des Preises
gid://shopify/TaxonomyAttribute/8978  : Machart der Auszeichnung
gid://shopify/TaxonomyAttribute/8979  : Montage-/Präsentationsart der Auszeichnung
gid://shopify/TaxonomyAttribute/2525  : Anlass des Preises
gid://shopify/TaxonomyAttribute/8980  : Material für Auszeichnungsplaketten
gid://shopify/TaxonomyAttribute/8981  : Befestigungsart für Auszeichnungsbänder
gid://shopify/TaxonomyAttribute/8982  : Druckverfahren für Auszeichnungsbänder
gid://shopify/TaxonomyAttribute/8983  : Material für Auszeichnungsbänder
gid://shopify/TaxonomyAttribute/8984  : Platzierung/Titel der Auszeichnungsschleife
gid://shopify/TaxonomyAttribute/1426  : Bauart der Markise
gid://shopify/TaxonomyAttribute/2823  : Markisendesign
gid://shopify/TaxonomyAttribute/5699  : Markisen-Betriebstyp
gid://shopify/TaxonomyAttribute/7024  : Achsenkompatibilität
gid://shopify/TaxonomyAttribute/7069  : BB-Gun-Funktionstyp
gid://shopify/TaxonomyAttribute/7070  : Kaliber des BB-Gewehrs
gid://shopify/TaxonomyAttribute/7071  : Typ des BB-Gewehrteils
gid://shopify/TaxonomyAttribute/1836  : BIOS-Typ
gid://shopify/TaxonomyAttribute/1759  : Verpackung des Babygetränks
gid://shopify/TaxonomyAttribute/1758  : Geschmack der Babynahrung
gid://shopify/TaxonomyAttribute/1761  : Format der Milchnahrung
gid://shopify/TaxonomyAttribute/1717  : Inbegriffene Baby-Geschenkartikel
gid://shopify/TaxonomyAttribute/1720  : Inbegriffene Gesundheitsartikel für Babys
gid://shopify/TaxonomyAttribute/3026  : Funktionen des Babyphones
gid://shopify/TaxonomyAttribute/1762  : Geschmack der Baby-Snacks
gid://shopify/TaxonomyAttribute/1763  : Textur der Baby-Snacks
gid://shopify/TaxonomyAttribute/2997  : Eigenschaften von Baby-/Kleinkindkleidung
gid://shopify/TaxonomyAttribute/3029  : Sicherheitsmerkmale für Baby-/Kleinkindausstattung
gid://shopify/TaxonomyAttribute/3103  : Baby-/Kleinkindmöbel-Funktionen
gid://shopify/TaxonomyAttribute/3318  : Baby-/Kleinkindmöbel inklusive
gid://shopify/TaxonomyAttribute/3254  : Kopfbedeckungen für Babys/Kleinkinder
gid://shopify/TaxonomyAttribute/3247  : Strumpfwarenstil für Babys/Kleinkinder
gid://shopify/TaxonomyAttribute/3107  : Funktionen des Baby-/Kleinkindsitzes
gid://shopify/TaxonomyAttribute/3246  : Nachtwäsche für Babys/Kleinkinder
gid://shopify/TaxonomyAttribute/8986  : Material für Rückseite und Seiten
gid://shopify/TaxonomyAttribute/8985  : Rückstrahlertyp
gid://shopify/TaxonomyAttribute/6636  : Rückseitendesign
gid://shopify/TaxonomyAttribute/6866  : Rückwandtyp
gid://shopify/TaxonomyAttribute/1531  : Lehnentyp
gid://shopify/TaxonomyAttribute/5329  : Rückwandmaterial
gid://shopify/TaxonomyAttribute/2047  : Design des Hintergrunds
gid://shopify/TaxonomyAttribute/2185  : Trägermaterial
gid://shopify/TaxonomyAttribute/8987  : Trägerart
gid://shopify/TaxonomyAttribute/5617  : Hintergrundbeleuchtungstyp
gid://shopify/TaxonomyAttribute/1527  : Rückenlehnentyp
gid://shopify/TaxonomyAttribute/8048  : Montageort der Rückfahrkamera
gid://shopify/TaxonomyAttribute/8049  : Rückfahrkamera-Videoschnittstelle
gid://shopify/TaxonomyAttribute/7025  : Enthaltene Komponenten des Badminton-Sets
gid://shopify/TaxonomyAttribute/7026  : Beutelbefestigungsmethode
gid://shopify/TaxonomyAttribute/5700  : Verschlussclip-Stil
gid://shopify/TaxonomyAttribute/2958  : Taschenverschluss
gid://shopify/TaxonomyAttribute/5701  : Beutelkonfiguration
gid://shopify/TaxonomyAttribute/8989  : Taschenhüllenmaterial
gid://shopify/TaxonomyAttribute/6637  : Taschenverzierung
gid://shopify/TaxonomyAttribute/7027  : Beutelfüllmaterial
gid://shopify/TaxonomyAttribute/5702  : Taschenisolierung
gid://shopify/TaxonomyAttribute/8990  : Beutelmaterial
gid://shopify/TaxonomyAttribute/7028  : Polsterungsgrad des Beutels
gid://shopify/TaxonomyAttribute/6638  : Taschengrößenbeschreibung
gid://shopify/TaxonomyAttribute/2222  : Taschenriementyp
gid://shopify/TaxonomyAttribute/3365  : Taschenstil
gid://shopify/TaxonomyAttribute/2725  : Taschentyp
gid://shopify/TaxonomyAttribute/3006  : Taschen-/Koffereigenschaften
gid://shopify/TaxonomyAttribute/2784  : Taschen-/Koffermaterial
gid://shopify/TaxonomyAttribute/3258  : Aufbewahrungsfunktionen in Tasche/Koffer
gid://shopify/TaxonomyAttribute/8988  : Transportart von Gigbag/Koffer
gid://shopify/TaxonomyAttribute/7619  : Bagelgröße
gid://shopify/TaxonomyAttribute/8991  : Dudelsackzubehör inklusive
gid://shopify/TaxonomyAttribute/8992  : Spielmodus des Dudelsacks
gid://shopify/TaxonomyAttribute/7029  : Köderart
gid://shopify/TaxonomyAttribute/7030  : Köderarten
gid://shopify/TaxonomyAttribute/3100  : Backwaren inklusive
gid://shopify/TaxonomyAttribute/3360  : Backgeschirr inklusive
gid://shopify/TaxonomyAttribute/1394  : Enthaltene Backformen
gid://shopify/TaxonomyAttribute/2813  : Backformenform
gid://shopify/TaxonomyAttribute/7620  : Backflocken-Form
gid://shopify/TaxonomyAttribute/5703  : Größe der Backform
gid://shopify/TaxonomyAttribute/1486  : Backzweck
