# Shopify Product Taxonomy - Categories: 2025-01-unstable
# Format: {GID} : {Ancestor name} > ... > {Category name}

gid://shopify/TaxonomyCategory/ap                : Артикули за животни и домашни любимци
gid://shopify/TaxonomyCategory/ap-2-1-5-1        : Артикули за животни и домашни любимци > Артикули за домашни любимци > Артикули за птици > Стълби и кацалки > Стълби и стъпала
gid://shopify/TaxonomyCategory/ap-2-1-5-2        : Артикули за животни и домашни любимци > Артикули за домашни любимци > Артикули за птици > Стълби и кацалки > Люлки и кацалки
gid://shopify/TaxonomyCategory/ap-2-1-6          : Артикули за животни и домашни любимци > Артикули за домашни любимци > Артикули за птици > Играчки за птици
gid://shopify/TaxonomyCategory/ap-2-1-6-1        : Артикули за животни и домашни любимци > Артикули за домашни любимци > Артикули за птици > Играчки за птици > Играчки „хвърли и донеси“
gid://shopify/TaxonomyCategory/ap-2-1-6-2        : Артикули за животни и домашни любимци > Артикули за домашни любимци > Артикули за птици > Играчки за птици > Камбанки и мъниста
gid://shopify/TaxonomyCategory/ap-2-1-6-3        : Артикули за животни и домашни любимци > Артикули за домашни любимци > Артикули за птици > Играчки за птици > Дъвчащи играчки
gid://shopify/TaxonomyCategory/ap-2-1-6-4        : Артикули за животни и домашни любимци > Артикули за домашни любимци > Артикули за птици > Играчки за птици > Играчки с храна
gid://shopify/TaxonomyCategory/ap-2-1-6-5        : Артикули за животни и домашни любимци > Артикули за домашни любимци > Артикули за птици > Играчки за птици > Огледала
gid://shopify/TaxonomyCategory/ap-2-1-6-7        : Артикули за животни и домашни любимци > Артикули за домашни любимци > Артикули за птици > Играчки за птици > Пъзели и интерактивни играчки
gid://shopify/TaxonomyCategory/ap-2-1-6-8        : Артикули за животни и домашни любимци > Артикули за домашни любимци > Артикули за птици > Играчки за птици > Въжета и възли
gid://shopify/TaxonomyCategory/ap-2-1-6-9        : Артикули за животни и домашни любимци > Артикули за домашни любимци > Артикули за птици > Играчки за птици > Тунели и тръби
gid://shopify/TaxonomyCategory/ap-2-1-7          : Артикули за животни и домашни любимци > Артикули за домашни любимци > Артикули за птици > Лакомства за птици
gid://shopify/TaxonomyCategory/ap-2-2            : Артикули за животни и домашни любимци > Артикули за домашни любимци > Артикули за котки
gid://shopify/TaxonomyCategory/ap-2-2-1          : Артикули за животни и домашни любимци > Артикули за домашни любимци > Артикули за котки > Котешка храна
gid://shopify/TaxonomyCategory/ap-2-2-1-1        : Артикули за животни и домашни любимци > Артикули за домашни любимци > Артикули за котки > Котешка храна > Храна за котки без предписание
gid://shopify/TaxonomyCategory/ap-2-2-1-2        : Артикули за животни и домашни любимци > Артикули за домашни любимци > Артикули за котки > Котешка храна > Котешка храна с предписание
gid://shopify/TaxonomyCategory/ap-2-2-2          : Артикули за животни и домашни любимци > Артикули за домашни любимци > Артикули за котки > Котешки мебели
gid://shopify/TaxonomyCategory/ap-2-2-2-1        : Артикули за животни и домашни любимци > Артикули за домашни любимци > Артикули за котки > Котешки мебели > Котешки апартаменти и къщи
gid://shopify/TaxonomyCategory/ap-2-2-2-2        : Артикули за животни и домашни любимци > Артикули за домашни любимци > Артикули за котки > Котешки мебели > Котешки катерушки и рафтове
gid://shopify/TaxonomyCategory/ap-2-2-2-3        : Артикули за животни и домашни любимци > Артикули за домашни любимци > Артикули за котки > Котешки мебели > Драскалки и пилони за котки
gid://shopify/TaxonomyCategory/ap-2-2-2-4        : Артикули за животни и домашни любимци > Артикули за домашни любимци > Артикули за котки > Котешки мебели > Котешки стъпала и рампи
gid://shopify/TaxonomyCategory/ap-2-2-2-5        : Артикули за животни и домашни любимци > Артикули за домашни любимци > Артикули за котки > Котешки мебели > Котешки дървета и кули
gid://shopify/TaxonomyCategory/ap-2-2-2-6        : Артикули за животни и домашни любимци > Артикули за домашни любимци > Артикули за котки > Котешки мебели > Котешки легла за прозорци
gid://shopify/TaxonomyCategory/ap-2-2-2-7        : Артикули за животни и домашни любимци > Артикули за домашни любимци > Артикули за котки > Котешки мебели > Външни котешки къщи
gid://shopify/TaxonomyCategory/ap-2-2-3          : Артикули за животни и домашни любимци > Артикули за домашни любимци > Артикули за котки > Аксесоари за котешки мебели
gid://shopify/TaxonomyCategory/ap-2-2-4          : Артикули за животни и домашни любимци > Артикули за домашни любимци > Артикули за котки > Котешка тоалетна
gid://shopify/TaxonomyCategory/ap-2-2-4-1        : Артикули за животни и домашни любимци > Артикули за домашни любимци > Артикули за котки > Котешка тоалетна > Постелки за котешка тоалетна
gid://shopify/TaxonomyCategory/ap-2-2-4-2        : Артикули за животни и домашни любимци > Артикули за домашни любимци > Артикули за котки > Котешка тоалетна > Подложки за котешка тоалетна
gid://shopify/TaxonomyCategory/ap-2-2-4-3        : Артикули за животни и домашни любимци > Артикули за домашни любимци > Артикули за котки > Котешка тоалетна > Кутии за котешка тоалетна
gid://shopify/TaxonomyCategory/ap-2-2-5          : Артикули за животни и домашни любимци > Артикули за домашни любимци > Артикули за котки > Котешки играчки
gid://shopify/TaxonomyCategory/ap-2-2-5-1        : Артикули за животни и домашни любимци > Артикули за домашни любимци > Артикули за котки > Котешки играчки > Топки и играчки за гонене
gid://shopify/TaxonomyCategory/ap-2-2-5-2        : Артикули за животни и домашни любимци > Артикули за домашни любимци > Артикули за котки > Котешки играчки > Играчки от коча билка
gid://shopify/TaxonomyCategory/ap-2-2-5-3        : Артикули за животни и домашни любимци > Артикули за домашни любимци > Артикули за котки > Котешки играчки > Дъвчащи играчки
gid://shopify/TaxonomyCategory/ap-2-2-5-4        : Артикули за животни и домашни любимци > Артикули за домашни любимци > Артикули за котки > Котешки играчки > Пера и закачки
gid://shopify/TaxonomyCategory/ap-2-2-5-5        : Артикули за животни и домашни любимци > Артикули за домашни любимци > Артикули за котки > Котешки играчки > Интерактивни играчки
gid://shopify/TaxonomyCategory/ap-2-2-5-6        : Артикули за животни и домашни любимци > Артикули за домашни любимци > Артикули за котки > Котешки играчки > Лазерни играчки
gid://shopify/TaxonomyCategory/ap-2-2-5-7        : Артикули за животни и домашни любимци > Артикули за домашни любимци > Артикули за котки > Котешки играчки > Пъзели и играчки за лакомства
gid://shopify/TaxonomyCategory/ap-2-2-5-9        : Артикули за животни и домашни любимци > Артикули за домашни любимци > Артикули за котки > Котешки играчки > Пискливи гумени играчки
gid://shopify/TaxonomyCategory/ap-2-2-5-10       : Артикули за животни и домашни любимци > Артикули за домашни любимци > Артикули за котки > Котешки играчки > Играчки с пълнеж и плюшени играчки
gid://shopify/TaxonomyCategory/ap-2-2-5-11       : Артикули за животни и домашни любимци > Артикули за домашни любимци > Артикули за котки > Котешки играчки > Тунели
gid://shopify/TaxonomyCategory/ap-2-2-5-12       : Артикули за животни и домашни любимци > Артикули за домашни любимци > Артикули за котки > Котешки играчки > Въдици за игра
gid://shopify/TaxonomyCategory/ap-2-2-6          : Артикули за животни и домашни любимци > Артикули за домашни любимци > Артикули за котки > Лакомства за котки
gid://shopify/TaxonomyCategory/ap-2-3            : Артикули за животни и домашни любимци > Артикули за домашни любимци > Артикули за кучета
gid://shopify/TaxonomyCategory/ap-2-3-1          : Артикули за животни и домашни любимци > Артикули за домашни любимци > Артикули за кучета > Пелени и подложки за кучета
gid://shopify/TaxonomyCategory/ap-2-3-2          : Артикули за животни и домашни любимци > Артикули за домашни любимци > Артикули за кучета > Пелени за кучета
gid://shopify/TaxonomyCategory/ap-2-3-3          : Артикули за животни и домашни любимци > Артикули за домашни любимци > Артикули за кучета > Храна за кучета
gid://shopify/TaxonomyCategory/ap-2-3-3-1        : Артикули за животни и домашни любимци > Артикули за домашни любимци > Артикули за кучета > Храна за кучета > Храна за кучета без предписание
gid://shopify/TaxonomyCategory/ap-2-3-3-2        : Артикули за животни и домашни любимци > Артикули за домашни любимци > Артикули за кучета > Храна за кучета > Храна за кучета с предписание
gid://shopify/TaxonomyCategory/ap-2-3-4          : Артикули за животни и домашни любимци > Артикули за домашни любимци > Артикули за кучета > Къщи за кучета
gid://shopify/TaxonomyCategory/ap-2-3-5          : Артикули за животни и домашни любимци > Артикули за домашни любимци > Артикули за кучета > Аксесоари за кучешки заграждения
gid://shopify/TaxonomyCategory/ap-2-3-6          : Артикули за животни и домашни любимци > Артикули за домашни любимци > Артикули за кучета > Кучешки колиби и клетки
gid://shopify/TaxonomyCategory/ap-2-3-6-1        : Артикули за животни и домашни любимци > Артикули за домашни любимци > Артикули за кучета > Кучешки колиби и клетки > Заграждения за кучета
gid://shopify/TaxonomyCategory/ap-2-3-6-2        : Артикули за животни и домашни любимци > Артикули за домашни любимци > Артикули за кучета > Кучешки колиби и клетки > Кучешки клетки
gid://shopify/TaxonomyCategory/ap-2-3-6-3        : Артикули за животни и домашни любимци > Артикули за домашни любимци > Артикули за кучета > Кучешки колиби и клетки > Кучешки колиби за закрито
gid://shopify/TaxonomyCategory/ap-2-3-6-4        : Артикули за животни и домашни любимци > Артикули за домашни любимци > Артикули за кучета > Кучешки колиби и клетки > Кучешки колиби за открито
gid://shopify/TaxonomyCategory/ap-2-3-6-5        : Артикули за животни и домашни любимци > Артикули за домашни любимци > Артикули за кучета > Кучешки колиби и клетки > Преносими колиби за кучета
gid://shopify/TaxonomyCategory/ap-2-3-7          : Артикули за животни и домашни любимци > Артикули за домашни любимци > Артикули за кучета > Играчки за кучета
gid://shopify/TaxonomyCategory/ap-2-3-8          : Артикули за животни и домашни любимци > Артикули за домашни любимци > Артикули за кучета > Бягащи пътеки за кучета
gid://shopify/TaxonomyCategory/ap-2-3-9          : Артикули за животни и домашни любимци > Артикули за домашни любимци > Артикули за кучета > Лакомства за кучета
gid://shopify/TaxonomyCategory/ap-2-4            : Артикули за животни и домашни любимци > Артикули за домашни любимци > Риби и артикули за акваристика
gid://shopify/TaxonomyCategory/ap-2-4-1          : Артикули за животни и домашни любимци > Артикули за домашни любимци > Риби и артикули за акваристика > Тръби за аквариуми и изкуствени езера
gid://shopify/TaxonomyCategory/ap-2-4-1-1        : Артикули за животни и домашни любимци > Артикули за домашни любимци > Риби и артикули за акваристика > Тръби за аквариуми и изкуствени езера > Въздушни тръби
gid://shopify/TaxonomyCategory/ap-2-4-1-2        : Артикули за животни и домашни любимци > Артикули за домашни любимци > Риби и артикули за акваристика > Тръби за аквариуми и изкуствени езера > Навити тръби
gid://shopify/TaxonomyCategory/ap-2-4-1-3        : Артикули за животни и домашни любимци > Артикули за домашни любимци > Риби и артикули за акваристика > Тръби за аквариуми и изкуствени езера > Гъвкави тръби
gid://shopify/TaxonomyCategory/ap-2-4-1-4        : Артикули за животни и домашни любимци > Артикули за домашни любимци > Риби и артикули за акваристика > Тръби за аквариуми и изкуствени езера > Твърди тръби
gid://shopify/TaxonomyCategory/ap-2-4-1-5        : Артикули за животни и домашни любимци > Артикули за домашни любимци > Риби и артикули за акваристика > Тръби за аквариуми и изкуствени езера > Стандартни тръби
gid://shopify/TaxonomyCategory/ap-2-4-2          : Артикули за животни и домашни любимци > Артикули за домашни любимци > Риби и артикули за акваристика > Камъни за кислород и дифузери
gid://shopify/TaxonomyCategory/ap-2-4-2-1        : Артикули за животни и домашни любимци > Артикули за домашни любимци > Риби и артикули за акваристика > Камъни за кислород и дифузери > Въздушни дифузери
gid://shopify/TaxonomyCategory/ap-2-4-2-2        : Артикули за животни и домашни любимци > Артикули за домашни любимци > Риби и артикули за акваристика > Камъни за кислород и дифузери > Плоски камъни за кислород
gid://shopify/TaxonomyCategory/ap-2-4-2-3        : Артикули за животни и домашни любимци > Артикули за домашни любимци > Риби и артикули за акваристика > Камъни за кислород и дифузери > Стандартни камъни въздух
gid://shopify/TaxonomyCategory/ap-2-4-2-4        : Артикули за животни и домашни любимци > Артикули за домашни любимци > Риби и артикули за акваристика > Камъни за кислород и дифузери > Тръбни камъни за въздух
gid://shopify/TaxonomyCategory/ap-2-4-2-5        : Артикули за животни и домашни любимци > Артикули за домашни любимци > Риби и артикули за акваристика > Камъни за кислород и дифузери > Стенни камъни за въздух
gid://shopify/TaxonomyCategory/ap-2-4-3          : Артикули за животни и домашни любимци > Артикули за домашни любимци > Риби и артикули за акваристика > Консумативи за почистване на аквариум
gid://shopify/TaxonomyCategory/ap-2-4-3-1        : Артикули за животни и домашни любимци > Артикули за домашни любимци > Риби и артикули за акваристика > Консумативи за почистване на аквариум > Стъргалки за водорасли
gid://shopify/TaxonomyCategory/ap-2-4-3-2        : Артикули за животни и домашни любимци > Артикули за домашни любимци > Риби и артикули за акваристика > Консумативи за почистване на аквариум > Ръкавици за аквариум
gid://shopify/TaxonomyCategory/ap-2-4-3-3        : Артикули за животни и домашни любимци > Артикули за домашни любимци > Риби и артикули за акваристика > Консумативи за почистване на аквариум > Четки за почистване
gid://shopify/TaxonomyCategory/ap-2-4-3-4        : Артикули за животни и домашни любимци > Артикули за домашни любимци > Риби и артикули за акваристика > Консумативи за почистване на аквариум > Почистващи разтвори
gid://shopify/TaxonomyCategory/ap-2-4-3-5        : Артикули за животни и домашни любимци > Артикули за домашни любимци > Риби и артикули за акваристика > Консумативи за почистване на аквариум > Прахосмукачки за чакъл на дъното
gid://shopify/TaxonomyCategory/ap-2-4-3-6        : Артикули за животни и домашни любимци > Артикули за домашни любимци > Риби и артикули за акваристика > Консумативи за почистване на аквариум > Гъби за изстъргване
gid://shopify/TaxonomyCategory/ap-2-4-3-7        : Артикули за животни и домашни любимци > Артикули за домашни любимци > Риби и артикули за акваристика > Консумативи за почистване на аквариум > Сифони
gid://shopify/TaxonomyCategory/ap-2-4-3-8        : Артикули за животни и домашни любимци > Артикули за домашни любимци > Риби и артикули за акваристика > Консумативи за почистване на аквариум > Препарати за почистване на резервоари
gid://shopify/TaxonomyCategory/ap-2-4-4          : Артикули за животни и домашни любимци > Артикули за домашни любимци > Риби и артикули за акваристика > Декорации за аквариуми
gid://shopify/TaxonomyCategory/ap-2-4-4-1        : Артикули за животни и домашни любимци > Артикули за домашни любимци > Риби и артикули за акваристика > Декорации за аквариуми > Фонове за аквариум
gid://shopify/TaxonomyCategory/ap-2-4-4-2        : Артикули за животни и домашни любимци > Артикули за домашни любимци > Риби и артикули за акваристика > Декорации за аквариуми > Пещери и заслони за аквариум
gid://shopify/TaxonomyCategory/ap-2-4-4-3        : Артикули за животни и домашни любимци > Артикули за домашни любимци > Риби и артикули за акваристика > Декорации за аквариуми > Камъни за аквариум
gid://shopify/TaxonomyCategory/ap-2-4-4-4        : Артикули за животни и домашни любимци > Артикули за домашни любимци > Риби и артикули за акваристика > Декорации за аквариуми > Субстрати за аквариум
gid://shopify/TaxonomyCategory/ap-2-4-4-5        : Артикули за животни и домашни любимци > Артикули за домашни любимци > Риби и артикули за акваристика > Декорации за аквариуми > Изкуствени растения
gid://shopify/TaxonomyCategory/ap-2-4-4-6        : Артикули за животни и домашни любимци > Артикули за домашни любимци > Риби и артикули за акваристика > Декорации за аквариуми > Декорации с мехурчета
gid://shopify/TaxonomyCategory/ap-2-4-4-7        : Артикули за животни и домашни любимци > Артикули за домашни любимци > Риби и артикули за акваристика > Декорации за аквариуми > Дървени декорации
gid://shopify/TaxonomyCategory/ap-2-4-4-8        : Артикули за животни и домашни любимци > Артикули за домашни любимци > Риби и артикули за акваристика > Декорации за аквариуми > Орнаменти
gid://shopify/TaxonomyCategory/ap-2-4-4-9        : Артикули за животни и домашни любимци > Артикули за домашни любимци > Риби и артикули за акваристика > Декорации за аквариуми > Корабни останки
gid://shopify/TaxonomyCategory/ap-2-4-5          : Артикули за животни и домашни любимци > Артикули за домашни любимци > Риби и артикули за акваристика > Филтри за аквариум
gid://shopify/TaxonomyCategory/ap-2-4-5-1        : Артикули за животни и домашни любимци > Артикули за домашни любимци > Риби и артикули за акваристика > Филтри за аквариум > Външни и канистър филтри
gid://shopify/TaxonomyCategory/ap-2-4-5-2        : Артикули за животни и домашни любимци > Артикули за домашни любимци > Риби и артикули за акваристика > Филтри за аквариум > Филтри със задно закачане
gid://shopify/TaxonomyCategory/ap-2-4-5-3        : Артикули за животни и домашни любимци > Артикули за домашни любимци > Риби и артикули за акваристика > Филтри за аквариум > Вътрешни филтри
gid://shopify/TaxonomyCategory/ap-2-4-5-4        : Артикули за животни и домашни любимци > Артикули за домашни любимци > Риби и артикули за акваристика > Филтри за аквариум > Филтри с гъба
gid://shopify/TaxonomyCategory/ap-2-4-5-5        : Артикули за животни и домашни любимци > Артикули за домашни любимци > Риби и артикули за акваристика > Филтри за аквариум > Дънни филтри
gid://shopify/TaxonomyCategory/ap-2-4-6          : Артикули за животни и домашни любимци > Артикули за домашни любимци > Риби и артикули за акваристика > Кепчета за аквариумни рибки
gid://shopify/TaxonomyCategory/ap-2-4-6-1        : Артикули за животни и домашни любимци > Артикули за домашни любимци > Риби и артикули за акваристика > Кепчета за аквариумни рибки > Кепчета за загребване
gid://shopify/TaxonomyCategory/ap-2-4-6-2        : Артикули за животни и домашни любимци > Артикули за домашни любимци > Риби и артикули за акваристика > Кепчета за аквариумни рибки > Кепчета за скариди
gid://shopify/TaxonomyCategory/ap-2-4-6-3        : Артикули за животни и домашни любимци > Артикули за домашни любимци > Риби и артикули за акваристика > Кепчета за аквариумни рибки > Кепчета тип чорап
gid://shopify/TaxonomyCategory/ap-2-4-6-4        : Артикули за животни и домашни любимци > Артикули за домашни любимци > Риби и артикули за акваристика > Кепчета за аквариумни рибки > Стандартни мрежи
gid://shopify/TaxonomyCategory/ap-2-4-7          : Артикули за животни и домашни любимци > Артикули за домашни любимци > Риби и артикули за акваристика > Чакъл и субстрати за аквариум
gid://shopify/TaxonomyCategory/ap-2-4-7-1        : Артикули за животни и домашни любимци > Артикули за домашни любимци > Риби и артикули за акваристика > Чакъл и субстрати за аквариум > Почва за аквариум
gid://shopify/TaxonomyCategory/ap-2-4-7-2        : Артикули за животни и домашни любимци > Артикули за домашни любимци > Риби и артикули за акваристика > Чакъл и субстрати за аквариум > Арагонитов пясък
gid://shopify/TaxonomyCategory/ap-2-4-7-3        : Артикули за животни и домашни любимци > Артикули за домашни любимци > Риби и артикули за акваристика > Чакъл и субстрати за аквариум > Натрошени корали
gid://shopify/TaxonomyCategory/ap-2-4-7-4        : Артикули за животни и домашни любимци > Артикули за домашни любимци > Риби и артикули за акваристика > Чакъл и субстрати за аквариум > Стъклени камъни
gid://shopify/TaxonomyCategory/ap-2-4-7-5        : Артикули за животни и домашни любимци > Артикули за домашни любимци > Риби и артикули за акваристика > Чакъл и субстрати за аквариум > Чакъл
gid://shopify/TaxonomyCategory/ap-2-4-7-6        : Артикули за животни и домашни любимци > Артикули за домашни любимци > Риби и артикули за акваристика > Чакъл и субстрати за аквариум > Камъчета
gid://shopify/TaxonomyCategory/ap-2-4-7-7        : Артикули за животни и домашни любимци > Артикули за домашни любимци > Риби и артикули за акваристика > Чакъл и субстрати за аквариум > Пясък
gid://shopify/TaxonomyCategory/ap-2-4-8          : Артикули за животни и домашни любимци > Артикули за домашни любимци > Риби и артикули за акваристика > Аквариумно осветление
gid://shopify/TaxonomyCategory/ap-2-4-9          : Артикули за животни и домашни любимци > Артикули за домашни любимци > Риби и артикули за акваристика > Преливни кутии за аквариум
gid://shopify/TaxonomyCategory/ap-2-4-10         : Артикули за животни и домашни любимци > Артикули за домашни любимци > Риби и артикули за акваристика > Стойки за аквариум
gid://shopify/TaxonomyCategory/ap-2-4-10-1       : Артикули за животни и домашни любимци > Артикули за домашни любимци > Риби и артикули за акваристика > Стойки за аквариум > Стойки тип кутия
gid://shopify/TaxonomyCategory/ap-2-4-10-2       : Артикули за животни и домашни любимци > Артикули за домашни любимци > Риби и артикули за акваристика > Стойки за аквариум > Стойки за шкафове
gid://shopify/TaxonomyCategory/ap-2-4-10-3       : Артикули за животни и домашни любимци > Артикули за домашни любимци > Риби и артикули за акваристика > Стойки за аквариум > Двойни стойки за резервоари
gid://shopify/TaxonomyCategory/ap-2-4-10-4       : Артикули за животни и домашни любимци > Артикули за домашни любимци > Риби и артикули за акваристика > Стойки за аквариум > Стойки от ковано желязо
gid://shopify/TaxonomyCategory/ap-2-4-11         : Артикули за животни и домашни любимци > Артикули за домашни любимци > Риби и артикули за акваристика > Устройства за управление на температурата за аквариуми
gid://shopify/TaxonomyCategory/ap-2-4-11-1       : Артикули за животни и домашни любимци > Артикули за домашни любимци > Риби и артикули за акваристика > Устройства за управление на температурата за аквариуми > Аналогови устройства
gid://shopify/TaxonomyCategory/ap-2-4-11-2       : Артикули за животни и домашни любимци > Артикули за домашни любимци > Риби и артикули за акваристика > Устройства за управление на температурата за аквариуми > Дигитални устройства
gid://shopify/TaxonomyCategory/ap-2-4-12         : Артикули за животни и домашни любимци > Артикули за домашни любимци > Риби и артикули за акваристика > Препарати за обработка на водата
gid://shopify/TaxonomyCategory/ap-2-4-12-1       : Артикули за животни и домашни любимци > Артикули за домашни любимци > Риби и артикули за акваристика > Препарати за обработка на водата > Контрол на водорасли
gid://shopify/TaxonomyCategory/ap-2-4-12-2       : Артикули за животни и домашни любимци > Артикули за домашни любимци > Риби и артикули за акваристика > Препарати за обработка на водата > Препарати за отстраняване на амоняк
gid://shopify/TaxonomyCategory/ap-2-4-12-3       : Артикули за животни и домашни любимци > Артикули за домашни любимци > Риби и артикули за акваристика > Препарати за обработка на водата > Обработка срещу гъбички и бактерии
gid://shopify/TaxonomyCategory/ap-2-4-12-4       : Артикули за животни и домашни любимци > Артикули за домашни любимци > Риби и артикули за акваристика > Препарати за обработка на водата > Препарати за отстраняване на нитрати
gid://shopify/TaxonomyCategory/ap-2-4-12-5       : Артикули за животни и домашни любимци > Артикули за домашни любимци > Риби и артикули за акваристика > Препарати за обработка на водата > Регулатори на киселинността
gid://shopify/TaxonomyCategory/ap-2-4-12-6       : Артикули за животни и домашни любимци > Артикули за домашни любимци > Риби и артикули за акваристика > Препарати за обработка на водата > Детоксикатори на чешмяна вода
gid://shopify/TaxonomyCategory/ap-2-4-12-7       : Артикули за животни и домашни любимци > Артикули за домашни любимци > Риби и артикули за акваристика > Препарати за обработка на водата > Избистрители за вода
gid://shopify/TaxonomyCategory/ap-2-4-12-8       : Артикули за животни и домашни любимци > Артикули за домашни любимци > Риби и артикули за акваристика > Препарати за обработка на водата > Омекотители за вода
gid://shopify/TaxonomyCategory/ap-2-4-13         : Артикули за животни и домашни любимци > Артикули за домашни любимци > Риби и артикули за акваристика > Аквариуми
gid://shopify/TaxonomyCategory/ap-2-4-14         : Артикули за животни и домашни любимци > Артикули за домашни любимци > Риби и артикули за акваристика > Торове за аквариумни растения
gid://shopify/TaxonomyCategory/ap-2-4-14-1       : Артикули за животни и домашни любимци > Артикули за домашни любимци > Риби и артикули за акваристика > Торове за аквариумни растения > Гранулирани торове
gid://shopify/TaxonomyCategory/ap-2-4-14-2       : Артикули за животни и домашни любимци > Артикули за домашни любимци > Риби и артикули за акваристика > Торове за аквариумни растения > Течни торове
gid://shopify/TaxonomyCategory/ap-2-4-14-3       : Артикули за животни и домашни любимци > Артикули за домашни любимци > Риби и артикули за акваристика > Торове за аквариумни растения > Прахообразни торове
gid://shopify/TaxonomyCategory/ap-2-4-14-4       : Артикули за животни и домашни любимци > Артикули за домашни любимци > Риби и артикули за акваристика > Торове за аквариумни растения > Торове на таблетки
gid://shopify/TaxonomyCategory/ap-2-4-15         : Артикули за животни и домашни любимци > Артикули за домашни любимци > Риби и артикули за акваристика > Хранилки за риби
gid://shopify/TaxonomyCategory/ap-2-4-16         : Артикули за животни и домашни любимци > Артикули за домашни любимци > Риби и артикули за акваристика > Храна за риби
gid://shopify/TaxonomyCategory/ap-2-4-16-1       : Артикули за животни и домашни любимци > Артикули за домашни любимци > Риби и артикули за акваристика > Храна за риби > Вафли с водорасли
