# Shopify Product Taxonomy - Mappings: 0.17.0
# Format:
# {input_taxonomy_version} -> {output_taxonomy_version} # Mappings A start
# ...
# {input_category_id} -> {output_category_id}
# ...
# {input_taxonomy_version} -> {output_taxonomy_version} # Mappings A end, Mappings B start
# ...
# {input_category_id} -> {output_category_id}
# ...

shopify/2024-04 -> google/2021-09-21
gid://shopify/TaxonomyCategory/ap                => 1                                               
gid://shopify/TaxonomyCategory/ap-2-4-1-2        => 505303                                          
gid://shopify/TaxonomyCategory/ap-2-4-1-3        => 505303                                          
gid://shopify/TaxonomyCategory/ap-2-4-1-4        => 505303                                          
gid://shopify/TaxonomyCategory/ap-2-4-1-5        => 505303                                          
gid://shopify/TaxonomyCategory/ap-2-4-2          => 505307                                          
gid://shopify/TaxonomyCategory/ap-2-4-2-1        => 505307                                          
gid://shopify/TaxonomyCategory/ap-2-4-2-2        => 505307                                          
gid://shopify/TaxonomyCategory/ap-2-4-2-3        => 505307                                          
gid://shopify/TaxonomyCategory/ap-2-4-2-4        => 505307                                          
gid://shopify/TaxonomyCategory/ap-2-4-2-5        => 505307                                          
gid://shopify/TaxonomyCategory/ap-2-4-3          => 500038                                          
gid://shopify/TaxonomyCategory/ap-2-4-3-1        => 500038                                          
gid://shopify/TaxonomyCategory/ap-2-4-3-2        => 500038                                          
gid://shopify/TaxonomyCategory/ap-2-4-3-3        => 500038                                          
gid://shopify/TaxonomyCategory/ap-2-4-3-4        => 500038                                          
gid://shopify/TaxonomyCategory/ap-2-4-3-5        => 500038                                          
gid://shopify/TaxonomyCategory/ap-2-4-3-6        => 500038                                          
gid://shopify/TaxonomyCategory/ap-2-4-3-7        => 500038                                          
gid://shopify/TaxonomyCategory/ap-2-4-3-8        => 500038                                          
gid://shopify/TaxonomyCategory/ap-2-4-4          => 5019                                            
gid://shopify/TaxonomyCategory/ap-2-4-4-1        => 5019                                            
gid://shopify/TaxonomyCategory/ap-2-4-4-2        => 5019                                            
gid://shopify/TaxonomyCategory/ap-2-4-4-3        => 5019                                            
gid://shopify/TaxonomyCategory/ap-2-4-4-4        => 5019                                            
gid://shopify/TaxonomyCategory/ap-2-4-4-5        => 5019                                            
gid://shopify/TaxonomyCategory/ap-2-4-4-6        => 5019                                            
gid://shopify/TaxonomyCategory/ap-2-4-4-7        => 5019                                            
gid://shopify/TaxonomyCategory/ap-2-4-4-8        => 5019                                            
gid://shopify/TaxonomyCategory/ap-2-4-4-9        => 5019                                            
gid://shopify/TaxonomyCategory/ap-2-4-5          => 5020                                            
gid://shopify/TaxonomyCategory/ap-2-4-5-1        => 5020                                            
gid://shopify/TaxonomyCategory/ap-2-4-5-2        => 5020                                            
gid://shopify/TaxonomyCategory/ap-2-4-5-3        => 5020                                            
gid://shopify/TaxonomyCategory/ap-2-4-5-4        => 5020                                            
gid://shopify/TaxonomyCategory/ap-2-4-5-5        => 5020                                            
gid://shopify/TaxonomyCategory/ap-2-4-6          => 505306                                          
gid://shopify/TaxonomyCategory/ap-2-4-6-1        => 505306                                          
gid://shopify/TaxonomyCategory/ap-2-4-6-2        => 505306                                          
gid://shopify/TaxonomyCategory/ap-2-4-6-3        => 505306                                          
gid://shopify/TaxonomyCategory/ap-2-4-6-4        => 505306                                          
gid://shopify/TaxonomyCategory/ap-2-4-7          => 5021                                            
gid://shopify/TaxonomyCategory/ap-2-4-7-1        => 5021                                            
gid://shopify/TaxonomyCategory/ap-2-4-7-2        => 5021                                            
gid://shopify/TaxonomyCategory/ap-2-4-7-3        => 5021                                            
gid://shopify/TaxonomyCategory/ap-2-4-7-4        => 5021                                            
gid://shopify/TaxonomyCategory/ap-2-4-7-5        => 5021                                            
gid://shopify/TaxonomyCategory/ap-2-4-7-6        => 5021                                            
gid://shopify/TaxonomyCategory/ap-2-4-7-7        => 5021                                            
gid://shopify/TaxonomyCategory/ap-2-4-8          => 5079                                            
gid://shopify/TaxonomyCategory/ap-2-4-9          => 6951                                            
gid://shopify/TaxonomyCategory/ap-2-4-10         => 5023                                            
gid://shopify/TaxonomyCategory/ap-2-4-10-1       => 5023                                            
gid://shopify/TaxonomyCategory/ap-2-4-10-2       => 5023                                            
gid://shopify/TaxonomyCategory/ap-2-4-10-3       => 5023                                            
gid://shopify/TaxonomyCategory/ap-2-4-10-4       => 5023                                            
gid://shopify/TaxonomyCategory/ap-2-4-11         => 500062                                          
gid://shopify/TaxonomyCategory/ap-2-4-11-1       => 500062                                          
gid://shopify/TaxonomyCategory/ap-2-4-11-2       => 500062                                          
gid://shopify/TaxonomyCategory/ap-2-4-12         => 5161                                            
gid://shopify/TaxonomyCategory/ap-2-4-12-1       => 5161                                            
gid://shopify/TaxonomyCategory/ap-2-4-12-2       => 5161                                            
gid://shopify/TaxonomyCategory/ap-2-4-12-3       => 5161                                            
gid://shopify/TaxonomyCategory/ap-2-4-12-4       => 5161                                            
gid://shopify/TaxonomyCategory/ap-2-4-12-5       => 5161                                            
gid://shopify/TaxonomyCategory/ap-2-4-12-6       => 5161                                            
gid://shopify/TaxonomyCategory/ap-2-4-12-7       => 5161                                            
gid://shopify/TaxonomyCategory/ap-2-4-12-8       => 5161                                            
gid://shopify/TaxonomyCategory/ap-2-4-13         => 3238                                            
gid://shopify/TaxonomyCategory/ap-2-4-14         => 6085                                            
gid://shopify/TaxonomyCategory/ap-2-4-14-1       => 6085                                            
gid://shopify/TaxonomyCategory/ap-2-4-14-2       => 6085                                            
gid://shopify/TaxonomyCategory/ap-2-4-14-3       => 6085                                            
gid://shopify/TaxonomyCategory/ap-2-4-14-4       => 6085                                            
gid://shopify/TaxonomyCategory/ap-2-4-15         => 6403                                            
gid://shopify/TaxonomyCategory/ap-2-4-16         => 5024                                            
gid://shopify/TaxonomyCategory/ap-2-4-16-1       => 5024                                            
gid://shopify/TaxonomyCategory/ap-2-4-16-2       => 5024                                            
gid://shopify/TaxonomyCategory/ap-2-4-16-3       => 5024                                            
gid://shopify/TaxonomyCategory/ap-2-4-16-4       => 5024                                            
gid://shopify/TaxonomyCategory/ap-2-4-16-5       => 5024                                            
gid://shopify/TaxonomyCategory/ap-2-4-16-6       => 5024                                            
gid://shopify/TaxonomyCategory/ap-2-4-16-7       => 5024                                            
gid://shopify/TaxonomyCategory/ap-2-4-16-8       => 5024                                            
gid://shopify/TaxonomyCategory/ap-2-4-16-9       => 5024                                            
gid://shopify/TaxonomyCategory/ap-2-5            => 6983                                            
gid://shopify/TaxonomyCategory/ap-2-5-1          => 6983                                            
gid://shopify/TaxonomyCategory/ap-2-5-2          => 6983                                            
gid://shopify/TaxonomyCategory/ap-2-5-3          => 6983                                            
gid://shopify/TaxonomyCategory/ap-2-5-4          => 6983                                            
gid://shopify/TaxonomyCategory/ap-2-5-5          => 6983                                            
gid://shopify/TaxonomyCategory/ap-2-5-6          => 6983                                            
gid://shopify/TaxonomyCategory/ap-2-5-7          => 6983                                            
gid://shopify/TaxonomyCategory/ap-2-5-8          => 6983                                            
gid://shopify/TaxonomyCategory/ap-2-6            => 2                                               
gid://shopify/TaxonomyCategory/ap-2-6-1          => 2                                               
gid://shopify/TaxonomyCategory/ap-2-6-2          => 2                                               
gid://shopify/TaxonomyCategory/ap-2-6-3          => 2                                               
gid://shopify/TaxonomyCategory/ap-2-6-4          => 2                                               
gid://shopify/TaxonomyCategory/ap-2-6-5          => 2                                               
gid://shopify/TaxonomyCategory/ap-2-6-6          => 2                                               
gid://shopify/TaxonomyCategory/ap-2-6-7          => 2                                               
gid://shopify/TaxonomyCategory/ap-2-6-8          => 2                                               
gid://shopify/TaxonomyCategory/ap-2-6-9          => 2                                               
gid://shopify/TaxonomyCategory/ap-2-6-10         => 2                                               
gid://shopify/TaxonomyCategory/ap-2-6-11         => 2                                               
gid://shopify/TaxonomyCategory/ap-2-6-12         => 2                                               
gid://shopify/TaxonomyCategory/ap-2-6-13         => 2                                               
gid://shopify/TaxonomyCategory/ap-2-6-14         => 2                                               
gid://shopify/TaxonomyCategory/ap-2-6-15         => 2                                               
gid://shopify/TaxonomyCategory/ap-2-6-16         => 2                                               
gid://shopify/TaxonomyCategory/ap-2-6-17         => 2                                               
gid://shopify/TaxonomyCategory/ap-2-7            => 6811                                            
gid://shopify/TaxonomyCategory/ap-2-8            => 500084                                          
gid://shopify/TaxonomyCategory/ap-2-9            => 2                                               
gid://shopify/TaxonomyCategory/ap-2-9-1          => 2                                               
gid://shopify/TaxonomyCategory/ap-2-9-2          => 2                                               
gid://shopify/TaxonomyCategory/ap-2-9-3          => 2                                               
gid://shopify/TaxonomyCategory/ap-2-9-4          => 2                                               
gid://shopify/TaxonomyCategory/ap-2-9-5          => 2                                               
gid://shopify/TaxonomyCategory/ap-2-9-6          => 2                                               
gid://shopify/TaxonomyCategory/ap-2-9-7          => 2                                               
gid://shopify/TaxonomyCategory/ap-2-9-8          => 2                                               
gid://shopify/TaxonomyCategory/ap-2-9-9          => 2                                               
gid://shopify/TaxonomyCategory/ap-2-9-10         => 2                                               
gid://shopify/TaxonomyCategory/ap-2-9-11         => 2                                               
gid://shopify/TaxonomyCategory/ap-2-9-12         => 2                                               
gid://shopify/TaxonomyCategory/ap-2-9-13         => 2                                               
gid://shopify/TaxonomyCategory/ap-2-10           => 5092                                            
gid://shopify/TaxonomyCategory/ap-2-10-1         => 5092                                            
gid://shopify/TaxonomyCategory/ap-2-10-2         => 5092                                            
gid://shopify/TaxonomyCategory/ap-2-10-3         => 5092                                            
gid://shopify/TaxonomyCategory/ap-2-11           => 6978                                            
gid://shopify/TaxonomyCategory/ap-2-11-1         => 6980                                            
gid://shopify/TaxonomyCategory/ap-2-11-2         => 6982                                            
gid://shopify/TaxonomyCategory/ap-2-11-3         => 6981                                            
gid://shopify/TaxonomyCategory/ap-2-12           => 7143                                            
gid://shopify/TaxonomyCategory/ap-2-13           => 8513                                            
gid://shopify/TaxonomyCategory/ap-2-14           => 6252                                            
gid://shopify/TaxonomyCategory/ap-2-14-1         => 6252                                            
gid://shopify/TaxonomyCategory/ap-2-14-2         => 6252                                            
gid://shopify/TaxonomyCategory/ap-2-14-3         => 6252                                            
gid://shopify/TaxonomyCategory/ap-2-14-4         => 6252                                            
gid://shopify/TaxonomyCategory/ap-2-14-5         => 6252                                            
gid://shopify/TaxonomyCategory/ap-2-14-6         => 6252                                            
gid://shopify/TaxonomyCategory/ap-2-14-7         => 6252                                            
gid://shopify/TaxonomyCategory/ap-2-14-8         => 6252                                            
gid://shopify/TaxonomyCategory/ap-2-15           => 500026                                          
gid://shopify/TaxonomyCategory/ap-2-16           => 6251                                            
gid://shopify/TaxonomyCategory/ap-2-16-1         => 6251                                            
gid://shopify/TaxonomyCategory/ap-2-16-2         => 6251                                            
gid://shopify/TaxonomyCategory/ap-2-16-3         => 6251                                            
gid://shopify/TaxonomyCategory/ap-2-16-4         => 6251                                            
gid://shopify/TaxonomyCategory/ap-2-16-5         => 6251                                            
gid://shopify/TaxonomyCategory/ap-2-16-8         => 6251                                            
gid://shopify/TaxonomyCategory/ap-2-16-9         => 6251                                            
gid://shopify/TaxonomyCategory/ap-2-16-10        => 6251                                            
gid://shopify/TaxonomyCategory/ap-2-16-11        => 6251                                            
gid://shopify/TaxonomyCategory/ap-2-16-12        => 6251                                            
gid://shopify/TaxonomyCategory/ap-2-17           => 6250                                            
gid://shopify/TaxonomyCategory/ap-2-17-1         => 6250                                            
gid://shopify/TaxonomyCategory/ap-2-17-2         => 6250                                            
gid://shopify/TaxonomyCategory/ap-2-17-3         => 6250                                            
gid://shopify/TaxonomyCategory/ap-2-17-4         => 6250                                            
gid://shopify/TaxonomyCategory/ap-2-17-5         => 6250                                            
gid://shopify/TaxonomyCategory/ap-2-17-6         => 6250                                            
gid://shopify/TaxonomyCategory/ap-2-17-7         => 6250                                            
gid://shopify/TaxonomyCategory/ap-2-17-8         => 6250                                            
gid://shopify/TaxonomyCategory/ap-2-17-9         => 6250                                            
gid://shopify/TaxonomyCategory/ap-2-17-10        => 6250                                            
gid://shopify/TaxonomyCategory/ap-2-18           => 6321                                            
gid://shopify/TaxonomyCategory/ap-2-18-1         => 6321                                            
gid://shopify/TaxonomyCategory/ap-2-18-2         => 6321                                            
gid://shopify/TaxonomyCategory/ap-2-18-3         => 6321                                            
gid://shopify/TaxonomyCategory/ap-2-18-4         => 6321                                            
gid://shopify/TaxonomyCategory/ap-2-18-5         => 6321                                            
gid://shopify/TaxonomyCategory/ap-2-18-6         => 6321                                            
gid://shopify/TaxonomyCategory/ap-2-19           => 505811                                          
gid://shopify/TaxonomyCategory/ap-2-20           => 4497                                            
gid://shopify/TaxonomyCategory/ap-2-20-1         => 4497                                            
gid://shopify/TaxonomyCategory/ap-2-20-2         => 4497                                            
gid://shopify/TaxonomyCategory/ap-2-20-3         => 4497                                            
gid://shopify/TaxonomyCategory/ap-2-20-4         => 4497                                            
gid://shopify/TaxonomyCategory/ap-2-20-5         => 4497                                            
gid://shopify/TaxonomyCategory/ap-2-21           => 8050                                            
gid://shopify/TaxonomyCategory/ap-2-21-1         => 8050                                            
gid://shopify/TaxonomyCategory/ap-2-21-2         => 8050                                            
gid://shopify/TaxonomyCategory/ap-2-21-3         => 8050                                            
gid://shopify/TaxonomyCategory/ap-2-21-4         => 8050                                            
gid://shopify/TaxonomyCategory/ap-2-21-5         => 8050                                            
gid://shopify/TaxonomyCategory/ap-2-21-6         => 8050                                            
gid://shopify/TaxonomyCategory/ap-2-22           => 8068                                            
gid://shopify/TaxonomyCategory/ap-2-22-1         => 8068                                            
gid://shopify/TaxonomyCategory/ap-2-22-2         => 8068                                            
gid://shopify/TaxonomyCategory/ap-2-22-3         => 8068                                            
gid://shopify/TaxonomyCategory/ap-2-23           => 6248                                            
gid://shopify/TaxonomyCategory/ap-2-23-1         => 6248                                            
gid://shopify/TaxonomyCategory/ap-2-23-2         => 6248                                            
gid://shopify/TaxonomyCategory/ap-2-23-3         => 6248                                            
gid://shopify/TaxonomyCategory/ap-2-23-4         => 6248                                            
gid://shopify/TaxonomyCategory/ap-2-23-5         => 6248                                            
gid://shopify/TaxonomyCategory/ap-2-23-6         => 6248                                            
gid://shopify/TaxonomyCategory/ap-2-23-7         => 6248                                            
gid://shopify/TaxonomyCategory/ap-2-24           => 5162                                            
gid://shopify/TaxonomyCategory/ap-2-24-1         => 5162                                            
gid://shopify/TaxonomyCategory/ap-2-24-2         => 5162                                            
gid://shopify/TaxonomyCategory/ap-2-24-3         => 5162                                            
gid://shopify/TaxonomyCategory/ap-2-25           => 5163                                            
gid://shopify/TaxonomyCategory/ap-2-26           => 6383                                            
gid://shopify/TaxonomyCategory/ap-2-26-1         => 6385                                            
gid://shopify/TaxonomyCategory/ap-2-26-1-1       => 6385                                            
gid://shopify/TaxonomyCategory/ap-2-26-1-2       => 6385                                            
gid://shopify/TaxonomyCategory/ap-2-26-1-3       => 6385                                            
gid://shopify/TaxonomyCategory/ap-2-26-1-4       => 6385                                            
gid://shopify/TaxonomyCategory/ap-2-26-1-5       => 6385                                            
gid://shopify/TaxonomyCategory/ap-2-26-1-6       => 6385                                            
gid://shopify/TaxonomyCategory/ap-2-26-2         => 503733                                          
gid://shopify/TaxonomyCategory/ap-2-26-2-1       => 503733                                          
gid://shopify/TaxonomyCategory/ap-2-26-2-2       => 503733                                          
gid://shopify/TaxonomyCategory/ap-2-26-2-3       => 503733                                          
gid://shopify/TaxonomyCategory/ap-2-26-2-4       => 503733                                          
gid://shopify/TaxonomyCategory/ap-2-26-3         => 6384                                            
gid://shopify/TaxonomyCategory/ap-2-26-3-1       => 6384                                            
gid://shopify/TaxonomyCategory/ap-2-26-3-2       => 6384                                            
gid://shopify/TaxonomyCategory/ap-2-26-3-3       => 6384                                            
gid://shopify/TaxonomyCategory/ap-2-26-3-4       => 6384                                            
gid://shopify/TaxonomyCategory/ap-2-26-3-5       => 6384                                            
gid://shopify/TaxonomyCategory/ap-2-26-4         => 8167                                            
gid://shopify/TaxonomyCategory/ap-2-26-5         => 7318                                            
gid://shopify/TaxonomyCategory/ap-2-26-6         => 7319                                            
gid://shopify/TaxonomyCategory/ap-2-26-7         => 6406                                            
gid://shopify/TaxonomyCategory/ap-2-26-7-1       => 6406                                            
gid://shopify/TaxonomyCategory/ap-2-26-7-2       => 6406                                            
gid://shopify/TaxonomyCategory/ap-2-26-7-3       => 6406                                            
gid://shopify/TaxonomyCategory/ap-2-26-8         => 499917                                          
gid://shopify/TaxonomyCategory/ap-2-26-8-1       => 499917                                          
gid://shopify/TaxonomyCategory/ap-2-26-8-2       => 499917                                          
gid://shopify/TaxonomyCategory/ap-2-26-8-3       => 499917                                          
gid://shopify/TaxonomyCategory/ap-2-26-8-4       => 499917                                          
gid://shopify/TaxonomyCategory/ap-2-26-8-5       => 499917                                          
gid://shopify/TaxonomyCategory/ap-2-26-8-6       => 499917                                          
gid://shopify/TaxonomyCategory/ap-2-26-8-7       => 499917                                          
gid://shopify/TaxonomyCategory/ap-2-26-8-8       => 499917                                          
gid://shopify/TaxonomyCategory/ap-2-27           => 500110                                          
gid://shopify/TaxonomyCategory/ap-2-28           => 499743                                          
gid://shopify/TaxonomyCategory/ap-2-29           => 5093                                            
gid://shopify/TaxonomyCategory/ap-2-29-1         => 5093                                            
gid://shopify/TaxonomyCategory/ap-2-29-2         => 5093                                            
gid://shopify/TaxonomyCategory/ap-2-29-3         => 5093                                            
gid://shopify/TaxonomyCategory/ap-2-29-4         => 5093                                            
gid://shopify/TaxonomyCategory/ap-2-30           => 6253                                            
gid://shopify/TaxonomyCategory/ap-2-31           => 6249                                            
gid://shopify/TaxonomyCategory/ap-2-31-1         => 6249                                            
gid://shopify/TaxonomyCategory/ap-2-31-2         => 6249                                            
gid://shopify/TaxonomyCategory/ap-2-31-3         => 6249                                            
gid://shopify/TaxonomyCategory/ap-2-31-4         => 6249                                            
gid://shopify/TaxonomyCategory/ap-2-31-5         => 6249                                            
gid://shopify/TaxonomyCategory/ap-2-31-6         => 6249                                            
gid://shopify/TaxonomyCategory/ap-2-32           => 5145                                            
gid://shopify/TaxonomyCategory/ap-2-33           => 6861                                            
gid://shopify/TaxonomyCategory/ap-2-34           => 5086                                            
gid://shopify/TaxonomyCategory/ap-2-34-1         => 5086                                            
gid://shopify/TaxonomyCategory/ap-2-34-2         => 5086                                            
gid://shopify/TaxonomyCategory/ap-2-34-3         => 5086                                            
gid://shopify/TaxonomyCategory/ap-2-34-4         => 5086                                            
gid://shopify/TaxonomyCategory/ap-2-34-5         => 5086                                            
gid://shopify/TaxonomyCategory/ap-2-34-6         => 5086                                            
gid://shopify/TaxonomyCategory/ap-2-34-7         => 5086                                            
gid://shopify/TaxonomyCategory/ap-2-35           => 5144                                            
gid://shopify/TaxonomyCategory/ap-2-36           => 7144                                            
gid://shopify/TaxonomyCategory/ap-2-36-1         => 7144                                            
gid://shopify/TaxonomyCategory/ap-2-36-2         => 7144                                            
gid://shopify/TaxonomyCategory/ap-2-36-3         => 7144                                            
gid://shopify/TaxonomyCategory/ap-2-36-5         => 7144                                            
gid://shopify/TaxonomyCategory/ap-2-36-6         => 7144                                            
gid://shopify/TaxonomyCategory/ap-2-36-7         => 7144                                            
gid://shopify/TaxonomyCategory/ap-2-36-8         => 7144                                            
gid://shopify/TaxonomyCategory/ap-2-36-9         => 7144                                            
gid://shopify/TaxonomyCategory/ap-2-49           => 6973                                            
gid://shopify/TaxonomyCategory/ap-2-39           => 6276                                            
gid://shopify/TaxonomyCategory/ap-2-39-1         => 6276                                            
gid://shopify/TaxonomyCategory/ap-2-39-2         => 6276                                            
gid://shopify/TaxonomyCategory/ap-2-39-3         => 6276                                            
gid://shopify/TaxonomyCategory/ap-2-39-4         => 6276                                            
gid://shopify/TaxonomyCategory/ap-2-39-5         => 6276                                            
gid://shopify/TaxonomyCategory/ap-2-40           => 7396                                            
gid://shopify/TaxonomyCategory/ap-2-41           => 505314                                          
gid://shopify/TaxonomyCategory/ap-2-41-1         => 505313                                          
gid://shopify/TaxonomyCategory/ap-2-41-2         => 505304                                          
gid://shopify/TaxonomyCategory/ap-2-41-2-1       => 505304                                          
gid://shopify/TaxonomyCategory/ap-2-41-2-2       => 505304                                          
gid://shopify/TaxonomyCategory/ap-2-41-2-3       => 505304                                          
gid://shopify/TaxonomyCategory/ap-2-41-3         => 6846                                            
gid://shopify/TaxonomyCategory/ap-2-41-4         => 505311                                          
gid://shopify/TaxonomyCategory/ap-2-42           => 5081                                            
gid://shopify/TaxonomyCategory/ap-2-42-2         => 5081                                            
gid://shopify/TaxonomyCategory/ap-2-42-3         => 5081                                            
gid://shopify/TaxonomyCategory/ap-2-42-4         => 5081                                            
