# Shopify Product Taxonomy - Attributes: 2026-05
# Format: {GID} : {Attribute name}

gid://shopify/TaxonomyAttribute/5398  : 3D-glasögonpassningsdesign
gid://shopify/TaxonomyAttribute/5562  : Adapterriktning
gid://shopify/TaxonomyAttribute/5424  : Adapterdriftslägen
gid://shopify/TaxonomyAttribute/6979  : Adapterorientering
gid://shopify/TaxonomyAttribute/5391  : Adaptiv synkroniseringsteknik
gid://shopify/TaxonomyAttribute/3376  : Ytterligare detaljer för programvara för animering
gid://shopify/TaxonomyAttribute/5144  : Ytterligare rengöringsteknik
gid://shopify/TaxonomyAttribute/3378  : Typ av ytterligare programvara för design
gid://shopify/TaxonomyAttribute/3373  : Ytterligare detaljer för programvara för ekonomi
gid://shopify/TaxonomyAttribute/3377  : Ytterligare detaljer för grafisk programvara
gid://shopify/TaxonomyAttribute/3379  : Ytterligare detaljer för programvara för publicering
gid://shopify/TaxonomyAttribute/3372  : Ytterligare detaljer för programvara för säkerhet
gid://shopify/TaxonomyAttribute/8951  : Additiv tillämpningsfas
gid://shopify/TaxonomyAttribute/5249  : Limmets användningstyp
gid://shopify/TaxonomyAttribute/8952  : Självhäftande baksida
gid://shopify/TaxonomyAttribute/5099  : Limegenskaper
gid://shopify/TaxonomyAttribute/5531  : Limformat
gid://shopify/TaxonomyAttribute/6980  : Limsammansättning
gid://shopify/TaxonomyAttribute/8953  : Självhäftande sidor
gid://shopify/TaxonomyAttribute/5207  : Vidhäftningsstyrka
gid://shopify/TaxonomyAttribute/2319  : Typ av lim
gid://shopify/TaxonomyAttribute/8954  : Tilläggsform för spannmålsbearbetning
gid://shopify/TaxonomyAttribute/8009  : Justerbarhetstyp
gid://shopify/TaxonomyAttribute/8955  : Justerbara ljuddämpare
gid://shopify/TaxonomyAttribute/6861  : Justerbara zoner
gid://shopify/TaxonomyAttribute/8010  : Justeringstyp
gid://shopify/TaxonomyAttribute/6981  : Administreringsmetod
gid://shopify/TaxonomyAttribute/8956  : Typ av kortprompt
gid://shopify/TaxonomyAttribute/6982  : Ventileringsmetod
gid://shopify/TaxonomyAttribute/8011  : Aeropaketets komponenter
gid://shopify/TaxonomyAttribute/8012  : Aerodynamiska element som ingår
gid://shopify/TaxonomyAttribute/3354  : Produktform för aftershave
gid://shopify/TaxonomyAttribute/8957  : Aftertouch-support
gid://shopify/TaxonomyAttribute/7611  : Klassificering av agaveinnehållet
gid://shopify/TaxonomyAttribute/30    : Åldersgrupp
gid://shopify/TaxonomyAttribute/2274  : Åldersbegränsningar
gid://shopify/TaxonomyAttribute/8958  : Aida-tygantal
gid://shopify/TaxonomyAttribute/8959  : Aida-tyg i färdigskuret format
gid://shopify/TaxonomyAttribute/6338  : Delar till luft- och vattenraketskit som ingår
gid://shopify/TaxonomyAttribute/6339  : Uppskjutningsmetod för luft- och vattenraket
gid://shopify/TaxonomyAttribute/8960  : Krockkuddens material
gid://shopify/TaxonomyAttribute/6862  : Luftmadrassens inre konstruktion
gid://shopify/TaxonomyAttribute/2708  : Form av luftfräschare
gid://shopify/TaxonomyAttribute/5689  : Typ av tillbehör till airfryer
gid://shopify/TaxonomyAttribute/4050  : Airfryerfunktioner
gid://shopify/TaxonomyAttribute/6983  : Airhockeyartikel ingår
gid://shopify/TaxonomyAttribute/8013  : Monteringsstil för luftintagstemperatursensor
gid://shopify/TaxonomyAttribute/6984  : Luftintegrationskapacitet
gid://shopify/TaxonomyAttribute/3182  : Detaljer för luftmadrass
gid://shopify/TaxonomyAttribute/6985  : Luftmadrassens ventiltyp
gid://shopify/TaxonomyAttribute/5690  : Filterteknik för luftrenare
gid://shopify/TaxonomyAttribute/5691  : Filtreringsklassificering för luftrenare
gid://shopify/TaxonomyAttribute/5103  : Luftslangskonfiguration
gid://shopify/TaxonomyAttribute/8961  : Lufttorkande lera i färg
gid://shopify/TaxonomyAttribute/8014  : Krockkuddens position
gid://shopify/TaxonomyAttribute/3329  : Typ av matning för airbrush
gid://shopify/TaxonomyAttribute/3328  : Driftmetod airbrush
gid://shopify/TaxonomyAttribute/8015  : Flygplanets ADS-B-kapacitet
gid://shopify/TaxonomyAttribute/8016  : Flygplansskrovets material
gid://shopify/TaxonomyAttribute/8017  : Konfiguration av flygplanskabin
gid://shopify/TaxonomyAttribute/8018  : Flygplansdokumentation som ingår
gid://shopify/TaxonomyAttribute/4683  : Konfiguration av flygplansmotorer
gid://shopify/TaxonomyAttribute/4682  : Flygplanets motortyp
gid://shopify/TaxonomyAttribute/8019  : Konfiguration av flygplanskabyss
gid://shopify/TaxonomyAttribute/8020  : Flygplanets installationsplatser
gid://shopify/TaxonomyAttribute/8021  : Internetkoppling på flygplanet
gid://shopify/TaxonomyAttribute/8022  : Typ av landningsställ för flygplan
gid://shopify/TaxonomyAttribute/8023  : Konfiguration av flygplanstoaletter
gid://shopify/TaxonomyAttribute/8024  : Registrering i flygplansunderhållsprogram
gid://shopify/TaxonomyAttribute/8025  : Driftcertifiering av flygplan
gid://shopify/TaxonomyAttribute/8026  : Certifiering av flygskyddsutrustning
gid://shopify/TaxonomyAttribute/8027  : App för flygplanssystem
gid://shopify/TaxonomyAttribute/5211  : Luftflödesöppningsdesign
gid://shopify/TaxonomyAttribute/8962  : Nivå av luftmotstånd
gid://shopify/TaxonomyAttribute/8028  : Flygplanets höljematerial
gid://shopify/TaxonomyAttribute/6986  : Typ av airsoftdel
gid://shopify/TaxonomyAttribute/8029  : Underlag för godkännande av flygduglighet
gid://shopify/TaxonomyAttribute/6987  : Justerbar larmvolym
gid://shopify/TaxonomyAttribute/2287  : Albumtyp
gid://shopify/TaxonomyAttribute/5290  : Alkoholhalt
gid://shopify/TaxonomyAttribute/8963  : Alkoholbläckeffekt
gid://shopify/TaxonomyAttribute/5679  : Alkohol-/lösningsmedelsinnehåll
gid://shopify/TaxonomyAttribute/1362  : Varningstyp
gid://shopify/TaxonomyAttribute/6988  : Justeringsguider
gid://shopify/TaxonomyAttribute/1451  : Allergeninformation
gid://shopify/TaxonomyAttribute/1577  : Allergentesttyp
gid://shopify/TaxonomyAttribute/1631  : Allergener
gid://shopify/TaxonomyAttribute/3138  : Detaljer för allergivänligt
gid://shopify/TaxonomyAttribute/8030  : Generatorkylningstyp
gid://shopify/TaxonomyAttribute/8031  : Skyddsklassning för marin tändning av generator
gid://shopify/TaxonomyAttribute/8032  : Monteringskonfiguration för generator
gid://shopify/TaxonomyAttribute/8033  : Typ av generatorremskiva
gid://shopify/TaxonomyAttribute/8034  : Typ av generatorregulator
gid://shopify/TaxonomyAttribute/8035  : Generatorns terminalkopplingstyp
gid://shopify/TaxonomyAttribute/6989  : Lämplighet för höjd
gid://shopify/TaxonomyAttribute/8036  : Typ av monteringsplats för ambulansbår
gid://shopify/TaxonomyAttribute/6990  : Säkerhetscertifiering för amerikansk fotboll
gid://shopify/TaxonomyAttribute/5126  : Aminosyraundertyp
gid://shopify/TaxonomyAttribute/1800  : Förstärkarklass
gid://shopify/TaxonomyAttribute/2690  : Förstärkarkonfiguration
gid://shopify/TaxonomyAttribute/8964  : Förstärkarrörets funktion
gid://shopify/TaxonomyAttribute/1808  : Lämplig plats för förstärkare/booster
gid://shopify/TaxonomyAttribute/5088  : Amputationsnivå
gid://shopify/TaxonomyAttribute/8965  : Analog synt CV/Gate I/O
gid://shopify/TaxonomyAttribute/8966  : Konfiguration av analog synttangenter
gid://shopify/TaxonomyAttribute/5100  : Mätt analyt
gid://shopify/TaxonomyAttribute/4998  : Anamorfiskt pressningsförhållande
gid://shopify/TaxonomyAttribute/5043  : Visad anatomisk detalj
gid://shopify/TaxonomyAttribute/6991  : Ankarkonfiguration
gid://shopify/TaxonomyAttribute/1258  : Typ av förankring
gid://shopify/TaxonomyAttribute/2198  : Tillämpning för vindmätare
gid://shopify/TaxonomyAttribute/1883  : Stödda vinklar
gid://shopify/TaxonomyAttribute/1289  : Metestil
gid://shopify/TaxonomyAttribute/5692  : Komponenter för djurskötsel som ingår
gid://shopify/TaxonomyAttribute/2550  : Djurfoderform
gid://shopify/TaxonomyAttribute/7612  : Djuruppfödningsmetod
gid://shopify/TaxonomyAttribute/6340  : Djurarter
gid://shopify/TaxonomyAttribute/6992  : Djurfälla saxstil
gid://shopify/TaxonomyAttribute/6993  : Typ av djurfälla
gid://shopify/TaxonomyAttribute/1308  : Typ av djur
gid://shopify/TaxonomyAttribute/6994  : Fotledskrage
gid://shopify/TaxonomyAttribute/6995  : Skyddsnivå för fotleden
gid://shopify/TaxonomyAttribute/6996  : Fotledsremmens fodertyp
gid://shopify/TaxonomyAttribute/6997  : Typ av ankelrem
gid://shopify/TaxonomyAttribute/5519  : Telefonsvararstyp
gid://shopify/TaxonomyAttribute/6341  : Medelstort myrhus
gid://shopify/TaxonomyAttribute/6342  : Innehåll i myrhuskitet
gid://shopify/TaxonomyAttribute/6343  : Typ av belysning för myrhus
gid://shopify/TaxonomyAttribute/5587  : Antennens RF-kontakttyp
gid://shopify/TaxonomyAttribute/5511  : Antennanslutningstyp
gid://shopify/TaxonomyAttribute/8037  : Typ av antennpassform
gid://shopify/TaxonomyAttribute/1828  : Typ av antenn
gid://shopify/TaxonomyAttribute/8038  : Anti-G-dräktens material för blåsan
gid://shopify/TaxonomyAttribute/8039  : Kopplingstyp för anti-G-dräkt
gid://shopify/TaxonomyAttribute/8040  : Metod för uppblåsning av anti-G-dräkt
gid://shopify/TaxonomyAttribute/8041  : Förvaringssystem för anti-G-dräkt
gid://shopify/TaxonomyAttribute/3340  : Typ av åldersbekämpande hudvård
gid://shopify/TaxonomyAttribute/7613  : Klumpförebyggande medel
gid://shopify/TaxonomyAttribute/5305  : Antiperspirantens styrkenivå
gid://shopify/TaxonomyAttribute/6998  : Anti-reverse-typ
gid://shopify/TaxonomyAttribute/8042  : Stöldskyddsfunktion
gid://shopify/TaxonomyAttribute/5056  : Testad antikroppsklass
gid://shopify/TaxonomyAttribute/2710  : Typ av frostskyddsmedel
gid://shopify/TaxonomyAttribute/4680  : Antik bildesign
gid://shopify/TaxonomyAttribute/8967  : Antik vapentändningssystem
gid://shopify/TaxonomyAttribute/4679  : Tidsepok för antika fordon
gid://shopify/TaxonomyAttribute/7614  : Äppelsort
gid://shopify/TaxonomyAttribute/5501  : Apparatkortets funktion
gid://shopify/TaxonomyAttribute/5500  : Apparatenhetsplacering
gid://shopify/TaxonomyAttribute/1316  : Appliceringsmetod
gid://shopify/TaxonomyAttribute/5149  : Appliceringstyp
gid://shopify/TaxonomyAttribute/5258  : Applikatorformat
gid://shopify/TaxonomyAttribute/1639  : Applikatormaterial
gid://shopify/TaxonomyAttribute/3344  : Typ av applikator
gid://shopify/TaxonomyAttribute/8968  : Kantfinish
gid://shopify/TaxonomyAttribute/2314  : Form på applikation/lapp
gid://shopify/TaxonomyAttribute/5693  : Förklädets funktioner
gid://shopify/TaxonomyAttribute/5694  : Förklädestil
gid://shopify/TaxonomyAttribute/2980  : Detaljer för akvariumfilter
gid://shopify/TaxonomyAttribute/1708  : Ljusspektrum för akvarium
gid://shopify/TaxonomyAttribute/3228  : Design på uppsamlingslådor för akvarie
gid://shopify/TaxonomyAttribute/5695  : Vattenväxters tillväxtvanor
gid://shopify/TaxonomyAttribute/5696  : Design för trädtopp
gid://shopify/TaxonomyAttribute/6999  : Arbor-typ
gid://shopify/TaxonomyAttribute/7000  : Typ av bågskyttetillbehör
gid://shopify/TaxonomyAttribute/1302  : Bågskytteaktivitet
gid://shopify/TaxonomyAttribute/2888  : Bågskytteutrustning som ingår
gid://shopify/TaxonomyAttribute/7001  : Typ av del för bågskytte
gid://shopify/TaxonomyAttribute/7002  : Typ av tillbehör till skytte och skjutbana
gid://shopify/TaxonomyAttribute/1303  : Bågskytte stil
gid://shopify/TaxonomyAttribute/7003  : Funktioner för bågskytte
gid://shopify/TaxonomyAttribute/4365  : Typ av måltavla för bågskytte
gid://shopify/TaxonomyAttribute/7004  : Typ av bågskytteverktyg
gid://shopify/TaxonomyAttribute/7005  : Armbandets funktioner
gid://shopify/TaxonomyAttribute/7006  : Typ av armskydd
gid://shopify/TaxonomyAttribute/8043  : Typ av pansarskydd
gid://shopify/TaxonomyAttribute/6863  : Armstödets justerbarhet
gid://shopify/TaxonomyAttribute/6864  : Armstödstyp
gid://shopify/TaxonomyAttribute/2496  : Arrangemang
gid://shopify/TaxonomyAttribute/7008  : Pilkomponenttyp
gid://shopify/TaxonomyAttribute/7009  : Pilomslutningsnivå
gid://shopify/TaxonomyAttribute/2883  : Pilfjädring - material
gid://shopify/TaxonomyAttribute/7010  : Pilens fletchingsorientering
gid://shopify/TaxonomyAttribute/7011  : Pilnockspårets storlek
gid://shopify/TaxonomyAttribute/7012  : Pilnocktyp
gid://shopify/TaxonomyAttribute/7013  : Pilstödets stil
gid://shopify/TaxonomyAttribute/7014  : Pilskaftkompatibilitet
gid://shopify/TaxonomyAttribute/2969  : Pil/skäkta - material
gid://shopify/TaxonomyAttribute/7007  : Pil-/skäktspetstyp
gid://shopify/TaxonomyAttribute/2299  : Appliceringsmetod för konstfixativ
gid://shopify/TaxonomyAttribute/8970  : Konstbläckets ljushäkthetsklassificering
gid://shopify/TaxonomyAttribute/8971  : Konstbläckets opacitet
gid://shopify/TaxonomyAttribute/3429  : Konströrelse
gid://shopify/TaxonomyAttribute/2386  : Konststil
gid://shopify/TaxonomyAttribute/2930  : Konst- och hobbyverktyg - material
gid://shopify/TaxonomyAttribute/8969  : Verktygsspets för pyssel
gid://shopify/TaxonomyAttribute/7615  : Kronärtskockform
gid://shopify/TaxonomyAttribute/7616  : Kronärtskocksort
gid://shopify/TaxonomyAttribute/8972  : Rörliga funktioner
gid://shopify/TaxonomyAttribute/7016  : Konstgjord betesform
gid://shopify/TaxonomyAttribute/3430  : Konstverkets autenticitet
gid://shopify/TaxonomyAttribute/2796  : Konstram - material
gid://shopify/TaxonomyAttribute/2666  : Typ av konstverk
gid://shopify/TaxonomyAttribute/7018  : Uppstigande/nedstigande typ
gid://shopify/TaxonomyAttribute/5697  : Askfattyp
gid://shopify/TaxonomyAttribute/8044  : Typ av sug
gid://shopify/TaxonomyAttribute/12755 : Montering krävs
gid://shopify/TaxonomyAttribute/6865  : Monteringsstatus
gid://shopify/TaxonomyAttribute/7019  : Stödmekanism
gid://shopify/TaxonomyAttribute/3387  : Teknologi assisterad bromsning
gid://shopify/TaxonomyAttribute/7617  : Atemoyasort
gid://shopify/TaxonomyAttribute/7020  : Atletisk kupstorlek
gid://shopify/TaxonomyAttribute/1737  : Fastsättningsmetod
gid://shopify/TaxonomyAttribute/844   : Fastsättningsalternativ
gid://shopify/TaxonomyAttribute/7021  : Fästposition
gid://shopify/TaxonomyAttribute/1267  : Fastsättningstyp
gid://shopify/TaxonomyAttribute/7022  : Attraktiv doftprofil
gid://shopify/TaxonomyAttribute/5698  : Typ av lockmedel
gid://shopify/TaxonomyAttribute/1806  : Ljud D/A-konverterare (Dac)
gid://shopify/TaxonomyAttribute/5454  : Ljudförbikopplingstyp
gid://shopify/TaxonomyAttribute/5592  : Ljudkassettbandtyp
gid://shopify/TaxonomyAttribute/8046  : Ljudkanalkonfiguration
gid://shopify/TaxonomyAttribute/1822  : Kompatibla ljudkodekar/-format
gid://shopify/TaxonomyAttribute/5435  : Ljudkomponents formfaktor
gid://shopify/TaxonomyAttribute/1813  : Ljudanslutning
gid://shopify/TaxonomyAttribute/5545  : Ljudkonverteringsriktning
gid://shopify/TaxonomyAttribute/5516  : Ljudduplexkapacitet
gid://shopify/TaxonomyAttribute/8973  : Ljudingångar
gid://shopify/TaxonomyAttribute/3309  : Typ av ljudmixer
gid://shopify/TaxonomyAttribute/6344  : Ljudutgång
gid://shopify/TaxonomyAttribute/1801  : Ljudutgångskanal
gid://shopify/TaxonomyAttribute/1802  : Ljudutgångsformat
gid://shopify/TaxonomyAttribute/8974  : Ljudutgångar
gid://shopify/TaxonomyAttribute/6345  : Ljuduppspelningskälla
gid://shopify/TaxonomyAttribute/3066  : Detaljer för ljudspelare/inspelare
gid://shopify/TaxonomyAttribute/1818  : Ljudändamål
gid://shopify/TaxonomyAttribute/5591  : Stöd för ljudreturkanal
gid://shopify/TaxonomyAttribute/5607  : Ljudsignalkonfiguration
gid://shopify/TaxonomyAttribute/5417  : Ljudsystem
gid://shopify/TaxonomyAttribute/1803  : Ljudteknik
gid://shopify/TaxonomyAttribute/3074  : Detaljer för ljud- och skanningskonverterare
gid://shopify/TaxonomyAttribute/5604  : Audio/Video-kabelkontakttyp (ände A)
gid://shopify/TaxonomyAttribute/5605  : Audio/Video-kabelkontakttyp (ände B)
gid://shopify/TaxonomyAttribute/3370  : Autentiseringsteknik
gid://shopify/TaxonomyAttribute/2374  : Autenticitet
gid://shopify/TaxonomyAttribute/2016  : Autofokuslägen
gid://shopify/TaxonomyAttribute/2613  : Steriliseringsmetod med autoklav
gid://shopify/TaxonomyAttribute/8975  : Autografverifiering
gid://shopify/TaxonomyAttribute/8976  : Utformning av autograf
gid://shopify/TaxonomyAttribute/2361  : Typ av autograf
gid://shopify/TaxonomyAttribute/8047  : Autogyrons cockpithölje
gid://shopify/TaxonomyAttribute/2583  : Automatisering
gid://shopify/TaxonomyAttribute/7023  : Tillgängliga skjutlägen
gid://shopify/TaxonomyAttribute/7618  : Avokadosort
gid://shopify/TaxonomyAttribute/8977  : Anpassningar som ingår
gid://shopify/TaxonomyAttribute/2526  : Prisdesign
gid://shopify/TaxonomyAttribute/8978  : Prismaterial
gid://shopify/TaxonomyAttribute/8979  : Typ av montering/display för pris
gid://shopify/TaxonomyAttribute/2525  : Pristillfälle
gid://shopify/TaxonomyAttribute/8980  : Material för prisplakett
gid://shopify/TaxonomyAttribute/8981  : Typ av fäste för rosett
gid://shopify/TaxonomyAttribute/8982  : Metod för prägling av prisband
gid://shopify/TaxonomyAttribute/8983  : Material för rosett
gid://shopify/TaxonomyAttribute/8984  : Rosett-/prisutdelning
gid://shopify/TaxonomyAttribute/1426  : Markistyp
gid://shopify/TaxonomyAttribute/2823  : Design på markis
gid://shopify/TaxonomyAttribute/5699  : Markisdriftstyp
gid://shopify/TaxonomyAttribute/7024  : Axelkompatibilitet
gid://shopify/TaxonomyAttribute/7069  : Typ av BB-pistol
gid://shopify/TaxonomyAttribute/7070  : Kaliber för BB-gevär
gid://shopify/TaxonomyAttribute/7071  : Typ av BB-gevärsdel
gid://shopify/TaxonomyAttribute/1836  : Typ av BIOS
gid://shopify/TaxonomyAttribute/1759  : Förpackningsmaterial barndryck
gid://shopify/TaxonomyAttribute/1758  : Smak på barnmat
gid://shopify/TaxonomyAttribute/1761  : Format på bröstmjölksersättning
gid://shopify/TaxonomyAttribute/1717  : Babypresentartiklar ingår
gid://shopify/TaxonomyAttribute/1720  : Babyhälsoartiklar ingår
gid://shopify/TaxonomyAttribute/3026  : Detaljer för babyvakt
gid://shopify/TaxonomyAttribute/1762  : Smak på bebissnacks
gid://shopify/TaxonomyAttribute/1763  : Konsistens på bebissnacks
gid://shopify/TaxonomyAttribute/2997  : Detaljer för baby- och småbarnskläder
gid://shopify/TaxonomyAttribute/3029  : Säkerhetsfunktioner baby- och småbarnsutrustning
gid://shopify/TaxonomyAttribute/3103  : Detaljer för baby- och småbarnsmöbler
gid://shopify/TaxonomyAttribute/3318  : Baby-/småbarnsmöbler som ingår
gid://shopify/TaxonomyAttribute/3254  : Stil på mössa för baby/småbarn
gid://shopify/TaxonomyAttribute/3247  : Stil på strumpor och trikåer för baby/småbarn
gid://shopify/TaxonomyAttribute/3107  : Detaljer för baby-/barnstolar
gid://shopify/TaxonomyAttribute/3246  : Stil på baby-/barnpyjamas
gid://shopify/TaxonomyAttribute/8986  : Material på baksidan och sidorna
gid://shopify/TaxonomyAttribute/8985  : Bakre brädtyp
gid://shopify/TaxonomyAttribute/6636  : Bakre design
gid://shopify/TaxonomyAttribute/6866  : Typ av bakpanel
gid://shopify/TaxonomyAttribute/1531  : Typ av baksida
gid://shopify/TaxonomyAttribute/5329  : Bakplattans material
gid://shopify/TaxonomyAttribute/2047  : Bakgrundsdesign
gid://shopify/TaxonomyAttribute/2185  : Stödmaterial
gid://shopify/TaxonomyAttribute/8987  : Typ av baksida
gid://shopify/TaxonomyAttribute/5617  : Bakgrundsbelysningstyp
gid://shopify/TaxonomyAttribute/1527  : Typ av ryggstöd
gid://shopify/TaxonomyAttribute/8048  : Extra monteringsplats för kamera
gid://shopify/TaxonomyAttribute/8049  : Extra videogränssnitt för kamera
gid://shopify/TaxonomyAttribute/7025  : Komponenter som ingår i badmintonsetet
gid://shopify/TaxonomyAttribute/7026  : Fästmetod för väska
gid://shopify/TaxonomyAttribute/5700  : Typ av påsklämma
gid://shopify/TaxonomyAttribute/2958  : Väskstängning
gid://shopify/TaxonomyAttribute/5701  : Påskonfiguration
gid://shopify/TaxonomyAttribute/8989  : Väskans material
gid://shopify/TaxonomyAttribute/6637  : Väskutsmyckning
gid://shopify/TaxonomyAttribute/7027  : Medelstor fyllningspåse
gid://shopify/TaxonomyAttribute/5702  : Påsisolering
gid://shopify/TaxonomyAttribute/8990  : Påsens material
gid://shopify/TaxonomyAttribute/7028  : Väskans fodernivå
gid://shopify/TaxonomyAttribute/6638  : Väskans storleksguide
gid://shopify/TaxonomyAttribute/2222  : Väskremstyp
gid://shopify/TaxonomyAttribute/3365  : Stil på väska
gid://shopify/TaxonomyAttribute/2725  : Väsktyp
gid://shopify/TaxonomyAttribute/3006  : Detaljer för väska/fodral
gid://shopify/TaxonomyAttribute/2784  : Väska/fodral - material
gid://shopify/TaxonomyAttribute/3258  : Detaljer för väsk-/fodralförvaring
gid://shopify/TaxonomyAttribute/8988  : Stil på bärväska/fodral
gid://shopify/TaxonomyAttribute/7619  : Bagelstorlek
gid://shopify/TaxonomyAttribute/8991  : Säckpipetillbehör som ingår
gid://shopify/TaxonomyAttribute/8992  : Säckpipans spellägen
gid://shopify/TaxonomyAttribute/7029  : Kompatibilitet med bete
gid://shopify/TaxonomyAttribute/7030  : Betesarter
gid://shopify/TaxonomyAttribute/3100  : Bageriartiklar som ingår
gid://shopify/TaxonomyAttribute/3360  : Bakningsartiklar som ingår
gid://shopify/TaxonomyAttribute/1394  : Baktillbehör ingår
gid://shopify/TaxonomyAttribute/2813  : Form på bakningsverktyg
gid://shopify/TaxonomyAttribute/7620  : Bakform för chips
gid://shopify/TaxonomyAttribute/5703  : Storlek på bakplåtspapper
gid://shopify/TaxonomyAttribute/1486  : Bakverk
gid://shopify/TaxonomyAttribute/2812  : Bakplåt - material
gid://shopify/TaxonomyAttribute/5704  : Typ av bakplåt
gid://shopify/TaxonomyAttribute/7031  : Balansbrädastil
gid://shopify/TaxonomyAttribute/7032  : Balanskuddar som ingår
gid://shopify/TaxonomyAttribute/8050  : Balanstyp
gid://shopify/TaxonomyAttribute/6346  : Delar till kulfångarpel som ingår
gid://shopify/TaxonomyAttribute/7033  : Material för klotets insida
gid://shopify/TaxonomyAttribute/7034  : Bollcertifiering
gid://shopify/TaxonomyAttribute/7035  : Kulkonstruktion
gid://shopify/TaxonomyAttribute/7036  : Kulkärnans konstruktion
gid://shopify/TaxonomyAttribute/7037  : Typ av kulkärna
gid://shopify/TaxonomyAttribute/7038  : Klotets håldesign
gid://shopify/TaxonomyAttribute/7039  : Typ av bollhållare
gid://shopify/TaxonomyAttribute/2844  : Boll - material
gid://shopify/TaxonomyAttribute/6347  : Ytbehandling av bollhavsbollen
gid://shopify/TaxonomyAttribute/6348  : Säkerhetsfunktioner för bollhav
gid://shopify/TaxonomyAttribute/7040  : Tillbehörstyp för bollpump
gid://shopify/TaxonomyAttribute/7041  : Klotretursystem
gid://shopify/TaxonomyAttribute/7042  : Typ av bollretur
gid://shopify/TaxonomyAttribute/1206  : Bollstorlek
gid://shopify/TaxonomyAttribute/7043  : Bollhastighetsklassificering
gid://shopify/TaxonomyAttribute/7044  : Kulans yta
gid://shopify/TaxonomyAttribute/7045  : Typ av kulyta
gid://shopify/TaxonomyAttribute/6283  : Ballastmaterial
