# Shopify Product Taxonomy - Categories: 2025-03
# Format: {GID} : {Ancestor name} > ... > {Category name}

gid://shopify/TaxonomyCategory/ap                : Eläinten ja lemmikkieläinten tarvikkeet
gid://shopify/TaxonomyCategory/ap-2-2-5-9        : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Kissojen tarvikkeet > Kissojen lelut > Vinkuvat lelut
gid://shopify/TaxonomyCategory/ap-2-2-5-10       : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Kissojen tarvikkeet > Kissojen lelut > Pehmolelut ja -eläimet
gid://shopify/TaxonomyCategory/ap-2-2-5-11       : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Kissojen tarvikkeet > Kissojen lelut > Tunnelit
gid://shopify/TaxonomyCategory/ap-2-2-5-12       : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Kissojen tarvikkeet > Kissojen lelut > Sauvat
gid://shopify/TaxonomyCategory/ap-2-2-6          : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Kissojen tarvikkeet > Kissojen herkut
gid://shopify/TaxonomyCategory/ap-2-3            : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Koirien tarvikkeet
gid://shopify/TaxonomyCategory/ap-2-3-1          : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Koirien tarvikkeet > Koirien vaipat ja pissa-alustat
gid://shopify/TaxonomyCategory/ap-2-3-2          : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Koirien tarvikkeet > Koirien vaipat
gid://shopify/TaxonomyCategory/ap-2-3-3          : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Koirien tarvikkeet > Koirien ruoka
gid://shopify/TaxonomyCategory/ap-2-3-3-1        : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Koirien tarvikkeet > Koirien ruoka > Koiranruoka ilman reseptiä
gid://shopify/TaxonomyCategory/ap-2-3-3-2        : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Koirien tarvikkeet > Koirien ruoka > Koirien erikoisruoka
gid://shopify/TaxonomyCategory/ap-2-3-4          : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Koirien tarvikkeet > Koirankopit
gid://shopify/TaxonomyCategory/ap-2-3-5          : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Koirien tarvikkeet > Koirien asumusten ja ulkohäkkien lisävarusteet
gid://shopify/TaxonomyCategory/ap-2-3-6          : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Koirien tarvikkeet > Koirien asumukset ja ulkohäkit
gid://shopify/TaxonomyCategory/ap-2-3-6-1        : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Koirien tarvikkeet > Koirien asumukset ja ulkohäkit > Koira-aitaukset
gid://shopify/TaxonomyCategory/ap-2-3-6-2        : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Koirien tarvikkeet > Koirien asumukset ja ulkohäkit > Koirien ulkohäkit
gid://shopify/TaxonomyCategory/ap-2-3-6-3        : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Koirien tarvikkeet > Koirien asumukset ja ulkohäkit > Koirien sisäasumukset
gid://shopify/TaxonomyCategory/ap-2-3-6-4        : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Koirien tarvikkeet > Koirien asumukset ja ulkohäkit > Koirien ulkoasumukset
gid://shopify/TaxonomyCategory/ap-2-3-6-5        : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Koirien tarvikkeet > Koirien asumukset ja ulkohäkit > Siirrettävät koirien asumukset
gid://shopify/TaxonomyCategory/ap-2-3-7          : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Koirien tarvikkeet > Koirien lelut
gid://shopify/TaxonomyCategory/ap-2-3-8          : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Koirien tarvikkeet > Koirien juoksumatot
gid://shopify/TaxonomyCategory/ap-2-3-9          : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Koirien tarvikkeet > Koirien herkut
gid://shopify/TaxonomyCategory/ap-2-4            : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Kala- ja akvaariotarvikkeet
gid://shopify/TaxonomyCategory/ap-2-4-1          : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Kala- ja akvaariotarvikkeet > Akvaario- ja allasletkut
gid://shopify/TaxonomyCategory/ap-2-4-1-1        : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Kala- ja akvaariotarvikkeet > Akvaario- ja allasletkut > Ilmaletkut
gid://shopify/TaxonomyCategory/ap-2-4-1-2        : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Kala- ja akvaariotarvikkeet > Akvaario- ja allasletkut > Kierreletkut
gid://shopify/TaxonomyCategory/ap-2-4-1-3        : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Kala- ja akvaariotarvikkeet > Akvaario- ja allasletkut > Joustavat letkut
gid://shopify/TaxonomyCategory/ap-2-4-1-4        : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Kala- ja akvaariotarvikkeet > Akvaario- ja allasletkut > Jäykät letkut
gid://shopify/TaxonomyCategory/ap-2-4-1-5        : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Kala- ja akvaariotarvikkeet > Akvaario- ja allasletkut > Tavalliset letkut
gid://shopify/TaxonomyCategory/ap-2-4-2          : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Kala- ja akvaariotarvikkeet > Akvaarion ilmakivet ja diffuusorit
gid://shopify/TaxonomyCategory/ap-2-4-2-1        : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Kala- ja akvaariotarvikkeet > Akvaarion ilmakivet ja diffuusorit > Ilmadiffuusorit
gid://shopify/TaxonomyCategory/ap-2-4-2-2        : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Kala- ja akvaariotarvikkeet > Akvaarion ilmakivet ja diffuusorit > Levyilmakivet
gid://shopify/TaxonomyCategory/ap-2-4-2-3        : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Kala- ja akvaariotarvikkeet > Akvaarion ilmakivet ja diffuusorit > Tavalliset ilmakivet
gid://shopify/TaxonomyCategory/ap-2-4-2-4        : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Kala- ja akvaariotarvikkeet > Akvaarion ilmakivet ja diffuusorit > Putki-ilmakivet
gid://shopify/TaxonomyCategory/ap-2-4-2-5        : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Kala- ja akvaariotarvikkeet > Akvaarion ilmakivet ja diffuusorit > Seinäilmakivet
gid://shopify/TaxonomyCategory/ap-2-4-3          : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Kala- ja akvaariotarvikkeet > Akvaarion puhdistustarvikkeet
gid://shopify/TaxonomyCategory/ap-2-4-3-1        : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Kala- ja akvaariotarvikkeet > Akvaarion puhdistustarvikkeet > Leväkaapijat
gid://shopify/TaxonomyCategory/ap-2-4-3-2        : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Kala- ja akvaariotarvikkeet > Akvaarion puhdistustarvikkeet > Akvaariohanskat
gid://shopify/TaxonomyCategory/ap-2-4-3-3        : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Kala- ja akvaariotarvikkeet > Akvaarion puhdistustarvikkeet > Puhdistusharjat
gid://shopify/TaxonomyCategory/ap-2-4-3-4        : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Kala- ja akvaariotarvikkeet > Akvaarion puhdistustarvikkeet > Puhdistusliuokset
gid://shopify/TaxonomyCategory/ap-2-4-3-5        : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Kala- ja akvaariotarvikkeet > Akvaarion puhdistustarvikkeet > Soraimurit
gid://shopify/TaxonomyCategory/ap-2-4-3-6        : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Kala- ja akvaariotarvikkeet > Akvaarion puhdistustarvikkeet > Hankaimet
gid://shopify/TaxonomyCategory/ap-2-4-3-7        : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Kala- ja akvaariotarvikkeet > Akvaarion puhdistustarvikkeet > Lapot
gid://shopify/TaxonomyCategory/ap-2-4-3-8        : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Kala- ja akvaariotarvikkeet > Akvaarion puhdistustarvikkeet > Akvaarion puhdistusaineet
gid://shopify/TaxonomyCategory/ap-2-4-4          : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Kala- ja akvaariotarvikkeet > Akvaarion koristeet
gid://shopify/TaxonomyCategory/ap-2-4-4-1        : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Kala- ja akvaariotarvikkeet > Akvaarion koristeet > Akvaarion taustat
gid://shopify/TaxonomyCategory/ap-2-4-4-2        : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Kala- ja akvaariotarvikkeet > Akvaarion koristeet > Akvaarion luolat ja suojat
gid://shopify/TaxonomyCategory/ap-2-4-4-3        : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Kala- ja akvaariotarvikkeet > Akvaarion koristeet > Akvaarion kivet
gid://shopify/TaxonomyCategory/ap-2-4-4-4        : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Kala- ja akvaariotarvikkeet > Akvaarion koristeet > Akvaarion alustat
gid://shopify/TaxonomyCategory/ap-2-4-4-5        : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Kala- ja akvaariotarvikkeet > Akvaarion koristeet > Tekokasvit
gid://shopify/TaxonomyCategory/ap-2-4-4-6        : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Kala- ja akvaariotarvikkeet > Akvaarion koristeet > Kuplivat koristeet
gid://shopify/TaxonomyCategory/ap-2-4-4-7        : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Kala- ja akvaariotarvikkeet > Akvaarion koristeet > Ajopuut
gid://shopify/TaxonomyCategory/ap-2-4-4-8        : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Kala- ja akvaariotarvikkeet > Akvaarion koristeet > Koristeet
gid://shopify/TaxonomyCategory/ap-2-4-4-9        : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Kala- ja akvaariotarvikkeet > Akvaarion koristeet > Haaksirikkoutuneet alukset
gid://shopify/TaxonomyCategory/ap-2-4-5          : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Kala- ja akvaariotarvikkeet > Akvaarion suodattimet
gid://shopify/TaxonomyCategory/ap-2-4-5-1        : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Kala- ja akvaariotarvikkeet > Akvaarion suodattimet > Ulkoiset ja kanisteriakvaariosuodattimet
gid://shopify/TaxonomyCategory/ap-2-4-5-2        : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Kala- ja akvaariotarvikkeet > Akvaarion suodattimet > Takana roikkuvat akvaariosuodattimet
gid://shopify/TaxonomyCategory/ap-2-4-5-3        : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Kala- ja akvaariotarvikkeet > Akvaarion suodattimet > Sisäiset akvaariosuodattimet
gid://shopify/TaxonomyCategory/ap-2-4-5-4        : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Kala- ja akvaariotarvikkeet > Akvaarion suodattimet > Sieniakvaariosuodattimet
gid://shopify/TaxonomyCategory/ap-2-4-5-5        : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Kala- ja akvaariotarvikkeet > Akvaarion suodattimet > Soran alla sijaitsevat akvaariosuodattimet
gid://shopify/TaxonomyCategory/ap-2-4-6          : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Kala- ja akvaariotarvikkeet > Akvaarion kalahaavit
gid://shopify/TaxonomyCategory/ap-2-4-6-1        : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Kala- ja akvaariotarvikkeet > Akvaarion kalahaavit > Pyydystyshaavi
gid://shopify/TaxonomyCategory/ap-2-4-6-2        : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Kala- ja akvaariotarvikkeet > Akvaarion kalahaavit > Katkarapuhaavit
gid://shopify/TaxonomyCategory/ap-2-4-6-3        : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Kala- ja akvaariotarvikkeet > Akvaarion kalahaavit > Sukkaverkot
gid://shopify/TaxonomyCategory/ap-2-4-6-4        : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Kala- ja akvaariotarvikkeet > Akvaarion kalahaavit > Tavalliset haavit
gid://shopify/TaxonomyCategory/ap-2-4-7          : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Kala- ja akvaariotarvikkeet > Akvaariosora ja pohjamateriaalit
gid://shopify/TaxonomyCategory/ap-2-4-7-1        : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Kala- ja akvaariotarvikkeet > Akvaariosora ja pohjamateriaalit > Akvaarion pohjamateriaali
gid://shopify/TaxonomyCategory/ap-2-4-7-2        : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Kala- ja akvaariotarvikkeet > Akvaariosora ja pohjamateriaalit > Aragoniittihiekat
gid://shopify/TaxonomyCategory/ap-2-4-7-3        : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Kala- ja akvaariotarvikkeet > Akvaariosora ja pohjamateriaalit > Murskattu koralli
gid://shopify/TaxonomyCategory/ap-2-4-7-4        : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Kala- ja akvaariotarvikkeet > Akvaariosora ja pohjamateriaalit > Lasikivet
gid://shopify/TaxonomyCategory/ap-2-4-7-5        : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Kala- ja akvaariotarvikkeet > Akvaariosora ja pohjamateriaalit > Sora
gid://shopify/TaxonomyCategory/ap-2-4-7-6        : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Kala- ja akvaariotarvikkeet > Akvaariosora ja pohjamateriaalit > Kivet
gid://shopify/TaxonomyCategory/ap-2-4-7-7        : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Kala- ja akvaariotarvikkeet > Akvaariosora ja pohjamateriaalit > Hiekka
gid://shopify/TaxonomyCategory/ap-2-4-8          : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Kala- ja akvaariotarvikkeet > Akvaarion valaistus
gid://shopify/TaxonomyCategory/ap-2-4-9          : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Kala- ja akvaariotarvikkeet > Akvaarion ylivuotolaatikot
gid://shopify/TaxonomyCategory/ap-2-4-10         : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Kala- ja akvaariotarvikkeet > Akvaariojalustat
gid://shopify/TaxonomyCategory/ap-2-4-10-1       : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Kala- ja akvaariotarvikkeet > Akvaariojalustat > Laatikkojalustat
gid://shopify/TaxonomyCategory/ap-2-4-10-2       : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Kala- ja akvaariotarvikkeet > Akvaariojalustat > Kaappijalustat
gid://shopify/TaxonomyCategory/ap-2-4-10-3       : Eläinten ja lemmikkieläinten tarvikkeet > Lemmikkieläinten tarvikkeet > Kala- ja akvaariotarvikkeet > Akvaariojalustat > Kahden akvaarion jalustat
