# Shopify Product Taxonomy - Attributes: 2026-08-unstable
# Format: {GID} : {Attribute name}

gid://shopify/TaxonomyAttribute/5398  : 3D-lasien istuvuuden muotoilu
gid://shopify/TaxonomyAttribute/6986  : Airsoft-osan tyyppi
gid://shopify/TaxonomyAttribute/8029  : Lentokelpoisuuden hyväksyntäperusta
gid://shopify/TaxonomyAttribute/6987  : Hälytyksen äänenvoimakkuuden säädettävyys
gid://shopify/TaxonomyAttribute/2287  : Albumityyppi
gid://shopify/TaxonomyAttribute/5290  : Alkoholipitoisuus
gid://shopify/TaxonomyAttribute/8963  : Alkoholimusteen pintatehoste
gid://shopify/TaxonomyAttribute/5679  : Alkoholi-/liuotinpitoisuus
gid://shopify/TaxonomyAttribute/1362  : Hälytystyyppi
gid://shopify/TaxonomyAttribute/6988  : Kohdistusapuviivojen tyyli
gid://shopify/TaxonomyAttribute/1451  : Allergeenitiedot
gid://shopify/TaxonomyAttribute/1577  : Allergeenitestityyppi
gid://shopify/TaxonomyAttribute/1631  : Allergeenit
gid://shopify/TaxonomyAttribute/3138  : Allergiaystävälliset ominaisuudet
gid://shopify/TaxonomyAttribute/8030  : Vaihtovirtageneraattorin jäähdytystyyppi
gid://shopify/TaxonomyAttribute/8031  : Vaihtovirtageneraattorin merikäyttöön tarkoitettu sytytyssuojausluokitus
gid://shopify/TaxonomyAttribute/8032  : Vaihtovirtageneraattorin asennuskokoonpano
gid://shopify/TaxonomyAttribute/8033  : Vaihtovirtageneraattorin hihnapyörän tyyppi
gid://shopify/TaxonomyAttribute/8034  : Vaihtovirtageneraattorin säätimen tyyppi
gid://shopify/TaxonomyAttribute/8035  : Vaihtovirtageneraattorin pääteyhteystyyppi
gid://shopify/TaxonomyAttribute/6989  : Sopivuus korkeuteen merenpinnasta
gid://shopify/TaxonomyAttribute/8036  : Ambulanssipaarien kiinnitystyyppi
gid://shopify/TaxonomyAttribute/6990  : Amerikkalaisen jalkapallon turvallisuussertifikaatti
gid://shopify/TaxonomyAttribute/5126  : Aminohapon alatyyppi
gid://shopify/TaxonomyAttribute/1800  : Vahvistinluokka
gid://shopify/TaxonomyAttribute/2690  : Vahvistimen konfiguraatio
gid://shopify/TaxonomyAttribute/8964  : Vahvistinputken toiminta
gid://shopify/TaxonomyAttribute/1808  : Vahvistimen/tehostimen sopiva sijainti
gid://shopify/TaxonomyAttribute/5088  : Amputaatiotaso
gid://shopify/TaxonomyAttribute/8965  : Analoginen syntetisaattori CV/Gate I/O
gid://shopify/TaxonomyAttribute/8966  : Analogisen syntetisaattorin koskettimiston kokoonpano
gid://shopify/TaxonomyAttribute/5100  : Mitattu analyytti
gid://shopify/TaxonomyAttribute/4998  : Anamorfinen puristussuhde
gid://shopify/TaxonomyAttribute/5043  : Näytetyt anatomiset yksityiskohdat
gid://shopify/TaxonomyAttribute/6991  : Kiinnityksen kokoonpano
gid://shopify/TaxonomyAttribute/1258  : Ankkurityyppi
gid://shopify/TaxonomyAttribute/2198  : Tuulimittarisovellus
gid://shopify/TaxonomyAttribute/1883  : Tuetut kulmat
gid://shopify/TaxonomyAttribute/1289  : Onkimistyyli
gid://shopify/TaxonomyAttribute/5692  : Eläintenhoitosetti sisältää osat
gid://shopify/TaxonomyAttribute/2550  : Eläinrehun olomuoto
gid://shopify/TaxonomyAttribute/7612  : Eläinten kasvatusmenetelmä
gid://shopify/TaxonomyAttribute/6340  : Eläinlajit
gid://shopify/TaxonomyAttribute/6992  : Eläinloukun leukatyyppi
gid://shopify/TaxonomyAttribute/6993  : Eläinloukun tyyppi
gid://shopify/TaxonomyAttribute/1308  : Eläintyyppi
gid://shopify/TaxonomyAttribute/6994  : Nilkkakauluksen tyyli
gid://shopify/TaxonomyAttribute/6995  : Nilkkasuojan suojaustaso
gid://shopify/TaxonomyAttribute/6996  : Nilkkahihnan toppaustyyppi
gid://shopify/TaxonomyAttribute/6997  : Nilkkaremmin tyyppi
gid://shopify/TaxonomyAttribute/5519  : Puhelinvastaajan tyyppi
gid://shopify/TaxonomyAttribute/6341  : Muurahaisterraario, keskikokoinen malli
gid://shopify/TaxonomyAttribute/6342  : Muurahaisterraariosarjan sisältö
gid://shopify/TaxonomyAttribute/6343  : Muurahaisterraarion valaistustapa
gid://shopify/TaxonomyAttribute/5587  : Antennin RF-liitintyyppi
gid://shopify/TaxonomyAttribute/5511  : Antennin liitintyyppi
gid://shopify/TaxonomyAttribute/8037  : Antennin sopivuustyyppi
gid://shopify/TaxonomyAttribute/1828  : Antennityyppi
gid://shopify/TaxonomyAttribute/8038  : G-puvun ilmarakon materiaali
gid://shopify/TaxonomyAttribute/8039  : G-puvun liittimen tyyppi
gid://shopify/TaxonomyAttribute/8040  : G-puvun täyttömenetelmä
gid://shopify/TaxonomyAttribute/8041  : G-puvun kokojärjestelmä
gid://shopify/TaxonomyAttribute/3340  : Ikääntymistä estävä ihonhoidon tyyppi
gid://shopify/TaxonomyAttribute/7613  : Paakkuuntumisenestoaine
gid://shopify/TaxonomyAttribute/5305  : Antiperspirantin voimakkuustaso
gid://shopify/TaxonomyAttribute/6998  : Takaiskumekanismi
gid://shopify/TaxonomyAttribute/8042  : Varkaudenestotoiminto
gid://shopify/TaxonomyAttribute/5056  : Testattu vasta-aineluokka
gid://shopify/TaxonomyAttribute/2710  : Pakkasnestetyyppi
gid://shopify/TaxonomyAttribute/4680  : Museoajoneuvon muotoilu
gid://shopify/TaxonomyAttribute/8967  : Historiallisen aseen sytytysjärjestelmä
gid://shopify/TaxonomyAttribute/4679  : Museoajoneuvon aikakausi
gid://shopify/TaxonomyAttribute/7614  : Omenalajike
gid://shopify/TaxonomyAttribute/5501  : Laitteen levyn toiminto
gid://shopify/TaxonomyAttribute/5500  : Laitteen yksikön sijainti
gid://shopify/TaxonomyAttribute/1316  : Sovellusmenetelmä
gid://shopify/TaxonomyAttribute/5149  : Käyttötapa
gid://shopify/TaxonomyAttribute/5258  : Levittimen muoto
gid://shopify/TaxonomyAttribute/1639  : Asettimen materiaali
gid://shopify/TaxonomyAttribute/3344  : Aplikaattorin tyyppi
gid://shopify/TaxonomyAttribute/8968  : Reunaviimeistelyn asennustapa
gid://shopify/TaxonomyAttribute/2314  : Applikaation/paikan muoto
gid://shopify/TaxonomyAttribute/5693  : Esiliinan ominaisuudet
gid://shopify/TaxonomyAttribute/5694  : Esiliinan tyyli
gid://shopify/TaxonomyAttribute/2980  : Akvaarion suodattimen ominaisuudet
gid://shopify/TaxonomyAttribute/1708  : Akvaarion valospektri
gid://shopify/TaxonomyAttribute/3228  : Akvaarion ylivuotolaatikon muotoilu
gid://shopify/TaxonomyAttribute/5695  : Vesikasvien kasvutapa
gid://shopify/TaxonomyAttribute/5696  : Lehtimajan kattorakenne
gid://shopify/TaxonomyAttribute/6999  : Kelan akselityyppi
gid://shopify/TaxonomyAttribute/7000  : Jousiammuntavarusteiden tyyppi
gid://shopify/TaxonomyAttribute/1302  : Jousiammuntatoiminta
gid://shopify/TaxonomyAttribute/2888  : Mukana jousiammuntavälineet
gid://shopify/TaxonomyAttribute/7001  : Jousiammunnan osan tyyppi
gid://shopify/TaxonomyAttribute/7002  : Jousiammuntaradan lisävarusteen tyyppi
gid://shopify/TaxonomyAttribute/1303  : Jousiammuntatyyli
gid://shopify/TaxonomyAttribute/7003  : Jousiammuntamaalien ominaisuudet
gid://shopify/TaxonomyAttribute/4365  : Jousiammuntamaalitaulun tyyppi
gid://shopify/TaxonomyAttribute/7004  : Jousiammuntatyökalun tyyppi
gid://shopify/TaxonomyAttribute/7005  : Käsivarsinauhan ominaisuudet
gid://shopify/TaxonomyAttribute/7006  : Käsisuojan malli
gid://shopify/TaxonomyAttribute/8043  : Panssarointityyppi
gid://shopify/TaxonomyAttribute/6863  : Käsinojan säädettävyys
gid://shopify/TaxonomyAttribute/6864  : Käsinojan tyyppi
gid://shopify/TaxonomyAttribute/2496  : Järjestely
gid://shopify/TaxonomyAttribute/7008  : Nuolen osan tyyppi
gid://shopify/TaxonomyAttribute/7009  : Nuolihyllyn malli
gid://shopify/TaxonomyAttribute/2883  : Nuolen sulan materiaali
gid://shopify/TaxonomyAttribute/7010  : Nuolen sulituskuvio
gid://shopify/TaxonomyAttribute/7011  : Nuolen nokin koko
gid://shopify/TaxonomyAttribute/7012  : Nuolen nokkityyppi
gid://shopify/TaxonomyAttribute/7013  : Nuolihyllyn malli
gid://shopify/TaxonomyAttribute/7014  : Nuolivarren yhteensopivuus
gid://shopify/TaxonomyAttribute/2969  : Nuolen/varsijousinuolen materiaali
gid://shopify/TaxonomyAttribute/7007  : Nuolen/vasaman kärjen tyyppi
gid://shopify/TaxonomyAttribute/2299  : Taidekiinnitteen levitysmenetelmä
gid://shopify/TaxonomyAttribute/8970  : Taidemusteen valonkestoluokitus
gid://shopify/TaxonomyAttribute/8971  : Taidemusteen läpinäkyvyys
gid://shopify/TaxonomyAttribute/3429  : Taidesuuntaus
gid://shopify/TaxonomyAttribute/2386  : Taidetyyli
gid://shopify/TaxonomyAttribute/2930  : Taide-/käsityötyökalun materiaali
gid://shopify/TaxonomyAttribute/8969  : Taide-/käsityökärjen malli
gid://shopify/TaxonomyAttribute/7615  : Artisokan osa
gid://shopify/TaxonomyAttribute/7616  : Artisokkalajike
gid://shopify/TaxonomyAttribute/8972  : Liikkuvuusominaisuudet
gid://shopify/TaxonomyAttribute/7016  : Keinotekoisen syötin muoto
gid://shopify/TaxonomyAttribute/3430  : Taideteoksen aitous
gid://shopify/TaxonomyAttribute/2796  : Taideteoksen kehysmateriaali
gid://shopify/TaxonomyAttribute/2666  : Taideteostyyppi
gid://shopify/TaxonomyAttribute/7018  : Nousu-/laskeutumislaitteen tyyppi
gid://shopify/TaxonomyAttribute/5697  : Tuhkakupin tyyppi
gid://shopify/TaxonomyAttribute/8044  : Ahdintyyppi
gid://shopify/TaxonomyAttribute/12755 : Vaatii kokoamista
gid://shopify/TaxonomyAttribute/6865  : Kokoonpanon tila
gid://shopify/TaxonomyAttribute/7019  : Avustusmekanismi
gid://shopify/TaxonomyAttribute/3387  : Avustettu jarrutekniikka
gid://shopify/TaxonomyAttribute/7617  : Atemoyan viljelylajike
gid://shopify/TaxonomyAttribute/7020  : Urheilullinen kuppikoko
gid://shopify/TaxonomyAttribute/1737  : Liittämismenetelmä
gid://shopify/TaxonomyAttribute/844   : Lisäosavaihtoehdot
gid://shopify/TaxonomyAttribute/7021  : Kiinnityskohta
gid://shopify/TaxonomyAttribute/1267  : Lisäosatyyppi
gid://shopify/TaxonomyAttribute/7022  : Houkutusaineen tuoksuprofiili
gid://shopify/TaxonomyAttribute/5698  : Houkutustyyppi
gid://shopify/TaxonomyAttribute/1806  : Audio D/A -muunnin (Dac, digitaali-analogiamuunnin)
gid://shopify/TaxonomyAttribute/5454  : Äänen ohituksen tyyppi
gid://shopify/TaxonomyAttribute/5592  : Äänikasetin nauhatyyppi
gid://shopify/TaxonomyAttribute/8046  : Audiokanavan konfiguraatio
gid://shopify/TaxonomyAttribute/1822  : Tuetut audiokoodekit/-formaatit
gid://shopify/TaxonomyAttribute/5435  : Äänikomponentin muototekijä
gid://shopify/TaxonomyAttribute/1813  : Audioliitettävyys
gid://shopify/TaxonomyAttribute/5545  : Audiomuunnoksen suunta
gid://shopify/TaxonomyAttribute/5516  : Äänen kaksisuuntainen kyky
gid://shopify/TaxonomyAttribute/8973  : Audiotulot
gid://shopify/TaxonomyAttribute/3309  : Audiomikserityyppi
gid://shopify/TaxonomyAttribute/6344  : Audiolähtö
gid://shopify/TaxonomyAttribute/1801  : Audion ulostulokanava
gid://shopify/TaxonomyAttribute/1802  : Audion ulostuloformaatti
gid://shopify/TaxonomyAttribute/8974  : Audiolähdöt
gid://shopify/TaxonomyAttribute/6345  : Äänentoiston lähde
gid://shopify/TaxonomyAttribute/3066  : Audiosoittimen/-tallentimen ominaisuudet
gid://shopify/TaxonomyAttribute/1818  : Audion tarkoitus
gid://shopify/TaxonomyAttribute/5591  : Äänen paluukanavan tuki
gid://shopify/TaxonomyAttribute/5607  : Äänisignaalin kokoonpano
gid://shopify/TaxonomyAttribute/5417  : Äänijärjestelmä
gid://shopify/TaxonomyAttribute/1803  : Audioteknologia
gid://shopify/TaxonomyAttribute/3074  : Audio/Scan-muuntimen ominaisuudet
gid://shopify/TaxonomyAttribute/5604  : Audio/video-kaapelin liitintyyppi (pää A)
gid://shopify/TaxonomyAttribute/5605  : Audio/video-kaapelin liitintyyppi (pää B)
gid://shopify/TaxonomyAttribute/3370  : Todennustekniikka
gid://shopify/TaxonomyAttribute/2374  : Aitous
gid://shopify/TaxonomyAttribute/2016  : Automaattitarkennustilat
gid://shopify/TaxonomyAttribute/2613  : Paineastian sterilointimenetelmä
gid://shopify/TaxonomyAttribute/8975  : Nimikirjoituksen todennus
gid://shopify/TaxonomyAttribute/8976  : Nimikirjoituksen muoto
gid://shopify/TaxonomyAttribute/2361  : Nimikirjoitustyyppi
gid://shopify/TaxonomyAttribute/8047  : Autogiron ohjaamon kate
gid://shopify/TaxonomyAttribute/2583  : Automaatio
gid://shopify/TaxonomyAttribute/7023  : Käytettävissä olevat laukaisutilat
gid://shopify/TaxonomyAttribute/7618  : Avokadolajike
gid://shopify/TaxonomyAttribute/8977  : Palkinnon personointi sisältyy hintaan
gid://shopify/TaxonomyAttribute/2526  : Palkinnon muotoilu
gid://shopify/TaxonomyAttribute/8978  : Palkinnon materiaali
gid://shopify/TaxonomyAttribute/8979  : Palkintojen kiinnitys-/esitystapa
gid://shopify/TaxonomyAttribute/2525  : Palkitsemistilaisuus
gid://shopify/TaxonomyAttribute/8980  : Palkintolaatan materiaali
gid://shopify/TaxonomyAttribute/8981  : Palkintonauhan kiinnitystyyppi
gid://shopify/TaxonomyAttribute/8982  : Palkintonauhan painatusmenetelmä
gid://shopify/TaxonomyAttribute/8983  : Palkintonauhan materiaali
gid://shopify/TaxonomyAttribute/8984  : Palkintonauhan sijoitus/nimike
gid://shopify/TaxonomyAttribute/1426  : Markiisin rakennetyyppi
gid://shopify/TaxonomyAttribute/2823  : Markiisin muotoilu
gid://shopify/TaxonomyAttribute/5699  : Markiisin käyttötapa
gid://shopify/TaxonomyAttribute/7024  : Akselien yhteensopivuus
gid://shopify/TaxonomyAttribute/7069  : Ilmakiväärin lukkotyyppi
gid://shopify/TaxonomyAttribute/7070  : Ilmakiväärin kaliiperi
gid://shopify/TaxonomyAttribute/7071  : Ilmakiväärin osatyyppi
gid://shopify/TaxonomyAttribute/1836  : Bios-tyyppi
gid://shopify/TaxonomyAttribute/1759  : Vauvanjuomapakkaus
gid://shopify/TaxonomyAttribute/1758  : Vauvanruoan maku
gid://shopify/TaxonomyAttribute/1761  : Maidonkorvikeformaatti
gid://shopify/TaxonomyAttribute/1717  : Mukana vauvojen lahjatavaroita
gid://shopify/TaxonomyAttribute/1720  : Mukana vauvojen terveystuotteita
gid://shopify/TaxonomyAttribute/3026  : Itkuhälyttimen ominaisuudet
gid://shopify/TaxonomyAttribute/1762  : Vauvojen välipalan maku
gid://shopify/TaxonomyAttribute/1763  : Vauvojen välipalan rakenne
gid://shopify/TaxonomyAttribute/2997  : Vauvan/taaperon vaatteiden ominaisuudet
gid://shopify/TaxonomyAttribute/3029  : Vauvan/taaperon varusteiden turvaominaisuudet
gid://shopify/TaxonomyAttribute/3103  : Vauvojen ja leikki-ikäisten huonekalusetit
gid://shopify/TaxonomyAttribute/3318  : Vauvan/taaperon huonekalut sisältyvät
gid://shopify/TaxonomyAttribute/3254  : Vauvan/taaperon hattutyyli
gid://shopify/TaxonomyAttribute/3247  : Vauvan/taaperon sukkahousut
gid://shopify/TaxonomyAttribute/3107  : Vauvan/taaperon istuimen ominaisuudet
gid://shopify/TaxonomyAttribute/3246  : Vauvan/taaperon yöpukutyyli
gid://shopify/TaxonomyAttribute/8986  : Taustan ja sivujen materiaali
gid://shopify/TaxonomyAttribute/8985  : Takapalkin tyyppi
gid://shopify/TaxonomyAttribute/6636  : Takaosan muotoilu
gid://shopify/TaxonomyAttribute/6866  : Takapaneelin tyyppi
gid://shopify/TaxonomyAttribute/1531  : Selkämystyyppi
gid://shopify/TaxonomyAttribute/5329  : Taustalevyn materiaali
gid://shopify/TaxonomyAttribute/2047  : Taustan suunnittelu
gid://shopify/TaxonomyAttribute/2185  : Vahvistemateriaali
gid://shopify/TaxonomyAttribute/8987  : Taustatyyppi
gid://shopify/TaxonomyAttribute/5617  : Taustavalaistustyyppi
gid://shopify/TaxonomyAttribute/1527  : Selkänojatyyppi
gid://shopify/TaxonomyAttribute/8048  : Peruutuskameran asennuspaikka
gid://shopify/TaxonomyAttribute/8049  : Peruutuskameran videokäyttöliittymä
gid://shopify/TaxonomyAttribute/7025  : Mukana tulevat sulkapallosetin osat
gid://shopify/TaxonomyAttribute/7026  : Pussin liittämismenetelmä
gid://shopify/TaxonomyAttribute/5700  : Laukun klipsin tyyli
gid://shopify/TaxonomyAttribute/2958  : Laukun sulkeminen
gid://shopify/TaxonomyAttribute/5701  : Säkin kokoonpano
gid://shopify/TaxonomyAttribute/8989  : Laukun päällisen materiaali
gid://shopify/TaxonomyAttribute/6637  : Laukun koristelu
gid://shopify/TaxonomyAttribute/7027  : Pussin täyttöaine
gid://shopify/TaxonomyAttribute/5702  : Laukun eristys
gid://shopify/TaxonomyAttribute/8990  : Pussin materiaali
gid://shopify/TaxonomyAttribute/7028  : Laukun pehmustustaso
gid://shopify/TaxonomyAttribute/6638  : Laukku koon määrite
gid://shopify/TaxonomyAttribute/2222  : Laukun hihnatyyppi
gid://shopify/TaxonomyAttribute/3365  : Laukun tyyli
gid://shopify/TaxonomyAttribute/2725  : Laukkutyyppi
gid://shopify/TaxonomyAttribute/3006  : Laukun/kotelon ominaisuudet
gid://shopify/TaxonomyAttribute/2784  : Laukun/kotelon materiaali
gid://shopify/TaxonomyAttribute/3258  : Laukun/kotelon säilytysominaisuudet
gid://shopify/TaxonomyAttribute/8988  : Laukun/kotelon kantotapa
gid://shopify/TaxonomyAttribute/7619  : Bagelin koko
gid://shopify/TaxonomyAttribute/8991  : Mukana tulevat säkkipillitarvikkeet
