# Shopify Product Taxonomy - Categories: 2025-03-rc1
# Format: {GID} : {Ancestor name} > ... > {Category name}

gid://shopify/TaxonomyCategory/ap                : 動物/寵物補給品
gid://shopify/TaxonomyCategory/ap-2-2-6          : 動物/寵物補給品 > 寵物用品 > 貓用品 > 貓咪零食
gid://shopify/TaxonomyCategory/ap-2-3            : 動物/寵物補給品 > 寵物用品 > 狗用品
gid://shopify/TaxonomyCategory/ap-2-3-1          : 動物/寵物補給品 > 寵物用品 > 狗用品 > 狗尿布內襯
gid://shopify/TaxonomyCategory/ap-2-3-2          : 動物/寵物補給品 > 寵物用品 > 狗用品 > 狗用尿布
gid://shopify/TaxonomyCategory/ap-2-3-3          : 動物/寵物補給品 > 寵物用品 > 狗用品 > 狗飼料
gid://shopify/TaxonomyCategory/ap-2-3-3-1        : 動物/寵物補給品 > 寵物用品 > 狗用品 > 狗飼料 > 非處方狗食
gid://shopify/TaxonomyCategory/ap-2-3-3-2        : 動物/寵物補給品 > 寵物用品 > 狗用品 > 狗飼料 > 處方狗食
gid://shopify/TaxonomyCategory/ap-2-3-4          : 動物/寵物補給品 > 寵物用品 > 狗用品 > 狗屋
gid://shopify/TaxonomyCategory/ap-2-3-5          : 動物/寵物補給品 > 寵物用品 > 狗用品 > 狗舍/狗圈配件
gid://shopify/TaxonomyCategory/ap-2-3-6          : 動物/寵物補給品 > 寵物用品 > 狗用品 > 狗舍/狗圈
gid://shopify/TaxonomyCategory/ap-2-3-6-1        : 動物/寵物補給品 > 寵物用品 > 狗用品 > 狗舍/狗圈 > 狗用圍欄
gid://shopify/TaxonomyCategory/ap-2-3-6-2        : 動物/寵物補給品 > 寵物用品 > 狗用品 > 狗舍/狗圈 > 狗圈
gid://shopify/TaxonomyCategory/ap-2-3-6-3        : 動物/寵物補給品 > 寵物用品 > 狗用品 > 狗舍/狗圈 > 室內狗舍
gid://shopify/TaxonomyCategory/ap-2-3-6-4        : 動物/寵物補給品 > 寵物用品 > 狗用品 > 狗舍/狗圈 > 戶外狗舍
gid://shopify/TaxonomyCategory/ap-2-3-6-5        : 動物/寵物補給品 > 寵物用品 > 狗用品 > 狗舍/狗圈 > 攜帶型狗舍
gid://shopify/TaxonomyCategory/ap-2-3-7          : 動物/寵物補給品 > 寵物用品 > 狗用品 > 狗玩具
gid://shopify/TaxonomyCategory/ap-2-3-8          : 動物/寵物補給品 > 寵物用品 > 狗用品 > 犬用跑步機
gid://shopify/TaxonomyCategory/ap-2-3-9          : 動物/寵物補給品 > 寵物用品 > 狗用品 > 狗零食
gid://shopify/TaxonomyCategory/ap-2-4            : 動物/寵物補給品 > 寵物用品 > 魚和水族用品
gid://shopify/TaxonomyCategory/ap-2-4-1          : 動物/寵物補給品 > 寵物用品 > 魚和水族用品 > 水族箱和水池用管路
gid://shopify/TaxonomyCategory/ap-2-4-1-1        : 動物/寵物補給品 > 寵物用品 > 魚和水族用品 > 水族箱和水池用管路 > 打氣管
gid://shopify/TaxonomyCategory/ap-2-4-1-2        : 動物/寵物補給品 > 寵物用品 > 魚和水族用品 > 水族箱和水池用管路 > 打氣管圈
gid://shopify/TaxonomyCategory/ap-2-4-1-3        : 動物/寵物補給品 > 寵物用品 > 魚和水族用品 > 水族箱和水池用管路 > 彈性打氣管
gid://shopify/TaxonomyCategory/ap-2-4-1-4        : 動物/寵物補給品 > 寵物用品 > 魚和水族用品 > 水族箱和水池用管路 > 硬式打氣管
gid://shopify/TaxonomyCategory/ap-2-4-1-5        : 動物/寵物補給品 > 寵物用品 > 魚和水族用品 > 水族箱和水池用管路 > 標準打氣管
gid://shopify/TaxonomyCategory/ap-2-4-2          : 動物/寵物補給品 > 寵物用品 > 魚和水族用品 > 水族箱氣泡石/散氣條
gid://shopify/TaxonomyCategory/ap-2-4-2-1        : 動物/寵物補給品 > 寵物用品 > 魚和水族用品 > 水族箱氣泡石/散氣條 > 溶氧器
gid://shopify/TaxonomyCategory/ap-2-4-2-2        : 動物/寵物補給品 > 寵物用品 > 魚和水族用品 > 水族箱氣泡石/散氣條 > 圓盤氣泡石
gid://shopify/TaxonomyCategory/ap-2-4-2-3        : 動物/寵物補給品 > 寵物用品 > 魚和水族用品 > 水族箱氣泡石/散氣條 > 標準氣泡石
gid://shopify/TaxonomyCategory/ap-2-4-2-4        : 動物/寵物補給品 > 寵物用品 > 魚和水族用品 > 水族箱氣泡石/散氣條 > 管狀氣泡石
gid://shopify/TaxonomyCategory/ap-2-4-2-5        : 動物/寵物補給品 > 寵物用品 > 魚和水族用品 > 水族箱氣泡石/散氣條 > 壁掛氣泡石
gid://shopify/TaxonomyCategory/ap-2-4-3          : 動物/寵物補給品 > 寵物用品 > 魚和水族用品 > 水族箱清理用品
gid://shopify/TaxonomyCategory/ap-2-4-3-1        : 動物/寵物補給品 > 寵物用品 > 魚和水族用品 > 水族箱清理用品 > 除藻刷
gid://shopify/TaxonomyCategory/ap-2-4-3-2        : 動物/寵物補給品 > 寵物用品 > 魚和水族用品 > 水族箱清理用品 > 水族箱手套
gid://shopify/TaxonomyCategory/ap-2-4-3-3        : 動物/寵物補給品 > 寵物用品 > 魚和水族用品 > 水族箱清理用品 > 清潔刷具
gid://shopify/TaxonomyCategory/ap-2-4-3-4        : 動物/寵物補給品 > 寵物用品 > 魚和水族用品 > 水族箱清理用品 > 清潔溶液
gid://shopify/TaxonomyCategory/ap-2-4-3-5        : 動物/寵物補給品 > 寵物用品 > 魚和水族用品 > 水族箱清理用品 > 底砂虹吸器
gid://shopify/TaxonomyCategory/ap-2-4-3-6        : 動物/寵物補給品 > 寵物用品 > 魚和水族用品 > 水族箱清理用品 > 去漬棉
gid://shopify/TaxonomyCategory/ap-2-4-3-7        : 動物/寵物補給品 > 寵物用品 > 魚和水族用品 > 水族箱清理用品 > 虹吸管
gid://shopify/TaxonomyCategory/ap-2-4-3-8        : 動物/寵物補給品 > 寵物用品 > 魚和水族用品 > 水族箱清理用品 > 魚缸清潔劑
gid://shopify/TaxonomyCategory/ap-2-4-4          : 動物/寵物補給品 > 寵物用品 > 魚和水族用品 > 水族箱造景飾品
gid://shopify/TaxonomyCategory/ap-2-4-4-1        : 動物/寵物補給品 > 寵物用品 > 魚和水族用品 > 水族箱造景飾品 > 水族箱背景
gid://shopify/TaxonomyCategory/ap-2-4-4-2        : 動物/寵物補給品 > 寵物用品 > 魚和水族用品 > 水族箱造景飾品 > 水族館洞穴和遮蔽物
gid://shopify/TaxonomyCategory/ap-2-4-4-3        : 動物/寵物補給品 > 寵物用品 > 魚和水族用品 > 水族箱造景飾品 > 水族館石頭
gid://shopify/TaxonomyCategory/ap-2-4-4-4        : 動物/寵物補給品 > 寵物用品 > 魚和水族用品 > 水族箱造景飾品 > 水族箱底材
gid://shopify/TaxonomyCategory/ap-2-4-4-5        : 動物/寵物補給品 > 寵物用品 > 魚和水族用品 > 水族箱造景飾品 > 人造植物
gid://shopify/TaxonomyCategory/ap-2-4-4-6        : 動物/寵物補給品 > 寵物用品 > 魚和水族用品 > 水族箱造景飾品 > 氣泡裝飾
gid://shopify/TaxonomyCategory/ap-2-4-4-7        : 動物/寵物補給品 > 寵物用品 > 魚和水族用品 > 水族箱造景飾品 > 漂流木
gid://shopify/TaxonomyCategory/ap-2-4-4-8        : 動物/寵物補給品 > 寵物用品 > 魚和水族用品 > 水族箱造景飾品 > 裝飾
gid://shopify/TaxonomyCategory/ap-2-4-4-9        : 動物/寵物補給品 > 寵物用品 > 魚和水族用品 > 水族箱造景飾品 > 沈船造景
gid://shopify/TaxonomyCategory/ap-2-4-5          : 動物/寵物補給品 > 寵物用品 > 魚和水族用品 > 水族箱過濾器
gid://shopify/TaxonomyCategory/ap-2-4-5-1        : 動物/寵物補給品 > 寵物用品 > 魚和水族用品 > 水族箱過濾器 > 外置式和圓桶水族箱過濾器
gid://shopify/TaxonomyCategory/ap-2-4-5-2        : 動物/寵物補給品 > 寵物用品 > 魚和水族用品 > 水族箱過濾器 > 懸掛式水族箱過濾器
gid://shopify/TaxonomyCategory/ap-2-4-5-3        : 動物/寵物補給品 > 寵物用品 > 魚和水族用品 > 水族箱過濾器 > 水族箱內部過濾器
gid://shopify/TaxonomyCategory/ap-2-4-5-4        : 動物/寵物補給品 > 寵物用品 > 魚和水族用品 > 水族箱過濾器 > 海綿水族箱過濾器
gid://shopify/TaxonomyCategory/ap-2-4-5-5        : 動物/寵物補給品 > 寵物用品 > 魚和水族用品 > 水族箱過濾器 > 水族箱底砂過濾器
gid://shopify/TaxonomyCategory/ap-2-4-6          : 動物/寵物補給品 > 寵物用品 > 魚和水族用品 > 水族箱漁網
gid://shopify/TaxonomyCategory/ap-2-4-6-1        : 動物/寵物補給品 > 寵物用品 > 魚和水族用品 > 水族箱漁網 > 撈網
gid://shopify/TaxonomyCategory/ap-2-4-6-2        : 動物/寵物補給品 > 寵物用品 > 魚和水族用品 > 水族箱漁網 > 蝦網
gid://shopify/TaxonomyCategory/ap-2-4-6-3        : 動物/寵物補給品 > 寵物用品 > 魚和水族用品 > 水族箱漁網 > 襪型網
gid://shopify/TaxonomyCategory/ap-2-4-6-4        : 動物/寵物補給品 > 寵物用品 > 魚和水族用品 > 水族箱漁網 > 標準網
gid://shopify/TaxonomyCategory/ap-2-4-7          : 動物/寵物補給品 > 寵物用品 > 魚和水族用品 > 水族箱底砂
gid://shopify/TaxonomyCategory/ap-2-4-7-1        : 動物/寵物補給品 > 寵物用品 > 魚和水族用品 > 水族箱底砂 > 水族箱土壤
gid://shopify/TaxonomyCategory/ap-2-4-7-2        : 動物/寵物補給品 > 寵物用品 > 魚和水族用品 > 水族箱底砂 > 霰石砂
gid://shopify/TaxonomyCategory/ap-2-4-7-3        : 動物/寵物補給品 > 寵物用品 > 魚和水族用品 > 水族箱底砂 > 珊瑚砂
gid://shopify/TaxonomyCategory/ap-2-4-7-4        : 動物/寵物補給品 > 寵物用品 > 魚和水族用品 > 水族箱底砂 > 玻璃石
gid://shopify/TaxonomyCategory/ap-2-4-7-5        : 動物/寵物補給品 > 寵物用品 > 魚和水族用品 > 水族箱底砂 > 砂礫
gid://shopify/TaxonomyCategory/ap-2-4-7-6        : 動物/寵物補給品 > 寵物用品 > 魚和水族用品 > 水族箱底砂 > 鵝卵石
gid://shopify/TaxonomyCategory/ap-2-4-7-7        : 動物/寵物補給品 > 寵物用品 > 魚和水族用品 > 水族箱底砂 > 沙子
gid://shopify/TaxonomyCategory/ap-2-4-8          : 動物/寵物補給品 > 寵物用品 > 魚和水族用品 > 水族箱照明
gid://shopify/TaxonomyCategory/ap-2-4-9          : 動物/寵物補給品 > 寵物用品 > 魚和水族用品 > 水族箱溢流盒
gid://shopify/TaxonomyCategory/ap-2-4-10         : 動物/寵物補給品 > 寵物用品 > 魚和水族用品 > 水族箱支架
gid://shopify/TaxonomyCategory/ap-2-4-10-1       : 動物/寵物補給品 > 寵物用品 > 魚和水族用品 > 水族箱支架 > 箱型框架
gid://shopify/TaxonomyCategory/ap-2-4-10-2       : 動物/寵物補給品 > 寵物用品 > 魚和水族用品 > 水族箱支架 > 櫥櫃立架
gid://shopify/TaxonomyCategory/ap-2-4-10-3       : 動物/寵物補給品 > 寵物用品 > 魚和水族用品 > 水族箱支架 > 雙魚缸立架
gid://shopify/TaxonomyCategory/ap-2-4-10-4       : 動物/寵物補給品 > 寵物用品 > 魚和水族用品 > 水族箱支架 > 鍛鐵立架
gid://shopify/TaxonomyCategory/ap-2-4-11         : 動物/寵物補給品 > 寵物用品 > 魚和水族用品 > 水族箱溫控器
gid://shopify/TaxonomyCategory/ap-2-4-11-1       : 動物/寵物補給品 > 寵物用品 > 魚和水族用品 > 水族箱溫控器 > 類比水族箱溫控器
gid://shopify/TaxonomyCategory/ap-2-4-11-2       : 動物/寵物補給品 > 寵物用品 > 魚和水族用品 > 水族箱溫控器 > 數位水族箱溫控器
gid://shopify/TaxonomyCategory/ap-2-4-12         : 動物/寵物補給品 > 寵物用品 > 魚和水族用品 > 水族箱水處理設備
gid://shopify/TaxonomyCategory/ap-2-4-12-1       : 動物/寵物補給品 > 寵物用品 > 魚和水族用品 > 水族箱水處理設備 > 藻類控制
gid://shopify/TaxonomyCategory/ap-2-4-12-2       : 動物/寵物補給品 > 寵物用品 > 魚和水族用品 > 水族箱水處理設備 > 除氨劑
gid://shopify/TaxonomyCategory/ap-2-4-12-3       : 動物/寵物補給品 > 寵物用品 > 魚和水族用品 > 水族箱水處理設備 > 真菌和細菌處理產品
gid://shopify/TaxonomyCategory/ap-2-4-12-4       : 動物/寵物補給品 > 寵物用品 > 魚和水族用品 > 水族箱水處理設備 > 硝酸鹽去除劑
gid://shopify/TaxonomyCategory/ap-2-4-12-5       : 動物/寵物補給品 > 寵物用品 > 魚和水族用品 > 水族箱水處理設備 > 酸鹼值調節劑
gid://shopify/TaxonomyCategory/ap-2-4-12-6       : 動物/寵物補給品 > 寵物用品 > 魚和水族用品 > 水族箱水處理設備 > 自來水排毒劑
gid://shopify/TaxonomyCategory/ap-2-4-12-7       : 動物/寵物補給品 > 寵物用品 > 魚和水族用品 > 水族箱水處理設備 > 淨水器
gid://shopify/TaxonomyCategory/ap-2-4-12-8       : 動物/寵物補給品 > 寵物用品 > 魚和水族用品 > 水族箱水處理設備 > 水質調整器
gid://shopify/TaxonomyCategory/ap-2-4-13         : 動物/寵物補給品 > 寵物用品 > 魚和水族用品 > 水族箱/魚缸
gid://shopify/TaxonomyCategory/ap-2-4-14         : 動物/寵物補給品 > 寵物用品 > 魚和水族用品 > 水生植物專用肥料
gid://shopify/TaxonomyCategory/ap-2-4-14-1       : 動物/寵物補給品 > 寵物用品 > 魚和水族用品 > 水生植物專用肥料 > 顆粒肥料
gid://shopify/TaxonomyCategory/ap-2-4-14-2       : 動物/寵物補給品 > 寵物用品 > 魚和水族用品 > 水生植物專用肥料 > 液態肥料
gid://shopify/TaxonomyCategory/ap-2-4-14-3       : 動物/寵物補給品 > 寵物用品 > 魚和水族用品 > 水生植物專用肥料 > 粉狀肥料
gid://shopify/TaxonomyCategory/ap-2-4-14-4       : 動物/寵物補給品 > 寵物用品 > 魚和水族用品 > 水生植物專用肥料 > 錠狀肥料
gid://shopify/TaxonomyCategory/ap-2-4-15         : 動物/寵物補給品 > 寵物用品 > 魚和水族用品 > 魚飼料自動餵食器
gid://shopify/TaxonomyCategory/ap-2-4-16         : 動物/寵物補給品 > 寵物用品 > 魚和水族用品 > 魚飼料
gid://shopify/TaxonomyCategory/ap-2-4-16-1       : 動物/寵物補給品 > 寵物用品 > 魚和水族用品 > 魚飼料 > 海藻薄餅
gid://shopify/TaxonomyCategory/ap-2-4-16-2       : 動物/寵物補給品 > 寵物用品 > 魚和水族用品 > 魚飼料 > 鬥魚飼料
gid://shopify/TaxonomyCategory/ap-2-4-16-3       : 動物/寵物補給品 > 寵物用品 > 魚和水族用品 > 魚飼料 > 麗魚飼料
gid://shopify/TaxonomyCategory/ap-2-4-16-4       : 動物/寵物補給品 > 寵物用品 > 魚和水族用品 > 魚飼料 > 乾燥魚飼料
gid://shopify/TaxonomyCategory/ap-2-4-16-5       : 動物/寵物補給品 > 寵物用品 > 魚和水族用品 > 魚飼料 > 凍乾飼料
gid://shopify/TaxonomyCategory/ap-2-4-16-6       : 動物/寵物補給品 > 寵物用品 > 魚和水族用品 > 魚飼料 > 冷凍飼料
gid://shopify/TaxonomyCategory/ap-2-4-16-7       : 動物/寵物補給品 > 寵物用品 > 魚和水族用品 > 魚飼料 > 金魚飼料
gid://shopify/TaxonomyCategory/ap-2-4-16-8       : 動物/寵物補給品 > 寵物用品 > 魚和水族用品 > 魚飼料 > 活體飼料
gid://shopify/TaxonomyCategory/ap-2-4-16-9       : 動物/寵物補給品 > 寵物用品 > 魚和水族用品 > 魚飼料 > 含藥飼料
gid://shopify/TaxonomyCategory/ap-2-5            : 動物/寵物補給品 > 寵物用品 > 寵物敏捷度測試設備
gid://shopify/TaxonomyCategory/ap-2-5-1          : 動物/寵物補給品 > 寵物用品 > 寵物敏捷度測試設備 > A 字型
gid://shopify/TaxonomyCategory/ap-2-5-2          : 動物/寵物補給品 > 寵物用品 > 寵物敏捷度測試設備 > 敏捷隧道
gid://shopify/TaxonomyCategory/ap-2-5-3          : 動物/寵物補給品 > 寵物用品 > 寵物敏捷度測試設備 > 狗用走道和坡道
gid://shopify/TaxonomyCategory/ap-2-5-4          : 動物/寵物補給品 > 寵物用品 > 寵物敏捷度測試設備 > 跳桿
gid://shopify/TaxonomyCategory/ap-2-5-5          : 動物/寵物補給品 > 寵物用品 > 寵物敏捷度測試設備 > 暫停桌
gid://shopify/TaxonomyCategory/ap-2-5-6          : 動物/寵物補給品 > 寵物用品 > 寵物敏捷度測試設備 > 桿子
gid://shopify/TaxonomyCategory/ap-2-5-7          : 動物/寵物補給品 > 寵物用品 > 寵物敏捷度測試設備 > 訓練蹺蹺板
gid://shopify/TaxonomyCategory/ap-2-5-8          : 動物/寵物補給品 > 寵物用品 > 寵物敏捷度測試設備 > 跳躍訓練輪胎
gid://shopify/TaxonomyCategory/ap-2-6            : 動物/寵物補給品 > 寵物用品 > 寵物衣服
gid://shopify/TaxonomyCategory/ap-2-6-1          : 動物/寵物補給品 > 寵物用品 > 寵物衣服 > 寵物頭巾
gid://shopify/TaxonomyCategory/ap-2-6-2          : 動物/寵物補給品 > 寵物用品 > 寵物衣服 > 寵物蝴蝶結和緞帶
gid://shopify/TaxonomyCategory/ap-2-6-3          : 動物/寵物補給品 > 寵物用品 > 寵物衣服 > 寵物大衣
gid://shopify/TaxonomyCategory/ap-2-6-4          : 動物/寵物補給品 > 寵物用品 > 寵物衣服 > 寵物項圈和牽繩
gid://shopify/TaxonomyCategory/ap-2-6-5          : 動物/寵物補給品 > 寵物用品 > 寵物衣服 > 寵物服飾
gid://shopify/TaxonomyCategory/ap-2-6-6          : 動物/寵物補給品 > 寵物用品 > 寵物衣服 > 寵物服裝
gid://shopify/TaxonomyCategory/ap-2-6-7          : 動物/寵物補給品 > 寵物用品 > 寵物衣服 > 寵物帽
gid://shopify/TaxonomyCategory/ap-2-6-8          : 動物/寵物補給品 > 寵物用品 > 寵物衣服 > 寵物連帽上衣
gid://shopify/TaxonomyCategory/ap-2-6-9          : 動物/寵物補給品 > 寵物用品 > 寵物衣服 > 寵物外套
gid://shopify/TaxonomyCategory/ap-2-6-10         : 動物/寵物補給品 > 寵物用品 > 寵物衣服 > 寵物雨衣
gid://shopify/TaxonomyCategory/ap-2-6-11         : 動物/寵物補給品 > 寵物用品 > 寵物衣服 > 寵物安全防護背心
gid://shopify/TaxonomyCategory/ap-2-6-12         : 動物/寵物補給品 > 寵物用品 > 寵物衣服 > 寵物圍巾
gid://shopify/TaxonomyCategory/ap-2-6-13         : 動物/寵物補給品 > 寵物用品 > 寵物衣服 > 寵物襯衫
gid://shopify/TaxonomyCategory/ap-2-6-14         : 動物/寵物補給品 > 寵物用品 > 寵物衣服 > 寵物鞋
gid://shopify/TaxonomyCategory/ap-2-6-15         : 動物/寵物補給品 > 寵物用品 > 寵物衣服 > 寵物襪
gid://shopify/TaxonomyCategory/ap-2-6-16         : 動物/寵物補給品 > 寵物用品 > 寵物衣服 > 寵物太陽眼鏡
gid://shopify/TaxonomyCategory/ap-2-6-17         : 動物/寵物補給品 > 寵物用品 > 寵物衣服 > 寵物毛衣
gid://shopify/TaxonomyCategory/ap-2-7            : 動物/寵物補給品 > 寵物用品 > 寵物衣物衣架
gid://shopify/TaxonomyCategory/ap-2-8            : 動物/寵物補給品 > 寵物用品 > 寵物床配件
gid://shopify/TaxonomyCategory/ap-2-9            : 動物/寵物補給品 > 寵物用品 > 寵物睡床
gid://shopify/TaxonomyCategory/ap-2-9-1          : 動物/寵物補給品 > 寵物用品 > 寵物睡床 > 籃子
