# Shopify Product Taxonomy - Attributes: 2026-05
# Format: {GID} : {Attribute name}

gid://shopify/TaxonomyAttribute/5398  : 3D 眼鏡配戴設計
gid://shopify/TaxonomyAttribute/8011  : 空力套件組件
gid://shopify/TaxonomyAttribute/8012  : 包含空氣動力學元件
gid://shopify/TaxonomyAttribute/3354  : 鬚後水商品形式
gid://shopify/TaxonomyAttribute/8957  : 觸後支援
gid://shopify/TaxonomyAttribute/7611  : 龍舌蘭含量分類
gid://shopify/TaxonomyAttribute/30    : 年齡層
gid://shopify/TaxonomyAttribute/2274  : 年齡限制
gid://shopify/TaxonomyAttribute/8958  : 愛達布織數
gid://shopify/TaxonomyAttribute/8959  : 愛達布預先裁剪格式
gid://shopify/TaxonomyAttribute/6338  : 包含空氣與水火箭組品項
gid://shopify/TaxonomyAttribute/6339  : 空氣與水火箭發射方式
gid://shopify/TaxonomyAttribute/8960  : 氣囊材質
gid://shopify/TaxonomyAttribute/6862  : 氣墊床內部結構
gid://shopify/TaxonomyAttribute/2708  : 空氣清新劑形式
gid://shopify/TaxonomyAttribute/5689  : 氣炸鍋配件類型
gid://shopify/TaxonomyAttribute/4050  : 氣炸鍋功能
gid://shopify/TaxonomyAttribute/6983  : 包含的空氣曲棍球品項
gid://shopify/TaxonomyAttribute/8013  : 進氣溫度感知器安裝樣式
gid://shopify/TaxonomyAttribute/6984  : 空氣整合功能
gid://shopify/TaxonomyAttribute/3182  : 充氣墊功能
gid://shopify/TaxonomyAttribute/6985  : 充氣墊閥門類型
gid://shopify/TaxonomyAttribute/5690  : 空氣清淨機過濾技術
gid://shopify/TaxonomyAttribute/5691  : 空氣清淨機過濾等級
gid://shopify/TaxonomyAttribute/5103  : 充氣管配置
gid://shopify/TaxonomyAttribute/8961  : 風乾黏土顏色形式
gid://shopify/TaxonomyAttribute/8014  : 安全氣囊位置
gid://shopify/TaxonomyAttribute/3329  : 噴槍填料型
gid://shopify/TaxonomyAttribute/3328  : 噴槍運作方式
gid://shopify/TaxonomyAttribute/8015  : 飛機 ADS-B 功能
gid://shopify/TaxonomyAttribute/8016  : 飛機機身材質
gid://shopify/TaxonomyAttribute/8017  : 飛機座艙配置
gid://shopify/TaxonomyAttribute/8018  : 包含飛機文件
gid://shopify/TaxonomyAttribute/4683  : 飛機引擎配置
gid://shopify/TaxonomyAttribute/4682  : 飛機引擎類型
gid://shopify/TaxonomyAttribute/8019  : 飛機廚房配置
gid://shopify/TaxonomyAttribute/8020  : 飛機安裝位置
gid://shopify/TaxonomyAttribute/8021  : 飛機網際網路連線
gid://shopify/TaxonomyAttribute/8022  : 飛機起落架類型
gid://shopify/TaxonomyAttribute/8023  : 飛機洗手間配置
gid://shopify/TaxonomyAttribute/8024  : 飛機維護計畫加入
gid://shopify/TaxonomyAttribute/8025  : 飛機營運認證
gid://shopify/TaxonomyAttribute/8026  : 飛機防護裝備認證
gid://shopify/TaxonomyAttribute/8027  : 飛機系統應用
gid://shopify/TaxonomyAttribute/5211  : 氣流開口設計
gid://shopify/TaxonomyAttribute/8962  : 氣流阻力等級
gid://shopify/TaxonomyAttribute/8028  : 飛艇氣囊材質
gid://shopify/TaxonomyAttribute/6986  : 軟氣槍零件類型
gid://shopify/TaxonomyAttribute/8029  : 適航核准依據
gid://shopify/TaxonomyAttribute/6987  : 警報音量調節
gid://shopify/TaxonomyAttribute/2287  : 相冊類型
gid://shopify/TaxonomyAttribute/5290  : 酒精含量
gid://shopify/TaxonomyAttribute/8963  : 酒精墨水表面效果
gid://shopify/TaxonomyAttribute/5679  : 酒精/溶劑含量
gid://shopify/TaxonomyAttribute/1362  : 警報類型
gid://shopify/TaxonomyAttribute/6988  : 對齊輔助樣式
gid://shopify/TaxonomyAttribute/1451  : 過敏原資訊
gid://shopify/TaxonomyAttribute/1577  : 過敏原檢測類型
gid://shopify/TaxonomyAttribute/1631  : 過敏原
gid://shopify/TaxonomyAttribute/3138  : 防過敏功能
gid://shopify/TaxonomyAttribute/8030  : 交流發電機冷卻類型
gid://shopify/TaxonomyAttribute/8031  : 交流發電機船用點火保護等級
gid://shopify/TaxonomyAttribute/8032  : 交流發電機安裝配置
gid://shopify/TaxonomyAttribute/8033  : 交流發電機皮帶輪類型
gid://shopify/TaxonomyAttribute/8034  : 交流發電機調節器類型
gid://shopify/TaxonomyAttribute/8035  : 交流發電機端子連接類型
gid://shopify/TaxonomyAttribute/6989  : 海拔適用性
gid://shopify/TaxonomyAttribute/8036  : 救護車擔架安裝類型
gid://shopify/TaxonomyAttribute/6990  : 美式足球安全認證
gid://shopify/TaxonomyAttribute/5126  : 氨基酸亞型
gid://shopify/TaxonomyAttribute/1800  : 放大器等級
gid://shopify/TaxonomyAttribute/2690  : 擴大機配置
gid://shopify/TaxonomyAttribute/8964  : 擴大機真空管功能
gid://shopify/TaxonomyAttribute/1808  : 擴大機/推進器適用地點
gid://shopify/TaxonomyAttribute/5088  : 截肢水平
gid://shopify/TaxonomyAttribute/8965  : 類比合成器 CV/Gate 輸入/輸出
gid://shopify/TaxonomyAttribute/8966  : 模擬合成器鍵盤配置
gid://shopify/TaxonomyAttribute/5100  : 測量的分析物
gid://shopify/TaxonomyAttribute/4998  : 變形壓縮比例
gid://shopify/TaxonomyAttribute/5043  : 顯示的解剖細節
gid://shopify/TaxonomyAttribute/6991  : 錨點配置
gid://shopify/TaxonomyAttribute/1258  : 錨類型
gid://shopify/TaxonomyAttribute/2198  : 風速計應用
gid://shopify/TaxonomyAttribute/1883  : 支援的角度
gid://shopify/TaxonomyAttribute/1289  : 垂釣樣式
gid://shopify/TaxonomyAttribute/5692  : 動物照護套裝包含組件
gid://shopify/TaxonomyAttribute/2550  : 動物飼料形式
gid://shopify/TaxonomyAttribute/7612  : 動物飼養方法
gid://shopify/TaxonomyAttribute/6340  : 動物物種
gid://shopify/TaxonomyAttribute/6992  : 動物陷阱夾口樣式
gid://shopify/TaxonomyAttribute/6993  : 動物陷阱類型
gid://shopify/TaxonomyAttribute/1308  : 動物類型
gid://shopify/TaxonomyAttribute/6994  : 腳踝鞋領樣式
gid://shopify/TaxonomyAttribute/6995  : 護踝保護等級
gid://shopify/TaxonomyAttribute/6996  : 腳踝綁帶襯墊類型
gid://shopify/TaxonomyAttribute/6997  : 腳踝綁帶類型
gid://shopify/TaxonomyAttribute/5519  : 答錄機類型
gid://shopify/TaxonomyAttribute/6341  : 螞蟻農場棲息介質類型
gid://shopify/TaxonomyAttribute/6342  : 螞蟻農場套件內容
gid://shopify/TaxonomyAttribute/6343  : 螞蟻農場照明類型
gid://shopify/TaxonomyAttribute/5587  : 天線 RF 連接器類型
gid://shopify/TaxonomyAttribute/5511  : 天線連接器類型
gid://shopify/TaxonomyAttribute/8037  : 天線安裝類型
gid://shopify/TaxonomyAttribute/1828  : 天線類型
gid://shopify/TaxonomyAttribute/8038  : 抗 G 力衣氣囊材質
gid://shopify/TaxonomyAttribute/8039  : 抗 G 衣連接器類型
gid://shopify/TaxonomyAttribute/8040  : 抗 G 衣充氣方式
gid://shopify/TaxonomyAttribute/8041  : 抗 G 衣尺寸系統
gid://shopify/TaxonomyAttribute/3340  : 抗老化護膚型
gid://shopify/TaxonomyAttribute/7613  : 抗結塊劑
gid://shopify/TaxonomyAttribute/5305  : 止汗劑強度
gid://shopify/TaxonomyAttribute/6998  : 防逆轉類型
gid://shopify/TaxonomyAttribute/8042  : 防盜功能
gid://shopify/TaxonomyAttribute/5056  : 檢測的抗體類別
gid://shopify/TaxonomyAttribute/2710  : 防凍劑類型
gid://shopify/TaxonomyAttribute/4680  : 古董車設計
gid://shopify/TaxonomyAttribute/8967  : 古董槍點火系統
gid://shopify/TaxonomyAttribute/4679  : 古董車時期
gid://shopify/TaxonomyAttribute/7614  : 蘋果品種
gid://shopify/TaxonomyAttribute/5501  : 電器電路板功能
gid://shopify/TaxonomyAttribute/5500  : 電器單元位置
gid://shopify/TaxonomyAttribute/1316  : 應用方法
gid://shopify/TaxonomyAttribute/5149  : 應用類型
gid://shopify/TaxonomyAttribute/5258  : 塗抹器形式
gid://shopify/TaxonomyAttribute/1639  : 塗抹器材質
gid://shopify/TaxonomyAttribute/3344  : 塗抹工具類型
gid://shopify/TaxonomyAttribute/8968  : 貼花收邊處理
gid://shopify/TaxonomyAttribute/2314  : 貼花/貼片形狀
gid://shopify/TaxonomyAttribute/5693  : 圍裙功能
gid://shopify/TaxonomyAttribute/5694  : 圍裙樣式
gid://shopify/TaxonomyAttribute/2980  : 水族箱濾水器功能
gid://shopify/TaxonomyAttribute/1708  : 水族燈光譜
gid://shopify/TaxonomyAttribute/3228  : 水族箱溢流盒設計
gid://shopify/TaxonomyAttribute/5695  : 水生植物生長習性
gid://shopify/TaxonomyAttribute/5696  : 涼亭頂部設計
gid://shopify/TaxonomyAttribute/6999  : 軸心類型
gid://shopify/TaxonomyAttribute/7000  : 射箭配件類型
gid://shopify/TaxonomyAttribute/1302  : 射箭活動
gid://shopify/TaxonomyAttribute/2888  : 包括射箭設備
gid://shopify/TaxonomyAttribute/7001  : 射箭零件類型
gid://shopify/TaxonomyAttribute/7002  : 射箭場配件類型
gid://shopify/TaxonomyAttribute/1303  : 射箭樣式
gid://shopify/TaxonomyAttribute/7003  : 箭靶功能
gid://shopify/TaxonomyAttribute/4365  : 箭靶類型
gid://shopify/TaxonomyAttribute/7004  : 射箭工具類型
gid://shopify/TaxonomyAttribute/7005  : 臂帶功能
gid://shopify/TaxonomyAttribute/7006  : 護臂樣式
gid://shopify/TaxonomyAttribute/8043  : 裝甲保護類型
gid://shopify/TaxonomyAttribute/6863  : 扶手可調節性
gid://shopify/TaxonomyAttribute/6864  : 扶手類型
gid://shopify/TaxonomyAttribute/2496  : 排列
gid://shopify/TaxonomyAttribute/7008  : 弓箭組件類型
gid://shopify/TaxonomyAttribute/7009  : 弓箭控制等級
gid://shopify/TaxonomyAttribute/2883  : 箭羽材質
gid://shopify/TaxonomyAttribute/7010  : 箭羽方向
gid://shopify/TaxonomyAttribute/7011  : 箭尾槽尺寸
gid://shopify/TaxonomyAttribute/7012  : 箭尾類型
gid://shopify/TaxonomyAttribute/7013  : 箭架樣式
gid://shopify/TaxonomyAttribute/7014  : 箭桿相容性
gid://shopify/TaxonomyAttribute/2969  : 箭頭/螺栓材料
gid://shopify/TaxonomyAttribute/7007  : 弓箭頭/弩箭頭類型
gid://shopify/TaxonomyAttribute/2299  : 藝術品定畫液使用方法
gid://shopify/TaxonomyAttribute/8970  : 藝術墨水耐光度等級
gid://shopify/TaxonomyAttribute/8971  : 藝術墨水不透明度
gid://shopify/TaxonomyAttribute/3429  : 藝術運動
gid://shopify/TaxonomyAttribute/2386  : 藝術樣式
gid://shopify/TaxonomyAttribute/2930  : 藝術/手作工具材料
gid://shopify/TaxonomyAttribute/8969  : 藝術/手作工具尖端樣式
gid://shopify/TaxonomyAttribute/7615  : 朝鮮薊切塊
gid://shopify/TaxonomyAttribute/7616  : 朝鮮薊品種
gid://shopify/TaxonomyAttribute/8972  : 可動性功能
gid://shopify/TaxonomyAttribute/7016  : 人工餌料形式
gid://shopify/TaxonomyAttribute/3430  : 畫作真實性
gid://shopify/TaxonomyAttribute/2796  : 藝術品框架材質
gid://shopify/TaxonomyAttribute/2666  : 藝術品類型
gid://shopify/TaxonomyAttribute/7018  : 上升器/下降器類型
gid://shopify/TaxonomyAttribute/5697  : 煙灰缸類型
gid://shopify/TaxonomyAttribute/8044  : 進氣類型
gid://shopify/TaxonomyAttribute/12755 : 需要組裝
gid://shopify/TaxonomyAttribute/6865  : 組裝狀態
gid://shopify/TaxonomyAttribute/7019  : 輔助機制
gid://shopify/TaxonomyAttribute/3387  : 輔助煞車技術
gid://shopify/TaxonomyAttribute/7617  : 鳳梨釋迦品種
gid://shopify/TaxonomyAttribute/7020  : 運動護襠尺寸
gid://shopify/TaxonomyAttribute/1737  : 附件方式
gid://shopify/TaxonomyAttribute/844   : 附件選項
gid://shopify/TaxonomyAttribute/7021  : 安裝位置
gid://shopify/TaxonomyAttribute/1267  : 附件類型
gid://shopify/TaxonomyAttribute/7022  : 誘捕劑氣味特徵
gid://shopify/TaxonomyAttribute/5698  : 引誘劑類型
gid://shopify/TaxonomyAttribute/1806  : 音訊 D/A 轉換器 (DAC)
gid://shopify/TaxonomyAttribute/5454  : 音訊旁路類型
gid://shopify/TaxonomyAttribute/5592  : 音訊卡帶類型
gid://shopify/TaxonomyAttribute/8046  : 音訊聲道配置
gid://shopify/TaxonomyAttribute/1822  : 支援的音訊編解碼器/格式
gid://shopify/TaxonomyAttribute/5435  : 音訊組件外型規格
gid://shopify/TaxonomyAttribute/1813  : 音訊連接
gid://shopify/TaxonomyAttribute/5545  : 音訊轉換方向
gid://shopify/TaxonomyAttribute/5516  : 音訊雙工能力
gid://shopify/TaxonomyAttribute/8973  : 音訊輸入
gid://shopify/TaxonomyAttribute/3309  : 混音器類型
gid://shopify/TaxonomyAttribute/6344  : 音訊輸出
gid://shopify/TaxonomyAttribute/1801  : 音訊輸出管道
gid://shopify/TaxonomyAttribute/1802  : 音訊輸出格式
gid://shopify/TaxonomyAttribute/8974  : 音訊輸出
gid://shopify/TaxonomyAttribute/6345  : 音訊播放來源
gid://shopify/TaxonomyAttribute/3066  : 音訊播放器/錄音機功能
gid://shopify/TaxonomyAttribute/1818  : 音訊用途
gid://shopify/TaxonomyAttribute/5591  : 音訊回傳通道支援
gid://shopify/TaxonomyAttribute/5607  : 音訊訊號配置
gid://shopify/TaxonomyAttribute/5417  : 音訊系統
gid://shopify/TaxonomyAttribute/1803  : 音訊技術
gid://shopify/TaxonomyAttribute/3074  : 音訊/掃描轉換器功能
gid://shopify/TaxonomyAttribute/5604  : 音訊/視訊纜線連接器類型 (端 A)
gid://shopify/TaxonomyAttribute/5605  : 音訊/視訊纜線連接器類型 (端 B)
gid://shopify/TaxonomyAttribute/3370  : 驗證技術
gid://shopify/TaxonomyAttribute/2374  : 真實性
gid://shopify/TaxonomyAttribute/2016  : 自動對焦模式
gid://shopify/TaxonomyAttribute/2613  : 滅菌釜消毒方法
gid://shopify/TaxonomyAttribute/8975  : 親筆簽名認證
gid://shopify/TaxonomyAttribute/8976  : 親筆簽名格式
gid://shopify/TaxonomyAttribute/2361  : 親筆簽名類型
gid://shopify/TaxonomyAttribute/8047  : 旋翼機駕駛艙罩
gid://shopify/TaxonomyAttribute/2583  : 自動化
gid://shopify/TaxonomyAttribute/7023  : 可用射擊模式
gid://shopify/TaxonomyAttribute/7618  : 酪梨品種
gid://shopify/TaxonomyAttribute/8977  : 包含獎項自訂
gid://shopify/TaxonomyAttribute/2526  : 獎項設計
gid://shopify/TaxonomyAttribute/8978  : 獎項材質
gid://shopify/TaxonomyAttribute/8979  : 獎項安裝/展示類型
gid://shopify/TaxonomyAttribute/2525  : 頒獎場合
gid://shopify/TaxonomyAttribute/8980  : 獎牌銘版材質
gid://shopify/TaxonomyAttribute/8981  : 絲帶獎章固定類型
gid://shopify/TaxonomyAttribute/8982  : 絲帶獎章印製方式
gid://shopify/TaxonomyAttribute/8983  : 絲帶獎章材質
gid://shopify/TaxonomyAttribute/8984  : 絲帶獎章名次/頭銜
gid://shopify/TaxonomyAttribute/1426  : 遮篷結構類型
gid://shopify/TaxonomyAttribute/2823  : 遮陽篷設計
gid://shopify/TaxonomyAttribute/5699  : 遮陽篷操作類型
gid://shopify/TaxonomyAttribute/7024  : 車軸相容性
gid://shopify/TaxonomyAttribute/7069  : BB 槍動作類型
gid://shopify/TaxonomyAttribute/7070  : BB 槍口徑
gid://shopify/TaxonomyAttribute/7071  : BB 槍零件類型
gid://shopify/TaxonomyAttribute/1836  : 基本輸出入系統類型
gid://shopify/TaxonomyAttribute/1759  : 嬰兒飲料包材
gid://shopify/TaxonomyAttribute/1758  : 嬰兒食品口味
gid://shopify/TaxonomyAttribute/1761  : 配方奶粉格式
gid://shopify/TaxonomyAttribute/1717  : 嬰兒禮品含有品項
gid://shopify/TaxonomyAttribute/1720  : 嬰兒照護含有品項
gid://shopify/TaxonomyAttribute/3026  : 嬰兒監視器功能
gid://shopify/TaxonomyAttribute/1762  : 嬰兒零食口味
gid://shopify/TaxonomyAttribute/1763  : 嬰兒零食質地
gid://shopify/TaxonomyAttribute/2997  : 嬰幼兒服裝特點
gid://shopify/TaxonomyAttribute/3029  : 嬰幼兒設備安全功能
gid://shopify/TaxonomyAttribute/3103  : 嬰幼兒家具特點
gid://shopify/TaxonomyAttribute/3318  : 包括嬰幼兒家具品項
gid://shopify/TaxonomyAttribute/3254  : 嬰幼兒帽子款式
gid://shopify/TaxonomyAttribute/3247  : 嬰兒/幼兒襪款式
gid://shopify/TaxonomyAttribute/3107  : 嬰幼兒安全座椅功能
gid://shopify/TaxonomyAttribute/3246  : 嬰幼兒睡衣款式
gid://shopify/TaxonomyAttribute/8986  : 背側板材質
gid://shopify/TaxonomyAttribute/8985  : 後樑類型
gid://shopify/TaxonomyAttribute/6636  : 背部設計
gid://shopify/TaxonomyAttribute/6866  : 背板類型
gid://shopify/TaxonomyAttribute/1531  : 靠背類型
gid://shopify/TaxonomyAttribute/5329  : 籃板材質
gid://shopify/TaxonomyAttribute/2047  : 背景設計
gid://shopify/TaxonomyAttribute/2185  : 背膠材料
gid://shopify/TaxonomyAttribute/8987  : 背襯類型
gid://shopify/TaxonomyAttribute/5617  : 背光類型
gid://shopify/TaxonomyAttribute/1527  : 椅背類型
gid://shopify/TaxonomyAttribute/8048  : 倒車攝影機安裝位置
gid://shopify/TaxonomyAttribute/8049  : 倒車攝影機視訊介面
gid://shopify/TaxonomyAttribute/7025  : 包含羽毛球組組件
gid://shopify/TaxonomyAttribute/7026  : 包包固定方式
gid://shopify/TaxonomyAttribute/5700  : 包夾樣式
gid://shopify/TaxonomyAttribute/2958  : 手提袋闔上
gid://shopify/TaxonomyAttribute/5701  : 套件配置
gid://shopify/TaxonomyAttribute/8989  : 包包外罩材質
gid://shopify/TaxonomyAttribute/6637  : 包袋裝飾
gid://shopify/TaxonomyAttribute/7027  : 包袋填充介質
gid://shopify/TaxonomyAttribute/5702  : 袋子保溫材料
gid://shopify/TaxonomyAttribute/8990  : 包袋材質
gid://shopify/TaxonomyAttribute/7028  : 包袋襯墊等級
gid://shopify/TaxonomyAttribute/6638  : 包袋尺寸交易描述
gid://shopify/TaxonomyAttribute/2222  : 包包背帶類型
gid://shopify/TaxonomyAttribute/3365  : 手袋款式
gid://shopify/TaxonomyAttribute/2725  : 包型
gid://shopify/TaxonomyAttribute/3006  : 袋/盒功能
gid://shopify/TaxonomyAttribute/2784  : 袋/盒材質
gid://shopify/TaxonomyAttribute/3258  : 袋/盒儲存功能
gid://shopify/TaxonomyAttribute/8988  : 袋/盒攜帶樣式
gid://shopify/TaxonomyAttribute/7619  : 貝果尺寸
gid://shopify/TaxonomyAttribute/8991  : 包含風笛配件
gid://shopify/TaxonomyAttribute/8992  : 風笛演奏模式
gid://shopify/TaxonomyAttribute/7029  : 餌料相容性
gid://shopify/TaxonomyAttribute/7030  : 誘餌種類
gid://shopify/TaxonomyAttribute/3100  : 包括烘焙品項
gid://shopify/TaxonomyAttribute/3360  : 包括烘焙用具品項
gid://shopify/TaxonomyAttribute/1394  : 包括烘焙用具
gid://shopify/TaxonomyAttribute/2813  : 烘焙用具形狀
gid://shopify/TaxonomyAttribute/7620  : 烘焙用巧克力豆形式
gid://shopify/TaxonomyAttribute/5703  : 烘焙紙尺寸
gid://shopify/TaxonomyAttribute/1486  : 烘焙用途
gid://shopify/TaxonomyAttribute/2812  : 烤盤材質
gid://shopify/TaxonomyAttribute/5704  : 烤盤樣式
gid://shopify/TaxonomyAttribute/7031  : 平衡板樣式
gid://shopify/TaxonomyAttribute/7032  : 包含平衡墊配件
gid://shopify/TaxonomyAttribute/8050  : 平衡類型
gid://shopify/TaxonomyAttribute/6346  : 托球玩具包含件數
gid://shopify/TaxonomyAttribute/7033  : 球囊材質
gid://shopify/TaxonomyAttribute/7034  : 球類認證
gid://shopify/TaxonomyAttribute/7035  : 球體結構
gid://shopify/TaxonomyAttribute/7036  : 球芯結構
gid://shopify/TaxonomyAttribute/7037  : 球芯類型
gid://shopify/TaxonomyAttribute/7038  : 球類鑽孔狀態
gid://shopify/TaxonomyAttribute/7039  : 球架類型
gid://shopify/TaxonomyAttribute/2844  : 球材質
gid://shopify/TaxonomyAttribute/6347  : 球池球表面處理
gid://shopify/TaxonomyAttribute/6348  : 球池安全功能
gid://shopify/TaxonomyAttribute/7040  : 球用打氣筒配件類型
gid://shopify/TaxonomyAttribute/7041  : 回球機制
gid://shopify/TaxonomyAttribute/7042  : 回球類型
gid://shopify/TaxonomyAttribute/1206  : 球尺寸
gid://shopify/TaxonomyAttribute/7043  : 球速評級
gid://shopify/TaxonomyAttribute/7044  : 球面紋理
gid://shopify/TaxonomyAttribute/7045  : 球面類型
gid://shopify/TaxonomyAttribute/6283  : 壓載材料
gid://shopify/TaxonomyAttribute/8051  : 副氣囊配置
gid://shopify/TaxonomyAttribute/8993  : 氣球封口/氣門類型
gid://shopify/TaxonomyAttribute/8994  : 氣球套件表面處理
gid://shopify/TaxonomyAttribute/2505  : 氣球工具包含有品項
gid://shopify/TaxonomyAttribute/8995  : 氣球套件材質
gid://shopify/TaxonomyAttribute/2506  : 氣球形狀
gid://shopify/TaxonomyAttribute/7621  : 香蕉品種
gid://shopify/TaxonomyAttribute/2242  : 帶強度
gid://shopify/TaxonomyAttribute/5123  : 繃帶形狀
gid://shopify/TaxonomyAttribute/8996  : 斑鳩琴鼓皮類型
gid://shopify/TaxonomyAttribute/8997  : 班卓琴琴頸材質
gid://shopify/TaxonomyAttribute/8998  : 斑鳩琴拾音器配置
gid://shopify/TaxonomyAttribute/8999  : 斑鳩琴框材質
gid://shopify/TaxonomyAttribute/9000  : 斑鳩琴音圈類型
gid://shopify/TaxonomyAttribute/9001  : 班鳩琴調音類型
gid://shopify/TaxonomyAttribute/9002  : 紙幣認證/評級
gid://shopify/TaxonomyAttribute/9003  : 紙幣等級
gid://shopify/TaxonomyAttribute/9004  : 紙幣保護盒類型
gid://shopify/TaxonomyAttribute/9005  : 紙幣材質
gid://shopify/TaxonomyAttribute/9006  : 鈔票安全功能
gid://shopify/TaxonomyAttribute/9007  : 紙幣序號類型
gid://shopify/TaxonomyAttribute/2507  : 橫幅設計
gid://shopify/TaxonomyAttribute/9008  : 橫幅展示位置
gid://shopify/TaxonomyAttribute/9009  : 橫幅懸掛五金類型
gid://shopify/TaxonomyAttribute/9010  : 橫幅訊息類型
