# Shopify Product Taxonomy - Categories: 2099-01
# Format: {GID} : {Ancestor name} > ... > {Category name}

gid://shopify/TaxonomyCategory/ap                : Artigos para animais e animais estimação
gid://shopify/TaxonomyCategory/ap-2-1-6          : Artigos para animais e animais estimação > Artigos para animais > Artigos para pássaros > Brinquedos para pássaros
gid://shopify/TaxonomyCategory/ap-2-1-6-1        : Artigos para animais e animais estimação > Artigos para animais > Artigos para pássaros > Brinquedos para pássaros > Bolas e brinquedos de busca
gid://shopify/TaxonomyCategory/ap-2-1-6-2        : Artigos para animais e animais estimação > Artigos para animais > Artigos para pássaros > Brinquedos para pássaros > Sinos e contas
gid://shopify/TaxonomyCategory/ap-2-1-6-3        : Artigos para animais e animais estimação > Artigos para animais > Artigos para pássaros > Brinquedos para pássaros > Brinquedos para roer
gid://shopify/TaxonomyCategory/ap-2-1-6-4        : Artigos para animais e animais estimação > Artigos para animais > Artigos para pássaros > Brinquedos para pássaros > Brinquedos de colheita de alimentos
gid://shopify/TaxonomyCategory/ap-2-1-6-5        : Artigos para animais e animais estimação > Artigos para animais > Artigos para pássaros > Brinquedos para pássaros > Espelhos
gid://shopify/TaxonomyCategory/ap-2-1-6-7        : Artigos para animais e animais estimação > Artigos para animais > Artigos para pássaros > Brinquedos para pássaros > Puzzles e brinquedos interativos
gid://shopify/TaxonomyCategory/ap-2-1-6-8        : Artigos para animais e animais estimação > Artigos para animais > Artigos para pássaros > Brinquedos para pássaros > Cordas e nós
gid://shopify/TaxonomyCategory/ap-2-1-6-9        : Artigos para animais e animais estimação > Artigos para animais > Artigos para pássaros > Brinquedos para pássaros > Túneis e tubos
gid://shopify/TaxonomyCategory/ap-2-1-7          : Artigos para animais e animais estimação > Artigos para animais > Artigos para pássaros > Snacks para pássaros
gid://shopify/TaxonomyCategory/ap-2-2            : Artigos para animais e animais estimação > Artigos para animais > Artigos para gatos
gid://shopify/TaxonomyCategory/ap-2-2-1          : Artigos para animais e animais estimação > Artigos para animais > Artigos para gatos > Ração de gatos
gid://shopify/TaxonomyCategory/ap-2-2-1-1        : Artigos para animais e animais estimação > Artigos para animais > Artigos para gatos > Ração de gatos > Ração de gatos sem receita
gid://shopify/TaxonomyCategory/ap-2-2-1-2        : Artigos para animais e animais estimação > Artigos para animais > Artigos para gatos > Ração de gatos > Ração de gatos com receita
gid://shopify/TaxonomyCategory/ap-2-2-2          : Artigos para animais e animais estimação > Artigos para animais > Artigos para gatos > Mobiliário para gatos
gid://shopify/TaxonomyCategory/ap-2-2-2-1        : Artigos para animais e animais estimação > Artigos para animais > Artigos para gatos > Mobiliário para gatos > Condomínios e casas para gatos
gid://shopify/TaxonomyCategory/ap-2-2-2-2        : Artigos para animais e animais estimação > Artigos para animais > Artigos para gatos > Mobiliário para gatos > Poleiros e apoios para gatos
gid://shopify/TaxonomyCategory/ap-2-2-2-3        : Artigos para animais e animais estimação > Artigos para animais > Artigos para gatos > Mobiliário para gatos > Arranhadores e postes para arranhar para gatos
gid://shopify/TaxonomyCategory/ap-2-2-2-4        : Artigos para animais e animais estimação > Artigos para animais > Artigos para gatos > Mobiliário para gatos > Degraus e rampas para gatos
gid://shopify/TaxonomyCategory/ap-2-2-2-5        : Artigos para animais e animais estimação > Artigos para animais > Artigos para gatos > Mobiliário para gatos > Árvores e torres para gatos
gid://shopify/TaxonomyCategory/ap-2-2-2-6        : Artigos para animais e animais estimação > Artigos para animais > Artigos para gatos > Mobiliário para gatos > Camas e poleiros para janelas para gatos
gid://shopify/TaxonomyCategory/ap-2-2-2-7        : Artigos para animais e animais estimação > Artigos para animais > Artigos para gatos > Mobiliário para gatos > Casas para gatos de exterior
gid://shopify/TaxonomyCategory/ap-2-2-3          : Artigos para animais e animais estimação > Artigos para animais > Artigos para gatos > Acessórios de mobiliário para gatos
gid://shopify/TaxonomyCategory/ap-2-2-4          : Artigos para animais e animais estimação > Artigos para animais > Artigos para gatos > Liteiras para gatos
gid://shopify/TaxonomyCategory/ap-2-2-4-1        : Artigos para animais e animais estimação > Artigos para animais > Artigos para gatos > Liteiras para gatos > Revestimentos de caixas de areia para gatos
gid://shopify/TaxonomyCategory/ap-2-2-4-2        : Artigos para animais e animais estimação > Artigos para animais > Artigos para gatos > Liteiras para gatos > Tapetes para caixas de areia para gatos
gid://shopify/TaxonomyCategory/ap-2-2-4-3        : Artigos para animais e animais estimação > Artigos para animais > Artigos para gatos > Liteiras para gatos > Caixas de areia para gatos
gid://shopify/TaxonomyCategory/ap-2-2-5          : Artigos para animais e animais estimação > Artigos para animais > Artigos para gatos > Brinquedos para gatos
gid://shopify/TaxonomyCategory/ap-2-2-5-1        : Artigos para animais e animais estimação > Artigos para animais > Artigos para gatos > Brinquedos para gatos > Bolas e brinquedos para perseguir
gid://shopify/TaxonomyCategory/ap-2-2-5-2        : Artigos para animais e animais estimação > Artigos para animais > Artigos para gatos > Brinquedos para gatos > Brinquedos de nêveda
gid://shopify/TaxonomyCategory/ap-2-2-5-3        : Artigos para animais e animais estimação > Artigos para animais > Artigos para gatos > Brinquedos para gatos > Brinquedos para roer
gid://shopify/TaxonomyCategory/ap-2-2-5-4        : Artigos para animais e animais estimação > Artigos para animais > Artigos para gatos > Brinquedos para gatos > Penas e instigadores
gid://shopify/TaxonomyCategory/ap-2-2-5-5        : Artigos para animais e animais estimação > Artigos para animais > Artigos para gatos > Brinquedos para gatos > Brinquedos interativos
gid://shopify/TaxonomyCategory/ap-2-2-5-6        : Artigos para animais e animais estimação > Artigos para animais > Artigos para gatos > Brinquedos para gatos > Brinquedos com laser
gid://shopify/TaxonomyCategory/ap-2-2-5-7        : Artigos para animais e animais estimação > Artigos para animais > Artigos para gatos > Brinquedos para gatos > Puzzles e brinquedos dispensadores de snacks
gid://shopify/TaxonomyCategory/ap-2-2-5-9        : Artigos para animais e animais estimação > Artigos para animais > Artigos para gatos > Brinquedos para gatos > Brinquedos de apertar
gid://shopify/TaxonomyCategory/ap-2-2-5-10       : Artigos para animais e animais estimação > Artigos para animais > Artigos para gatos > Brinquedos para gatos > Brinquedos de peluche
gid://shopify/TaxonomyCategory/ap-2-2-5-11       : Artigos para animais e animais estimação > Artigos para animais > Artigos para gatos > Brinquedos para gatos > Túneis
gid://shopify/TaxonomyCategory/ap-2-2-5-12       : Artigos para animais e animais estimação > Artigos para animais > Artigos para gatos > Brinquedos para gatos > Varinhas
gid://shopify/TaxonomyCategory/ap-2-2-6          : Artigos para animais e animais estimação > Artigos para animais > Artigos para gatos > Snacks para gatos
gid://shopify/TaxonomyCategory/ap-2-3            : Artigos para animais e animais estimação > Artigos para animais > Artigos para cães
gid://shopify/TaxonomyCategory/ap-2-3-1          : Artigos para animais e animais estimação > Artigos para animais > Artigos para cães > Resguardos e fraldas para cães
gid://shopify/TaxonomyCategory/ap-2-3-2          : Artigos para animais e animais estimação > Artigos para animais > Artigos para cães > Fraldas para cães
gid://shopify/TaxonomyCategory/ap-2-3-3          : Artigos para animais e animais estimação > Artigos para animais > Artigos para cães > Ração de cães
gid://shopify/TaxonomyCategory/ap-2-3-3-1        : Artigos para animais e animais estimação > Artigos para animais > Artigos para cães > Ração de cães > Ração de cães sem receita
gid://shopify/TaxonomyCategory/ap-2-3-3-2        : Artigos para animais e animais estimação > Artigos para animais > Artigos para cães > Ração de cães > Ração de cães com receita
gid://shopify/TaxonomyCategory/ap-2-3-4          : Artigos para animais e animais estimação > Artigos para animais > Artigos para cães > Casotas
gid://shopify/TaxonomyCategory/ap-2-3-5          : Artigos para animais e animais estimação > Artigos para animais > Artigos para cães > Acessórios para canis
gid://shopify/TaxonomyCategory/ap-2-3-6          : Artigos para animais e animais estimação > Artigos para animais > Artigos para cães > Canis
gid://shopify/TaxonomyCategory/ap-2-3-6-1        : Artigos para animais e animais estimação > Artigos para animais > Artigos para cães > Canis > Parques para cães
gid://shopify/TaxonomyCategory/ap-2-3-6-2        : Artigos para animais e animais estimação > Artigos para animais > Artigos para cães > Canis > Cercas para cães
gid://shopify/TaxonomyCategory/ap-2-3-6-3        : Artigos para animais e animais estimação > Artigos para animais > Artigos para cães > Canis > Canis para interior
gid://shopify/TaxonomyCategory/ap-2-3-6-4        : Artigos para animais e animais estimação > Artigos para animais > Artigos para cães > Canis > Canis para exterior
gid://shopify/TaxonomyCategory/ap-2-3-6-5        : Artigos para animais e animais estimação > Artigos para animais > Artigos para cães > Canis > Canis portáteis
gid://shopify/TaxonomyCategory/ap-2-3-7          : Artigos para animais e animais estimação > Artigos para animais > Artigos para cães > Brinquedos para cães
gid://shopify/TaxonomyCategory/ap-2-3-8          : Artigos para animais e animais estimação > Artigos para animais > Artigos para cães > Passadeiras para cães
gid://shopify/TaxonomyCategory/ap-2-3-9          : Artigos para animais e animais estimação > Artigos para animais > Artigos para cães > Snacks para cães
gid://shopify/TaxonomyCategory/ap-2-4            : Artigos para animais e animais estimação > Artigos para animais > Artigos aquáticos e para peixes
gid://shopify/TaxonomyCategory/ap-2-4-1          : Artigos para animais e animais estimação > Artigos para animais > Artigos aquáticos e para peixes > Aquários e tubos para tanques
gid://shopify/TaxonomyCategory/ap-2-4-1-1        : Artigos para animais e animais estimação > Artigos para animais > Artigos aquáticos e para peixes > Aquários e tubos para tanques > Vias aéreas
gid://shopify/TaxonomyCategory/ap-2-4-1-2        : Artigos para animais e animais estimação > Artigos para animais > Artigos aquáticos e para peixes > Aquários e tubos para tanques > Tubos em espiral
gid://shopify/TaxonomyCategory/ap-2-4-1-3        : Artigos para animais e animais estimação > Artigos para animais > Artigos aquáticos e para peixes > Aquários e tubos para tanques > Tubos flexíveis
gid://shopify/TaxonomyCategory/ap-2-4-1-4        : Artigos para animais e animais estimação > Artigos para animais > Artigos aquáticos e para peixes > Aquários e tubos para tanques > Tubos rígidos
gid://shopify/TaxonomyCategory/ap-2-4-1-5        : Artigos para animais e animais estimação > Artigos para animais > Artigos aquáticos e para peixes > Aquários e tubos para tanques > Tubos padrão
gid://shopify/TaxonomyCategory/ap-2-4-2          : Artigos para animais e animais estimação > Artigos para animais > Artigos aquáticos e para peixes > Difusores e pedra do ar para aquários
gid://shopify/TaxonomyCategory/ap-2-4-2-1        : Artigos para animais e animais estimação > Artigos para animais > Artigos aquáticos e para peixes > Difusores e pedra do ar para aquários > Difusores de ar
gid://shopify/TaxonomyCategory/ap-2-4-2-2        : Artigos para animais e animais estimação > Artigos para animais > Artigos aquáticos e para peixes > Difusores e pedra do ar para aquários > Pedras de ar em disco
gid://shopify/TaxonomyCategory/ap-2-4-2-3        : Artigos para animais e animais estimação > Artigos para animais > Artigos aquáticos e para peixes > Difusores e pedra do ar para aquários > Pedras de ar padrão
gid://shopify/TaxonomyCategory/ap-2-4-2-4        : Artigos para animais e animais estimação > Artigos para animais > Artigos aquáticos e para peixes > Difusores e pedra do ar para aquários > Pedras de ar cilíndricas
gid://shopify/TaxonomyCategory/ap-2-4-2-5        : Artigos para animais e animais estimação > Artigos para animais > Artigos aquáticos e para peixes > Difusores e pedra do ar para aquários > Pedras de ar para a parede
gid://shopify/TaxonomyCategory/ap-2-4-3          : Artigos para animais e animais estimação > Artigos para animais > Artigos aquáticos e para peixes > Artigos de limpeza para aquários
gid://shopify/TaxonomyCategory/ap-2-4-3-1        : Artigos para animais e animais estimação > Artigos para animais > Artigos aquáticos e para peixes > Artigos de limpeza para aquários > Raspadores algas
gid://shopify/TaxonomyCategory/ap-2-4-3-2        : Artigos para animais e animais estimação > Artigos para animais > Artigos aquáticos e para peixes > Artigos de limpeza para aquários > Luvas para aquário
gid://shopify/TaxonomyCategory/ap-2-4-3-3        : Artigos para animais e animais estimação > Artigos para animais > Artigos aquáticos e para peixes > Artigos de limpeza para aquários > Escovas de limpeza
gid://shopify/TaxonomyCategory/ap-2-4-3-4        : Artigos para animais e animais estimação > Artigos para animais > Artigos aquáticos e para peixes > Artigos de limpeza para aquários > Soluções de limpeza
gid://shopify/TaxonomyCategory/ap-2-4-3-5        : Artigos para animais e animais estimação > Artigos para animais > Artigos aquáticos e para peixes > Artigos de limpeza para aquários > Aspiradores de areia
gid://shopify/TaxonomyCategory/ap-2-4-3-6        : Artigos para animais e animais estimação > Artigos para animais > Artigos aquáticos e para peixes > Artigos de limpeza para aquários > Esponjas
gid://shopify/TaxonomyCategory/ap-2-4-3-7        : Artigos para animais e animais estimação > Artigos para animais > Artigos aquáticos e para peixes > Artigos de limpeza para aquários > Sifões
gid://shopify/TaxonomyCategory/ap-2-4-3-8        : Artigos para animais e animais estimação > Artigos para animais > Artigos aquáticos e para peixes > Artigos de limpeza para aquários > Produtos de limpeza para tanques
gid://shopify/TaxonomyCategory/ap-2-4-4          : Artigos para animais e animais estimação > Artigos para animais > Artigos aquáticos e para peixes > Decorações para aquário
gid://shopify/TaxonomyCategory/ap-2-4-4-1        : Artigos para animais e animais estimação > Artigos para animais > Artigos aquáticos e para peixes > Decorações para aquário > Fundos para aquário
gid://shopify/TaxonomyCategory/ap-2-4-4-2        : Artigos para animais e animais estimação > Artigos para animais > Artigos aquáticos e para peixes > Decorações para aquário > Cavernas e abrigos para aquário
gid://shopify/TaxonomyCategory/ap-2-4-4-3        : Artigos para animais e animais estimação > Artigos para animais > Artigos aquáticos e para peixes > Decorações para aquário > Pedras para aquário
gid://shopify/TaxonomyCategory/ap-2-4-4-4        : Artigos para animais e animais estimação > Artigos para animais > Artigos aquáticos e para peixes > Decorações para aquário > Substratos para aquário
gid://shopify/TaxonomyCategory/ap-2-4-4-5        : Artigos para animais e animais estimação > Artigos para animais > Artigos aquáticos e para peixes > Decorações para aquário > Plantas artificiais
gid://shopify/TaxonomyCategory/ap-2-4-4-6        : Artigos para animais e animais estimação > Artigos para animais > Artigos aquáticos e para peixes > Decorações para aquário > Decorações borbulhantes
gid://shopify/TaxonomyCategory/ap-2-4-4-7        : Artigos para animais e animais estimação > Artigos para animais > Artigos aquáticos e para peixes > Decorações para aquário > Troncos
gid://shopify/TaxonomyCategory/ap-2-4-4-8        : Artigos para animais e animais estimação > Artigos para animais > Artigos aquáticos e para peixes > Decorações para aquário > Ornamentos
gid://shopify/TaxonomyCategory/ap-2-4-4-9        : Artigos para animais e animais estimação > Artigos para animais > Artigos aquáticos e para peixes > Decorações para aquário > Destroços de navio
gid://shopify/TaxonomyCategory/ap-2-4-5          : Artigos para animais e animais estimação > Artigos para animais > Artigos aquáticos e para peixes > Filtros para aquários
gid://shopify/TaxonomyCategory/ap-2-4-5-1        : Artigos para animais e animais estimação > Artigos para animais > Artigos aquáticos e para peixes > Filtros para aquários > Filtros externos e em caixa para aquários
gid://shopify/TaxonomyCategory/ap-2-4-5-2        : Artigos para animais e animais estimação > Artigos para animais > Artigos aquáticos e para peixes > Filtros para aquários > Filtros de mochila para aquários
gid://shopify/TaxonomyCategory/ap-2-4-5-3        : Artigos para animais e animais estimação > Artigos para animais > Artigos aquáticos e para peixes > Filtros para aquários > Filtros internos para aquários
gid://shopify/TaxonomyCategory/ap-2-4-5-4        : Artigos para animais e animais estimação > Artigos para animais > Artigos aquáticos e para peixes > Filtros para aquários > Filtros de esponja para aquários
gid://shopify/TaxonomyCategory/ap-2-4-5-5        : Artigos para animais e animais estimação > Artigos para animais > Artigos aquáticos e para peixes > Filtros para aquários > Filtros de fundo para aquários
gid://shopify/TaxonomyCategory/ap-2-4-6          : Artigos para animais e animais estimação > Artigos para animais > Artigos aquáticos e para peixes > Redes para aquários
gid://shopify/TaxonomyCategory/ap-2-4-6-1        : Artigos para animais e animais estimação > Artigos para animais > Artigos aquáticos e para peixes > Redes para aquários > Redes em concha
gid://shopify/TaxonomyCategory/ap-2-4-6-2        : Artigos para animais e animais estimação > Artigos para animais > Artigos aquáticos e para peixes > Redes para aquários > Camaroeiros
gid://shopify/TaxonomyCategory/ap-2-4-6-3        : Artigos para animais e animais estimação > Artigos para animais > Artigos aquáticos e para peixes > Redes para aquários > Redes de meias
gid://shopify/TaxonomyCategory/ap-2-4-6-4        : Artigos para animais e animais estimação > Artigos para animais > Artigos aquáticos e para peixes > Redes para aquários > Redes padrão
gid://shopify/TaxonomyCategory/ap-2-4-7          : Artigos para animais e animais estimação > Artigos para animais > Artigos aquáticos e para peixes > Substratos e cascalho para aquários
gid://shopify/TaxonomyCategory/ap-2-4-7-1        : Artigos para animais e animais estimação > Artigos para animais > Artigos aquáticos e para peixes > Substratos e cascalho para aquários > Solo de aquário
gid://shopify/TaxonomyCategory/ap-2-4-7-2        : Artigos para animais e animais estimação > Artigos para animais > Artigos aquáticos e para peixes > Substratos e cascalho para aquários > Areia de aragonite
gid://shopify/TaxonomyCategory/ap-2-4-7-3        : Artigos para animais e animais estimação > Artigos para animais > Artigos aquáticos e para peixes > Substratos e cascalho para aquários > Cascalho de coral
gid://shopify/TaxonomyCategory/ap-2-4-7-4        : Artigos para animais e animais estimação > Artigos para animais > Artigos aquáticos e para peixes > Substratos e cascalho para aquários > Pedras de vidro
gid://shopify/TaxonomyCategory/ap-2-4-7-5        : Artigos para animais e animais estimação > Artigos para animais > Artigos aquáticos e para peixes > Substratos e cascalho para aquários > Cascalho
gid://shopify/TaxonomyCategory/ap-2-4-7-6        : Artigos para animais e animais estimação > Artigos para animais > Artigos aquáticos e para peixes > Substratos e cascalho para aquários > Seixos
gid://shopify/TaxonomyCategory/ap-2-4-7-7        : Artigos para animais e animais estimação > Artigos para animais > Artigos aquáticos e para peixes > Substratos e cascalho para aquários > Areia
gid://shopify/TaxonomyCategory/ap-2-4-8          : Artigos para animais e animais estimação > Artigos para animais > Artigos aquáticos e para peixes > Iluminação para aquários
gid://shopify/TaxonomyCategory/ap-2-4-9          : Artigos para animais e animais estimação > Artigos para animais > Artigos aquáticos e para peixes > Caixas de sobrefluxo para aquários
gid://shopify/TaxonomyCategory/ap-2-4-10         : Artigos para animais e animais estimação > Artigos para animais > Artigos aquáticos e para peixes > Suportes para aquários
gid://shopify/TaxonomyCategory/ap-2-4-10-1       : Artigos para animais e animais estimação > Artigos para animais > Artigos aquáticos e para peixes > Suportes para aquários > Estruturas para aquários
gid://shopify/TaxonomyCategory/ap-2-4-10-2       : Artigos para animais e animais estimação > Artigos para animais > Artigos aquáticos e para peixes > Suportes para aquários > Armários para aquários
gid://shopify/TaxonomyCategory/ap-2-4-10-3       : Artigos para animais e animais estimação > Artigos para animais > Artigos aquáticos e para peixes > Suportes para aquários > Suportes para tanques duplos
gid://shopify/TaxonomyCategory/ap-2-4-10-4       : Artigos para animais e animais estimação > Artigos para animais > Artigos aquáticos e para peixes > Suportes para aquários > Suportes de ferro forjado
gid://shopify/TaxonomyCategory/ap-2-4-11         : Artigos para animais e animais estimação > Artigos para animais > Artigos aquáticos e para peixes > Controladores de temperatura para aquários
gid://shopify/TaxonomyCategory/ap-2-4-11-1       : Artigos para animais e animais estimação > Artigos para animais > Artigos aquáticos e para peixes > Controladores de temperatura para aquários > Controladores de temperatura analógicos
gid://shopify/TaxonomyCategory/ap-2-4-11-2       : Artigos para animais e animais estimação > Artigos para animais > Artigos aquáticos e para peixes > Controladores de temperatura para aquários > Controladores de temperatura digitais
gid://shopify/TaxonomyCategory/ap-2-4-12         : Artigos para animais e animais estimação > Artigos para animais > Artigos aquáticos e para peixes > Tratamentos de água para aquários
gid://shopify/TaxonomyCategory/ap-2-4-12-1       : Artigos para animais e animais estimação > Artigos para animais > Artigos aquáticos e para peixes > Tratamentos de água para aquários > Controlo de algas
gid://shopify/TaxonomyCategory/ap-2-4-12-2       : Artigos para animais e animais estimação > Artigos para animais > Artigos aquáticos e para peixes > Tratamentos de água para aquários > Removedores de amoníaco
gid://shopify/TaxonomyCategory/ap-2-4-12-3       : Artigos para animais e animais estimação > Artigos para animais > Artigos aquáticos e para peixes > Tratamentos de água para aquários > Tratamentos para fungos e bactérias
gid://shopify/TaxonomyCategory/ap-2-4-12-4       : Artigos para animais e animais estimação > Artigos para animais > Artigos aquáticos e para peixes > Tratamentos de água para aquários > Removedores de nitrato
gid://shopify/TaxonomyCategory/ap-2-4-12-5       : Artigos para animais e animais estimação > Artigos para animais > Artigos aquáticos e para peixes > Tratamentos de água para aquários > Reguladores de PH
gid://shopify/TaxonomyCategory/ap-2-4-12-6       : Artigos para animais e animais estimação > Artigos para animais > Artigos aquáticos e para peixes > Tratamentos de água para aquários > Desintoxicadores de água canalizada
gid://shopify/TaxonomyCategory/ap-2-4-12-7       : Artigos para animais e animais estimação > Artigos para animais > Artigos aquáticos e para peixes > Tratamentos de água para aquários > Clarificadores de água
gid://shopify/TaxonomyCategory/ap-2-4-12-8       : Artigos para animais e animais estimação > Artigos para animais > Artigos aquáticos e para peixes > Tratamentos de água para aquários > Condicionadores de água
gid://shopify/TaxonomyCategory/ap-2-4-13         : Artigos para animais e animais estimação > Artigos para animais > Artigos aquáticos e para peixes > Aquários
gid://shopify/TaxonomyCategory/ap-2-4-14         : Artigos para animais e animais estimação > Artigos para animais > Artigos aquáticos e para peixes > Fertilizadores de plantas aquáticas
gid://shopify/TaxonomyCategory/ap-2-4-14-1       : Artigos para animais e animais estimação > Artigos para animais > Artigos aquáticos e para peixes > Fertilizadores de plantas aquáticas > Fertilizantes granulados
gid://shopify/TaxonomyCategory/ap-2-4-14-2       : Artigos para animais e animais estimação > Artigos para animais > Artigos aquáticos e para peixes > Fertilizadores de plantas aquáticas > Fertilizantes líquidos
gid://shopify/TaxonomyCategory/ap-2-4-14-3       : Artigos para animais e animais estimação > Artigos para animais > Artigos aquáticos e para peixes > Fertilizadores de plantas aquáticas > Fertilizantes em pó
gid://shopify/TaxonomyCategory/ap-2-4-14-4       : Artigos para animais e animais estimação > Artigos para animais > Artigos aquáticos e para peixes > Fertilizadores de plantas aquáticas > Fertilizantes em pastilhas
gid://shopify/TaxonomyCategory/ap-2-4-15         : Artigos para animais e animais estimação > Artigos para animais > Artigos aquáticos e para peixes > Comedouros para peixes
gid://shopify/TaxonomyCategory/ap-2-4-16         : Artigos para animais e animais estimação > Artigos para animais > Artigos aquáticos e para peixes > Comida para peixes
gid://shopify/TaxonomyCategory/ap-2-4-16-1       : Artigos para animais e animais estimação > Artigos para animais > Artigos aquáticos e para peixes > Comida para peixes > Pastilhas de algas
gid://shopify/TaxonomyCategory/ap-2-4-16-2       : Artigos para animais e animais estimação > Artigos para animais > Artigos aquáticos e para peixes > Comida para peixes > Comida para peixes Betta Splendens
gid://shopify/TaxonomyCategory/ap-2-4-16-3       : Artigos para animais e animais estimação > Artigos para animais > Artigos aquáticos e para peixes > Comida para peixes > Comida para ciclídeos
gid://shopify/TaxonomyCategory/ap-2-4-16-4       : Artigos para animais e animais estimação > Artigos para animais > Artigos aquáticos e para peixes > Comida para peixes > Comida seca para peixes
gid://shopify/TaxonomyCategory/ap-2-4-16-5       : Artigos para animais e animais estimação > Artigos para animais > Artigos aquáticos e para peixes > Comida para peixes > Comida liofilizada
gid://shopify/TaxonomyCategory/ap-2-4-16-6       : Artigos para animais e animais estimação > Artigos para animais > Artigos aquáticos e para peixes > Comida para peixes > Comida congelada
gid://shopify/TaxonomyCategory/ap-2-4-16-7       : Artigos para animais e animais estimação > Artigos para animais > Artigos aquáticos e para peixes > Comida para peixes > Comida para peixinho-dourado
gid://shopify/TaxonomyCategory/ap-2-4-16-8       : Artigos para animais e animais estimação > Artigos para animais > Artigos aquáticos e para peixes > Comida para peixes > Alimento vivo
gid://shopify/TaxonomyCategory/ap-2-4-16-9       : Artigos para animais e animais estimação > Artigos para animais > Artigos aquáticos e para peixes > Comida para peixes > Alimentos medicamentosos
gid://shopify/TaxonomyCategory/ap-2-5            : Artigos para animais e animais estimação > Artigos para animais > Equipamento de agilidade para peixes
gid://shopify/TaxonomyCategory/ap-2-5-1          : Artigos para animais e animais estimação > Artigos para animais > Equipamento de agilidade para peixes > Equipamentos tipo cavalete
gid://shopify/TaxonomyCategory/ap-2-5-2          : Artigos para animais e animais estimação > Artigos para animais > Equipamento de agilidade para peixes > Túneis de agilidade
gid://shopify/TaxonomyCategory/ap-2-5-3          : Artigos para animais e animais estimação > Artigos para animais > Equipamento de agilidade para peixes > Passeios e rampas para cães
gid://shopify/TaxonomyCategory/ap-2-5-4          : Artigos para animais e animais estimação > Artigos para animais > Equipamento de agilidade para peixes > Barreiras de salto
gid://shopify/TaxonomyCategory/ap-2-5-5          : Artigos para animais e animais estimação > Artigos para animais > Equipamento de agilidade para peixes > Mesas de pausa
gid://shopify/TaxonomyCategory/ap-2-5-6          : Artigos para animais e animais estimação > Artigos para animais > Equipamento de agilidade para peixes > Varas para animais
gid://shopify/TaxonomyCategory/ap-2-5-7          : Artigos para animais e animais estimação > Artigos para animais > Equipamento de agilidade para peixes > Balancés para animais
gid://shopify/TaxonomyCategory/ap-2-5-8          : Artigos para animais e animais estimação > Artigos para animais > Equipamento de agilidade para peixes > Pneus de salto
gid://shopify/TaxonomyCategory/ap-2-6            : Artigos para animais e animais estimação > Artigos para animais > Roupa para animais de estimação
gid://shopify/TaxonomyCategory/ap-2-6-1          : Artigos para animais e animais estimação > Artigos para animais > Roupa para animais de estimação > Bandanas para animais de estimação
