# Shopify Product Taxonomy - Attributes: 2026-08-unstable
# Format: {GID} : {Attribute name}

gid://shopify/TaxonomyAttribute/5398  : 3D-briller passformdesign
gid://shopify/TaxonomyAttribute/6635  : Tilbehøret som er inkludert
gid://shopify/TaxonomyAttribute/50    : Tilbehørsstørrelse
gid://shopify/TaxonomyAttribute/2461  : Stemming av trekkspill
gid://shopify/TaxonomyAttribute/8943  : Akustisk forsterker tilbakemeldinger kontrollfunksjoner
gid://shopify/TaxonomyAttribute/8944  : Komponenter for akustisk trommesett inkludert
gid://shopify/TaxonomyAttribute/8945  : Shapespå akustiske gitarer
gid://shopify/TaxonomyAttribute/8946  : Kjernedesign for akustisk gitarstreng
gid://shopify/TaxonomyAttribute/8947  : Nøkkelmateriale for akustisk piano
gid://shopify/TaxonomyAttribute/8948  : Lokk av akustisk piano
gid://shopify/TaxonomyAttribute/8949  : Akustisk pianoplate/Frame
gid://shopify/TaxonomyAttribute/8950  : Materiale for lydplate til akustisk piano
gid://shopify/TaxonomyAttribute/6337  : Actionfigur skala
gid://shopify/TaxonomyAttribute/6977  : Handlingstype
gid://shopify/TaxonomyAttribute/5052  : Aktiveringsmekanisme
gid://shopify/TaxonomyAttribute/4997  : Aktiveringsmetode
gid://shopify/TaxonomyAttribute/1598  : Aktiv ingrediens
gid://shopify/TaxonomyAttribute/2995  : Klesfunksjoner for aktive plagg
gid://shopify/TaxonomyAttribute/5     : Aktivitet
gid://shopify/TaxonomyAttribute/1547  : Design på aktivitetssporer
gid://shopify/TaxonomyAttribute/6978  : Aktiveringsmekanisme
gid://shopify/TaxonomyAttribute/8008  : Aktueringsmetode
gid://shopify/TaxonomyAttribute/1543  : Format på akupunkturmodell
gid://shopify/TaxonomyAttribute/1544  : Type akupunkturmodell
gid://shopify/TaxonomyAttribute/5562  : Adapterretning
gid://shopify/TaxonomyAttribute/5424  : Adapter-driftsmodus
gid://shopify/TaxonomyAttribute/6979  : Adapterretning
gid://shopify/TaxonomyAttribute/5391  : Adaptiv synkroniseringsteknologi
gid://shopify/TaxonomyAttribute/3376  : Tilleggsfunksjoner for animasjonsprogramvare
gid://shopify/TaxonomyAttribute/5144  : Ekstra renseteknologi
gid://shopify/TaxonomyAttribute/3378  : Ekstra designprogramvaretype
gid://shopify/TaxonomyAttribute/3373  : Tilleggsfunksjoner for økonomiprogramvare
gid://shopify/TaxonomyAttribute/3377  : Tilleggsfunksjoner for grafikkprogramvare
gid://shopify/TaxonomyAttribute/3379  : Tilleggsfunksjoner for publiseringsprogramvare
gid://shopify/TaxonomyAttribute/3372  : Tilleggsfunksjoner for sikkerhetsprogramvare
gid://shopify/TaxonomyAttribute/8951  : Additiv app-fase
gid://shopify/TaxonomyAttribute/5249  : Limpåføringstype
gid://shopify/TaxonomyAttribute/8952  : Selvklebende bakside
gid://shopify/TaxonomyAttribute/5099  : Klebefunksjoner
gid://shopify/TaxonomyAttribute/5531  : Limformat
gid://shopify/TaxonomyAttribute/6980  : Limformulering
gid://shopify/TaxonomyAttribute/8953  : Selvklebende sider
gid://shopify/TaxonomyAttribute/5207  : Klebestyrke
gid://shopify/TaxonomyAttribute/2319  : Type klebemiddel
gid://shopify/TaxonomyAttribute/8954  : Tilleggsform for kornforedling
gid://shopify/TaxonomyAttribute/8009  : Justeringstype
gid://shopify/TaxonomyAttribute/8955  : Justerbare koppdempere
gid://shopify/TaxonomyAttribute/6861  : Justerbare soner
gid://shopify/TaxonomyAttribute/8010  : Justeringstype
gid://shopify/TaxonomyAttribute/6981  : Administrasjonsmetode
gid://shopify/TaxonomyAttribute/8956  : Råd kort kommandotype
gid://shopify/TaxonomyAttribute/6982  : Luftemetode
gid://shopify/TaxonomyAttribute/8011  : Aero-pakkekomponenter
gid://shopify/TaxonomyAttribute/8012  : Aerodynamiske elementer inkludert
gid://shopify/TaxonomyAttribute/3354  : Produktform for aftershave
gid://shopify/TaxonomyAttribute/8957  : Aftertouch-støtte
gid://shopify/TaxonomyAttribute/7611  : Agave Stoff-klassifisering
gid://shopify/TaxonomyAttribute/30    : Aldersgruppe
gid://shopify/TaxonomyAttribute/2274  : Aldersbegrensninger
gid://shopify/TaxonomyAttribute/8958  : Aida-stofftelling
gid://shopify/TaxonomyAttribute/8959  : Aida-stoff forhåndskåret format
gid://shopify/TaxonomyAttribute/6338  : Luft- og vannrakettsett inkludert
gid://shopify/TaxonomyAttribute/6339  : Launch for luft- og vannrakett
gid://shopify/TaxonomyAttribute/8960  : Airbag-materiale
gid://shopify/TaxonomyAttribute/6862  : Innvendig konstruksjon av luftmadrass
gid://shopify/TaxonomyAttribute/2708  : Luftfriskerform
gid://shopify/TaxonomyAttribute/5689  : Type tilbehør for airfryer
gid://shopify/TaxonomyAttribute/4050  : Airfryerens funksjoner
gid://shopify/TaxonomyAttribute/6983  : Airhockeyutstyr inkludert
gid://shopify/TaxonomyAttribute/8013  : Monteringsstil for luftinntakstemperatursensor
gid://shopify/TaxonomyAttribute/6984  : Luftintegrasjon funksjonalitet
gid://shopify/TaxonomyAttribute/3182  : Luftmadrassfunksjoner
gid://shopify/TaxonomyAttribute/6985  : Luftmadrassventiltype
gid://shopify/TaxonomyAttribute/5690  : Luftrenserfilterteknologi
gid://shopify/TaxonomyAttribute/5691  : Luftrenserens filtreringsvurdering
gid://shopify/TaxonomyAttribute/5103  : Luftslangekonfigurasjon
gid://shopify/TaxonomyAttribute/8961  : Lufttørk leirefargeform
gid://shopify/TaxonomyAttribute/8014  : Kollisjonsputeposisjon
gid://shopify/TaxonomyAttribute/3329  : Airbrushfôrtype
gid://shopify/TaxonomyAttribute/3328  : Airbrushdriftsmetode
gid://shopify/TaxonomyAttribute/8015  : Aircraft annonse-B funksjonalitet
gid://shopify/TaxonomyAttribute/8016  : Flyskrogsmateriale
gid://shopify/TaxonomyAttribute/8017  : Konfigurasjon av flykabin
gid://shopify/TaxonomyAttribute/8018  : Flydokumentasjon inkludert
gid://shopify/TaxonomyAttribute/4683  : Konfigurasjon av flymotorer
gid://shopify/TaxonomyAttribute/4682  : Type flymotor
gid://shopify/TaxonomyAttribute/8019  : Konfigurasjon av flykjøkken
gid://shopify/TaxonomyAttribute/8020  : Flyinstallasjon lokalisasjon | sted
gid://shopify/TaxonomyAttribute/8021  : Internettforbindelse for fly
gid://shopify/TaxonomyAttribute/8022  : Type landingsunderstell for fly
gid://shopify/TaxonomyAttribute/8023  : Konfigurasjon av flytoaletter
gid://shopify/TaxonomyAttribute/8024  : Påmelding til flyvedlikeholdsprogram
gid://shopify/TaxonomyAttribute/8025  : Operasjonell sertifisering av fly
gid://shopify/TaxonomyAttribute/8026  : Sertifisering av beskyttelsesutstyr for fly
gid://shopify/TaxonomyAttribute/8027  : Flysystemapp
gid://shopify/TaxonomyAttribute/5211  : Design for luftstrømåpning
gid://shopify/TaxonomyAttribute/8962  : Luftstrømsmotstandsnivå
gid://shopify/TaxonomyAttribute/8028  : Luftskipets konvoluttmateriale
gid://shopify/TaxonomyAttribute/6986  : Airsoft-deltype
gid://shopify/TaxonomyAttribute/8029  : Grunnlag for godkjenning av luftdyktighet
gid://shopify/TaxonomyAttribute/6987  : Justerbart alarmvolum
gid://shopify/TaxonomyAttribute/2287  : Albumtype
gid://shopify/TaxonomyAttribute/5290  : Alkoholinnhold
gid://shopify/TaxonomyAttribute/8963  : Alkoholblekk-finisheffekt
gid://shopify/TaxonomyAttribute/5679  : Innhold av alkohol/løsemidler
gid://shopify/TaxonomyAttribute/1362  : Varslingstype
gid://shopify/TaxonomyAttribute/6988  : Stil for justeringshjelpemiddel
gid://shopify/TaxonomyAttribute/1451  : Allergeninformasjon
gid://shopify/TaxonomyAttribute/1577  : Allergentesttype
gid://shopify/TaxonomyAttribute/1631  : Allergener
gid://shopify/TaxonomyAttribute/3138  : Allergivennlige funksjoner
gid://shopify/TaxonomyAttribute/8030  : Generatorkjølingstype
gid://shopify/TaxonomyAttribute/8031  : Beskyttelsesgrad for marine tenningsgeneratorer
gid://shopify/TaxonomyAttribute/8032  : Konfigurasjon av dynamomontering
gid://shopify/TaxonomyAttribute/8033  : Generatorhjultype
gid://shopify/TaxonomyAttribute/8034  : Dynamoregulatortype
gid://shopify/TaxonomyAttribute/8035  : Terminal forbindelsestype
gid://shopify/TaxonomyAttribute/6989  : Høydeegnethet
gid://shopify/TaxonomyAttribute/8036  : Bårefeste for ambulanse
gid://shopify/TaxonomyAttribute/6990  : Sikkerhetssertifisering for amerikansk fotball
gid://shopify/TaxonomyAttribute/5126  : Aminosyre subtype
gid://shopify/TaxonomyAttribute/1800  : Forsterkerklasse
gid://shopify/TaxonomyAttribute/2690  : Høyttalerkonfigurasjon
gid://shopify/TaxonomyAttribute/8964  : Forsterkerrørets funksjon
gid://shopify/TaxonomyAttribute/1808  : Egnet plassering for forsterker/booster
gid://shopify/TaxonomyAttribute/5088  : Amputasjonsnivå
gid://shopify/TaxonomyAttribute/8965  : Analog synthesizer CV/Gate I/O
gid://shopify/TaxonomyAttribute/8966  : Konfigurasjon av analog synthesizer-tastbord
gid://shopify/TaxonomyAttribute/5100  : Analytt målt
gid://shopify/TaxonomyAttribute/4998  : Anamorfisk klemmeforhold
gid://shopify/TaxonomyAttribute/5043  : Anatomisk detalj vist
gid://shopify/TaxonomyAttribute/6991  : Ankerkonfigurasjon
gid://shopify/TaxonomyAttribute/1258  : Ankertype
gid://shopify/TaxonomyAttribute/2198  : Bruk av anemometer
gid://shopify/TaxonomyAttribute/1883  : Støttede vinkler
gid://shopify/TaxonomyAttribute/1289  : Fiskestil
gid://shopify/TaxonomyAttribute/5692  : Iknluderte komponenter for dyrepleiesett
gid://shopify/TaxonomyAttribute/2550  : Form for dyrefôr
gid://shopify/TaxonomyAttribute/7612  : Dyreholdsmetode
gid://shopify/TaxonomyAttribute/6340  : Dyrearter
gid://shopify/TaxonomyAttribute/6992  : Dyrefelle kjevestil
gid://shopify/TaxonomyAttribute/6993  : Type dyrefelle
gid://shopify/TaxonomyAttribute/1308  : Dyretype
gid://shopify/TaxonomyAttribute/6994  : Ankelkrage-stil
gid://shopify/TaxonomyAttribute/6995  : Beskyttelsesnivå for ankelbeskyttere
gid://shopify/TaxonomyAttribute/6996  : Ankelstropp utfyllingstype
gid://shopify/TaxonomyAttribute/6997  : Type ankelstropp
gid://shopify/TaxonomyAttribute/5519  : Telefonsvarer type
gid://shopify/TaxonomyAttribute/6341  : Maurfarm Habitat medium type
gid://shopify/TaxonomyAttribute/6342  : Maurfarmsett innhold
gid://shopify/TaxonomyAttribute/6343  : Belysningstype for maurfarm
gid://shopify/TaxonomyAttribute/5587  : Antenne RF-kontakttype
gid://shopify/TaxonomyAttribute/5511  : Antennekontakt type
gid://shopify/TaxonomyAttribute/8037  : Type antennepassform
gid://shopify/TaxonomyAttribute/1828  : Antennetype
gid://shopify/TaxonomyAttribute/8038  : Anti-G-draktblæremateriale
gid://shopify/TaxonomyAttribute/8039  : Anti-G-drakt med koblingstype
gid://shopify/TaxonomyAttribute/8040  : Anti-G-drakt inflasjonsmetode
gid://shopify/TaxonomyAttribute/8041  : Anti-G-drakt størrelsessystem
gid://shopify/TaxonomyAttribute/3340  : Anti-aldrende hudpleietype
gid://shopify/TaxonomyAttribute/7613  : Antiklumpemiddel
gid://shopify/TaxonomyAttribute/5305  : Antiperspirantstyrkenivå
gid://shopify/TaxonomyAttribute/6998  : Anti-revers type
gid://shopify/TaxonomyAttribute/8042  : Tyverisikringsfunksjon
gid://shopify/TaxonomyAttribute/5056  : Antistoffklasse testet
gid://shopify/TaxonomyAttribute/2710  : Type frostvæske
gid://shopify/TaxonomyAttribute/4680  : Antikk bildesign
gid://shopify/TaxonomyAttribute/8967  : Tenningssystem for antikke våpen
gid://shopify/TaxonomyAttribute/4679  : Antikk bilæra
gid://shopify/TaxonomyAttribute/7614  : Eplesort
gid://shopify/TaxonomyAttribute/5501  : Apparat kort funksjon
gid://shopify/TaxonomyAttribute/5500  : Apparat enhetsplassering
gid://shopify/TaxonomyAttribute/1316  : Bruksmetode
gid://shopify/TaxonomyAttribute/5149  : Anvendelsestype
gid://shopify/TaxonomyAttribute/5258  : Påførerformat
gid://shopify/TaxonomyAttribute/1639  : Applikatormateriale
gid://shopify/TaxonomyAttribute/3344  : Applikatortype
gid://shopify/TaxonomyAttribute/8968  : Applikasjonskantfinish
gid://shopify/TaxonomyAttribute/2314  : Form på applikasjon/lapping
gid://shopify/TaxonomyAttribute/5693  : Forklefunksjoner
gid://shopify/TaxonomyAttribute/5694  : Forkle-stil
gid://shopify/TaxonomyAttribute/2980  : Akvariumsfilterfunksjoner
gid://shopify/TaxonomyAttribute/1708  : Lysspektrum for akvarie
gid://shopify/TaxonomyAttribute/3228  : Overvannsboksdesign til akvarier
gid://shopify/TaxonomyAttribute/5695  : Vannplanters vekstvaner
gid://shopify/TaxonomyAttribute/5696  : Trekrone-toppdesign
gid://shopify/TaxonomyAttribute/6999  : Arbortype
gid://shopify/TaxonomyAttribute/7000  : Type bueskytingstilbehør
gid://shopify/TaxonomyAttribute/1302  : Bueskytingsaktivitet
gid://shopify/TaxonomyAttribute/2888  : Bueskytingsutstyr inkludert
gid://shopify/TaxonomyAttribute/7001  : Type del til bueskyting
gid://shopify/TaxonomyAttribute/7002  : Type tilbehør til bueskytebane
gid://shopify/TaxonomyAttribute/1303  : Bueskytingstil
gid://shopify/TaxonomyAttribute/7003  : Funksjoner for bueskytingsmål
gid://shopify/TaxonomyAttribute/4365  : Type bueskyttermål
gid://shopify/TaxonomyAttribute/7004  : Type bueskytingsverktøy
gid://shopify/TaxonomyAttribute/7005  : Armbåndets funksjoner
gid://shopify/TaxonomyAttribute/7006  : Armbeskytterstil
gid://shopify/TaxonomyAttribute/8043  : Type rustningsbeskyttelse
gid://shopify/TaxonomyAttribute/6863  : Justerbarhet av armlenet
gid://shopify/TaxonomyAttribute/6864  : Armlentype
gid://shopify/TaxonomyAttribute/2496  : Ordning
gid://shopify/TaxonomyAttribute/7008  : Pilkomponenttype
gid://shopify/TaxonomyAttribute/7009  : Pilinneslutningsnivå
gid://shopify/TaxonomyAttribute/2883  : Pilflettende materiale
gid://shopify/TaxonomyAttribute/7010  : Pilfletching-orientering
gid://shopify/TaxonomyAttribute/7011  : Størrelse på pilnockspor
gid://shopify/TaxonomyAttribute/7012  : Pilnakketype
gid://shopify/TaxonomyAttribute/7013  : Pil REST stil
gid://shopify/TaxonomyAttribute/7014  : Kompatibilitet med pilskaft
gid://shopify/TaxonomyAttribute/2969  : Pil-/boltmateriale
gid://shopify/TaxonomyAttribute/7007  : Pil-/boltspisstype
gid://shopify/TaxonomyAttribute/2299  : Kunstfiksativ påføringsmetode
gid://shopify/TaxonomyAttribute/8970  : Lysfasthetsvurdering for kunstblekk
gid://shopify/TaxonomyAttribute/8971  : Kunstblekkopasitet
gid://shopify/TaxonomyAttribute/3429  : Kunstbevegelse
gid://shopify/TaxonomyAttribute/2386  : Kunststil
gid://shopify/TaxonomyAttribute/2930  : Kunst- og håndverksmateriale
gid://shopify/TaxonomyAttribute/8969  : Kunst-/Craft tuppstil
gid://shopify/TaxonomyAttribute/7615  : Artisjokkskåret
gid://shopify/TaxonomyAttribute/7616  : Artisjokkvariant
gid://shopify/TaxonomyAttribute/8972  : Artikulasjonsfunksjoner
gid://shopify/TaxonomyAttribute/7016  : Kunstig agnform
gid://shopify/TaxonomyAttribute/3430  : Kunstverkets autentisitet
gid://shopify/TaxonomyAttribute/2796  : Kunstrammemateriale
gid://shopify/TaxonomyAttribute/2666  : Kunsttype
gid://shopify/TaxonomyAttribute/7018  : Oppstigende/nedstigende type
gid://shopify/TaxonomyAttribute/5697  : Askebegertype
gid://shopify/TaxonomyAttribute/8044  : Aspirasjonstype
gid://shopify/TaxonomyAttribute/12755 : Montering kreves
gid://shopify/TaxonomyAttribute/6865  : Forsamlingstilstand
gid://shopify/TaxonomyAttribute/7019  : Bistandsmekanisme
gid://shopify/TaxonomyAttribute/3387  : Assistert bremseteknologi
gid://shopify/TaxonomyAttribute/7617  : Atemoya-kultivar
gid://shopify/TaxonomyAttribute/7020  : Atletisk koppstørrelse
gid://shopify/TaxonomyAttribute/1737  : Festemetode
gid://shopify/TaxonomyAttribute/844   : Festealternativer
gid://shopify/TaxonomyAttribute/7021  : Festeposisjon
gid://shopify/TaxonomyAttribute/1267  : Festetype
gid://shopify/TaxonomyAttribute/7022  : Tiltrekkende duftprofil
gid://shopify/TaxonomyAttribute/5698  : Lokkemiddel-type
gid://shopify/TaxonomyAttribute/1806  : D/A-konverter til lyd (Dac)
gid://shopify/TaxonomyAttribute/5454  : Lyd bypass type
gid://shopify/TaxonomyAttribute/5592  : Lydkassettbåndtype
gid://shopify/TaxonomyAttribute/8046  : Lydkanalkonfigurasjon
gid://shopify/TaxonomyAttribute/1822  : Støttede Lydkodeker/formater
gid://shopify/TaxonomyAttribute/5435  : Lydkomponent formfaktor
gid://shopify/TaxonomyAttribute/1813  : Lydtilkobling
gid://shopify/TaxonomyAttribute/5545  : Retning for audiokonvertering
gid://shopify/TaxonomyAttribute/5516  : Lyd dupleks evne
gid://shopify/TaxonomyAttribute/8973  : Lyd-inputer
gid://shopify/TaxonomyAttribute/3309  : Lydmiksertype
gid://shopify/TaxonomyAttribute/6344  : Lyd-output
gid://shopify/TaxonomyAttribute/1801  : Lydutgangskanal
gid://shopify/TaxonomyAttribute/1802  : Lydutgangsformat
gid://shopify/TaxonomyAttribute/8974  : Lyd-outputer
gid://shopify/TaxonomyAttribute/6345  : Kilde for lydavspilling
gid://shopify/TaxonomyAttribute/3066  : Lydspiller-/opptakerfunksjoner
gid://shopify/TaxonomyAttribute/1818  : Lydformål
gid://shopify/TaxonomyAttribute/5591  : Støtte for lydreturkanal
gid://shopify/TaxonomyAttribute/5607  : Lydsignalkonfigurasjon
gid://shopify/TaxonomyAttribute/5417  : Lydsystem
gid://shopify/TaxonomyAttribute/1803  : Lydteknologi
gid://shopify/TaxonomyAttribute/3074  : Lyd-/skannekonverteringsfunksjoner
gid://shopify/TaxonomyAttribute/5604  : Lyd/video-kabelkontakttype (ende A)
gid://shopify/TaxonomyAttribute/5605  : Lyd/video-kabelkontakttype (ende B)
gid://shopify/TaxonomyAttribute/3370  : Autentiseringsteknologi
gid://shopify/TaxonomyAttribute/2374  : Autentisitet
gid://shopify/TaxonomyAttribute/2016  : Autofokusmoduser
gid://shopify/TaxonomyAttribute/2613  : Autoklav-steriliseringsmetode
gid://shopify/TaxonomyAttribute/8975  : Autografgodkjenning
gid://shopify/TaxonomyAttribute/8976  : Autograf-format
gid://shopify/TaxonomyAttribute/2361  : Autograftype
gid://shopify/TaxonomyAttribute/8047  : Autogyro cockpitkabinett
gid://shopify/TaxonomyAttribute/2583  : Automasjon
gid://shopify/TaxonomyAttribute/7023  : Tilgjengelig modus
gid://shopify/TaxonomyAttribute/7618  : Avokado-variant
gid://shopify/TaxonomyAttribute/8977  : Award justere (personlig) inkludert
gid://shopify/TaxonomyAttribute/2526  : Utmerkelsesdesign
gid://shopify/TaxonomyAttribute/8978  : Prismateriale
gid://shopify/TaxonomyAttribute/8979  : Prismontering/-visningstype
gid://shopify/TaxonomyAttribute/2525  : Utmerkelsesanledning
gid://shopify/TaxonomyAttribute/8980  : Materiale for prisplakettplate
gid://shopify/TaxonomyAttribute/8981  : Type feste for premiebånd
gid://shopify/TaxonomyAttribute/8982  : Premiebånd avtrykksmetode
gid://shopify/TaxonomyAttribute/8983  : Materiale for premiebånd
gid://shopify/TaxonomyAttribute/8984  : Prissløyfe-plassering/tittel
gid://shopify/TaxonomyAttribute/1426  : Konstruksjonstype for markise
gid://shopify/TaxonomyAttribute/2823  : Markisedesign
gid://shopify/TaxonomyAttribute/5699  : Markiseoperasjonstype
gid://shopify/TaxonomyAttribute/7024  : Akselkompatibilitet
gid://shopify/TaxonomyAttribute/7069  : BB-våpenaksjonstype
gid://shopify/TaxonomyAttribute/7070  : BB-pistolens kaliber
gid://shopify/TaxonomyAttribute/7071  : Type BB-pistoldel
gid://shopify/TaxonomyAttribute/1836  : Bios-type
gid://shopify/TaxonomyAttribute/1759  : Emballasje for babydrikke
gid://shopify/TaxonomyAttribute/1758  : Smak på babymat
gid://shopify/TaxonomyAttribute/1761  : Format på morsmelkerstatning
gid://shopify/TaxonomyAttribute/1717  : Inkluderte babygaveartikler
gid://shopify/TaxonomyAttribute/1720  : Inkluderte artikler for babyhelse
gid://shopify/TaxonomyAttribute/3026  : Babymonitorfunksjoner
gid://shopify/TaxonomyAttribute/1762  : Smak på babysnacks
gid://shopify/TaxonomyAttribute/1763  : Tekstur på babysnacks
gid://shopify/TaxonomyAttribute/2997  : Baby- og barneklærfunksjoner
gid://shopify/TaxonomyAttribute/3029  : Sikkerhetsfunksjoner for baby-/småbarnsutstyr
gid://shopify/TaxonomyAttribute/3103  : Møbelsettfunksjoner for baby og småbarn
gid://shopify/TaxonomyAttribute/3318  : Møbelvarer for baby og småbarn
gid://shopify/TaxonomyAttribute/3254  : Hattestil for baby og småbarn
gid://shopify/TaxonomyAttribute/3247  : Ullstil for baby og småbarn
gid://shopify/TaxonomyAttribute/3107  : Setefunksjoner for baby og småbarn
gid://shopify/TaxonomyAttribute/3246  : Sovestil for baby og småbarn
gid://shopify/TaxonomyAttribute/8986  : Materiale bak og på sidene
gid://shopify/TaxonomyAttribute/8985  : Bakbjelketype
gid://shopify/TaxonomyAttribute/6636  : Ryggdesign
gid://shopify/TaxonomyAttribute/6866  : Bakpaneltype
gid://shopify/TaxonomyAttribute/1531  : Ryggtype
gid://shopify/TaxonomyAttribute/5329  : Bakplatemateriale
gid://shopify/TaxonomyAttribute/2047  : Bakgrunnsdesign
gid://shopify/TaxonomyAttribute/2185  : Bakmateriale
gid://shopify/TaxonomyAttribute/8987  : Type baksidemateriale
gid://shopify/TaxonomyAttribute/5617  : Bakbelysningstype
gid://shopify/TaxonomyAttribute/1527  : Type ryggstøtte
gid://shopify/TaxonomyAttribute/8048  : Sikkerhetskopi kameramontering sted
gid://shopify/TaxonomyAttribute/8049  : Sikkerhetskopi kamera video grensesnitt
gid://shopify/TaxonomyAttribute/7025  : Badmintonsettkomponenter inkludert
gid://shopify/TaxonomyAttribute/7026  : Festemetode for pose/veske
gid://shopify/TaxonomyAttribute/5700  : Veskeklips-stil
gid://shopify/TaxonomyAttribute/2958  : Veskelukking
gid://shopify/TaxonomyAttribute/5701  : Posekonfigurasjon
gid://shopify/TaxonomyAttribute/8989  : Dekselmateriale for pose/veske
gid://shopify/TaxonomyAttribute/6637  : Veskeutsmykning
gid://shopify/TaxonomyAttribute/7027  : Medium posefylling
gid://shopify/TaxonomyAttribute/5702  : Poseisolasjon
gid://shopify/TaxonomyAttribute/8990  : Veskemateriale
gid://shopify/TaxonomyAttribute/7028  : Posens utfyllingsnivå
gid://shopify/TaxonomyAttribute/6638  : Bag størrelsesbeskrivelse
gid://shopify/TaxonomyAttribute/2222  : Veskestropp-type
gid://shopify/TaxonomyAttribute/3365  : Veskestil
gid://shopify/TaxonomyAttribute/2725  : Vesketype
gid://shopify/TaxonomyAttribute/3006  : Veske-/eskefunksjoner
gid://shopify/TaxonomyAttribute/2784  : Veske-/eskemateriale
gid://shopify/TaxonomyAttribute/3258  : Oppbevaringsfunksjoner for veske/eske
gid://shopify/TaxonomyAttribute/8988  : Bærestil for veske/eske
gid://shopify/TaxonomyAttribute/7619  : Bagelstørrelse
gid://shopify/TaxonomyAttribute/8991  : Medfølgende sekkepipe-tilbehør
gid://shopify/TaxonomyAttribute/8992  : Sekkepiper spillemodus
gid://shopify/TaxonomyAttribute/7029  : Kompatbilitet for agn
gid://shopify/TaxonomyAttribute/7030  : Agnarter
gid://shopify/TaxonomyAttribute/3100  : Bakeartikler medfølger
gid://shopify/TaxonomyAttribute/3360  : Bakeutstyrsartikler medfølger
gid://shopify/TaxonomyAttribute/1394  : Bakevareartikler inkludert
gid://shopify/TaxonomyAttribute/2813  : Bakeutstyrsform
gid://shopify/TaxonomyAttribute/7620  : Bakeform for chip
gid://shopify/TaxonomyAttribute/5703  : Størrelse på bakepapir/-innlegg
gid://shopify/TaxonomyAttribute/1486  : Bakeformål
gid://shopify/TaxonomyAttribute/2812  : Bakepapirmateriale
gid://shopify/TaxonomyAttribute/5704  : Stekeark-stil
gid://shopify/TaxonomyAttribute/7031  : Stil på balansebrett
gid://shopify/TaxonomyAttribute/7032  : Balanseputetilbehør inkludert
gid://shopify/TaxonomyAttribute/8050  : Balansetype
gid://shopify/TaxonomyAttribute/6346  : Ball- og koppspill inkluderte deler
gid://shopify/TaxonomyAttribute/7033  : Materiale for kuleblære
gid://shopify/TaxonomyAttribute/7034  : Ballsertifisering
gid://shopify/TaxonomyAttribute/7035  : Konstruksjon i kule/ball
gid://shopify/TaxonomyAttribute/7036  : Kjernekonstruksjon i kule/ball
gid://shopify/TaxonomyAttribute/7037  : Kjernetype i kule/ball
gid://shopify/TaxonomyAttribute/7038  : Kuleboringstilstand
gid://shopify/TaxonomyAttribute/7039  : Ballholdertype
gid://shopify/TaxonomyAttribute/2844  : Ballmateriale
gid://shopify/TaxonomyAttribute/6347  : Ballpit ball overflatefinish
gid://shopify/TaxonomyAttribute/6348  : Sikkerhetsfunksjoner for ballplass
gid://shopify/TaxonomyAttribute/7040  : Type tilbehør for ballpumpe
gid://shopify/TaxonomyAttribute/7041  : Ballreturmekanisme
gid://shopify/TaxonomyAttribute/7042  : Ballreturtype
gid://shopify/TaxonomyAttribute/1206  : Ballstørrelse
gid://shopify/TaxonomyAttribute/7043  : Ballhastighetsvurdering
