# Shopify Product Taxonomy - Categories: 2025-09
# Format: {GID} : {Ancestor name} > ... > {Category name}

gid://shopify/TaxonomyCategory/ap                : Produkter til dyr og husdyr
gid://shopify/TaxonomyCategory/ap-2-3-5          : Produkter til dyr og husdyr > Husdyrprodukter > Hundeprodukter > Tilbehør til hundekenneler og løpestrenger
gid://shopify/TaxonomyCategory/ap-2-3-6          : Produkter til dyr og husdyr > Husdyrprodukter > Hundeprodukter > Hundekenneler og løpestrenger
gid://shopify/TaxonomyCategory/ap-2-3-6-1        : Produkter til dyr og husdyr > Husdyrprodukter > Hundeprodukter > Hundekenneler og løpestrenger > Hundegårder
gid://shopify/TaxonomyCategory/ap-2-3-6-2        : Produkter til dyr og husdyr > Husdyrprodukter > Hundeprodukter > Hundekenneler og løpestrenger > Hundeløpere
gid://shopify/TaxonomyCategory/ap-2-3-6-3        : Produkter til dyr og husdyr > Husdyrprodukter > Hundeprodukter > Hundekenneler og løpestrenger > Innendørs hundekenneler
gid://shopify/TaxonomyCategory/ap-2-3-6-4        : Produkter til dyr og husdyr > Husdyrprodukter > Hundeprodukter > Hundekenneler og løpestrenger > Utendørs hundekenneler
gid://shopify/TaxonomyCategory/ap-2-3-6-5        : Produkter til dyr og husdyr > Husdyrprodukter > Hundeprodukter > Hundekenneler og løpestrenger > Bærbare hundekenneler
gid://shopify/TaxonomyCategory/ap-2-3-7          : Produkter til dyr og husdyr > Husdyrprodukter > Hundeprodukter > Hundeleker
gid://shopify/TaxonomyCategory/ap-2-3-8          : Produkter til dyr og husdyr > Husdyrprodukter > Hundeprodukter > Tredemøller til hund
gid://shopify/TaxonomyCategory/ap-2-3-9          : Produkter til dyr og husdyr > Husdyrprodukter > Hundeprodukter > Hundegodter
gid://shopify/TaxonomyCategory/ap-2-4            : Produkter til dyr og husdyr > Husdyrprodukter > Fiske- og vannutstyr
gid://shopify/TaxonomyCategory/ap-2-4-1          : Produkter til dyr og husdyr > Husdyrprodukter > Fiske- og vannutstyr > Rør til akvarier og dammer
gid://shopify/TaxonomyCategory/ap-2-4-1-1        : Produkter til dyr og husdyr > Husdyrprodukter > Fiske- og vannutstyr > Rør til akvarier og dammer > Luftrør
gid://shopify/TaxonomyCategory/ap-2-4-1-2        : Produkter til dyr og husdyr > Husdyrprodukter > Fiske- og vannutstyr > Rør til akvarier og dammer > Kveilerør
gid://shopify/TaxonomyCategory/ap-2-4-1-3        : Produkter til dyr og husdyr > Husdyrprodukter > Fiske- og vannutstyr > Rør til akvarier og dammer > Fleksible rør
gid://shopify/TaxonomyCategory/ap-2-4-1-4        : Produkter til dyr og husdyr > Husdyrprodukter > Fiske- og vannutstyr > Rør til akvarier og dammer > Faste rør
gid://shopify/TaxonomyCategory/ap-2-4-1-5        : Produkter til dyr og husdyr > Husdyrprodukter > Fiske- og vannutstyr > Rør til akvarier og dammer > Standardrør
gid://shopify/TaxonomyCategory/ap-2-4-2          : Produkter til dyr og husdyr > Husdyrprodukter > Fiske- og vannutstyr > Luftstener og diffusere til akvarier
gid://shopify/TaxonomyCategory/ap-2-4-2-1        : Produkter til dyr og husdyr > Husdyrprodukter > Fiske- og vannutstyr > Luftstener og diffusere til akvarier > Luftdiffusorer
gid://shopify/TaxonomyCategory/ap-2-4-2-2        : Produkter til dyr og husdyr > Husdyrprodukter > Fiske- og vannutstyr > Luftstener og diffusere til akvarier > Skiveluftstener
gid://shopify/TaxonomyCategory/ap-2-4-2-3        : Produkter til dyr og husdyr > Husdyrprodukter > Fiske- og vannutstyr > Luftstener og diffusere til akvarier > Standard luftstener
gid://shopify/TaxonomyCategory/ap-2-4-2-4        : Produkter til dyr og husdyr > Husdyrprodukter > Fiske- og vannutstyr > Luftstener og diffusere til akvarier > Rørluftstener
gid://shopify/TaxonomyCategory/ap-2-4-2-5        : Produkter til dyr og husdyr > Husdyrprodukter > Fiske- og vannutstyr > Luftstener og diffusere til akvarier > Veggluftstener
gid://shopify/TaxonomyCategory/ap-2-4-3          : Produkter til dyr og husdyr > Husdyrprodukter > Fiske- og vannutstyr > Rengjøringsprodukter for akvarier
gid://shopify/TaxonomyCategory/ap-2-4-3-1        : Produkter til dyr og husdyr > Husdyrprodukter > Fiske- og vannutstyr > Rengjøringsprodukter for akvarier > Algeskrapere
gid://shopify/TaxonomyCategory/ap-2-4-3-2        : Produkter til dyr og husdyr > Husdyrprodukter > Fiske- og vannutstyr > Rengjøringsprodukter for akvarier > Akvariumshansker
gid://shopify/TaxonomyCategory/ap-2-4-3-3        : Produkter til dyr og husdyr > Husdyrprodukter > Fiske- og vannutstyr > Rengjøringsprodukter for akvarier > Rengjøringsbørster
gid://shopify/TaxonomyCategory/ap-2-4-3-4        : Produkter til dyr og husdyr > Husdyrprodukter > Fiske- og vannutstyr > Rengjøringsprodukter for akvarier > Rengjøringsmidler
gid://shopify/TaxonomyCategory/ap-2-4-3-5        : Produkter til dyr og husdyr > Husdyrprodukter > Fiske- og vannutstyr > Rengjøringsprodukter for akvarier > Grusstøvsugere
gid://shopify/TaxonomyCategory/ap-2-4-3-6        : Produkter til dyr og husdyr > Husdyrprodukter > Fiske- og vannutstyr > Rengjøringsprodukter for akvarier > Skrubbeputer
gid://shopify/TaxonomyCategory/ap-2-4-3-7        : Produkter til dyr og husdyr > Husdyrprodukter > Fiske- og vannutstyr > Rengjøringsprodukter for akvarier > Heverter
gid://shopify/TaxonomyCategory/ap-2-4-3-8        : Produkter til dyr og husdyr > Husdyrprodukter > Fiske- og vannutstyr > Rengjøringsprodukter for akvarier > Tankrensere
gid://shopify/TaxonomyCategory/ap-2-4-4          : Produkter til dyr og husdyr > Husdyrprodukter > Fiske- og vannutstyr > Akvariedekor
gid://shopify/TaxonomyCategory/ap-2-4-4-1        : Produkter til dyr og husdyr > Husdyrprodukter > Fiske- og vannutstyr > Akvariedekor > Akvariebakgrunner
gid://shopify/TaxonomyCategory/ap-2-4-4-2        : Produkter til dyr og husdyr > Husdyrprodukter > Fiske- og vannutstyr > Akvariedekor > Akvariehuler og -tilfluktsrom
gid://shopify/TaxonomyCategory/ap-2-4-4-3        : Produkter til dyr og husdyr > Husdyrprodukter > Fiske- og vannutstyr > Akvariedekor > Akvariestener
gid://shopify/TaxonomyCategory/ap-2-4-4-4        : Produkter til dyr og husdyr > Husdyrprodukter > Fiske- og vannutstyr > Akvariedekor > Akvariesubstrater
gid://shopify/TaxonomyCategory/ap-2-4-4-5        : Produkter til dyr og husdyr > Husdyrprodukter > Fiske- og vannutstyr > Akvariedekor > Kunstige planter
gid://shopify/TaxonomyCategory/ap-2-4-4-6        : Produkter til dyr og husdyr > Husdyrprodukter > Fiske- og vannutstyr > Akvariedekor > Boblende dekorasjoner
gid://shopify/TaxonomyCategory/ap-2-4-4-7        : Produkter til dyr og husdyr > Husdyrprodukter > Fiske- og vannutstyr > Akvariedekor > Drivved
gid://shopify/TaxonomyCategory/ap-2-4-4-8        : Produkter til dyr og husdyr > Husdyrprodukter > Fiske- og vannutstyr > Akvariedekor > Ornamenter
gid://shopify/TaxonomyCategory/ap-2-4-4-9        : Produkter til dyr og husdyr > Husdyrprodukter > Fiske- og vannutstyr > Akvariedekor > Skipsvrak
gid://shopify/TaxonomyCategory/ap-2-4-5          : Produkter til dyr og husdyr > Husdyrprodukter > Fiske- og vannutstyr > Akvariefiltre
gid://shopify/TaxonomyCategory/ap-2-4-5-1        : Produkter til dyr og husdyr > Husdyrprodukter > Fiske- og vannutstyr > Akvariefiltre > Eksterne akvariefiltre og beholdere
gid://shopify/TaxonomyCategory/ap-2-4-5-2        : Produkter til dyr og husdyr > Husdyrprodukter > Fiske- og vannutstyr > Akvariefiltre > Hang-On-Back (HOB) akvariefiltre
gid://shopify/TaxonomyCategory/ap-2-4-5-3        : Produkter til dyr og husdyr > Husdyrprodukter > Fiske- og vannutstyr > Akvariefiltre > Interne akvariefiltre
gid://shopify/TaxonomyCategory/ap-2-4-5-4        : Produkter til dyr og husdyr > Husdyrprodukter > Fiske- og vannutstyr > Akvariefiltre > Svampbaserte akvariefiltre
gid://shopify/TaxonomyCategory/ap-2-4-5-5        : Produkter til dyr og husdyr > Husdyrprodukter > Fiske- og vannutstyr > Akvariefiltre > Akvariefiltre under grus
gid://shopify/TaxonomyCategory/ap-2-4-6          : Produkter til dyr og husdyr > Husdyrprodukter > Fiske- og vannutstyr > Fiskenett til akvarier
gid://shopify/TaxonomyCategory/ap-2-4-6-1        : Produkter til dyr og husdyr > Husdyrprodukter > Fiske- og vannutstyr > Fiskenett til akvarier > Skjenett
gid://shopify/TaxonomyCategory/ap-2-4-6-2        : Produkter til dyr og husdyr > Husdyrprodukter > Fiske- og vannutstyr > Fiskenett til akvarier > Rekenett
gid://shopify/TaxonomyCategory/ap-2-4-6-3        : Produkter til dyr og husdyr > Husdyrprodukter > Fiske- og vannutstyr > Fiskenett til akvarier > Sokkenett
gid://shopify/TaxonomyCategory/ap-2-4-6-4        : Produkter til dyr og husdyr > Husdyrprodukter > Fiske- og vannutstyr > Fiskenett til akvarier > Standardnett
gid://shopify/TaxonomyCategory/ap-2-4-7          : Produkter til dyr og husdyr > Husdyrprodukter > Fiske- og vannutstyr > Sten og substrater til akvarier
gid://shopify/TaxonomyCategory/ap-2-4-7-1        : Produkter til dyr og husdyr > Husdyrprodukter > Fiske- og vannutstyr > Sten og substrater til akvarier > Akvariejord
gid://shopify/TaxonomyCategory/ap-2-4-7-2        : Produkter til dyr og husdyr > Husdyrprodukter > Fiske- og vannutstyr > Sten og substrater til akvarier > Aragonittsand
gid://shopify/TaxonomyCategory/ap-2-4-7-3        : Produkter til dyr og husdyr > Husdyrprodukter > Fiske- og vannutstyr > Sten og substrater til akvarier > Knuste koraller
gid://shopify/TaxonomyCategory/ap-2-4-7-4        : Produkter til dyr og husdyr > Husdyrprodukter > Fiske- og vannutstyr > Sten og substrater til akvarier > Glassteiner
gid://shopify/TaxonomyCategory/ap-2-4-7-5        : Produkter til dyr og husdyr > Husdyrprodukter > Fiske- og vannutstyr > Sten og substrater til akvarier > Grus
gid://shopify/TaxonomyCategory/ap-2-4-7-6        : Produkter til dyr og husdyr > Husdyrprodukter > Fiske- og vannutstyr > Sten og substrater til akvarier > Småstein
gid://shopify/TaxonomyCategory/ap-2-4-7-7        : Produkter til dyr og husdyr > Husdyrprodukter > Fiske- og vannutstyr > Sten og substrater til akvarier > Sand
gid://shopify/TaxonomyCategory/ap-2-4-8          : Produkter til dyr og husdyr > Husdyrprodukter > Fiske- og vannutstyr > Akvariebelysning
gid://shopify/TaxonomyCategory/ap-2-4-9          : Produkter til dyr og husdyr > Husdyrprodukter > Fiske- og vannutstyr > Overvannsbokser til akvarier
gid://shopify/TaxonomyCategory/ap-2-4-10         : Produkter til dyr og husdyr > Husdyrprodukter > Fiske- og vannutstyr > Akvariestativer
gid://shopify/TaxonomyCategory/ap-2-4-10-1       : Produkter til dyr og husdyr > Husdyrprodukter > Fiske- og vannutstyr > Akvariestativer > Boksrammestativer
gid://shopify/TaxonomyCategory/ap-2-4-10-2       : Produkter til dyr og husdyr > Husdyrprodukter > Fiske- og vannutstyr > Akvariestativer > Skapstativer
gid://shopify/TaxonomyCategory/ap-2-4-10-3       : Produkter til dyr og husdyr > Husdyrprodukter > Fiske- og vannutstyr > Akvariestativer > Doble tankstativ
gid://shopify/TaxonomyCategory/ap-2-4-10-4       : Produkter til dyr og husdyr > Husdyrprodukter > Fiske- og vannutstyr > Akvariestativer > Stativ av smijern
gid://shopify/TaxonomyCategory/ap-2-4-11         : Produkter til dyr og husdyr > Husdyrprodukter > Fiske- og vannutstyr > Temperaturkontrollere for akvarier
gid://shopify/TaxonomyCategory/ap-2-4-11-1       : Produkter til dyr og husdyr > Husdyrprodukter > Fiske- og vannutstyr > Temperaturkontrollere for akvarier > Analoge temperaturkontrollere
gid://shopify/TaxonomyCategory/ap-2-4-11-2       : Produkter til dyr og husdyr > Husdyrprodukter > Fiske- og vannutstyr > Temperaturkontrollere for akvarier > Digitale temperaturkontrollere
gid://shopify/TaxonomyCategory/ap-2-4-12         : Produkter til dyr og husdyr > Husdyrprodukter > Fiske- og vannutstyr > Vannbehandling for akvarier
gid://shopify/TaxonomyCategory/ap-2-4-12-1       : Produkter til dyr og husdyr > Husdyrprodukter > Fiske- og vannutstyr > Vannbehandling for akvarier > Algekontroll
gid://shopify/TaxonomyCategory/ap-2-4-12-2       : Produkter til dyr og husdyr > Husdyrprodukter > Fiske- og vannutstyr > Vannbehandling for akvarier > Ammoniakkfjernere
gid://shopify/TaxonomyCategory/ap-2-4-12-3       : Produkter til dyr og husdyr > Husdyrprodukter > Fiske- og vannutstyr > Vannbehandling for akvarier > Sopp- og bakteriebehandlinger
gid://shopify/TaxonomyCategory/ap-2-4-12-4       : Produkter til dyr og husdyr > Husdyrprodukter > Fiske- og vannutstyr > Vannbehandling for akvarier > Nitratfjernere
gid://shopify/TaxonomyCategory/ap-2-4-12-5       : Produkter til dyr og husdyr > Husdyrprodukter > Fiske- og vannutstyr > Vannbehandling for akvarier > PH-justeringer
gid://shopify/TaxonomyCategory/ap-2-4-12-6       : Produkter til dyr og husdyr > Husdyrprodukter > Fiske- og vannutstyr > Vannbehandling for akvarier > Rensemidler for springvann
gid://shopify/TaxonomyCategory/ap-2-4-12-7       : Produkter til dyr og husdyr > Husdyrprodukter > Fiske- og vannutstyr > Vannbehandling for akvarier > Klaringsmiddel for vann
gid://shopify/TaxonomyCategory/ap-2-4-12-8       : Produkter til dyr og husdyr > Husdyrprodukter > Fiske- og vannutstyr > Vannbehandling for akvarier > Behandlingsmiddel for vann
gid://shopify/TaxonomyCategory/ap-2-4-13         : Produkter til dyr og husdyr > Husdyrprodukter > Fiske- og vannutstyr > Akvarier
gid://shopify/TaxonomyCategory/ap-2-4-14         : Produkter til dyr og husdyr > Husdyrprodukter > Fiske- og vannutstyr > Gjødsel for vannplanter
gid://shopify/TaxonomyCategory/ap-2-4-14-1       : Produkter til dyr og husdyr > Husdyrprodukter > Fiske- og vannutstyr > Gjødsel for vannplanter > Granulær gjødsel
gid://shopify/TaxonomyCategory/ap-2-4-14-2       : Produkter til dyr og husdyr > Husdyrprodukter > Fiske- og vannutstyr > Gjødsel for vannplanter > Flytende gjødsel
gid://shopify/TaxonomyCategory/ap-2-4-14-3       : Produkter til dyr og husdyr > Husdyrprodukter > Fiske- og vannutstyr > Gjødsel for vannplanter > Pulvergjødsel
gid://shopify/TaxonomyCategory/ap-2-4-14-4       : Produkter til dyr og husdyr > Husdyrprodukter > Fiske- og vannutstyr > Gjødsel for vannplanter > Tablettgjødsel
gid://shopify/TaxonomyCategory/ap-2-4-15         : Produkter til dyr og husdyr > Husdyrprodukter > Fiske- og vannutstyr > Fiskefôrere
gid://shopify/TaxonomyCategory/ap-2-4-16         : Produkter til dyr og husdyr > Husdyrprodukter > Fiske- og vannutstyr > Fiskefôr
gid://shopify/TaxonomyCategory/ap-2-4-16-1       : Produkter til dyr og husdyr > Husdyrprodukter > Fiske- og vannutstyr > Fiskefôr > Algeoblater
gid://shopify/TaxonomyCategory/ap-2-4-16-2       : Produkter til dyr og husdyr > Husdyrprodukter > Fiske- og vannutstyr > Fiskefôr > Fôr for siamesisk kampfisk
gid://shopify/TaxonomyCategory/ap-2-4-16-3       : Produkter til dyr og husdyr > Husdyrprodukter > Fiske- og vannutstyr > Fiskefôr > Fôr for ciklider
gid://shopify/TaxonomyCategory/ap-2-4-16-4       : Produkter til dyr og husdyr > Husdyrprodukter > Fiske- og vannutstyr > Fiskefôr > Tørt fiskefôr
gid://shopify/TaxonomyCategory/ap-2-4-16-5       : Produkter til dyr og husdyr > Husdyrprodukter > Fiske- og vannutstyr > Fiskefôr > Frysetørket mat
gid://shopify/TaxonomyCategory/ap-2-4-16-6       : Produkter til dyr og husdyr > Husdyrprodukter > Fiske- og vannutstyr > Fiskefôr > Frossen mat
gid://shopify/TaxonomyCategory/ap-2-4-16-7       : Produkter til dyr og husdyr > Husdyrprodukter > Fiske- og vannutstyr > Fiskefôr > Fôr for gullfisker
gid://shopify/TaxonomyCategory/ap-2-4-16-8       : Produkter til dyr og husdyr > Husdyrprodukter > Fiske- og vannutstyr > Fiskefôr > Levende fôr
gid://shopify/TaxonomyCategory/ap-2-4-16-9       : Produkter til dyr og husdyr > Husdyrprodukter > Fiske- og vannutstyr > Fiskefôr > Medisinert fôr
gid://shopify/TaxonomyCategory/ap-2-5            : Produkter til dyr og husdyr > Husdyrprodukter > Agilityutstyr for husdyr
gid://shopify/TaxonomyCategory/ap-2-5-1          : Produkter til dyr og husdyr > Husdyrprodukter > Agilityutstyr for husdyr > A-Frames
gid://shopify/TaxonomyCategory/ap-2-5-2          : Produkter til dyr og husdyr > Husdyrprodukter > Agilityutstyr for husdyr > Agility-tunneler
gid://shopify/TaxonomyCategory/ap-2-5-3          : Produkter til dyr og husdyr > Husdyrprodukter > Agilityutstyr for husdyr > Hundeturer og -ramper
gid://shopify/TaxonomyCategory/ap-2-5-4          : Produkter til dyr og husdyr > Husdyrprodukter > Agilityutstyr for husdyr > Hoppstenger
gid://shopify/TaxonomyCategory/ap-2-5-5          : Produkter til dyr og husdyr > Husdyrprodukter > Agilityutstyr for husdyr > Pausebord
gid://shopify/TaxonomyCategory/ap-2-5-6          : Produkter til dyr og husdyr > Husdyrprodukter > Agilityutstyr for husdyr > Stenger
gid://shopify/TaxonomyCategory/ap-2-5-7          : Produkter til dyr og husdyr > Husdyrprodukter > Agilityutstyr for husdyr > Vippbrett
gid://shopify/TaxonomyCategory/ap-2-5-8          : Produkter til dyr og husdyr > Husdyrprodukter > Agilityutstyr for husdyr > Dekkhopp
gid://shopify/TaxonomyCategory/ap-2-6            : Produkter til dyr og husdyr > Husdyrprodukter > Klær til husdyr
gid://shopify/TaxonomyCategory/ap-2-6-1          : Produkter til dyr og husdyr > Husdyrprodukter > Klær til husdyr > Bandanaer til husdyr
gid://shopify/TaxonomyCategory/ap-2-6-2          : Produkter til dyr og husdyr > Husdyrprodukter > Klær til husdyr > Buer og bånd til husdyr
gid://shopify/TaxonomyCategory/ap-2-6-3          : Produkter til dyr og husdyr > Husdyrprodukter > Klær til husdyr > Frakker til husdyr
