# Shopify Product Taxonomy - Categories: 2024-10-unstable
# Format: {GID} : {Ancestor name} > ... > {Category name}

gid://shopify/TaxonomyCategory/ap                : Đồ dùng cho động vật & thú cưng
gid://shopify/TaxonomyCategory/ap-2-2-4          : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Sản phẩm dùng cho mèo > Cát vệ sinh cho mèo
gid://shopify/TaxonomyCategory/ap-2-2-4-1        : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Sản phẩm dùng cho mèo > Cát vệ sinh cho mèo > Tấm lót hộp dành cho mèo
gid://shopify/TaxonomyCategory/ap-2-2-4-2        : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Sản phẩm dùng cho mèo > Cát vệ sinh cho mèo > Tấm lót khay vệ sinh cho mèo
gid://shopify/TaxonomyCategory/ap-2-2-4-3        : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Sản phẩm dùng cho mèo > Cát vệ sinh cho mèo > Hộp đựng cát vệ sinh cho mèo
gid://shopify/TaxonomyCategory/ap-2-2-5          : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Sản phẩm dùng cho mèo > Đồ chơi dành cho mèo
gid://shopify/TaxonomyCategory/ap-2-2-5-1        : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Sản phẩm dùng cho mèo > Đồ chơi dành cho mèo > Bóng đồ chơi
gid://shopify/TaxonomyCategory/ap-2-2-5-2        : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Sản phẩm dùng cho mèo > Đồ chơi dành cho mèo > Đồ chơi bạc hà mèo
gid://shopify/TaxonomyCategory/ap-2-2-5-3        : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Sản phẩm dùng cho mèo > Đồ chơi dành cho mèo > Đồ chơi nhai gặm
gid://shopify/TaxonomyCategory/ap-2-2-5-4        : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Sản phẩm dùng cho mèo > Đồ chơi dành cho mèo > Lông vũ & gậy trêu mèo
gid://shopify/TaxonomyCategory/ap-2-2-5-5        : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Sản phẩm dùng cho mèo > Đồ chơi dành cho mèo > Đồ chơi tương tác
gid://shopify/TaxonomyCategory/ap-2-2-5-6        : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Sản phẩm dùng cho mèo > Đồ chơi dành cho mèo > Đèn laser
gid://shopify/TaxonomyCategory/ap-2-2-5-7        : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Sản phẩm dùng cho mèo > Đồ chơi dành cho mèo > Trò chơi giải đố & đồ chơi lật đật ăn hạt
gid://shopify/TaxonomyCategory/ap-2-2-5-9        : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Sản phẩm dùng cho mèo > Đồ chơi dành cho mèo > Đồ chơi chút chít
gid://shopify/TaxonomyCategory/ap-2-2-5-10       : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Sản phẩm dùng cho mèo > Đồ chơi dành cho mèo > Đồ chơi nhồi bông & thú nhồi bông
gid://shopify/TaxonomyCategory/ap-2-2-5-11       : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Sản phẩm dùng cho mèo > Đồ chơi dành cho mèo > Đường hầm
gid://shopify/TaxonomyCategory/ap-2-2-5-12       : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Sản phẩm dùng cho mèo > Đồ chơi dành cho mèo > Que dụ mèo
gid://shopify/TaxonomyCategory/ap-2-2-6          : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Sản phẩm dùng cho mèo > Đồ ăn thưởng cho mèo
gid://shopify/TaxonomyCategory/ap-2-3            : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Vật dụng nuôi chó
gid://shopify/TaxonomyCategory/ap-2-3-1          : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Vật dụng nuôi chó > Băng tã vệ sinh chó mèo
gid://shopify/TaxonomyCategory/ap-2-3-2          : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Vật dụng nuôi chó > Tã dành cho chó
gid://shopify/TaxonomyCategory/ap-2-3-3          : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Vật dụng nuôi chó > Thức ăn cho chó
gid://shopify/TaxonomyCategory/ap-2-3-3-1        : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Vật dụng nuôi chó > Thức ăn cho chó > Thức ăn cho chó không theo toa
gid://shopify/TaxonomyCategory/ap-2-3-3-2        : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Vật dụng nuôi chó > Thức ăn cho chó > Thức ăn cho chó theo toa
gid://shopify/TaxonomyCategory/ap-2-3-4          : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Vật dụng nuôi chó > Nhà cho chó
gid://shopify/TaxonomyCategory/ap-2-3-5          : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Vật dụng nuôi chó > Phụ kiện nhà nuôi chó
gid://shopify/TaxonomyCategory/ap-2-3-6          : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Vật dụng nuôi chó > Nhà nuôi chó
gid://shopify/TaxonomyCategory/ap-2-3-6-1        : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Vật dụng nuôi chó > Nhà nuôi chó > Chuồng quây cho chó
gid://shopify/TaxonomyCategory/ap-2-3-6-2        : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Vật dụng nuôi chó > Nhà nuôi chó > Bãi quây cho chó
gid://shopify/TaxonomyCategory/ap-2-3-6-3        : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Vật dụng nuôi chó > Nhà nuôi chó > Chuồng chó trong nhà
gid://shopify/TaxonomyCategory/ap-2-3-6-4        : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Vật dụng nuôi chó > Nhà nuôi chó > Chuồng chó ngoài trời
gid://shopify/TaxonomyCategory/ap-2-3-6-5        : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Vật dụng nuôi chó > Nhà nuôi chó > Chuồng chó di động
gid://shopify/TaxonomyCategory/ap-2-3-7          : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Vật dụng nuôi chó > Đồ chơi dành cho chó
gid://shopify/TaxonomyCategory/ap-2-3-8          : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Vật dụng nuôi chó > Máy chạy dành cho chó
gid://shopify/TaxonomyCategory/ap-2-3-9          : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Vật dụng nuôi chó > Đồ ăn thưởng cho chó
gid://shopify/TaxonomyCategory/ap-2-4            : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Đồ dùng cho cá & động vật thủy sinh
gid://shopify/TaxonomyCategory/ap-2-4-1          : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Đồ dùng cho cá & động vật thủy sinh > Hệ thống ống bể thủy sinh & ao nuôi cá
gid://shopify/TaxonomyCategory/ap-2-4-1-1        : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Đồ dùng cho cá & động vật thủy sinh > Hệ thống ống bể thủy sinh & ao nuôi cá > Ống dẫn khí
gid://shopify/TaxonomyCategory/ap-2-4-1-2        : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Đồ dùng cho cá & động vật thủy sinh > Hệ thống ống bể thủy sinh & ao nuôi cá > Ống cuộn
gid://shopify/TaxonomyCategory/ap-2-4-1-3        : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Đồ dùng cho cá & động vật thủy sinh > Hệ thống ống bể thủy sinh & ao nuôi cá > Ống mềm linh hoạt
gid://shopify/TaxonomyCategory/ap-2-4-1-4        : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Đồ dùng cho cá & động vật thủy sinh > Hệ thống ống bể thủy sinh & ao nuôi cá > Ống cứng
gid://shopify/TaxonomyCategory/ap-2-4-1-5        : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Đồ dùng cho cá & động vật thủy sinh > Hệ thống ống bể thủy sinh & ao nuôi cá > Ống tiêu chuẩn
gid://shopify/TaxonomyCategory/ap-2-4-2          : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Đồ dùng cho cá & động vật thủy sinh > Máy sục khí & khuếch tán bể thủy sinh
gid://shopify/TaxonomyCategory/ap-2-4-2-1        : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Đồ dùng cho cá & động vật thủy sinh > Máy sục khí & khuếch tán bể thủy sinh > Đầu sủi oxy
gid://shopify/TaxonomyCategory/ap-2-4-2-2        : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Đồ dùng cho cá & động vật thủy sinh > Máy sục khí & khuếch tán bể thủy sinh > Đĩa sủi oxy
gid://shopify/TaxonomyCategory/ap-2-4-2-3        : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Đồ dùng cho cá & động vật thủy sinh > Máy sục khí & khuếch tán bể thủy sinh > Đĩa sủi oxy tiêu chuẩn
gid://shopify/TaxonomyCategory/ap-2-4-2-4        : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Đồ dùng cho cá & động vật thủy sinh > Máy sục khí & khuếch tán bể thủy sinh > Thanh sủi oxy
gid://shopify/TaxonomyCategory/ap-2-4-2-5        : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Đồ dùng cho cá & động vật thủy sinh > Máy sục khí & khuếch tán bể thủy sinh > Đá sủi tạo tường bóng
gid://shopify/TaxonomyCategory/ap-2-4-3          : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Đồ dùng cho cá & động vật thủy sinh > Dụng cụ làm sạch bể cá
gid://shopify/TaxonomyCategory/ap-2-4-3-1        : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Đồ dùng cho cá & động vật thủy sinh > Dụng cụ làm sạch bể cá > Dao cạo rêu
gid://shopify/TaxonomyCategory/ap-2-4-3-2        : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Đồ dùng cho cá & động vật thủy sinh > Dụng cụ làm sạch bể cá > Găng tay dọn bể cá
gid://shopify/TaxonomyCategory/ap-2-4-3-3        : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Đồ dùng cho cá & động vật thủy sinh > Dụng cụ làm sạch bể cá > Chổi vệ sinh
gid://shopify/TaxonomyCategory/ap-2-4-3-4        : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Đồ dùng cho cá & động vật thủy sinh > Dụng cụ làm sạch bể cá > Dung dịch vệ sinh
gid://shopify/TaxonomyCategory/ap-2-4-3-5        : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Đồ dùng cho cá & động vật thủy sinh > Dụng cụ làm sạch bể cá > Dụng cụ hút cặn
gid://shopify/TaxonomyCategory/ap-2-4-3-6        : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Đồ dùng cho cá & động vật thủy sinh > Dụng cụ làm sạch bể cá > Mút chùi kính
gid://shopify/TaxonomyCategory/ap-2-4-3-7        : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Đồ dùng cho cá & động vật thủy sinh > Dụng cụ làm sạch bể cá > Ống siphon thay nước
gid://shopify/TaxonomyCategory/ap-2-4-3-8        : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Đồ dùng cho cá & động vật thủy sinh > Dụng cụ làm sạch bể cá > Chất tẩy rửa bể cá
gid://shopify/TaxonomyCategory/ap-2-4-4          : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Đồ dùng cho cá & động vật thủy sinh > Đồ trang trí bể cá
gid://shopify/TaxonomyCategory/ap-2-4-4-1        : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Đồ dùng cho cá & động vật thủy sinh > Đồ trang trí bể cá > Dán nền bể cá
gid://shopify/TaxonomyCategory/ap-2-4-4-2        : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Đồ dùng cho cá & động vật thủy sinh > Đồ trang trí bể cá > Hang động & hang trú ẩn cho bể cá
gid://shopify/TaxonomyCategory/ap-2-4-4-3        : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Đồ dùng cho cá & động vật thủy sinh > Đồ trang trí bể cá > Đá trang trí bể cá
gid://shopify/TaxonomyCategory/ap-2-4-4-4        : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Đồ dùng cho cá & động vật thủy sinh > Đồ trang trí bể cá > Lớp lót nền bể cá
gid://shopify/TaxonomyCategory/ap-2-4-4-5        : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Đồ dùng cho cá & động vật thủy sinh > Đồ trang trí bể cá > Cây giả trang trí
gid://shopify/TaxonomyCategory/ap-2-4-4-6        : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Đồ dùng cho cá & động vật thủy sinh > Đồ trang trí bể cá > Đồ trang trí tạo bong bóng
gid://shopify/TaxonomyCategory/ap-2-4-4-7        : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Đồ dùng cho cá & động vật thủy sinh > Đồ trang trí bể cá > Gỗ lũa
gid://shopify/TaxonomyCategory/ap-2-4-4-8        : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Đồ dùng cho cá & động vật thủy sinh > Đồ trang trí bể cá > Đồ trang trí
gid://shopify/TaxonomyCategory/ap-2-4-4-9        : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Đồ dùng cho cá & động vật thủy sinh > Đồ trang trí bể cá > Mô hình tàu đắm
gid://shopify/TaxonomyCategory/ap-2-4-5          : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Đồ dùng cho cá & động vật thủy sinh > Thiết bị lọc bể cá
gid://shopify/TaxonomyCategory/ap-2-4-5-1        : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Đồ dùng cho cá & động vật thủy sinh > Thiết bị lọc bể cá > Bộ lọc ngoài & lọc thùng cho bể cá
gid://shopify/TaxonomyCategory/ap-2-4-5-2        : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Đồ dùng cho cá & động vật thủy sinh > Thiết bị lọc bể cá > Bộ lọc thác treo (HOB) cho bể cá
gid://shopify/TaxonomyCategory/ap-2-4-5-3        : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Đồ dùng cho cá & động vật thủy sinh > Thiết bị lọc bể cá > Bộ lọc trong bể
gid://shopify/TaxonomyCategory/ap-2-4-5-4        : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Đồ dùng cho cá & động vật thủy sinh > Thiết bị lọc bể cá > Bộ lọc mút cho bể cá
gid://shopify/TaxonomyCategory/ap-2-4-5-5        : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Đồ dùng cho cá & động vật thủy sinh > Thiết bị lọc bể cá > Bộ lọc đáy cho bể cá
gid://shopify/TaxonomyCategory/ap-2-4-6          : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Đồ dùng cho cá & động vật thủy sinh > Lưới bắt cá
gid://shopify/TaxonomyCategory/ap-2-4-6-1        : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Đồ dùng cho cá & động vật thủy sinh > Lưới bắt cá > Vợt bắt cá
gid://shopify/TaxonomyCategory/ap-2-4-6-2        : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Đồ dùng cho cá & động vật thủy sinh > Lưới bắt cá > Vợt bắt tôm
gid://shopify/TaxonomyCategory/ap-2-4-6-3        : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Đồ dùng cho cá & động vật thủy sinh > Lưới bắt cá > Lưới
gid://shopify/TaxonomyCategory/ap-2-4-6-4        : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Đồ dùng cho cá & động vật thủy sinh > Lưới bắt cá > Vợt tiêu chuẩn
gid://shopify/TaxonomyCategory/ap-2-4-7          : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Đồ dùng cho cá & động vật thủy sinh > Sỏi và lớp lót bể cá
gid://shopify/TaxonomyCategory/ap-2-4-7-1        : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Đồ dùng cho cá & động vật thủy sinh > Sỏi và lớp lót bể cá > Đất hồ cá
gid://shopify/TaxonomyCategory/ap-2-4-7-2        : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Đồ dùng cho cá & động vật thủy sinh > Sỏi và lớp lót bể cá > Cát Aragonite trải nền
gid://shopify/TaxonomyCategory/ap-2-4-7-3        : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Đồ dùng cho cá & động vật thủy sinh > Sỏi và lớp lót bể cá > San hô vụn
gid://shopify/TaxonomyCategory/ap-2-4-7-4        : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Đồ dùng cho cá & động vật thủy sinh > Sỏi và lớp lót bể cá > Đá thủy tinh
gid://shopify/TaxonomyCategory/ap-2-4-7-5        : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Đồ dùng cho cá & động vật thủy sinh > Sỏi và lớp lót bể cá > Sỏi
gid://shopify/TaxonomyCategory/ap-2-4-7-6        : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Đồ dùng cho cá & động vật thủy sinh > Sỏi và lớp lót bể cá > Đá cuội
gid://shopify/TaxonomyCategory/ap-2-4-7-7        : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Đồ dùng cho cá & động vật thủy sinh > Sỏi và lớp lót bể cá > Cát
gid://shopify/TaxonomyCategory/ap-2-4-8          : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Đồ dùng cho cá & động vật thủy sinh > Thiết bị chiếu sáng bể cá
gid://shopify/TaxonomyCategory/ap-2-4-9          : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Đồ dùng cho cá & động vật thủy sinh > Hộp lọc tràn bể cá
gid://shopify/TaxonomyCategory/ap-2-4-10         : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Đồ dùng cho cá & động vật thủy sinh > Kệ để bể cá
gid://shopify/TaxonomyCategory/ap-2-4-10-1       : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Đồ dùng cho cá & động vật thủy sinh > Kệ để bể cá > Kệ khung dạng hộp
gid://shopify/TaxonomyCategory/ap-2-4-10-2       : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Đồ dùng cho cá & động vật thủy sinh > Kệ để bể cá > Kệ tủ
gid://shopify/TaxonomyCategory/ap-2-4-10-3       : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Đồ dùng cho cá & động vật thủy sinh > Kệ để bể cá > Kệ để bể cá hai tầng
gid://shopify/TaxonomyCategory/ap-2-4-10-4       : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Đồ dùng cho cá & động vật thủy sinh > Kệ để bể cá > Kệ sắt rèn
gid://shopify/TaxonomyCategory/ap-2-4-11         : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Đồ dùng cho cá & động vật thủy sinh > Bộ kiểm soát nhiệt độ bể cá
gid://shopify/TaxonomyCategory/ap-2-4-11-1       : Đồ dùng cho động vật & thú cưng > Đồ dùng cho thú cưng > Đồ dùng cho cá & động vật thủy sinh > Bộ kiểm soát nhiệt độ bể cá > Bộ kiểm soát nhiệt độ analog
