# Shopify Product Taxonomy - Categories: 2025-01-unstable
# Format: {GID} : {Ancestor name} > ... > {Category name}

gid://shopify/TaxonomyCategory/ap                : Zwierzęta i artykuły dla zwierząt
gid://shopify/TaxonomyCategory/ap-2-4-2-4        : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły i akcesoria dla rybek > Kamienie napowietrzające i dyfuzory > Kamienie napowietrzające w rurce
gid://shopify/TaxonomyCategory/ap-2-4-2-5        : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły i akcesoria dla rybek > Kamienie napowietrzające i dyfuzory > Kamienie napowietrzające ścienne
gid://shopify/TaxonomyCategory/ap-2-4-3          : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły i akcesoria dla rybek > Narzędzia i środki do czyszczenia akwariów
gid://shopify/TaxonomyCategory/ap-2-4-3-1        : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły i akcesoria dla rybek > Narzędzia i środki do czyszczenia akwariów > Skrobaki do akwarium
gid://shopify/TaxonomyCategory/ap-2-4-3-2        : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły i akcesoria dla rybek > Narzędzia i środki do czyszczenia akwariów > Rękawice do czyszczenia akwarium
gid://shopify/TaxonomyCategory/ap-2-4-3-3        : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły i akcesoria dla rybek > Narzędzia i środki do czyszczenia akwariów > Szczotki do czyszczenia
gid://shopify/TaxonomyCategory/ap-2-4-3-4        : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły i akcesoria dla rybek > Narzędzia i środki do czyszczenia akwariów > Środki do czyszczenia
gid://shopify/TaxonomyCategory/ap-2-4-3-5        : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły i akcesoria dla rybek > Narzędzia i środki do czyszczenia akwariów > Odmulacze
gid://shopify/TaxonomyCategory/ap-2-4-3-6        : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły i akcesoria dla rybek > Narzędzia i środki do czyszczenia akwariów > Czyściki do akwarium
gid://shopify/TaxonomyCategory/ap-2-4-3-7        : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły i akcesoria dla rybek > Narzędzia i środki do czyszczenia akwariów > Syfony do akwarium
gid://shopify/TaxonomyCategory/ap-2-4-3-8        : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły i akcesoria dla rybek > Narzędzia i środki do czyszczenia akwariów > Środki do czyszczenia akwarium
gid://shopify/TaxonomyCategory/ap-2-4-4          : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły i akcesoria dla rybek > Ozdoby akwariowe
gid://shopify/TaxonomyCategory/ap-2-4-4-1        : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły i akcesoria dla rybek > Ozdoby akwariowe > Tła do akwarium
gid://shopify/TaxonomyCategory/ap-2-4-4-2        : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły i akcesoria dla rybek > Ozdoby akwariowe > Jaskinie i kryjówki do akwarium
gid://shopify/TaxonomyCategory/ap-2-4-4-3        : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły i akcesoria dla rybek > Ozdoby akwariowe > Skały i kamienie akwariowe
gid://shopify/TaxonomyCategory/ap-2-4-4-4        : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły i akcesoria dla rybek > Ozdoby akwariowe > Podłoża akwariowe
gid://shopify/TaxonomyCategory/ap-2-4-4-5        : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły i akcesoria dla rybek > Ozdoby akwariowe > Sztuczne rośliny do akwarium
gid://shopify/TaxonomyCategory/ap-2-4-4-6        : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły i akcesoria dla rybek > Ozdoby akwariowe > Dekoracja z bąbelkami
gid://shopify/TaxonomyCategory/ap-2-4-4-7        : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły i akcesoria dla rybek > Ozdoby akwariowe > Korzenie dekoracyjne
gid://shopify/TaxonomyCategory/ap-2-4-4-8        : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły i akcesoria dla rybek > Ozdoby akwariowe > Ozdoby do akwarium
gid://shopify/TaxonomyCategory/ap-2-4-4-9        : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły i akcesoria dla rybek > Ozdoby akwariowe > Wraki statków
gid://shopify/TaxonomyCategory/ap-2-4-5          : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły i akcesoria dla rybek > Filtry akwariowe
gid://shopify/TaxonomyCategory/ap-2-4-5-1        : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły i akcesoria dla rybek > Filtry akwariowe > Filtry akwariowe zewnętrzne i kubełkowe
gid://shopify/TaxonomyCategory/ap-2-4-5-2        : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły i akcesoria dla rybek > Filtry akwariowe > Wiszące filtry akwariowe (HOB).
gid://shopify/TaxonomyCategory/ap-2-4-5-3        : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły i akcesoria dla rybek > Filtry akwariowe > Wewnętrzne filtry akwariowe
gid://shopify/TaxonomyCategory/ap-2-4-5-4        : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły i akcesoria dla rybek > Filtry akwariowe > Filtry gąbkowe do akwarium
gid://shopify/TaxonomyCategory/ap-2-4-5-5        : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły i akcesoria dla rybek > Filtry akwariowe > Podżwirowe filtry akwariowe
gid://shopify/TaxonomyCategory/ap-2-4-6          : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły i akcesoria dla rybek > Podbieraki akwarystyczne
gid://shopify/TaxonomyCategory/ap-2-4-6-1        : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły i akcesoria dla rybek > Podbieraki akwarystyczne > Siatki do podbierania
gid://shopify/TaxonomyCategory/ap-2-4-6-2        : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły i akcesoria dla rybek > Podbieraki akwarystyczne > Siatki do łowienia krewetek
gid://shopify/TaxonomyCategory/ap-2-4-6-3        : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły i akcesoria dla rybek > Podbieraki akwarystyczne > Siatki na skarpety
gid://shopify/TaxonomyCategory/ap-2-4-6-4        : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły i akcesoria dla rybek > Podbieraki akwarystyczne > Standardowe podbieraki
gid://shopify/TaxonomyCategory/ap-2-4-7          : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły i akcesoria dla rybek > Żwirek i podłoża akwariowe
gid://shopify/TaxonomyCategory/ap-2-4-7-1        : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły i akcesoria dla rybek > Żwirek i podłoża akwariowe > Gleby akwariowe
gid://shopify/TaxonomyCategory/ap-2-4-7-2        : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły i akcesoria dla rybek > Żwirek i podłoża akwariowe > Piaski aragonitowe
gid://shopify/TaxonomyCategory/ap-2-4-7-3        : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły i akcesoria dla rybek > Żwirek i podłoża akwariowe > Rozdrobnione koralowce
gid://shopify/TaxonomyCategory/ap-2-4-7-4        : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły i akcesoria dla rybek > Żwirek i podłoża akwariowe > Kamienie szklane
gid://shopify/TaxonomyCategory/ap-2-4-7-5        : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły i akcesoria dla rybek > Żwirek i podłoża akwariowe > Żwir
gid://shopify/TaxonomyCategory/ap-2-4-7-6        : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły i akcesoria dla rybek > Żwirek i podłoża akwariowe > Kamyczki
gid://shopify/TaxonomyCategory/ap-2-4-7-7        : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły i akcesoria dla rybek > Żwirek i podłoża akwariowe > Piasek
gid://shopify/TaxonomyCategory/ap-2-4-8          : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły i akcesoria dla rybek > Oświetlenie do akwariów
gid://shopify/TaxonomyCategory/ap-2-4-9          : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły i akcesoria dla rybek > Pudełka przelewowe do akwariów
gid://shopify/TaxonomyCategory/ap-2-4-10         : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły i akcesoria dla rybek > Szafki pod akwaria
gid://shopify/TaxonomyCategory/ap-2-4-10-1       : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły i akcesoria dla rybek > Szafki pod akwaria > Stelaże ramowe
gid://shopify/TaxonomyCategory/ap-2-4-10-2       : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły i akcesoria dla rybek > Szafki pod akwaria > Szafki
gid://shopify/TaxonomyCategory/ap-2-4-10-3       : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły i akcesoria dla rybek > Szafki pod akwaria > Podwójne szafki pod akwaria
gid://shopify/TaxonomyCategory/ap-2-4-10-4       : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły i akcesoria dla rybek > Szafki pod akwaria > Stelaże z kutego żelaza
gid://shopify/TaxonomyCategory/ap-2-4-11         : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły i akcesoria dla rybek > Regulatory temperatury do akwariów
gid://shopify/TaxonomyCategory/ap-2-4-11-1       : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły i akcesoria dla rybek > Regulatory temperatury do akwariów > Analogowe regulatory temperatury
gid://shopify/TaxonomyCategory/ap-2-4-11-2       : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły i akcesoria dla rybek > Regulatory temperatury do akwariów > Cyfrowe regulatory temperatury
gid://shopify/TaxonomyCategory/ap-2-4-12         : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły i akcesoria dla rybek > Preparaty do wody w akwariach
gid://shopify/TaxonomyCategory/ap-2-4-12-1       : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły i akcesoria dla rybek > Preparaty do wody w akwariach > Preparaty do usuwania glonów
gid://shopify/TaxonomyCategory/ap-2-4-12-2       : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły i akcesoria dla rybek > Preparaty do wody w akwariach > Preparaty do usuwania amoniaku
gid://shopify/TaxonomyCategory/ap-2-4-12-3       : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły i akcesoria dla rybek > Preparaty do wody w akwariach > Preparaty do usuwania grzybów i bakterii
gid://shopify/TaxonomyCategory/ap-2-4-12-4       : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły i akcesoria dla rybek > Preparaty do wody w akwariach > Preparaty do usuwania azotanów
gid://shopify/TaxonomyCategory/ap-2-4-12-5       : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły i akcesoria dla rybek > Preparaty do wody w akwariach > Preparaty regulujące PH
gid://shopify/TaxonomyCategory/ap-2-4-12-6       : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły i akcesoria dla rybek > Preparaty do wody w akwariach > Oczyszczacze wody z kranu
gid://shopify/TaxonomyCategory/ap-2-4-12-7       : Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt > Artykuły i akcesoria dla rybek > Preparaty do wody w akwariach > Preparaty zwiększające przejrzystość wody
