# Shopify Product Taxonomy - Attributes: 2026-08-unstable
# Format: {GID} : {Attribute name}

gid://shopify/TaxonomyAttribute/5398  : 3D-brilledesign
gid://shopify/TaxonomyAttribute/8038  : Materiale i anti-G-dragtens trykblære
gid://shopify/TaxonomyAttribute/8039  : Tilslutningstype til anti-G-dragt
gid://shopify/TaxonomyAttribute/8040  : Metode til oppustning af anti-G-dragt
gid://shopify/TaxonomyAttribute/8041  : Anti-G-dragtens størrelsessystem
gid://shopify/TaxonomyAttribute/3340  : Hudplejetype for anti-aging
gid://shopify/TaxonomyAttribute/7613  : Antiklumpningsmiddel
gid://shopify/TaxonomyAttribute/5305  : Antiperspirantstyrkeniveau
gid://shopify/TaxonomyAttribute/6998  : Anti-reverse-type
gid://shopify/TaxonomyAttribute/8042  : Tyverisikringsfunktion
gid://shopify/TaxonomyAttribute/5056  : Antistofklasse testet
gid://shopify/TaxonomyAttribute/2710  : Frostvæsketype
gid://shopify/TaxonomyAttribute/4680  : Antik bildesign
gid://shopify/TaxonomyAttribute/8967  : Tændingssystem til antik pistol
gid://shopify/TaxonomyAttribute/4679  : Æra for antik bil
gid://shopify/TaxonomyAttribute/7614  : Æblesort
gid://shopify/TaxonomyAttribute/5501  : Apparatets kortfunktion
gid://shopify/TaxonomyAttribute/5500  : Apparatets enhedsplacering
gid://shopify/TaxonomyAttribute/1316  : Anvendelsesmetode
gid://shopify/TaxonomyAttribute/5149  : Anvendelsestype
gid://shopify/TaxonomyAttribute/5258  : Applikatorformat
gid://shopify/TaxonomyAttribute/1639  : Applikatormateriale
gid://shopify/TaxonomyAttribute/3344  : Applikatortype
gid://shopify/TaxonomyAttribute/8968  : Applikationskantens finish
gid://shopify/TaxonomyAttribute/2314  : Applikation/lappeform
gid://shopify/TaxonomyAttribute/5693  : Forklædeegenskaber
gid://shopify/TaxonomyAttribute/5694  : Forklædestil
gid://shopify/TaxonomyAttribute/2980  : Filterfunktioner for akvarium
gid://shopify/TaxonomyAttribute/1708  : Lysspektrum til akvarie
gid://shopify/TaxonomyAttribute/3228  : Overløbskassedesign til akvarium
gid://shopify/TaxonomyAttribute/5695  : Vandplanters vækstform
gid://shopify/TaxonomyAttribute/5696  : Lysthusdesign
gid://shopify/TaxonomyAttribute/6999  : Buetype
gid://shopify/TaxonomyAttribute/7000  : Type bueskydningstilbehør
gid://shopify/TaxonomyAttribute/1302  : Bueskydningsaktivitet
gid://shopify/TaxonomyAttribute/2888  : Bueskydningsudstyr medfølger
gid://shopify/TaxonomyAttribute/7001  : Bueskydning – deltype
gid://shopify/TaxonomyAttribute/7002  : Tilbehørstype til bueskydningsbane
gid://shopify/TaxonomyAttribute/1303  : Bueskydningsstil
gid://shopify/TaxonomyAttribute/7003  : Funktioner i bueskydningsmål
gid://shopify/TaxonomyAttribute/4365  : Type af bueskydningsskive
gid://shopify/TaxonomyAttribute/7004  : Bueskydningsværktøjstype
gid://shopify/TaxonomyAttribute/7005  : Armbåndets funktioner
gid://shopify/TaxonomyAttribute/7006  : Armbeskytterstil
gid://shopify/TaxonomyAttribute/8043  : Panserbeskyttelsestype
gid://shopify/TaxonomyAttribute/6863  : Justerbarhed af armlæn
gid://shopify/TaxonomyAttribute/6864  : Armlænstype
gid://shopify/TaxonomyAttribute/2496  : Arrangement
gid://shopify/TaxonomyAttribute/7008  : Pilkomponenttype
gid://shopify/TaxonomyAttribute/7009  : Pilens indeslutningsniveau
gid://shopify/TaxonomyAttribute/2883  : Materiale til styrefjer til pil
gid://shopify/TaxonomyAttribute/7010  : Retning af pilens fjer
gid://shopify/TaxonomyAttribute/7011  : Størrelsen på pilens nokrille
gid://shopify/TaxonomyAttribute/7012  : Pilens kærvstype
gid://shopify/TaxonomyAttribute/7013  : Pilerests stil
gid://shopify/TaxonomyAttribute/7014  : Pileskaftkompatibilitet
gid://shopify/TaxonomyAttribute/2969  : Pil/bolt-materiale
gid://shopify/TaxonomyAttribute/7007  : Pil-/boltspidstype
gid://shopify/TaxonomyAttribute/2299  : Kunstpåføringsmetode
gid://shopify/TaxonomyAttribute/8970  : Farveblæks lysægthed
gid://shopify/TaxonomyAttribute/8971  : Kunstblæks opacitet
gid://shopify/TaxonomyAttribute/3429  : Kunstretning
gid://shopify/TaxonomyAttribute/2386  : Kunststil
gid://shopify/TaxonomyAttribute/2930  : Materiale til værktøjer til håndarbejde
gid://shopify/TaxonomyAttribute/8969  : Tip til kunst- og håndværksværktøjer
gid://shopify/TaxonomyAttribute/7615  : Artiskokudskæring
gid://shopify/TaxonomyAttribute/7616  : Artiskoksort
gid://shopify/TaxonomyAttribute/8972  : Artikulationsfunktioner
gid://shopify/TaxonomyAttribute/7016  : Formen på kunstigt agn
gid://shopify/TaxonomyAttribute/3430  : Kunstværks autenticitet
gid://shopify/TaxonomyAttribute/2796  : Rammemateriale til kunstværk
gid://shopify/TaxonomyAttribute/2666  : Kunsttype
gid://shopify/TaxonomyAttribute/7018  : Ascender-/descender-type
gid://shopify/TaxonomyAttribute/5697  : Askebægertype
gid://shopify/TaxonomyAttribute/8044  : Aspirationstype
gid://shopify/TaxonomyAttribute/12755 : Samling påkrævet
gid://shopify/TaxonomyAttribute/6865  : Monteringsstatus
gid://shopify/TaxonomyAttribute/7019  : Assistancemekanisme
gid://shopify/TaxonomyAttribute/3387  : Assisteret bremseteknologi
gid://shopify/TaxonomyAttribute/7617  : Atemoyasort
gid://shopify/TaxonomyAttribute/7020  : Atletisk skålstørrelse
gid://shopify/TaxonomyAttribute/1737  : Vedhæftningsmetode
gid://shopify/TaxonomyAttribute/844   : Vedhæftningsmuligheder
gid://shopify/TaxonomyAttribute/7021  : Vedhæftningsposition
gid://shopify/TaxonomyAttribute/1267  : Vedhæftningstype
gid://shopify/TaxonomyAttribute/7022  : Lokkemidlets duftprofil
gid://shopify/TaxonomyAttribute/5698  : Tiltrækningsmiddel
gid://shopify/TaxonomyAttribute/1806  : Audio D/A-konverter (Dac)
gid://shopify/TaxonomyAttribute/5454  : Lyd-bypass-type
gid://shopify/TaxonomyAttribute/5592  : Lydkassettebåndtype
gid://shopify/TaxonomyAttribute/8046  : Konfiguration af lydkanal
gid://shopify/TaxonomyAttribute/1822  : Understøttede lyd-codecs/formater
gid://shopify/TaxonomyAttribute/5435  : Lydkomponent-formfaktor
gid://shopify/TaxonomyAttribute/1813  : Lydforbindelse
gid://shopify/TaxonomyAttribute/5545  : Lydkonverteringsretning
gid://shopify/TaxonomyAttribute/5516  : Lyd-dupleks-kapacitet
gid://shopify/TaxonomyAttribute/8973  : Lydindgang
gid://shopify/TaxonomyAttribute/3309  : Lydmixertype
gid://shopify/TaxonomyAttribute/6344  : Lydudgang
gid://shopify/TaxonomyAttribute/1801  : Lydudgangskanal
gid://shopify/TaxonomyAttribute/1802  : Lydudgangsformat
gid://shopify/TaxonomyAttribute/8974  : Lydudgange
gid://shopify/TaxonomyAttribute/6345  : Kilde til lydafspilning
gid://shopify/TaxonomyAttribute/3066  : Funktioner for lydafspiller/optager
gid://shopify/TaxonomyAttribute/1818  : Lydformål
gid://shopify/TaxonomyAttribute/5591  : Understøttelse af lydreturkanal
gid://shopify/TaxonomyAttribute/5607  : Konfiguration af lydsignal
gid://shopify/TaxonomyAttribute/5417  : Lydsystem
gid://shopify/TaxonomyAttribute/1803  : Lydteknologi
gid://shopify/TaxonomyAttribute/3074  : Funktioner for lyd-/scanningskonverter
gid://shopify/TaxonomyAttribute/5604  : Lyd-/videokabelstiktype (ende A)
gid://shopify/TaxonomyAttribute/5605  : Lyd-/videokabelstiktype (ende B)
gid://shopify/TaxonomyAttribute/3370  : Autentificeringsteknologi
gid://shopify/TaxonomyAttribute/2374  : Autenticitet
gid://shopify/TaxonomyAttribute/2016  : Autofokustilstande
gid://shopify/TaxonomyAttribute/2613  : Autoklav steriliseringsmetode
gid://shopify/TaxonomyAttribute/8975  : Autografgodkendelse
gid://shopify/TaxonomyAttribute/8976  : Autografformat
gid://shopify/TaxonomyAttribute/2361  : Autograftype
gid://shopify/TaxonomyAttribute/8047  : Kabineafskærmning til autogyro
gid://shopify/TaxonomyAttribute/2583  : Automatisering
gid://shopify/TaxonomyAttribute/7023  : Tilgængelige skydemåder
gid://shopify/TaxonomyAttribute/7618  : Avocadosort
gid://shopify/TaxonomyAttribute/8977  : Præmietilpasning inkluderet
gid://shopify/TaxonomyAttribute/2526  : Præmiedesign
gid://shopify/TaxonomyAttribute/8978  : Præmiemateriale
gid://shopify/TaxonomyAttribute/8979  : Præmiemonterings-/udstillingstype
gid://shopify/TaxonomyAttribute/2525  : Præmielejlighed
gid://shopify/TaxonomyAttribute/8980  : Materiale til præmieplaketten
gid://shopify/TaxonomyAttribute/8981  : Fastgørelsestype for præmiebånd
gid://shopify/TaxonomyAttribute/8982  : Metode til impressum på præmiebånd
gid://shopify/TaxonomyAttribute/8983  : Materiale til præmiebånd
gid://shopify/TaxonomyAttribute/8984  : Placering af præmiebånd/titel
gid://shopify/TaxonomyAttribute/1426  : Markisekonstruktionstype
gid://shopify/TaxonomyAttribute/2823  : Markisedesign
gid://shopify/TaxonomyAttribute/5699  : Markises betjeningstype
gid://shopify/TaxonomyAttribute/7024  : Akselkompatibilitet
gid://shopify/TaxonomyAttribute/7069  : Type af skydemekanisme i BB-gun
gid://shopify/TaxonomyAttribute/7070  : Luftgeværskaliber
gid://shopify/TaxonomyAttribute/7071  : Type af luftgeværsdele
gid://shopify/TaxonomyAttribute/1836  : Bios-type
gid://shopify/TaxonomyAttribute/1759  : Indpakning til babydrik
gid://shopify/TaxonomyAttribute/1758  : Babymadsmag
gid://shopify/TaxonomyAttribute/1761  : Modermælkserstatningsformat
gid://shopify/TaxonomyAttribute/1717  : Babygaveartikler inkluderet
gid://shopify/TaxonomyAttribute/1720  : Babysundhedsartikler inkluderet
gid://shopify/TaxonomyAttribute/3026  : Funktioner for babyalarm
gid://shopify/TaxonomyAttribute/1762  : Babysnacksmag
gid://shopify/TaxonomyAttribute/1763  : Babysnacktekstur
gid://shopify/TaxonomyAttribute/2997  : Funktioner for tøj til babyer og småbørn
gid://shopify/TaxonomyAttribute/3029  : Sikkerhedsfunktioner for udstyr til babyer og småbørn
gid://shopify/TaxonomyAttribute/3103  : Funktioner for møbler til babyer og småbørn
gid://shopify/TaxonomyAttribute/3318  : Møbelartikler til baby og småbørn medfølger
gid://shopify/TaxonomyAttribute/3254  : Stil for hue til babyer og småbørn
gid://shopify/TaxonomyAttribute/3247  : Stil for trikotage til babyer og småbørn
gid://shopify/TaxonomyAttribute/3107  : Funktioner for sæde til babyer og småbørn
gid://shopify/TaxonomyAttribute/3246  : Nattøj og svøb til babyer og småbørn
gid://shopify/TaxonomyAttribute/8986  : Materiale bagpå og på siderne
gid://shopify/TaxonomyAttribute/8985  : Bagbjælketype
gid://shopify/TaxonomyAttribute/6636  : Bagdesign
gid://shopify/TaxonomyAttribute/6866  : Bagpaneltype
gid://shopify/TaxonomyAttribute/1531  : Bagsidetype
gid://shopify/TaxonomyAttribute/5329  : Bagpladsmateriale
gid://shopify/TaxonomyAttribute/2047  : Baggrundsdesign
gid://shopify/TaxonomyAttribute/2185  : Bagsidemateriale
gid://shopify/TaxonomyAttribute/8987  : Bagsidestype
gid://shopify/TaxonomyAttribute/5617  : Baggrundsbelysningstype
gid://shopify/TaxonomyAttribute/1527  : Ryglænstype
gid://shopify/TaxonomyAttribute/8048  : Back-up-kameras monteringslokation
gid://shopify/TaxonomyAttribute/8049  : Back-up-kameraets videogrænseflade
gid://shopify/TaxonomyAttribute/7025  : Inkluderede badmintonsætdele
gid://shopify/TaxonomyAttribute/7026  : Fastgørelsesmetode for taske
gid://shopify/TaxonomyAttribute/5700  : Poseklemmestil
gid://shopify/TaxonomyAttribute/2958  : Taskelukning
gid://shopify/TaxonomyAttribute/5701  : Taskeudformning
gid://shopify/TaxonomyAttribute/8989  : Sækkens dækmateriale
gid://shopify/TaxonomyAttribute/6637  : Taskeudsmykning
gid://shopify/TaxonomyAttribute/7027  : Fyldemateriale til beholderen
gid://shopify/TaxonomyAttribute/5702  : Poseisolering
gid://shopify/TaxonomyAttribute/8990  : Beholderens materiale
gid://shopify/TaxonomyAttribute/7028  : Polstringsniveau i tasken
gid://shopify/TaxonomyAttribute/6638  : Beskrivelse af beholderens størrelse
gid://shopify/TaxonomyAttribute/2222  : Taskeremtype
gid://shopify/TaxonomyAttribute/3365  : Taskestil
gid://shopify/TaxonomyAttribute/2725  : Tasketype
gid://shopify/TaxonomyAttribute/3006  : Funktioner for taske/etui
gid://shopify/TaxonomyAttribute/2784  : Materiale taske/etui
gid://shopify/TaxonomyAttribute/3258  : Opbevaringsfunktioner for taske/etui
gid://shopify/TaxonomyAttribute/8988  : Bærestil for taske/æske
gid://shopify/TaxonomyAttribute/7619  : Bagelstørrelse
gid://shopify/TaxonomyAttribute/8991  : Sækkepibetilbehør medfølger
gid://shopify/TaxonomyAttribute/8992  : Spilfunktion for sækkepibe
gid://shopify/TaxonomyAttribute/7029  : Lokkemadskompatibilitet
gid://shopify/TaxonomyAttribute/7030  : Agnarter
gid://shopify/TaxonomyAttribute/3100  : Bageartikler medfølger
gid://shopify/TaxonomyAttribute/3360  : Bageformsartikler medfølger
gid://shopify/TaxonomyAttribute/1394  : Bageforme medfølger
gid://shopify/TaxonomyAttribute/2813  : Form af bageform
gid://shopify/TaxonomyAttribute/7620  : Bagechips' form
gid://shopify/TaxonomyAttribute/5703  : Bagepapirets størrelse
gid://shopify/TaxonomyAttribute/1486  : Bageformål
gid://shopify/TaxonomyAttribute/2812  : Bageplademateriale
gid://shopify/TaxonomyAttribute/5704  : Bagepladestil
gid://shopify/TaxonomyAttribute/7031  : Balanceboardstil
gid://shopify/TaxonomyAttribute/7032  : Tilbehør til balancepude medfølger
gid://shopify/TaxonomyAttribute/8050  : Balancetype
gid://shopify/TaxonomyAttribute/6346  : Medfølgende dele i bold- og kop-spillet
gid://shopify/TaxonomyAttribute/7033  : Boldblæremateriale
gid://shopify/TaxonomyAttribute/7034  : Boldcertificering
gid://shopify/TaxonomyAttribute/7035  : Boldkonstruktion
gid://shopify/TaxonomyAttribute/7036  : Kuglekernekonstruktion
gid://shopify/TaxonomyAttribute/7037  : Boldkernetype
gid://shopify/TaxonomyAttribute/7038  : Kugleboringstilstand
gid://shopify/TaxonomyAttribute/7039  : Boldholdertype
gid://shopify/TaxonomyAttribute/2844  : Boldmateriale
gid://shopify/TaxonomyAttribute/6347  : Overfladefinish på bolde til boldbassin
gid://shopify/TaxonomyAttribute/6348  : Sikkerhedsfunktioner i boldbassin
gid://shopify/TaxonomyAttribute/7040  : Tilbehørstype til boldpumpe
gid://shopify/TaxonomyAttribute/7041  : Kuglereturneringsmekanisme
gid://shopify/TaxonomyAttribute/7042  : Boldreturtype
gid://shopify/TaxonomyAttribute/1206  : Boldstørrelse
gid://shopify/TaxonomyAttribute/7043  : Klassificering af boldhastighed
