# Shopify Product Taxonomy - Attributes: 2026-08-unstable
# Format: {GID} : {Attribute name}

gid://shopify/TaxonomyAttribute/5398  : 3Dメガネのフィットデザイン
gid://shopify/TaxonomyAttribute/8959  : アイーダ布のプレカットフォーマット
gid://shopify/TaxonomyAttribute/6338  : エア＆ウォーターロケットキットアイテム付属
gid://shopify/TaxonomyAttribute/6339  : エア＆ウォーターロケットの発射方法
gid://shopify/TaxonomyAttribute/8960  : エアバッグ素材
gid://shopify/TaxonomyAttribute/6862  : エアベッドの内部構造
gid://shopify/TaxonomyAttribute/2708  : 消臭・芳香剤の形態
gid://shopify/TaxonomyAttribute/5689  : エアフライヤー用アクセサリーの種類
gid://shopify/TaxonomyAttribute/4050  : エアフライヤーの機能
gid://shopify/TaxonomyAttribute/6983  : エアホッケーアイテム付属
gid://shopify/TaxonomyAttribute/8013  : 吸気温度センサーの取り付け方法
gid://shopify/TaxonomyAttribute/6984  : 空気統合機能
gid://shopify/TaxonomyAttribute/3182  : エアマットレスの特徴
gid://shopify/TaxonomyAttribute/6985  : エアマットレスバルブタイプ
gid://shopify/TaxonomyAttribute/5690  : 空気清浄機フィルター技術
gid://shopify/TaxonomyAttribute/5691  : 空気清浄機のろ過性能評価
gid://shopify/TaxonomyAttribute/5103  : エアチューブ構成
gid://shopify/TaxonomyAttribute/8961  : 自然乾燥粘土の着色剤
gid://shopify/TaxonomyAttribute/8014  : エアバッグの位置
gid://shopify/TaxonomyAttribute/3329  : エアブラシフィードタイプ
gid://shopify/TaxonomyAttribute/3328  : エアブラシの操作方法
gid://shopify/TaxonomyAttribute/8015  : 航空機広告-B機能
gid://shopify/TaxonomyAttribute/8016  : 航空機機体材料
gid://shopify/TaxonomyAttribute/8017  : 航空機キャビン構造
gid://shopify/TaxonomyAttribute/8018  : 航空機の文書が含まれています
gid://shopify/TaxonomyAttribute/4683  : 航空機エンジンの構成
gid://shopify/TaxonomyAttribute/4682  : 航空機エンジンのタイプ
gid://shopify/TaxonomyAttribute/8019  : 航空機ギャレー構造
gid://shopify/TaxonomyAttribute/8020  : 航空機設置場所
gid://shopify/TaxonomyAttribute/8021  : 航空機インターネット接続
gid://shopify/TaxonomyAttribute/8022  : 航空機着陸ギアタイプ
gid://shopify/TaxonomyAttribute/8023  : 航空機トイレ構造
gid://shopify/TaxonomyAttribute/8024  : 航空機メンテナンスプログラムへの登録
gid://shopify/TaxonomyAttribute/8025  : 航空機の操作証明
gid://shopify/TaxonomyAttribute/8026  : 航空機用防護ギアの認証
gid://shopify/TaxonomyAttribute/8027  : 航空機システムアプリ
gid://shopify/TaxonomyAttribute/5211  : 気流開口部設計
gid://shopify/TaxonomyAttribute/8962  : 空気抵抗レベル
gid://shopify/TaxonomyAttribute/8028  : 飛行船の外皮素材
gid://shopify/TaxonomyAttribute/6986  : エアソフトパーツタイプ
gid://shopify/TaxonomyAttribute/8029  : 耐空性承認基準
gid://shopify/TaxonomyAttribute/6987  : アラーム音量調整機能
gid://shopify/TaxonomyAttribute/2287  : アルバムの種類
gid://shopify/TaxonomyAttribute/5290  : アルコール含有量
gid://shopify/TaxonomyAttribute/8963  : アルコールインク仕上げ効果
gid://shopify/TaxonomyAttribute/5679  : アルコール/溶剤含有量
gid://shopify/TaxonomyAttribute/1362  : アラートの種類
gid://shopify/TaxonomyAttribute/6988  : 位置合わせ補助スタイル
gid://shopify/TaxonomyAttribute/1451  : アレルゲン情報
gid://shopify/TaxonomyAttribute/1577  : アレルゲン試験タイプ
gid://shopify/TaxonomyAttribute/1631  : アレルゲン
gid://shopify/TaxonomyAttribute/3138  : アレルギー対応機能
gid://shopify/TaxonomyAttribute/8030  : オルタネーター冷却タイプ
gid://shopify/TaxonomyAttribute/8031  : オルタネーターの船舶用点火保護定格
gid://shopify/TaxonomyAttribute/8032  : オルタネーターの取り付け構造
gid://shopify/TaxonomyAttribute/8033  : オルタネータープーリータイプ
gid://shopify/TaxonomyAttribute/8034  : オルタネーターレギュレータータイプ
gid://shopify/TaxonomyAttribute/8035  : オルタネーター端末連携タイプ
gid://shopify/TaxonomyAttribute/6989  : 高度への適合性
gid://shopify/TaxonomyAttribute/8036  : 救急車用ストレッチャー取り付けタイプ
gid://shopify/TaxonomyAttribute/6990  : アメリカンフットボール安全認証
gid://shopify/TaxonomyAttribute/5126  : アミノ酸サブタイプ
gid://shopify/TaxonomyAttribute/1800  : アンプクラス
gid://shopify/TaxonomyAttribute/2690  : アンプの構成
gid://shopify/TaxonomyAttribute/8964  : アンプチューブFunctions
gid://shopify/TaxonomyAttribute/1808  : アンプ/ブースターの使用に適した場所
gid://shopify/TaxonomyAttribute/5088  : 切断レベル
gid://shopify/TaxonomyAttribute/8965  : アナログシンセサイザーのCV／ゲート入出力
gid://shopify/TaxonomyAttribute/8966  : アナログシンセサイザーの鍵盤構造
gid://shopify/TaxonomyAttribute/5100  : 測定される分析物
gid://shopify/TaxonomyAttribute/4998  : アナモルフィックスクイーズ比
gid://shopify/TaxonomyAttribute/5043  : 表示される解剖学的詳細
gid://shopify/TaxonomyAttribute/6991  : アンカー構造
gid://shopify/TaxonomyAttribute/1258  : アンカーの種類
gid://shopify/TaxonomyAttribute/2198  : 風速計の用途
gid://shopify/TaxonomyAttribute/1883  : 対応角度
gid://shopify/TaxonomyAttribute/1289  : 釣りのスタイル
gid://shopify/TaxonomyAttribute/5692  : 動物ケアセットの同梱コンポーネント
gid://shopify/TaxonomyAttribute/2550  : 動物用飼料の形態
gid://shopify/TaxonomyAttribute/7612  : 動物の飼育方法
gid://shopify/TaxonomyAttribute/6340  : 動物の種類
gid://shopify/TaxonomyAttribute/6992  : 動物の罠の顎スタイル
gid://shopify/TaxonomyAttribute/6993  : 動物用罠タイプ
gid://shopify/TaxonomyAttribute/1308  : 動物の種類
gid://shopify/TaxonomyAttribute/6994  : アンクルカラースタイル
gid://shopify/TaxonomyAttribute/6995  : 足首ガードの保護レベル
gid://shopify/TaxonomyAttribute/6996  : アンクルストラップ余白タイプ
gid://shopify/TaxonomyAttribute/6997  : アンクルストラップタイプ
gid://shopify/TaxonomyAttribute/5519  : 留守番電話タイプ
gid://shopify/TaxonomyAttribute/6341  : アリの飼育Habitat中型タイプ
gid://shopify/TaxonomyAttribute/6342  : アリ農場キットコンテンツ
gid://shopify/TaxonomyAttribute/6343  : アリの巣照明タイプ
gid://shopify/TaxonomyAttribute/5587  : アンテナRFコネクタータイプ
gid://shopify/TaxonomyAttribute/5511  : アンテナコネクタタイプ
gid://shopify/TaxonomyAttribute/8037  : アンテナフィットタイプ
gid://shopify/TaxonomyAttribute/1828  : アンテナの種類
gid://shopify/TaxonomyAttribute/8038  : 耐Gスーツ用ブラダー素材
gid://shopify/TaxonomyAttribute/8039  : 耐Gスーツコネクタータイプ
gid://shopify/TaxonomyAttribute/8040  : 耐Gスーツインフレ法
gid://shopify/TaxonomyAttribute/8041  : 耐Gスーツのサイズシステム
gid://shopify/TaxonomyAttribute/3340  : アンチアギンスキンケアタイプ
gid://shopify/TaxonomyAttribute/7613  : 固結防止剤
gid://shopify/TaxonomyAttribute/5305  : 制汗剤強度レベル
gid://shopify/TaxonomyAttribute/6998  : 逆回転防止タイプ
gid://shopify/TaxonomyAttribute/8042  : 盗難防止機能
gid://shopify/TaxonomyAttribute/5056  : 検査される抗体クラス
gid://shopify/TaxonomyAttribute/2710  : 不凍液の種類
gid://shopify/TaxonomyAttribute/4680  : アンティークカーのデザイン
gid://shopify/TaxonomyAttribute/8967  : アンティークガンの点火システム
gid://shopify/TaxonomyAttribute/4679  : アンティーク車の時代
gid://shopify/TaxonomyAttribute/7614  : リンゴの種類
gid://shopify/TaxonomyAttribute/5501  : アプライアンスボード機能
gid://shopify/TaxonomyAttribute/5500  : アプライアンスユニット位置
gid://shopify/TaxonomyAttribute/1316  : 適用方法
gid://shopify/TaxonomyAttribute/5149  : 使用方法
gid://shopify/TaxonomyAttribute/5258  : アプリケーター形式
gid://shopify/TaxonomyAttribute/1639  : アプリケーターの素材
gid://shopify/TaxonomyAttribute/3344  : アプリケータタイプ
gid://shopify/TaxonomyAttribute/8968  : アップリケエッジ仕上げ
gid://shopify/TaxonomyAttribute/2314  : アップリケ/パッチワークの形
gid://shopify/TaxonomyAttribute/5693  : エプロンの特徴
gid://shopify/TaxonomyAttribute/5694  : エプロンのスタイル
gid://shopify/TaxonomyAttribute/2980  : アクアリウムフィルターの特徴
gid://shopify/TaxonomyAttribute/1708  : 水槽用照明のスペクトル
gid://shopify/TaxonomyAttribute/3228  : 水族館オーバーフローボックスデザイン
gid://shopify/TaxonomyAttribute/5695  : 水生植物の生育形態
gid://shopify/TaxonomyAttribute/5696  : 東屋トップデザイン
gid://shopify/TaxonomyAttribute/6999  : 樹木タイプ
gid://shopify/TaxonomyAttribute/7000  : アーチェリー用アクセサリータイプ
gid://shopify/TaxonomyAttribute/1302  : アーチェリーアクティビティ
gid://shopify/TaxonomyAttribute/2888  : アーチェリー用具を含む
gid://shopify/TaxonomyAttribute/7001  : アーチェリーピースタイプ
gid://shopify/TaxonomyAttribute/7002  : アーチェリーレンジアクセサリータイプ
gid://shopify/TaxonomyAttribute/1303  : アーチェリースタイル
gid://shopify/TaxonomyAttribute/7003  : アーチェリーの的の機能
gid://shopify/TaxonomyAttribute/4365  : アーチェリーターゲットのタイプ
gid://shopify/TaxonomyAttribute/7004  : アーチェリー用具タイプ
gid://shopify/TaxonomyAttribute/7005  : アームバンドの機能
gid://shopify/TaxonomyAttribute/7006  : アームガードスタイル
gid://shopify/TaxonomyAttribute/8043  : 装甲保護タイプ
gid://shopify/TaxonomyAttribute/6863  : アームレストの調整機能
gid://shopify/TaxonomyAttribute/6864  : アームレストタイプ
gid://shopify/TaxonomyAttribute/2496  : アレンジメント
gid://shopify/TaxonomyAttribute/7008  : 矢コンポーネントタイプ
gid://shopify/TaxonomyAttribute/7009  : 矢封じ込めレベル
gid://shopify/TaxonomyAttribute/2883  : 矢印フレッチング材料
gid://shopify/TaxonomyAttribute/7010  : 矢羽の向き
gid://shopify/TaxonomyAttribute/7011  : 矢のノック溝のサイズ
gid://shopify/TaxonomyAttribute/7012  : 矢のノックタイプ
gid://shopify/TaxonomyAttribute/7013  : 矢RESTスタイル
gid://shopify/TaxonomyAttribute/7014  : 矢軸の互換性
gid://shopify/TaxonomyAttribute/2969  : 矢印/ボルト材料
gid://shopify/TaxonomyAttribute/7007  : 矢／ボルトポイントタイプ
gid://shopify/TaxonomyAttribute/2299  : 絵画用フィキサチーフの塗布方法
gid://shopify/TaxonomyAttribute/8970  : アートインクの耐光性評価
gid://shopify/TaxonomyAttribute/8971  : アートインクの不透明度
gid://shopify/TaxonomyAttribute/3429  : 芸術運動
gid://shopify/TaxonomyAttribute/2386  : アートスタイル
gid://shopify/TaxonomyAttribute/2930  : アート/クラフトツール素材
gid://shopify/TaxonomyAttribute/8969  : アート／Craftツールチップスタイル
gid://shopify/TaxonomyAttribute/7615  : アーティチョークカット
gid://shopify/TaxonomyAttribute/7616  : アーティチョークの種類
gid://shopify/TaxonomyAttribute/8972  : 関節可動機能
gid://shopify/TaxonomyAttribute/7016  : 人工餌の形状
gid://shopify/TaxonomyAttribute/3430  : 美術品の真正性
gid://shopify/TaxonomyAttribute/2796  : アートワークフレーム素材
gid://shopify/TaxonomyAttribute/2666  : 作品の種類
gid://shopify/TaxonomyAttribute/7018  : アセンダー／ディセンダータイプ
gid://shopify/TaxonomyAttribute/5697  : 灰皿タイプ
gid://shopify/TaxonomyAttribute/8044  : 吸気タイプ
gid://shopify/TaxonomyAttribute/12755 : 組み立てが必要
gid://shopify/TaxonomyAttribute/6865  : 組み立て状態
gid://shopify/TaxonomyAttribute/7019  : 支援メカニズム
gid://shopify/TaxonomyAttribute/3387  : アシストブレーキテクノロジー
gid://shopify/TaxonomyAttribute/7617  : アテモヤの栽培品種
gid://shopify/TaxonomyAttribute/7020  : アスレチックカップサイズ
gid://shopify/TaxonomyAttribute/1737  : 取付方法
gid://shopify/TaxonomyAttribute/844   : 取付オプション
gid://shopify/TaxonomyAttribute/7021  : アタッチメント位置
gid://shopify/TaxonomyAttribute/1267  : 取付タイプ
gid://shopify/TaxonomyAttribute/7022  : 誘引物質の香りプロファイル
gid://shopify/TaxonomyAttribute/5698  : 誘引物質の種類
gid://shopify/TaxonomyAttribute/1806  : オーディオD/Aコンバーター （DAC）
gid://shopify/TaxonomyAttribute/5454  : オーディオバイパスタイプ
gid://shopify/TaxonomyAttribute/5592  : オーディオカセットテープタイプ
gid://shopify/TaxonomyAttribute/8046  : オーディオチャネル構造
gid://shopify/TaxonomyAttribute/1822  : 対応オーディオ コーデック/フォーマット
gid://shopify/TaxonomyAttribute/5435  : オーディオコンポーネントフォームファクター
gid://shopify/TaxonomyAttribute/1813  : オーディオ接続
gid://shopify/TaxonomyAttribute/5545  : オーディオ変換方向
gid://shopify/TaxonomyAttribute/5516  : オーディオ二重機能
gid://shopify/TaxonomyAttribute/8973  : オーディオ入力
gid://shopify/TaxonomyAttribute/3309  : オーディオミキサータイプ
gid://shopify/TaxonomyAttribute/6344  : オーディオ出力
gid://shopify/TaxonomyAttribute/1801  : オーディオ出力チャンネル
gid://shopify/TaxonomyAttribute/1802  : オーディオ出力フォーマット
gid://shopify/TaxonomyAttribute/8974  : オーディオ出力
gid://shopify/TaxonomyAttribute/6345  : 音声再生ソース
gid://shopify/TaxonomyAttribute/3066  : オーディオプレーヤー/レコーダーの機能
gid://shopify/TaxonomyAttribute/1818  : オーディオの用途
gid://shopify/TaxonomyAttribute/5591  : オーディオリターンチャンネルサポート
gid://shopify/TaxonomyAttribute/5607  : オーディオ信号構成
gid://shopify/TaxonomyAttribute/5417  : オーディオシステム
gid://shopify/TaxonomyAttribute/1803  : オーディオテクノロジー
gid://shopify/TaxonomyAttribute/3074  : オーディオ/スキャンコンバータの機能
gid://shopify/TaxonomyAttribute/5604  : オーディオ／ビデオケーブルコネクタータイプ（端A）
gid://shopify/TaxonomyAttribute/5605  : オーディオ／ビデオケーブルコネクタータイプ（端B）
gid://shopify/TaxonomyAttribute/3370  : 認証テクノロジー
gid://shopify/TaxonomyAttribute/2374  : 信憑性
gid://shopify/TaxonomyAttribute/2016  : オートフォーカスモード
gid://shopify/TaxonomyAttribute/2613  : オートクレーブ滅菌法
gid://shopify/TaxonomyAttribute/8975  : サインの認証
gid://shopify/TaxonomyAttribute/8976  : サイン形状
gid://shopify/TaxonomyAttribute/2361  : サインタイプ
gid://shopify/TaxonomyAttribute/8047  : オートジャイロのコックピット囲い
gid://shopify/TaxonomyAttribute/2583  : オートメーション
gid://shopify/TaxonomyAttribute/7023  : 使用可能な発射Mode
gid://shopify/TaxonomyAttribute/7618  : アボカドの種類
gid://shopify/TaxonomyAttribute/8977  : 賞品のカスタマイズ付き
gid://shopify/TaxonomyAttribute/2526  : 表彰用品の種類
gid://shopify/TaxonomyAttribute/8978  : 賞品資料
gid://shopify/TaxonomyAttribute/8979  : 賞品の取り付け／表示タイプ
gid://shopify/TaxonomyAttribute/2525  : 表彰場面
gid://shopify/TaxonomyAttribute/8980  : 賞品銘板のプレート素材
gid://shopify/TaxonomyAttribute/8981  : 賞品リボンの取り付けタイプ
gid://shopify/TaxonomyAttribute/8982  : 賞品リボンインプリント方法
gid://shopify/TaxonomyAttribute/8983  : 賞品リボン素材
gid://shopify/TaxonomyAttribute/8984  : 賞品リボンの配置／タイトル
gid://shopify/TaxonomyAttribute/1426  : オーニング構造の種類
gid://shopify/TaxonomyAttribute/2823  : 日除けのデザイン
gid://shopify/TaxonomyAttribute/5699  : オーニング操作タイプ
gid://shopify/TaxonomyAttribute/7024  : 軸の互換性
gid://shopify/TaxonomyAttribute/7069  : BBガンアクションタイプ
gid://shopify/TaxonomyAttribute/7070  : BBガン口径
gid://shopify/TaxonomyAttribute/7071  : BBガン部品タイプ
gid://shopify/TaxonomyAttribute/1836  : BIOSの種類
gid://shopify/TaxonomyAttribute/1759  : ベビー飲料のパッケージ
gid://shopify/TaxonomyAttribute/1758  : ベビーフードの味
gid://shopify/TaxonomyAttribute/1761  : 粉ミルクの大きさ
gid://shopify/TaxonomyAttribute/1717  : ベビーギフトのアイテム (詳細)
gid://shopify/TaxonomyAttribute/1720  : ベビー用健康アイテム (詳細)
gid://shopify/TaxonomyAttribute/3026  : ベビーモニターの機能
gid://shopify/TaxonomyAttribute/1762  : ベビー用スナックの味
gid://shopify/TaxonomyAttribute/1763  : ベビー用スナックの食感
gid://shopify/TaxonomyAttribute/2997  : ベビー/幼児用衣類の特徴
gid://shopify/TaxonomyAttribute/3029  : ベビー/幼児用機器の安全機能
gid://shopify/TaxonomyAttribute/3103  : ベビー/幼児用家具
gid://shopify/TaxonomyAttribute/3318  : ベビー/幼児用家具付き
gid://shopify/TaxonomyAttribute/3254  : ベビー/幼児用帽子スタイル
gid://shopify/TaxonomyAttribute/3247  : ベビー/幼児用靴下スタイル
gid://shopify/TaxonomyAttribute/3107  : ベビー/幼児用シートの機能
gid://shopify/TaxonomyAttribute/3246  : ベビー/幼児用スリープウェアスタイル
gid://shopify/TaxonomyAttribute/8986  : 背面と側面の素材
gid://shopify/TaxonomyAttribute/8985  : バックビームタイプ
gid://shopify/TaxonomyAttribute/6636  : 背面デザイン
gid://shopify/TaxonomyAttribute/6866  : 背面パネルタイプ
gid://shopify/TaxonomyAttribute/1531  : バックタイプ
gid://shopify/TaxonomyAttribute/5329  : バックボード素材
gid://shopify/TaxonomyAttribute/2047  : 背景の種類
gid://shopify/TaxonomyAttribute/2185  : 裏当て材
gid://shopify/TaxonomyAttribute/8987  : バックタイプ
gid://shopify/TaxonomyAttribute/5617  : バックライトタイプ
gid://shopify/TaxonomyAttribute/1527  : 背もたれタイプ
gid://shopify/TaxonomyAttribute/8048  : バックカメラ取り付け位置
gid://shopify/TaxonomyAttribute/8049  : バックアップカメラのビデオインターフェース
gid://shopify/TaxonomyAttribute/7025  : バドミントンセットコンポーネント付き
gid://shopify/TaxonomyAttribute/7026  : バッグアタッチメント方法
gid://shopify/TaxonomyAttribute/5700  : バッグクリップスタイル
gid://shopify/TaxonomyAttribute/2958  : バッグの閉め方
gid://shopify/TaxonomyAttribute/5701  : バッグ構成
gid://shopify/TaxonomyAttribute/8989  : バッグカバー素材
gid://shopify/TaxonomyAttribute/6637  : バッグの装飾
gid://shopify/TaxonomyAttribute/7027  : バッグ充填媒体
gid://shopify/TaxonomyAttribute/5702  : バッグの保冷・保温機能
gid://shopify/TaxonomyAttribute/8990  : バッグの素材
gid://shopify/TaxonomyAttribute/7028  : バッグ余白レベル
gid://shopify/TaxonomyAttribute/6638  : バッグのサイズ表記
gid://shopify/TaxonomyAttribute/2222  : バッグのストラップの種類
gid://shopify/TaxonomyAttribute/3365  : バッグスタイル
gid://shopify/TaxonomyAttribute/2725  : バッグタイプ
gid://shopify/TaxonomyAttribute/3006  : バッグ/ケースの特徴
gid://shopify/TaxonomyAttribute/2784  : バッグ/ケース素材
gid://shopify/TaxonomyAttribute/3258  : バッグ/ケース収納機能
gid://shopify/TaxonomyAttribute/8988  : バッグ／ケース持ち運びスタイル
gid://shopify/TaxonomyAttribute/7619  : ベーグルサイズ
gid://shopify/TaxonomyAttribute/8991  : バグパイプアクセサリー付き
gid://shopify/TaxonomyAttribute/8992  : バグパイプ演奏Mode
gid://shopify/TaxonomyAttribute/7029  : ベイト適合性
gid://shopify/TaxonomyAttribute/7030  : 餌の種類
gid://shopify/TaxonomyAttribute/3100  : ベーカリーアイテム付き
gid://shopify/TaxonomyAttribute/3360  : 耐熱用品が含まれています
gid://shopify/TaxonomyAttribute/1394  : ベーキング用具の内容
gid://shopify/TaxonomyAttribute/2813  : 耐熱材の形状
gid://shopify/TaxonomyAttribute/7620  : ベーキングチップ形状
gid://shopify/TaxonomyAttribute/5703  : ベーキングライナーのサイズ
gid://shopify/TaxonomyAttribute/1486  : 製菓用途
gid://shopify/TaxonomyAttribute/2812  : ベーキングシート材質
gid://shopify/TaxonomyAttribute/5704  : ベーキングシートのスタイル
gid://shopify/TaxonomyAttribute/7031  : バランスボードスタイル
gid://shopify/TaxonomyAttribute/7032  : バランスクッションアクセサリー付き
gid://shopify/TaxonomyAttribute/8050  : バランスタイプ
gid://shopify/TaxonomyAttribute/6346  : ボール＆カップゲームに含まれるパーツ
gid://shopify/TaxonomyAttribute/7033  : ボールブラダー素材
gid://shopify/TaxonomyAttribute/7034  : ボール認証
gid://shopify/TaxonomyAttribute/7035  : ボール構造
gid://shopify/TaxonomyAttribute/7036  : ボールコア構造
gid://shopify/TaxonomyAttribute/7037  : ボールコアタイプ
gid://shopify/TaxonomyAttribute/7038  : ボールドリル状態
gid://shopify/TaxonomyAttribute/7039  : ボールホルダータイプ
gid://shopify/TaxonomyAttribute/2844  : ボール材質
gid://shopify/TaxonomyAttribute/6347  : ボールプールのボール表面仕上げ
gid://shopify/TaxonomyAttribute/6348  : ボールプールの安全機能
gid://shopify/TaxonomyAttribute/7040  : ボールポンプ用アクセサリータイプ
gid://shopify/TaxonomyAttribute/7041  : ボールリターンメカニズム
gid://shopify/TaxonomyAttribute/7042  : ボールリターンタイプ
gid://shopify/TaxonomyAttribute/1206  : ボールサイズ
gid://shopify/TaxonomyAttribute/7043  : ボールスピード評価
gid://shopify/TaxonomyAttribute/7044  : ボール表面テクスチャ
gid://shopify/TaxonomyAttribute/7045  : ボール表面タイプ
gid://shopify/TaxonomyAttribute/6283  : バラスト材
gid://shopify/TaxonomyAttribute/8051  : バロネット構造
gid://shopify/TaxonomyAttribute/8993  : バルーン閉鎖／バルブタイプ
gid://shopify/TaxonomyAttribute/8994  : バルーンキット仕上げ
