# Shopify Product Taxonomy - Categories: 2025-09
# Format: {GID} : {Ancestor name} > ... > {Category name}

gid://shopify/TaxonomyCategory/ap                : Potreby pre zvieratá a domácich miláčikov
gid://shopify/TaxonomyCategory/ap-2-2-2-6        : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre mačky > Nábytok pre mačky > Postele a bidlá pre mačky
gid://shopify/TaxonomyCategory/ap-2-2-2-7        : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre mačky > Nábytok pre mačky > Vonkajšie domčeky pre mačky
gid://shopify/TaxonomyCategory/ap-2-2-3          : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre mačky > Príslušenstvo k mačaciemu nábytku
gid://shopify/TaxonomyCategory/ap-2-2-4          : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre mačky > Podstielka pre mačky
gid://shopify/TaxonomyCategory/ap-2-2-4-1        : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre mačky > Podstielka pre mačky > Sáčky do mačacej toalety
gid://shopify/TaxonomyCategory/ap-2-2-4-2        : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre mačky > Podstielka pre mačky > Podložky do mačacej toalety
gid://shopify/TaxonomyCategory/ap-2-2-4-3        : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre mačky > Podstielka pre mačky > Mačacie toalety
gid://shopify/TaxonomyCategory/ap-2-2-5          : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre mačky > Hračky pre mačky
gid://shopify/TaxonomyCategory/ap-2-2-5-1        : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre mačky > Hračky pre mačky > Loptičky a hračky na lovenie
gid://shopify/TaxonomyCategory/ap-2-2-5-2        : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre mačky > Hračky pre mačky > Hračky s obsahom kocúrnika obyčajného
gid://shopify/TaxonomyCategory/ap-2-2-5-3        : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre mačky > Hračky pre mačky > Žuvacie hračky
gid://shopify/TaxonomyCategory/ap-2-2-5-4        : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre mačky > Hračky pre mačky > Perie a hračky pútajúce pozornosť
gid://shopify/TaxonomyCategory/ap-2-2-5-5        : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre mačky > Hračky pre mačky > Interaktívne hračky
gid://shopify/TaxonomyCategory/ap-2-2-5-6        : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre mačky > Hračky pre mačky > Laserové hračky
gid://shopify/TaxonomyCategory/ap-2-2-5-7        : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre mačky > Hračky pre mačky > Puzzle a hračky na dávkovanie maškŕt
gid://shopify/TaxonomyCategory/ap-2-2-5-9        : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre mačky > Hračky pre mačky > Pískajúce hračky
gid://shopify/TaxonomyCategory/ap-2-2-5-10       : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre mačky > Hračky pre mačky > Vypchaté hračky a plyšáci
gid://shopify/TaxonomyCategory/ap-2-2-5-11       : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre mačky > Hračky pre mačky > Tunely
gid://shopify/TaxonomyCategory/ap-2-2-5-12       : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre mačky > Hračky pre mačky > Paličky
gid://shopify/TaxonomyCategory/ap-2-2-6          : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre mačky > Mačacie maškrty
gid://shopify/TaxonomyCategory/ap-2-3            : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre psa
gid://shopify/TaxonomyCategory/ap-2-3-1          : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre psa > Plienky a podložky pre psov
gid://shopify/TaxonomyCategory/ap-2-3-2          : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre psa > Plienky pre psov
gid://shopify/TaxonomyCategory/ap-2-3-3          : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre psa > Krmivo pre psov
gid://shopify/TaxonomyCategory/ap-2-3-3-1        : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre psa > Krmivo pre psov > Krmivo pre psov bez predpisu
gid://shopify/TaxonomyCategory/ap-2-3-3-2        : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre psa > Krmivo pre psov > Krmivo pre psov na predpis
gid://shopify/TaxonomyCategory/ap-2-3-4          : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre psa > Búdy pre psov
gid://shopify/TaxonomyCategory/ap-2-3-5          : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre psa > Príslušenstvo pre psie búdy a voliéry
gid://shopify/TaxonomyCategory/ap-2-3-6          : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre psa > Psie búdy a voliéry
gid://shopify/TaxonomyCategory/ap-2-3-6-1        : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre psa > Psie búdy a voliéry > Psie ohrady
gid://shopify/TaxonomyCategory/ap-2-3-6-2        : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre psa > Psie búdy a voliéry > Psie voliéry
gid://shopify/TaxonomyCategory/ap-2-3-6-3        : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre psa > Psie búdy a voliéry > Interiérové psie búdy
gid://shopify/TaxonomyCategory/ap-2-3-6-4        : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre psa > Psie búdy a voliéry > Exteriérové psie búdy
gid://shopify/TaxonomyCategory/ap-2-3-6-5        : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre psa > Psie búdy a voliéry > Prenosné psie búdy
gid://shopify/TaxonomyCategory/ap-2-3-7          : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre psa > Hračky pre psov
gid://shopify/TaxonomyCategory/ap-2-3-8          : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre psa > Bežecké pásy pre psov
gid://shopify/TaxonomyCategory/ap-2-3-9          : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre psa > Psie maškrty
gid://shopify/TaxonomyCategory/ap-2-4            : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre rybička a akváriá
gid://shopify/TaxonomyCategory/ap-2-4-1          : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre rybička a akváriá > Hadičky do akvárií a jazierok
gid://shopify/TaxonomyCategory/ap-2-4-1-1        : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre rybička a akváriá > Hadičky do akvárií a jazierok > Vzduchové hadičky
gid://shopify/TaxonomyCategory/ap-2-4-1-2        : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre rybička a akváriá > Hadičky do akvárií a jazierok > Špirálové hadičky
gid://shopify/TaxonomyCategory/ap-2-4-1-3        : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre rybička a akváriá > Hadičky do akvárií a jazierok > Flexibilné hadičky
gid://shopify/TaxonomyCategory/ap-2-4-1-4        : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre rybička a akváriá > Hadičky do akvárií a jazierok > Pevné hadičky
gid://shopify/TaxonomyCategory/ap-2-4-1-5        : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre rybička a akváriá > Hadičky do akvárií a jazierok > Štandardné hadičky
gid://shopify/TaxonomyCategory/ap-2-4-2          : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre rybička a akváriá > Akvarijné vzduchovacie kamene a difúzory
gid://shopify/TaxonomyCategory/ap-2-4-2-1        : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre rybička a akváriá > Akvarijné vzduchovacie kamene a difúzory > Vzduchové difúzory
gid://shopify/TaxonomyCategory/ap-2-4-2-2        : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre rybička a akváriá > Akvarijné vzduchovacie kamene a difúzory > Platňové vzduchovacie kamene
gid://shopify/TaxonomyCategory/ap-2-4-2-3        : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre rybička a akváriá > Akvarijné vzduchovacie kamene a difúzory > Štandardné vzduchovacie kamene
gid://shopify/TaxonomyCategory/ap-2-4-2-4        : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre rybička a akváriá > Akvarijné vzduchovacie kamene a difúzory > Hadičkové vzduchovacie kamene
gid://shopify/TaxonomyCategory/ap-2-4-2-5        : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre rybička a akváriá > Akvarijné vzduchovacie kamene a difúzory > Nástenné vzduchovacie kamene
gid://shopify/TaxonomyCategory/ap-2-4-3          : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre rybička a akváriá > Potreby na čistenie akvárií
gid://shopify/TaxonomyCategory/ap-2-4-3-1        : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre rybička a akváriá > Potreby na čistenie akvárií > Škrabky na riasy
gid://shopify/TaxonomyCategory/ap-2-4-3-2        : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre rybička a akváriá > Potreby na čistenie akvárií > Ochranné rukavice do akvárií
gid://shopify/TaxonomyCategory/ap-2-4-3-3        : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre rybička a akváriá > Potreby na čistenie akvárií > Čistiace kefy
gid://shopify/TaxonomyCategory/ap-2-4-3-4        : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre rybička a akváriá > Potreby na čistenie akvárií > Čistiace roztoky
gid://shopify/TaxonomyCategory/ap-2-4-3-5        : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre rybička a akváriá > Potreby na čistenie akvárií > Vysávače štrku
gid://shopify/TaxonomyCategory/ap-2-4-3-6        : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre rybička a akváriá > Potreby na čistenie akvárií > Čistiace hubky
gid://shopify/TaxonomyCategory/ap-2-4-3-7        : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre rybička a akváriá > Potreby na čistenie akvárií > Sifóny
gid://shopify/TaxonomyCategory/ap-2-4-3-8        : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre rybička a akváriá > Potreby na čistenie akvárií > Prostriedky na čistenie nádrže
gid://shopify/TaxonomyCategory/ap-2-4-4          : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre rybička a akváriá > Dekorácie v akváriu
gid://shopify/TaxonomyCategory/ap-2-4-4-1        : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre rybička a akváriá > Dekorácie v akváriu > Pozadie akvária
gid://shopify/TaxonomyCategory/ap-2-4-4-2        : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre rybička a akváriá > Dekorácie v akváriu > Akváriové jaskyne a úkryty
gid://shopify/TaxonomyCategory/ap-2-4-4-3        : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre rybička a akváriá > Dekorácie v akváriu > Skaly do akvária
gid://shopify/TaxonomyCategory/ap-2-4-4-4        : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre rybička a akváriá > Dekorácie v akváriu > Akvariové substráty
gid://shopify/TaxonomyCategory/ap-2-4-4-5        : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre rybička a akváriá > Dekorácie v akváriu > Umelé rastliny
gid://shopify/TaxonomyCategory/ap-2-4-4-6        : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre rybička a akváriá > Dekorácie v akváriu > Bublinkové dekorácie
gid://shopify/TaxonomyCategory/ap-2-4-4-7        : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre rybička a akváriá > Dekorácie v akváriu > Naplavené drevo
gid://shopify/TaxonomyCategory/ap-2-4-4-8        : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre rybička a akváriá > Dekorácie v akváriu > Ozdoby
gid://shopify/TaxonomyCategory/ap-2-4-4-9        : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre rybička a akváriá > Dekorácie v akváriu > Vraky lodí
gid://shopify/TaxonomyCategory/ap-2-4-5          : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre rybička a akváriá > Filtre do akvária
gid://shopify/TaxonomyCategory/ap-2-4-5-1        : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre rybička a akváriá > Filtre do akvária > Vonkajšie a kanistrové filtre do akvária
gid://shopify/TaxonomyCategory/ap-2-4-5-2        : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre rybička a akváriá > Filtre do akvária > Závesné filtre do akvária
gid://shopify/TaxonomyCategory/ap-2-4-5-3        : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre rybička a akváriá > Filtre do akvária > Vnútorné filtre do akvária
gid://shopify/TaxonomyCategory/ap-2-4-5-4        : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre rybička a akváriá > Filtre do akvária > Špongiovité filtre do akvária
gid://shopify/TaxonomyCategory/ap-2-4-5-5        : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre rybička a akváriá > Filtre do akvária > Podštrkové filtre do akvária
gid://shopify/TaxonomyCategory/ap-2-4-6          : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre rybička a akváriá > Sieťky na akváriové ryby
gid://shopify/TaxonomyCategory/ap-2-4-6-1        : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre rybička a akváriá > Sieťky na akváriové ryby > Podberákové sieťky
gid://shopify/TaxonomyCategory/ap-2-4-6-2        : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre rybička a akváriá > Sieťky na akváriové ryby > Sieťky na krevety
gid://shopify/TaxonomyCategory/ap-2-4-6-3        : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre rybička a akváriá > Sieťky na akváriové ryby > Ponožkové sieťky
gid://shopify/TaxonomyCategory/ap-2-4-6-4        : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre rybička a akváriá > Sieťky na akváriové ryby > Štandardné sieťky
gid://shopify/TaxonomyCategory/ap-2-4-7          : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre rybička a akváriá > Akváriový štrk a substráty
gid://shopify/TaxonomyCategory/ap-2-4-7-1        : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre rybička a akváriá > Akváriový štrk a substráty > Akváriová pôda
gid://shopify/TaxonomyCategory/ap-2-4-7-2        : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre rybička a akváriá > Akváriový štrk a substráty > Aragonitový piesok
gid://shopify/TaxonomyCategory/ap-2-4-7-3        : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre rybička a akváriá > Akváriový štrk a substráty > Drvené koraly
gid://shopify/TaxonomyCategory/ap-2-4-7-4        : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre rybička a akváriá > Akváriový štrk a substráty > Sklenené kamene
gid://shopify/TaxonomyCategory/ap-2-4-7-5        : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre rybička a akváriá > Akváriový štrk a substráty > Štrk
gid://shopify/TaxonomyCategory/ap-2-4-7-6        : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre rybička a akváriá > Akváriový štrk a substráty > Kamienky
gid://shopify/TaxonomyCategory/ap-2-4-7-7        : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre rybička a akváriá > Akváriový štrk a substráty > Piesok
gid://shopify/TaxonomyCategory/ap-2-4-8          : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre rybička a akváriá > Osvetlenie akvária
gid://shopify/TaxonomyCategory/ap-2-4-9          : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre rybička a akváriá > Akváriové odpeňovače
gid://shopify/TaxonomyCategory/ap-2-4-10         : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre rybička a akváriá > Stojany na akvária
gid://shopify/TaxonomyCategory/ap-2-4-10-1       : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre rybička a akváriá > Stojany na akvária > Rámové boxové stojany
gid://shopify/TaxonomyCategory/ap-2-4-10-2       : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre rybička a akváriá > Stojany na akvária > Skrinkové stojany
gid://shopify/TaxonomyCategory/ap-2-4-10-3       : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre rybička a akváriá > Stojany na akvária > Stojany na dve nádrže
gid://shopify/TaxonomyCategory/ap-2-4-10-4       : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre rybička a akváriá > Stojany na akvária > Stojany z tepaného železa
gid://shopify/TaxonomyCategory/ap-2-4-11         : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre rybička a akváriá > Ovládače teploty v akváriu
gid://shopify/TaxonomyCategory/ap-2-4-11-1       : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre rybička a akváriá > Ovládače teploty v akváriu > Analógové ovládače teploty
gid://shopify/TaxonomyCategory/ap-2-4-11-2       : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre rybička a akváriá > Ovládače teploty v akváriu > Digitálne ovládače teploty
gid://shopify/TaxonomyCategory/ap-2-4-12         : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre rybička a akváriá > Postupy ošetrenia vody v akváriu
gid://shopify/TaxonomyCategory/ap-2-4-12-1       : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre rybička a akváriá > Postupy ošetrenia vody v akváriu > Kontrola rias
gid://shopify/TaxonomyCategory/ap-2-4-12-2       : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre rybička a akváriá > Postupy ošetrenia vody v akváriu > Odstraňovače amoniaku
gid://shopify/TaxonomyCategory/ap-2-4-12-3       : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre rybička a akváriá > Postupy ošetrenia vody v akváriu > Postupy proti plesniam a baktériám
gid://shopify/TaxonomyCategory/ap-2-4-12-4       : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre rybička a akváriá > Postupy ošetrenia vody v akváriu > Odstraňovače dusičnanov
gid://shopify/TaxonomyCategory/ap-2-4-12-5       : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre rybička a akváriá > Postupy ošetrenia vody v akváriu > Regulátory PH
gid://shopify/TaxonomyCategory/ap-2-4-12-6       : Potreby pre zvieratá a domácich miláčikov > Potreby pre domácich miláčikov > Potreby pre rybička a akváriá > Postupy ošetrenia vody v akváriu > Detoxikačné prípravky na vodu z vodovodu
