# Shopify Product Taxonomy - Categories: 2025-04
# Format: {GID} : {Ancestor name} > ... > {Category name}

gid://shopify/TaxonomyCategory/ap                : Állatok és kisállatkellékek
gid://shopify/TaxonomyCategory/ap-2-1-5          : Állatok és kisállatkellékek > Háziállat-kellékek > Madárkellékek > Madárlétrák és ülőrudak
gid://shopify/TaxonomyCategory/ap-2-1-5-1        : Állatok és kisállatkellékek > Háziállat-kellékek > Madárkellékek > Madárlétrák és ülőrudak > Létrák és lépcsők
gid://shopify/TaxonomyCategory/ap-2-1-5-2        : Állatok és kisállatkellékek > Háziállat-kellékek > Madárkellékek > Madárlétrák és ülőrudak > Hinták és ülőrudak
gid://shopify/TaxonomyCategory/ap-2-1-6          : Állatok és kisállatkellékek > Háziállat-kellékek > Madárkellékek > Madárjátékok
gid://shopify/TaxonomyCategory/ap-2-1-6-1        : Állatok és kisállatkellékek > Háziállat-kellékek > Madárkellékek > Madárjátékok > Ladba- és eldobójátékok
gid://shopify/TaxonomyCategory/ap-2-1-6-2        : Állatok és kisállatkellékek > Háziállat-kellékek > Madárkellékek > Madárjátékok > Harangok és gyöngyök
gid://shopify/TaxonomyCategory/ap-2-1-6-3        : Állatok és kisállatkellékek > Háziállat-kellékek > Madárkellékek > Madárjátékok > Rágójátékok
gid://shopify/TaxonomyCategory/ap-2-1-6-4        : Állatok és kisállatkellékek > Háziállat-kellékek > Madárkellékek > Madárjátékok > Táplálékszerző játékok
gid://shopify/TaxonomyCategory/ap-2-1-6-5        : Állatok és kisállatkellékek > Háziállat-kellékek > Madárkellékek > Madárjátékok > Tükrök
gid://shopify/TaxonomyCategory/ap-2-1-6-7        : Állatok és kisállatkellékek > Háziállat-kellékek > Madárkellékek > Madárjátékok > Kirakósok és interaktív játékok
gid://shopify/TaxonomyCategory/ap-2-1-6-8        : Állatok és kisállatkellékek > Háziállat-kellékek > Madárkellékek > Madárjátékok > Kötelek és csomók
gid://shopify/TaxonomyCategory/ap-2-1-6-9        : Állatok és kisállatkellékek > Háziállat-kellékek > Madárkellékek > Madárjátékok > Alagutak és csövek
gid://shopify/TaxonomyCategory/ap-2-1-7          : Állatok és kisállatkellékek > Háziállat-kellékek > Madárkellékek > Madárcsemegék
gid://shopify/TaxonomyCategory/ap-2-2            : Állatok és kisállatkellékek > Háziállat-kellékek > Macskakellékek
gid://shopify/TaxonomyCategory/ap-2-2-1          : Állatok és kisállatkellékek > Háziállat-kellékek > Macskakellékek > Macskaeledel
gid://shopify/TaxonomyCategory/ap-2-2-1-1        : Állatok és kisállatkellékek > Háziállat-kellékek > Macskakellékek > Macskaeledel > Vény nélkül kapható macskaeledel
gid://shopify/TaxonomyCategory/ap-2-2-1-2        : Állatok és kisállatkellékek > Háziállat-kellékek > Macskakellékek > Macskaeledel > Vényköteles macskaeledel
gid://shopify/TaxonomyCategory/ap-2-2-2          : Állatok és kisállatkellékek > Háziállat-kellékek > Macskakellékek > Macskabútorok
gid://shopify/TaxonomyCategory/ap-2-2-2-1        : Állatok és kisállatkellékek > Háziállat-kellékek > Macskakellékek > Macskabútorok > Macskaházak és -búvóhelyek
gid://shopify/TaxonomyCategory/ap-2-2-2-2        : Állatok és kisállatkellékek > Háziállat-kellékek > Macskakellékek > Macskabútorok > Macskaülőkék és -polcok
gid://shopify/TaxonomyCategory/ap-2-2-2-3        : Állatok és kisállatkellékek > Háziállat-kellékek > Macskakellékek > Macskabútorok > Macskakaparók és kaparóoszlopok
gid://shopify/TaxonomyCategory/ap-2-2-2-4        : Állatok és kisállatkellékek > Háziállat-kellékek > Macskakellékek > Macskabútorok > Macskalépcsők és -rámpák
gid://shopify/TaxonomyCategory/ap-2-2-2-5        : Állatok és kisállatkellékek > Háziállat-kellékek > Macskakellékek > Macskabútorok > Macskafák és -tornyok
gid://shopify/TaxonomyCategory/ap-2-2-2-6        : Állatok és kisállatkellékek > Háziállat-kellékek > Macskakellékek > Macskabútorok > Macska-ablakágyak és -ülőkék
gid://shopify/TaxonomyCategory/ap-2-2-2-7        : Állatok és kisállatkellékek > Háziállat-kellékek > Macskakellékek > Macskabútorok > Kültéri macskaházak
gid://shopify/TaxonomyCategory/ap-2-2-3          : Állatok és kisállatkellékek > Háziállat-kellékek > Macskakellékek > Macskabútor-kiegészítők
gid://shopify/TaxonomyCategory/ap-2-2-4          : Állatok és kisállatkellékek > Háziállat-kellékek > Macskakellékek > Macskaalom
gid://shopify/TaxonomyCategory/ap-2-2-4-1        : Állatok és kisállatkellékek > Háziállat-kellékek > Macskakellékek > Macskaalom > Macskaalomdoboz-bélések
gid://shopify/TaxonomyCategory/ap-2-2-4-2        : Állatok és kisállatkellékek > Háziállat-kellékek > Macskakellékek > Macskaalom > Macskaalomdoboz-szőnyegek
gid://shopify/TaxonomyCategory/ap-2-2-4-3        : Állatok és kisállatkellékek > Háziállat-kellékek > Macskakellékek > Macskaalom > Macskaalomdobozok
gid://shopify/TaxonomyCategory/ap-2-2-5          : Állatok és kisállatkellékek > Háziállat-kellékek > Macskakellékek > Macskajátékok
gid://shopify/TaxonomyCategory/ap-2-2-5-1        : Állatok és kisállatkellékek > Háziállat-kellékek > Macskakellékek > Macskajátékok > Labdák és kergetők
gid://shopify/TaxonomyCategory/ap-2-2-5-2        : Állatok és kisállatkellékek > Háziállat-kellékek > Macskakellékek > Macskajátékok > Macskamentás játékok
gid://shopify/TaxonomyCategory/ap-2-2-5-3        : Állatok és kisállatkellékek > Háziállat-kellékek > Macskakellékek > Macskajátékok > Rágójátékok
gid://shopify/TaxonomyCategory/ap-2-2-5-4        : Állatok és kisállatkellékek > Háziállat-kellékek > Macskakellékek > Macskajátékok > Tollak és incselkedők
gid://shopify/TaxonomyCategory/ap-2-2-5-5        : Állatok és kisállatkellékek > Háziállat-kellékek > Macskakellékek > Macskajátékok > Interaktív játékok
gid://shopify/TaxonomyCategory/ap-2-2-5-6        : Állatok és kisállatkellékek > Háziállat-kellékek > Macskakellékek > Macskajátékok > Lézeres játékok
gid://shopify/TaxonomyCategory/ap-2-2-5-7        : Állatok és kisállatkellékek > Háziállat-kellékek > Macskakellékek > Macskajátékok > Rejtvények és csemegeadagoló játékok
gid://shopify/TaxonomyCategory/ap-2-2-5-9        : Állatok és kisállatkellékek > Háziállat-kellékek > Macskakellékek > Macskajátékok > Sípoló játékok
gid://shopify/TaxonomyCategory/ap-2-2-5-10       : Állatok és kisállatkellékek > Háziállat-kellékek > Macskakellékek > Macskajátékok > Töltött játékok és plüssök
gid://shopify/TaxonomyCategory/ap-2-2-5-11       : Állatok és kisállatkellékek > Háziállat-kellékek > Macskakellékek > Macskajátékok > Alagutak
gid://shopify/TaxonomyCategory/ap-2-2-5-12       : Állatok és kisállatkellékek > Háziállat-kellékek > Macskakellékek > Macskajátékok > Pálcák
gid://shopify/TaxonomyCategory/ap-2-2-6          : Állatok és kisállatkellékek > Háziállat-kellékek > Macskakellékek > Macskacsemegék
gid://shopify/TaxonomyCategory/ap-2-3            : Állatok és kisállatkellékek > Háziállat-kellékek > Kutyakellékek
gid://shopify/TaxonomyCategory/ap-2-3-1          : Állatok és kisállatkellékek > Háziállat-kellékek > Kutyakellékek > Kutyapelenka-betétek
gid://shopify/TaxonomyCategory/ap-2-3-2          : Állatok és kisállatkellékek > Háziállat-kellékek > Kutyakellékek > Kutyapelenkák
gid://shopify/TaxonomyCategory/ap-2-3-3          : Állatok és kisállatkellékek > Háziállat-kellékek > Kutyakellékek > Kutyaeledel
gid://shopify/TaxonomyCategory/ap-2-3-3-1        : Állatok és kisállatkellékek > Háziállat-kellékek > Kutyakellékek > Kutyaeledel > Vény nélkül kapható kutyaeledel
gid://shopify/TaxonomyCategory/ap-2-3-3-2        : Állatok és kisállatkellékek > Háziállat-kellékek > Kutyakellékek > Kutyaeledel > Vényköteles kutyaeledel
gid://shopify/TaxonomyCategory/ap-2-3-4          : Állatok és kisállatkellékek > Háziállat-kellékek > Kutyakellékek > Kutyaházak
gid://shopify/TaxonomyCategory/ap-2-3-5          : Állatok és kisállatkellékek > Háziállat-kellékek > Kutyakellékek > Kutyakennel- és futtató kiegészítők
gid://shopify/TaxonomyCategory/ap-2-3-6          : Állatok és kisállatkellékek > Háziállat-kellékek > Kutyakellékek > Kutyakennelek és -futtató
gid://shopify/TaxonomyCategory/ap-2-3-6-1        : Állatok és kisállatkellékek > Háziállat-kellékek > Kutyakellékek > Kutyakennelek és -futtató > Kutyakennel-kerítések
gid://shopify/TaxonomyCategory/ap-2-3-6-2        : Állatok és kisállatkellékek > Háziállat-kellékek > Kutyakellékek > Kutyakennelek és -futtató > Kutyafuttatók
gid://shopify/TaxonomyCategory/ap-2-3-6-3        : Állatok és kisállatkellékek > Háziállat-kellékek > Kutyakellékek > Kutyakennelek és -futtató > Beltéri kutyakennelek
gid://shopify/TaxonomyCategory/ap-2-3-6-4        : Állatok és kisállatkellékek > Háziállat-kellékek > Kutyakellékek > Kutyakennelek és -futtató > Kültéri kutyakennelek
gid://shopify/TaxonomyCategory/ap-2-3-6-5        : Állatok és kisállatkellékek > Háziállat-kellékek > Kutyakellékek > Kutyakennelek és -futtató > Hordozható kutyakennelek
gid://shopify/TaxonomyCategory/ap-2-3-7          : Állatok és kisállatkellékek > Háziállat-kellékek > Kutyakellékek > Kutyajátékok
gid://shopify/TaxonomyCategory/ap-2-3-8          : Állatok és kisállatkellékek > Háziállat-kellékek > Kutyakellékek > Kutyafutópadok
gid://shopify/TaxonomyCategory/ap-2-3-9          : Állatok és kisállatkellékek > Háziállat-kellékek > Kutyakellékek > Kutyacsemegék
gid://shopify/TaxonomyCategory/ap-2-4            : Állatok és kisállatkellékek > Háziállat-kellékek > Hal- és vízi kellékek
gid://shopify/TaxonomyCategory/ap-2-4-1          : Állatok és kisállatkellékek > Háziállat-kellékek > Hal- és vízi kellékek > Akvárium- és tócsövek
gid://shopify/TaxonomyCategory/ap-2-4-1-1        : Állatok és kisállatkellékek > Háziállat-kellékek > Hal- és vízi kellékek > Akvárium- és tócsövek > Légcsövek
gid://shopify/TaxonomyCategory/ap-2-4-1-2        : Állatok és kisállatkellékek > Háziállat-kellékek > Hal- és vízi kellékek > Akvárium- és tócsövek > Tekercses csövek
gid://shopify/TaxonomyCategory/ap-2-4-1-3        : Állatok és kisállatkellékek > Háziállat-kellékek > Hal- és vízi kellékek > Akvárium- és tócsövek > Rugalmas csövek
gid://shopify/TaxonomyCategory/ap-2-4-1-4        : Állatok és kisállatkellékek > Háziállat-kellékek > Hal- és vízi kellékek > Akvárium- és tócsövek > Merev csövek
gid://shopify/TaxonomyCategory/ap-2-4-1-5        : Állatok és kisállatkellékek > Háziállat-kellékek > Hal- és vízi kellékek > Akvárium- és tócsövek > Szabványos csövek
gid://shopify/TaxonomyCategory/ap-2-4-2          : Állatok és kisállatkellékek > Háziállat-kellékek > Hal- és vízi kellékek > Akváriumi levegőkövek és diffúzorok
gid://shopify/TaxonomyCategory/ap-2-4-2-1        : Állatok és kisállatkellékek > Háziállat-kellékek > Hal- és vízi kellékek > Akváriumi levegőkövek és diffúzorok > Légdiffúzorok
gid://shopify/TaxonomyCategory/ap-2-4-2-2        : Állatok és kisállatkellékek > Háziállat-kellékek > Hal- és vízi kellékek > Akváriumi levegőkövek és diffúzorok > Lemezlégkövek
gid://shopify/TaxonomyCategory/ap-2-4-2-3        : Állatok és kisállatkellékek > Háziállat-kellékek > Hal- és vízi kellékek > Akváriumi levegőkövek és diffúzorok > Szabványos légkövek
gid://shopify/TaxonomyCategory/ap-2-4-2-4        : Állatok és kisállatkellékek > Háziállat-kellékek > Hal- és vízi kellékek > Akváriumi levegőkövek és diffúzorok > Csőlégkövek
gid://shopify/TaxonomyCategory/ap-2-4-2-5        : Állatok és kisállatkellékek > Háziállat-kellékek > Hal- és vízi kellékek > Akváriumi levegőkövek és diffúzorok > Fallégkövek
gid://shopify/TaxonomyCategory/ap-2-4-3          : Állatok és kisállatkellékek > Háziállat-kellékek > Hal- és vízi kellékek > Akváriumtisztító-szerek
gid://shopify/TaxonomyCategory/ap-2-4-3-1        : Állatok és kisállatkellékek > Háziállat-kellékek > Hal- és vízi kellékek > Akváriumtisztító-szerek > Algakaparók
gid://shopify/TaxonomyCategory/ap-2-4-3-2        : Állatok és kisállatkellékek > Háziállat-kellékek > Hal- és vízi kellékek > Akváriumtisztító-szerek > Akváriumkesztyűk
gid://shopify/TaxonomyCategory/ap-2-4-3-3        : Állatok és kisállatkellékek > Háziállat-kellékek > Hal- és vízi kellékek > Akváriumtisztító-szerek > Tisztítókefék
gid://shopify/TaxonomyCategory/ap-2-4-3-4        : Állatok és kisállatkellékek > Háziállat-kellékek > Hal- és vízi kellékek > Akváriumtisztító-szerek > Tisztító oldóanyagok
gid://shopify/TaxonomyCategory/ap-2-4-3-5        : Állatok és kisállatkellékek > Háziállat-kellékek > Hal- és vízi kellékek > Akváriumtisztító-szerek > Kavicsporszívók
gid://shopify/TaxonomyCategory/ap-2-4-3-6        : Állatok és kisállatkellékek > Háziállat-kellékek > Hal- és vízi kellékek > Akváriumtisztító-szerek > Súrolópárnák
gid://shopify/TaxonomyCategory/ap-2-4-3-7        : Állatok és kisállatkellékek > Háziállat-kellékek > Hal- és vízi kellékek > Akváriumtisztító-szerek > Szifonok
gid://shopify/TaxonomyCategory/ap-2-4-3-8        : Állatok és kisállatkellékek > Háziállat-kellékek > Hal- és vízi kellékek > Akváriumtisztító-szerek > Tartálytisztítók
gid://shopify/TaxonomyCategory/ap-2-4-4          : Állatok és kisállatkellékek > Háziállat-kellékek > Hal- és vízi kellékek > Akváriumdekorációk
gid://shopify/TaxonomyCategory/ap-2-4-4-1        : Állatok és kisállatkellékek > Háziállat-kellékek > Hal- és vízi kellékek > Akváriumdekorációk > Akváriumhátterek
gid://shopify/TaxonomyCategory/ap-2-4-4-2        : Állatok és kisállatkellékek > Háziállat-kellékek > Hal- és vízi kellékek > Akváriumdekorációk > Akváriumbarlangok és -menedékek
gid://shopify/TaxonomyCategory/ap-2-4-4-3        : Állatok és kisállatkellékek > Háziállat-kellékek > Hal- és vízi kellékek > Akváriumdekorációk > Akváriumsziklák
gid://shopify/TaxonomyCategory/ap-2-4-4-4        : Állatok és kisállatkellékek > Háziállat-kellékek > Hal- és vízi kellékek > Akváriumdekorációk > Akváriumszubsztrátumok
gid://shopify/TaxonomyCategory/ap-2-4-4-5        : Állatok és kisállatkellékek > Háziállat-kellékek > Hal- és vízi kellékek > Akváriumdekorációk > Mesterséges növények
gid://shopify/TaxonomyCategory/ap-2-4-4-6        : Állatok és kisállatkellékek > Háziállat-kellékek > Hal- és vízi kellékek > Akváriumdekorációk > Buborékoló dekorációk
gid://shopify/TaxonomyCategory/ap-2-4-4-7        : Állatok és kisállatkellékek > Háziállat-kellékek > Hal- és vízi kellékek > Akváriumdekorációk > Uszadékfa
gid://shopify/TaxonomyCategory/ap-2-4-4-8        : Állatok és kisállatkellékek > Háziállat-kellékek > Hal- és vízi kellékek > Akváriumdekorációk > Díszek
gid://shopify/TaxonomyCategory/ap-2-4-4-9        : Állatok és kisállatkellékek > Háziállat-kellékek > Hal- és vízi kellékek > Akváriumdekorációk > Hajóroncsok
gid://shopify/TaxonomyCategory/ap-2-4-5          : Állatok és kisállatkellékek > Háziállat-kellékek > Hal- és vízi kellékek > Akváriumszűrők
gid://shopify/TaxonomyCategory/ap-2-4-5-1        : Állatok és kisállatkellékek > Háziállat-kellékek > Hal- és vízi kellékek > Akváriumszűrők > Külső és tartályos akváriumszűrők
gid://shopify/TaxonomyCategory/ap-2-4-5-2        : Állatok és kisállatkellékek > Háziállat-kellékek > Hal- és vízi kellékek > Akváriumszűrők > Hátul lógó (HOB) akváriumszűrők
gid://shopify/TaxonomyCategory/ap-2-4-5-3        : Állatok és kisállatkellékek > Háziállat-kellékek > Hal- és vízi kellékek > Akváriumszűrők > Belső akváriumszűrők
gid://shopify/TaxonomyCategory/ap-2-4-5-4        : Állatok és kisállatkellékek > Háziállat-kellékek > Hal- és vízi kellékek > Akváriumszűrők > Szivacsos akváriumszűrők
gid://shopify/TaxonomyCategory/ap-2-4-5-5        : Állatok és kisállatkellékek > Háziállat-kellékek > Hal- és vízi kellékek > Akváriumszűrők > Kavics alatti akváriumszűrők
gid://shopify/TaxonomyCategory/ap-2-4-6          : Állatok és kisállatkellékek > Háziállat-kellékek > Hal- és vízi kellékek > Akváriumi halhálók
gid://shopify/TaxonomyCategory/ap-2-4-6-1        : Állatok és kisállatkellékek > Háziállat-kellékek > Hal- és vízi kellékek > Akváriumi halhálók > Merítőhálók
gid://shopify/TaxonomyCategory/ap-2-4-6-2        : Állatok és kisállatkellékek > Háziállat-kellékek > Hal- és vízi kellékek > Akváriumi halhálók > Garnélarákhálók
gid://shopify/TaxonomyCategory/ap-2-4-6-3        : Állatok és kisállatkellékek > Háziállat-kellékek > Hal- és vízi kellékek > Akváriumi halhálók > Zoknihálók
gid://shopify/TaxonomyCategory/ap-2-4-6-4        : Állatok és kisállatkellékek > Háziállat-kellékek > Hal- és vízi kellékek > Akváriumi halhálók > Szabványos hálók
gid://shopify/TaxonomyCategory/ap-2-4-7          : Állatok és kisállatkellékek > Háziállat-kellékek > Hal- és vízi kellékek > Akváriumi kavics és szubsztrátok
gid://shopify/TaxonomyCategory/ap-2-4-7-1        : Állatok és kisállatkellékek > Háziállat-kellékek > Hal- és vízi kellékek > Akváriumi kavics és szubsztrátok > Akváriumtalaj
gid://shopify/TaxonomyCategory/ap-2-4-7-2        : Állatok és kisállatkellékek > Háziállat-kellékek > Hal- és vízi kellékek > Akváriumi kavics és szubsztrátok > Aragonithomok
gid://shopify/TaxonomyCategory/ap-2-4-7-3        : Állatok és kisállatkellékek > Háziállat-kellékek > Hal- és vízi kellékek > Akváriumi kavics és szubsztrátok > Zúzott korallok
gid://shopify/TaxonomyCategory/ap-2-4-7-4        : Állatok és kisállatkellékek > Háziállat-kellékek > Hal- és vízi kellékek > Akváriumi kavics és szubsztrátok > Üvegkövek
gid://shopify/TaxonomyCategory/ap-2-4-7-5        : Állatok és kisállatkellékek > Háziállat-kellékek > Hal- és vízi kellékek > Akváriumi kavics és szubsztrátok > Kavics
gid://shopify/TaxonomyCategory/ap-2-4-7-6        : Állatok és kisállatkellékek > Háziállat-kellékek > Hal- és vízi kellékek > Akváriumi kavics és szubsztrátok > Kövek
gid://shopify/TaxonomyCategory/ap-2-4-7-7        : Állatok és kisállatkellékek > Háziállat-kellékek > Hal- és vízi kellékek > Akváriumi kavics és szubsztrátok > Homok
gid://shopify/TaxonomyCategory/ap-2-4-8          : Állatok és kisállatkellékek > Háziállat-kellékek > Hal- és vízi kellékek > Akváriumvilágítás
gid://shopify/TaxonomyCategory/ap-2-4-9          : Állatok és kisállatkellékek > Háziállat-kellékek > Hal- és vízi kellékek > Akváriumi túlfolyótartályok
gid://shopify/TaxonomyCategory/ap-2-4-10         : Állatok és kisállatkellékek > Háziállat-kellékek > Hal- és vízi kellékek > Akváriumállványok
gid://shopify/TaxonomyCategory/ap-2-4-10-1       : Állatok és kisállatkellékek > Háziállat-kellékek > Hal- és vízi kellékek > Akváriumállványok > Dobozkeretes állványok
gid://shopify/TaxonomyCategory/ap-2-4-10-2       : Állatok és kisállatkellékek > Háziállat-kellékek > Hal- és vízi kellékek > Akváriumállványok > Szekrényállványok
gid://shopify/TaxonomyCategory/ap-2-4-10-3       : Állatok és kisállatkellékek > Háziállat-kellékek > Hal- és vízi kellékek > Akváriumállványok > Dupla tartályos állványok
gid://shopify/TaxonomyCategory/ap-2-4-10-4       : Állatok és kisállatkellékek > Háziállat-kellékek > Hal- és vízi kellékek > Akváriumállványok > Kovácsoltvas-állványok
gid://shopify/TaxonomyCategory/ap-2-4-11         : Állatok és kisállatkellékek > Háziállat-kellékek > Hal- és vízi kellékek > Akvárium-hőmérsékletszabályozók
gid://shopify/TaxonomyCategory/ap-2-4-11-1       : Állatok és kisállatkellékek > Háziállat-kellékek > Hal- és vízi kellékek > Akvárium-hőmérsékletszabályozók > Analóg hőmérséklet-szabályozók
gid://shopify/TaxonomyCategory/ap-2-4-11-2       : Állatok és kisállatkellékek > Háziállat-kellékek > Hal- és vízi kellékek > Akvárium-hőmérsékletszabályozók > Digitális hőmérséklet-szabályozók
gid://shopify/TaxonomyCategory/ap-2-4-12         : Állatok és kisállatkellékek > Háziállat-kellékek > Hal- és vízi kellékek > Akváriumi vízkezelések
gid://shopify/TaxonomyCategory/ap-2-4-12-1       : Állatok és kisállatkellékek > Háziállat-kellékek > Hal- és vízi kellékek > Akváriumi vízkezelések > Algaszabályozás
gid://shopify/TaxonomyCategory/ap-2-4-12-2       : Állatok és kisállatkellékek > Háziállat-kellékek > Hal- és vízi kellékek > Akváriumi vízkezelések > Ammóniaeltávolítók
gid://shopify/TaxonomyCategory/ap-2-4-12-3       : Állatok és kisállatkellékek > Háziállat-kellékek > Hal- és vízi kellékek > Akváriumi vízkezelések > Gombás és bakteriális kezelések
gid://shopify/TaxonomyCategory/ap-2-4-12-4       : Állatok és kisállatkellékek > Háziállat-kellékek > Hal- és vízi kellékek > Akváriumi vízkezelések > Nitráteltávolítók
gid://shopify/TaxonomyCategory/ap-2-4-12-5       : Állatok és kisállatkellékek > Háziállat-kellékek > Hal- és vízi kellékek > Akváriumi vízkezelések > PH-beállítók
gid://shopify/TaxonomyCategory/ap-2-4-12-6       : Állatok és kisállatkellékek > Háziállat-kellékek > Hal- és vízi kellékek > Akváriumi vízkezelések > Csapvíz-méregtelenítők
gid://shopify/TaxonomyCategory/ap-2-4-12-7       : Állatok és kisállatkellékek > Háziállat-kellékek > Hal- és vízi kellékek > Akváriumi vízkezelések > Víztisztítók
gid://shopify/TaxonomyCategory/ap-2-4-12-8       : Állatok és kisállatkellékek > Háziállat-kellékek > Hal- és vízi kellékek > Akváriumi vízkezelések > Vízkondicionálók
gid://shopify/TaxonomyCategory/ap-2-4-13         : Állatok és kisállatkellékek > Háziállat-kellékek > Hal- és vízi kellékek > Akváriumok
gid://shopify/TaxonomyCategory/ap-2-4-14         : Állatok és kisállatkellékek > Háziállat-kellékek > Hal- és vízi kellékek > Vízinövény-műtrágyák
gid://shopify/TaxonomyCategory/ap-2-4-14-1       : Állatok és kisállatkellékek > Háziállat-kellékek > Hal- és vízi kellékek > Vízinövény-műtrágyák > Granulált műtrágyák
gid://shopify/TaxonomyCategory/ap-2-4-14-2       : Állatok és kisállatkellékek > Háziállat-kellékek > Hal- és vízi kellékek > Vízinövény-műtrágyák > Folyékony műtrágyák
gid://shopify/TaxonomyCategory/ap-2-4-14-3       : Állatok és kisállatkellékek > Háziállat-kellékek > Hal- és vízi kellékek > Vízinövény-műtrágyák > Por műtrágyák
gid://shopify/TaxonomyCategory/ap-2-4-14-4       : Állatok és kisállatkellékek > Háziállat-kellékek > Hal- és vízi kellékek > Vízinövény-műtrágyák > Tablettaműtrágyák
gid://shopify/TaxonomyCategory/ap-2-4-15         : Állatok és kisállatkellékek > Háziállat-kellékek > Hal- és vízi kellékek > Haletetők
gid://shopify/TaxonomyCategory/ap-2-4-16         : Állatok és kisállatkellékek > Háziállat-kellékek > Hal- és vízi kellékek > Haleledel
gid://shopify/TaxonomyCategory/ap-2-4-16-1       : Állatok és kisállatkellékek > Háziállat-kellékek > Hal- és vízi kellékek > Haleledel > Algafalatok
gid://shopify/TaxonomyCategory/ap-2-4-16-2       : Állatok és kisállatkellékek > Háziállat-kellékek > Hal- és vízi kellékek > Haleledel > Betta étel
gid://shopify/TaxonomyCategory/ap-2-4-16-3       : Állatok és kisállatkellékek > Háziállat-kellékek > Hal- és vízi kellékek > Haleledel > Cichlid haleledel
gid://shopify/TaxonomyCategory/ap-2-4-16-4       : Állatok és kisállatkellékek > Háziállat-kellékek > Hal- és vízi kellékek > Haleledel > Száraz haleledel
gid://shopify/TaxonomyCategory/ap-2-4-16-5       : Állatok és kisállatkellékek > Háziállat-kellékek > Hal- és vízi kellékek > Haleledel > Fagyasztva szárított haleledel
gid://shopify/TaxonomyCategory/ap-2-4-16-6       : Állatok és kisállatkellékek > Háziállat-kellékek > Hal- és vízi kellékek > Haleledel > Fagyasztott haleledel
gid://shopify/TaxonomyCategory/ap-2-4-16-7       : Állatok és kisállatkellékek > Háziállat-kellékek > Hal- és vízi kellékek > Haleledel > Aranyhal-haleledel
gid://shopify/TaxonomyCategory/ap-2-4-16-8       : Állatok és kisállatkellékek > Háziállat-kellékek > Hal- és vízi kellékek > Haleledel > Élő haleledel
gid://shopify/TaxonomyCategory/ap-2-4-16-9       : Állatok és kisállatkellékek > Háziállat-kellékek > Hal- és vízi kellékek > Haleledel > Gyógyszeres haleledel
gid://shopify/TaxonomyCategory/ap-2-5            : Állatok és kisállatkellékek > Háziállat-kellékek > Háziállatmozgékonyság-felszerelés
gid://shopify/TaxonomyCategory/ap-2-5-1          : Állatok és kisállatkellékek > Háziállat-kellékek > Háziállatmozgékonyság-felszerelés > A-keretek
gid://shopify/TaxonomyCategory/ap-2-5-2          : Állatok és kisállatkellékek > Háziállat-kellékek > Háziállatmozgékonyság-felszerelés > Mozgékonysági alagutak
gid://shopify/TaxonomyCategory/ap-2-5-3          : Állatok és kisállatkellékek > Háziállat-kellékek > Háziállatmozgékonyság-felszerelés > Kutyasétányok és -rámpák
gid://shopify/TaxonomyCategory/ap-2-5-4          : Állatok és kisállatkellékek > Háziállat-kellékek > Háziállatmozgékonyság-felszerelés > Ugrórudak
gid://shopify/TaxonomyCategory/ap-2-5-5          : Állatok és kisállatkellékek > Háziállat-kellékek > Háziállatmozgékonyság-felszerelés > Szünetasztalok
